Frequency,S11_Magnitude,S21_Magnitude,S22_Magnitude,
10000000,15.6657403,45.95608317,13.75687342,
11980000,-19.8275258,40.39173272,-20.06676216,
13960000,-18.7246243,40.34108215,-29.75121367,
15940000,-19.28875848,40.32796628,-33.75949371,
17920000,-19.12143764,40.41870805,-19.33320724,
19900000,-21.01224177,40.33942784,-26.55208094,
21880000,-21.93274498,40.3702152,-26.96642037,
23860000,-21.83998868,40.42516399,-22.28841106,
25840000,-21.58708182,40.42406797,-28.23906233,
27820000,-22.604941,40.43155283,-28.29515877,
29800000,-21.03633732,40.50695881,-27.84983302,
31780000,-22.31423647,40.39397309,-28.83258681,
33760000,-27.25148414,40.40308696,-37.99265559,
35740000,-20.34006528,40.3603434,-26.26227737,
37720000,-22.92761279,40.35430661,-36.5379186,
39700000,-20.08998899,40.33978518,-25.11229589,
41680000,-22.02358159,40.33639884,-28.23539045,
43660000,-22.84856121,40.31232396,-31.37631694,
45640000,-21.27319341,40.30866292,-26.0688001,
47620000,-23.51376752,40.33708635,-30.62937635,
49600000,-19.54647891,40.46829374,-22.65667688,
51580000,-22.19426626,40.31514166,-29.47948883,
53560000,-21.43617161,40.3382894,-22.96760927,
55540000,-25.7249298,40.30099252,-47.53592528,
57520000,-22.31653462,40.30062927,-33.09437486,
59500000,-22.77782661,40.35385702,-26.57695725,
61480000,-23.59238123,40.26801184,-32.05281855,
63460000,-22.78635343,40.3038802,-33.62468213,
65440000,-21.77714764,40.32074426,-26.82101782,
67420000,-21.14736759,40.35208244,-23.85584655,
69400000,-22.95277425,40.33290276,-33.90850464,
71380000,-21.45457581,40.34760747,-26.90587258,
73360000,-21.088298,40.34674118,-28.36618271,
75340000,-21.55688016,40.35651358,-31.16429328,
77320000,-20.18748992,40.35842837,-24.67166079,
79300000,-21.28336003,40.35823178,-28.79484042,
81280000,-20.38854406,40.36033643,-24.77304244,
83260000,-21.36537537,40.38473929,-29.07372929,
85240000,-23.04321789,40.40436862,-31.41231913,
87220000,-23.18272354,40.41402181,-32.89193182,
89200000,-22.83188024,40.37606207,-33.99898321,
91180000,-22.40161232,40.40737893,-29.31591895,
93160000,-21.34569186,40.40410313,-28.05407868,
95140000,-20.89689297,40.40695915,-24.63665547,
97120000,-20.61226476,40.40476344,-24.6182316,
99100000,-21.99630046,40.4041956,-28.76443559,
101080000,-22.07223252,40.41149019,-30.75045038,
103060000,-22.09283532,40.41813058,-28.70580645,
105040000,-21.61210649,40.41081874,-26.06775742,
107020000,-20.70550085,40.39467721,-24.66602321,
