Frequency,S11_Magnitude,S12_Magnitude,S21_Magnitude,S22_Magnitude,
10000000,-9.148279802,-30.31410351,38.64865105,-12.73239351,
10220000,-19.13669065,-48.83503682,37.88012272,-21.67352664,
10440000,-18.92992527,-51.2304103,37.85550363,-22.02883201,
10660000,-19.13286747,-48.7656539,37.8598907,-21.54278933,
10880000,-19.11665957,-49.9640608,37.84718387,-22.09481928,
11100000,-17.8015449,-47.32217427,37.86690859,-24.93249782,
11320000,-19.27199377,-52.75348842,37.83611105,-22.41837168,
11540000,-19.15793098,-53.06965266,37.82598411,-22.41018146,
11760000,-18.49611591,-50.71896789,37.8368214,-23.96513757,
11980000,-18.92422018,-49.43620322,37.8338775,-23.11471183,
12200000,-18.55884752,-49.27753521,37.83402075,-23.96079776,
12420000,-18.738603,-47.22422116,37.85154301,-23.91385757,
12640000,-19.23445875,-50.49813602,37.82186494,-22.63939145,
12860000,-19.48573561,-52.18038631,37.83682029,-22.88439021,
13080000,-19.19200859,-51.02560025,37.83188134,-23.39439912,
13300000,-18.76893162,-49.15382259,37.83052442,-23.76882169,
13520000,-18.65545116,-48.96528704,37.83756559,-24.19797347,
13740000,-19.24273059,-50.42591907,37.83730864,-23.34716831,
13960000,-18.64888844,-49.21912342,37.82902528,-24.11484142,
14180000,-18.90179818,-49.62351152,37.82997468,-24.0858104,
14400000,-19.67713131,-52.94664065,37.80392683,-22.65940994,
14620000,-18.88388045,-50.15778423,37.83336643,-23.90943109,
14840000,-19.04719589,-51.30450895,37.83819601,-24.55089473,
15060000,-19.35119356,-54.6491606,37.81612163,-24.00707961,
15280000,-18.94608818,-52.46285005,37.83307195,-25.05681622,
15500000,-19.55954936,-51.24180924,37.80312836,-23.19834518,
15720000,-19.08885855,-50.45100515,37.81673328,-24.1249492,
15940000,-18.60496864,-49.12833689,37.82906516,-24.88973974,
16160000,-18.51108056,-48.76279884,37.82844341,-25.94583637,
16380000,-18.92642977,-50.65378674,37.82459447,-24.55433555,
16600000,-18.73731409,-49.20328603,37.82751325,-24.56837115,
16820000,-18.8716802,-49.61260645,37.81782977,-25.29527488,
17040000,-19.2515986,-50.6385707,37.81737249,-24.40473884,
17260000,-18.82281577,-50.33724476,37.82561604,-25.25614412,
17480000,-18.6193764,-49.47209068,37.81838887,-25.91529893,
17700000,-18.96197869,-51.35307757,37.81432934,-25.03514617,
17920000,-18.61782885,-50.32397708,37.81940712,-25.88483249,
18140000,-15.8754496,-41.84093133,37.84373386,-37.96450155,
18360000,-18.87706292,-51.31640622,37.80932758,-25.51184571,
18580000,-18.43166884,-48.95379177,37.82828147,-26.94263158,
18800000,-18.22390459,-48.55891384,37.81870071,-27.31024041,
19020000,-18.92495084,-51.61262851,37.81741926,-25.84535229,
19240000,-18.94915978,-50.91990432,37.82051362,-25.28073676,
19460000,-18.64172988,-50.17839653,37.81968006,-26.41443995,
19680000,-18.62673032,-50.0986465,37.82858806,-25.99666872,
19900000,-18.9684999,-51.98485533,37.82491197,-25.9527974,
20120000,-18.79951866,-50.5616161,37.82640872,-26.07577298,
20340000,-19.07900769,-52.89934743,37.82039367,-25.05785808,
20560000,-19.16814552,-52.50264092,37.82719177,-25.8038182,
20780000,-19.07343881,-52.58552937,37.83294632,-25.61799618,
21000000,-14.78362007,-39.48493855,37.89182798,-25.0279923,
21220000,-18.2437177,-48.76400125,37.84613101,-27.92254234,
21440000,-18.53105492,-49.26147502,37.85357252,-27.46580336,
21660000,-18.88016208,-51.54694884,37.83625012,-25.69673166,
21880000,-18.68323631,-50.55954625,37.84551973,-26.90327176,
22100000,-18.76943375,-50.90551284,37.85265223,-25.9807393,
22320000,-18.8549013,-51.00851528,37.86016801,-26.18659533,
22540000,-19.15106108,-52.91787223,37.84807534,-25.72417552,
22760000,-18.73182319,-50.9330389,37.85264905,-27.11358592,
22980000,-19.00465869,-52.48913407,37.85135231,-25.79465125,
23200000,-18.93039698,-51.73872267,37.84713249,-26.04659269,
23420000,-18.50713784,-49.82088117,37.86131375,-28.25052798,
23640000,-18.57682441,-50.10140876,37.85986388,-26.81664451,
23860000,-18.4008225,-49.26789586,37.86727614,-27.54946631,
24080000,-18.56860182,-50.0808505,37.86379186,-26.005664,
24300000,-18.68575106,-50.57016768,37.85786772,-27.37092464,
24520000,-19.09897766,-52.56115762,37.86489534,-26.01740517,
24740000,-19.12253965,-52.78846195,37.86325952,-26.10097838,
24960000,-18.4303166,-49.52754016,37.86543072,-27.79931475,
25180000,-19.0943946,-52.44963654,37.82052397,-26.6769277,
25400000,-18.78145523,-50.78327646,37.83625954,-26.61436442,
25620000,-18.89565845,-51.59083279,37.84130495,-26.48211904,
25840000,-18.61953492,-50.36102452,37.84633252,-27.37556651,
26060000,-18.89745862,-51.53080338,37.83353239,-26.70473352,
26280000,-18.36271088,-49.37311308,37.83753453,-27.87051711,
26500000,-18.5925697,-50.38773913,37.83179095,-26.83241962,
26720000,-18.86638886,-51.6829716,37.83766251,-26.21722961,
26940000,-18.49596119,-49.73736159,37.84019293,-27.75756906,
27160000,-18.20200259,-48.43289151,37.84227049,-27.99443778,
27380000,-18.70503174,-50.82146669,37.85585339,-27.33733033,
27600000,-18.30190627,-48.80426585,37.84385039,-28.78864123,
27820000,-18.76609107,-51.16578844,37.85823146,-27.44440885,
28040000,-18.18064715,-48.47985284,37.85116896,-28.78383291,
28260000,-18.37700432,-49.20518046,37.84356285,-27.6701775,
28480000,-18.75343869,-50.91819852,37.86281634,-27.44894181,
28700000,-18.40200991,-49.4357448,37.85932937,-27.64184788,
28920000,-18.40242824,-49.26051366,37.85858002,-27.48468786,
