Frequency,S11_Magnitude,S12_Magnitude,S21_Magnitude,S22_Magnitude,
10000000,-16.44279403,-51.22487945,13.09545334,-16.58823665,
11980000,-17.28691233,-51.84326383,12.59829263,-17.4962679,
13960000,-18.24404162,-52.09780309,12.33149288,-18.08353415,
15940000,-18.46629358,-51.87674807,12.37047781,-18.37367293,
17920000,-18.01302019,-51.7681091,12.43827248,-18.62713491,
19900000,-17.53859382,-51.9909942,12.35535887,-18.81993658,
21880000,-17.35295531,-51.97897952,12.40140408,-19.00000662,
23860000,-17.3899934,-52.04435878,12.38688704,-19.1788975,
25840000,-18.90868661,-52.10210359,11.59242155,-19.2474097,
27820000,-18.91323441,-52.07569855,11.63076911,-19.32841953,
29800000,-18.88497052,-52.17401322,11.58320372,-19.37202686,
31780000,-18.98952148,-52.20548763,11.54684071,-19.44233412,
33760000,-19.07275956,-52.17148021,11.55681554,-19.52094043,
35740000,-19.14951858,-52.266602,11.46680843,-19.61235868,
37720000,-19.19866922,-52.31561579,11.45308867,-19.68528978,
39700000,-19.19426613,-52.28354386,11.49827632,-19.68580655,
41680000,-19.22169911,-52.20317108,11.5548949,-19.71024117,
43660000,-19.23867194,-52.15750762,11.55168027,-19.73946817,
45640000,-19.27968423,-52.06874874,11.49797491,-19.78887674,
47620000,-19.32556986,-52.23456945,11.44487012,-19.86338078,
49600000,-19.46008915,-52.20273225,11.50944258,-19.90348573,
51580000,-19.41038196,-52.12795522,11.47794448,-19.92116894,
53560000,-19.44716047,-52.11981806,11.50896129,-19.92596783,
55540000,-19.49005455,-51.95738251,11.52297116,-19.95155068,
57520000,-19.55621268,-52.00009032,11.48592888,-20.00637897,
59500000,-19.63392301,-52.10394431,11.31359297,-20.04923995,
61480000,-19.72634975,-52.50229482,11.13562219,-20.13378643,
63460000,-19.69530183,-52.06946681,11.38431569,-20.11157313,
65440000,-19.68306849,-51.96673879,11.5124382,-20.10888305,
67420000,-19.69953541,-52.0371079,11.55617212,-20.14193205,
69400000,-19.71412378,-52.04082832,11.52082032,-20.17598361,
71380000,-19.7394247,-52.05953629,11.47112272,-20.21783814,
73360000,-19.77277488,-52.04268211,11.42617983,-20.28157342,
75340000,-19.73952404,-52.08921673,11.51442654,-20.26166539,
