Frequency,S11_Magnitude,S21_Magnitude,S22_Magnitude,
10000000,-11.45199989,-6.795557886,-10.8453592,
11980000,-18.39757271,-8.174336777,-10.5724864,
13960000,-18.58911037,-8.085477913,-10.40019897,
15940000,-18.80500164,-8.167275879,-10.32956299,
17920000,-18.95892255,-8.194469499,-10.41636327,
19900000,-19.5670389,-8.282244029,-10.33297424,
21880000,-19.43954704,-8.313037485,-10.32564824,
23860000,-19.30252858,-8.215881513,-10.40090825,
25840000,-20.02991689,-8.206074419,-10.34532548,
27820000,-19.94694183,-8.241062556,-10.35583094,
29800000,-20.45327898,-8.267433374,-10.46876032,
31780000,-20.33489972,-8.328045823,-10.43809141,
33760000,-20.18217063,-8.288655777,-10.28162345,
35740000,-20.41549608,-8.425833996,-10.37164399,
37720000,-20.29914837,-8.345491181,-10.31999326,
39700000,-19.92300777,-8.364137621,-10.35753826,
41680000,-20.44604162,-8.358551166,-10.22585124,
43660000,-20.41143126,-8.388337073,-10.29106668,
45640000,-20.26730268,-8.443347993,-10.31416116,
47620000,-20.5648446,-8.354221611,-10.29695835,
49600000,-20.43949547,-8.246630428,-10.32259185,
51580000,-20.37709891,-8.366346046,-10.22164386,
53560000,-20.29083831,-8.394473543,-10.25629519,
55540000,-20.42741357,-8.387794958,-10.25131207,
57520000,-20.42328312,-8.411150689,-10.23411997,
59500000,-20.61571049,-8.327367365,-10.21129024,
61480000,-21.34726589,-8.359782992,-10.31648509,
63460000,-20.60774878,-8.36018734,-10.17102319,
65440000,-20.43326261,-8.325281729,-10.17320436,
67420000,-20.65410984,-8.361974084,-10.12709368,
69400000,-20.6164754,-8.348378732,-10.17529139,
71380000,-20.48620445,-8.324940769,-10.1500443,
73360000,-20.38653378,-8.319476456,-10.10271698,
75340000,-20.72151713,-8.285797019,-10.13656205,
77320000,-20.32233932,-8.298385346,-10.11319244,
79300000,-20.46226414,-8.322738593,-10.08473903,
81280000,-20.58000175,-8.289911162,-10.06233947,
83260000,-20.62280095,-8.236151491,-10.06954392,
85240000,-20.48603084,-8.223206539,-10.04568186,
87220000,-20.59137018,-8.193932479,-10.04473329,
89200000,-20.41891871,-8.228511169,-10.00541712,
91180000,-20.57574943,-8.171152666,-10.03151248,
93160000,-20.84125146,-8.16504418,-10.03675543,
95140000,-20.65545249,-8.191012391,-10.07545446,
97120000,-20.62516649,-8.174976735,-10.0350984,
99100000,-20.39830665,-8.128840121,-9.995630238,
101080000,-20.537955,-8.173462375,-10.00706647,
103060000,-20.45266633,-8.149784481,-9.964346576,
105040000,-20.55101403,-8.124639212,-9.988438478,
107020000,-20.58783562,-8.167495945,-9.942631608,
109000000,-20.56679329,-8.102555551,-9.98868234,
110980000,-20.67745018,-8.135641229,-9.91893687,
112960000,-20.80396628,-8.121758093,-9.910648945,
114940000,-20.69154341,-8.089975528,-9.929964583,
116920000,-20.47532759,-8.052932718,-9.885102793,
118900000,-20.78223716,-8.024921549,-9.849922547,
120880000,-20.70297714,-8.057093305,-9.87765864,
122860000,-21.22857685,-8.04771133,-9.949279653,
124840000,-20.750865,-8.038512477,-9.873118207,
126820000,-20.77506306,-8.076190379,-9.831710846,
128800000,-20.56333618,-8.047823762,-9.789639405,
130780000,-20.7766046,-8.025229778,-9.780368074,
132760000,-20.6783493,-8.007490658,-9.724016797,
134740000,-20.71128608,-8.039619486,-9.725431651,
136720000,-20.63371585,-7.968325821,-9.708168655,
138700000,-21.06032676,-8.031590039,-9.714978809,
140680000,-20.72450688,-8.004752758,-9.63107741,
142660000,-20.801217,-7.99955658,-9.620745256,
144640000,-20.64227902,-7.942824217,-9.724272443,
146620000,-21.02557671,-7.93964875,-9.632018359,
148600000,-20.44250565,-8.062488927,-9.636863276,
150580000,-20.49809271,-7.990237921,-9.574950892,
152560000,-20.62728923,-8.030937411,-9.62482205,
154540000,-20.97860394,-7.964567723,-9.661753245,
156520000,-20.83339153,-7.935046187,-9.572874891,
158500000,-20.95758664,-7.99104263,-9.5552466,
160480000,-21.01965454,-7.934647253,-9.615253496,
162460000,-20.93268736,-7.846798662,-9.551472048,
164440000,-20.87452871,-7.872223651,-9.609254017,
166420000,-20.81026176,-7.869598167,-9.577197267,
168400000,-20.92147265,-7.909246009,-9.58148945,
170380000,-20.90336918,-7.905712128,-9.557190541,
172360000,-20.95234843,-7.8974341,-9.549921077,
174340000,-20.68207607,-7.889996155,-9.521118163,
176320000,-21.02104498,-7.793696257,-9.504918273,
178300000,-21.0729329,-7.850244106,-9.466306667,
180280000,-20.87103237,-7.748118794,-9.527473106,
182260000,-20.79701714,-7.789022765,-9.48473208,
184240000,-21.07474244,-7.784818865,-9.518109693,
186220000,-21.08959746,-7.778668139,-9.470859071,
188200000,-20.87417136,-7.773047212,-9.504709751,
190180000,-20.76756351,-7.737195926,-9.428209531,
192160000,-21.03980029,-7.739372998,-9.470316622,
194140000,-20.90577256,-7.769905378,-9.434732462,
196120000,-20.86747269,-7.731934959,-9.437807149,
198100000,-20.98582834,-7.731671818,-9.418263244,
200080000,-20.83164534,-7.745253147,-9.404572841,
202060000,-21.01409787,-7.647780802,-9.433049914,
204040000,-20.92871148,-7.657035646,-9.377220356,
206020000,-20.88126587,-7.660541318,-9.338977477,
208000000,-21.02842844,-7.624651029,-9.434084188,
209980000,-20.83833419,-7.617676086,-9.325016352,
211960000,-20.92293357,-7.591329019,-9.352400688,
213940000,-20.94700128,-7.573594842,-9.311985028,
215920000,-20.98518336,-7.579815788,-9.35525971,
217900000,-20.97606781,-7.585444694,-9.327998402,
219880000,-20.82902092,-7.548392102,-9.290097235,
221860000,-20.96888876,-7.497006163,-9.292340175,
223840000,-20.83272814,-7.497852795,-9.253858596,
225820000,-20.96185119,-7.516122988,-9.285334218,
227800000,-20.78136026,-7.485886034,-9.209967792,
229780000,-20.93836605,-7.442470736,-9.243265017,
231760000,-20.92145309,-7.447180902,-9.260347295,
233740000,-20.78385069,-7.435993228,-9.239659171,
235720000,-21.03827169,-7.376320413,-9.189756919,
237700000,-20.81482881,-7.4476761,-9.211802812,
239680000,-20.71279776,-7.372605167,-9.192170825,
241660000,-20.79338343,-7.328845708,-9.166742103,
243640000,-20.85992676,-7.334540694,-9.138358352,
245620000,-21.03297869,-7.319720993,-9.142766885,
247600000,-20.61553318,-7.366329042,-9.070746349,
249580000,-20.76639052,-7.24497906,-9.130621988,
251560000,-20.58661107,-7.333402024,-9.115574059,
253540000,-20.67048769,-7.292052107,-9.075928468,
255520000,-20.68593544,-7.25328644,-9.058027473,
257500000,-20.66422893,-7.243443745,-9.114541795,
259480000,-20.62988145,-7.271483725,-9.061406594,
261460000,-20.6714942,-7.242812779,-9.094084641,
263440000,-20.83799341,-7.217837727,-9.100993711,
265420000,-20.51812232,-7.15858469,-9.074796293,
267400000,-20.65405412,-7.184592333,-9.005994774,
269380000,-20.79892504,-7.174828096,-9.038344257,
271360000,-20.59151764,-7.096770007,-9.033621357,
273340000,-20.79610249,-7.077830352,-8.937160531,
275320000,-20.48107124,-7.091896751,-9.024776584,
277300000,-20.91856112,-7.045113528,-9.037762789,
279280000,-20.59801594,-7.000052952,-9.034754438,
281260000,-20.56713735,-7.059581725,-8.980253773,
283240000,-20.48646464,-7.027450222,-8.993037169,
285220000,-20.6710757,-7.025167744,-8.980991642,
287200000,-20.6030678,-7.013597982,-8.984396017,
289180000,-20.55567286,-7.006793104,-8.96663616,
291160000,-20.49558938,-7.033596164,-8.966421751,
293140000,-20.55092538,-6.917818793,-8.89306919,
295120000,-20.4955014,-6.927379951,-8.94013771,
297100000,-20.58562337,-6.866077721,-8.937320996,
299080000,-20.44649404,-6.893065498,-8.939591739,
301060000,-20.42318011,-6.854341833,-8.920879359,
303040000,-20.52702761,-6.842237028,-8.906104211,
305020000,-20.46757619,-6.857961807,-8.920543647,
307000000,-20.49088683,-6.81548452,-8.911409989,
308980000,-20.94750723,-6.788828775,-8.874034907,
310960000,-20.45145283,-6.774407341,-8.961984657,
312940000,-20.43420289,-6.741533685,-8.833496364,
314920000,-20.58519509,-6.777862312,-8.883909359,
316900000,-20.5093177,-6.71039649,-8.882448213,
318880000,-20.47637371,-6.715640213,-8.870619711,
320860000,-20.67548678,-6.696369154,-8.906253997,
322840000,-20.37194929,-6.686711257,-8.831791413,
324820000,-20.50053313,-6.697412099,-8.900772688,
326800000,-20.31731228,-6.604019916,-8.826663374,
328780000,-20.51461258,-6.631590287,-8.878155187,
330760000,-20.51184539,-6.586929485,-8.817365568,
332740000,-20.50131342,-6.642520549,-8.823211898,
334720000,-20.49580628,-6.614998821,-8.832100137,
336700000,-20.57910213,-6.605302278,-8.850833665,
338680000,-20.36987077,-6.553892888,-8.864819368,
340660000,-20.43667988,-6.630720837,-8.779480009,
342640000,-20.40574712,-6.54151541,-8.820200621,
344620000,-20.53976213,-6.559052529,-8.812546768,
346600000,-20.50733156,-6.509013812,-8.782289445,
348580000,-20.5914575,-6.603649682,-8.768639822,
350560000,-20.43011361,-6.488243078,-8.732898444,
352540000,-20.5387021,-6.566806925,-8.747360192,
354520000,-20.39543379,-6.524224795,-8.71870326,
356500000,-20.50101278,-6.470580627,-8.680806807,
358480000,-20.44238277,-6.51410754,-8.728381192,
360460000,-20.49733145,-6.474664274,-8.729439449,
362440000,-20.35145593,-6.478688652,-8.730776769,
364420000,-20.62281793,-6.531201584,-8.703206569,
366400000,-20.48616358,-6.414405672,-8.653607799,
368380000,-20.64825275,-6.372681896,-8.715848145,
370360000,-20.9645685,-6.356549209,-8.719638124,
372340000,-20.63755805,-6.385896669,-8.660026286,
374320000,-20.65943448,-6.406952751,-8.754806836,
376300000,-20.56090427,-6.417005256,-8.692161829,
378280000,-20.50628721,-6.378110144,-8.659221468,
380260000,-20.62795627,-6.384367799,-8.684920827,
382240000,-20.6992747,-6.354694703,-8.643323138,
384220000,-20.35425732,-6.443572964,-8.647798913,
386200000,-20.54890673,-6.375465879,-8.598007277,
388180000,-20.49778339,-6.296281141,-8.632810435,
390160000,-20.69597791,-6.325781207,-8.590852627,
392140000,-20.47372351,-6.379774986,-8.597161069,
394120000,-20.65977638,-6.254586535,-8.608172807,
396100000,-20.71488322,-6.29490082,-8.532367653,
398080000,-20.73191498,-6.210881098,-8.605148239,
400060000,-20.55530771,-6.272406084,-8.543321153,
402040000,-20.49633653,-6.265570991,-8.599622473,
404020000,-20.47720239,-6.299642493,-8.552182868,
406000000,-20.62354899,-6.231797516,-8.559246652,
407980000,-20.73015007,-6.281672201,-8.541978598,
409960000,-20.7100309,-6.269821553,-8.561980021,
411940000,-20.64684858,-6.308008455,-8.524121947,
413920000,-20.76469525,-6.275132239,-8.540840267,
415900000,-20.74860426,-6.231683765,-8.499669389,
417880000,-20.65261452,-6.206400968,-8.540175558,
419860000,-20.77615053,-6.169524696,-8.555263744,
