Frequency,S11_Magnitude,S12_Magnitude,S21_Magnitude,S22_Magnitude,
10000000,-18.12992374,-49.44608357,-9.665176941,-10.70925471,
11980000,-18.87346342,-52.77432517,-10.03914148,-10.67247314,
13960000,-19.43810308,-52.76145031,-10.26524165,-10.64277118,
15940000,-19.8188104,-52.95172423,-9.995278785,-10.54843701,
17920000,-20.0994061,-52.83363488,-9.704801973,-10.49285949,
19900000,-20.31974241,-53.00928291,-9.573308296,-10.47090058,
21880000,-20.5040583,-52.80615444,-9.585604433,-10.47540353,
23860000,-20.66380909,-52.98207966,-9.639379723,-10.50373308,
25840000,-20.73869924,-52.97440358,-9.793112043,-10.48376482,
27820000,-20.80640969,-53.00107008,-9.764626707,-10.44708419,
29800000,-20.85684074,-53.08019737,-9.763743681,-10.44596929,
31780000,-20.9315421,-53.07418583,-9.773111425,-10.42292847,
33760000,-20.99193493,-53.12629809,-9.808637499,-10.43429719,
35740000,-21.05838381,-53.1397037,-9.869456527,-10.46403598,
37720000,-21.09297944,-53.18971786,-9.893056055,-10.46365068,
39700000,-21.09376203,-53.24752669,-9.851796364,-10.40645711,
41680000,-21.10359528,-53.17299447,-9.839447749,-10.37437651,
43660000,-21.12392905,-53.03696995,-9.851420403,-10.36361492,
45640000,-21.15841601,-53.14839902,-9.892915676,-10.37373349,
47620000,-21.20371391,-53.07812768,-9.951182611,-10.4045294,
49600000,-21.25712183,-53.2167448,-9.918706504,-10.54215211,
51580000,-21.2179977,-53.07328101,-9.903343392,-10.35962789,
53560000,-21.20275472,-52.9467484,-9.860760014,-10.31993727,
55540000,-21.20844257,-52.77715105,-9.828366986,-10.30111048,
57520000,-21.22902936,-52.86626679,-9.823233557,-10.30313123,
59500000,-21.2603119,-52.92527592,-9.855354504,-10.33380013,
61480000,-21.31999449,-53.55001418,-9.906799505,-10.38106764,
63460000,-21.28493189,-53.00930473,-9.82278579,-10.30642228,
65440000,-21.26742801,-52.88370786,-9.766947944,-10.26440835,
67420000,-21.27568109,-52.95782592,-9.746125885,-10.25410994,
69400000,-21.29860487,-52.7374943,-9.754657706,-10.26322104,
71380000,-21.32670014,-52.82388556,-9.778046199,-10.29437859,
73360000,-21.35558041,-53.0344261,-9.798764694,-10.31834827,
75340000,-21.33063481,-52.90923061,-9.725701682,-10.2632084,
77320000,-21.3140829,-53.02180705,-9.674801742,-10.22438496,
79300000,-21.31196122,-52.78464476,-9.647357646,-10.20769367,
81280000,-21.3298341,-52.9523616,-9.646560496,-10.21147461,
83260000,-21.35564156,-52.9167289,-9.663479707,-10.23640197,
85240000,-21.37974015,-52.93248009,-9.68956608,-10.26123106,
87220000,-21.35239829,-52.88220415,-9.610076236,-10.19974484,
89200000,-21.34047244,-52.90381303,-9.555402787,-10.15996679,
91180000,-21.33422233,-52.87173493,-9.525993405,-10.14128667,
93160000,-21.34750649,-52.87239062,-9.521422929,-10.14224261,
95140000,-21.37867851,-52.95938494,-9.522908498,-10.16319734,
97120000,-21.41068033,-53.00579042,-9.551736234,-10.1963985,
99100000,-21.3695987,-53.0630226,-9.494478747,-10.12576953,
101080000,-21.35791572,-52.99661109,-9.422295235,-10.09209137,
103060000,-21.3556531,-53.02450363,-9.389600558,-10.07096358,
105040000,-21.36945426,-52.99411726,-9.380501301,-10.06850399,
107020000,-21.39545822,-53.00905899,-9.397418919,-10.08986966,
109000000,-21.43019506,-52.95467301,-9.433867937,-10.12806129,
110980000,-21.39373411,-52.90650173,-9.345343226,-10.06446876,
112960000,-21.37911549,-52.92421824,-9.287647163,-10.02121188,
114940000,-21.37176342,-52.83157303,-9.249285442,-9.997570551,
116920000,-21.38642997,-52.8694148,-9.234790362,-9.995443427,
