Frequency,S11_Magnitude,S12_Magnitude,S21_Magnitude,S22_Magnitude,
10000000,-18.08174002,-54.89958078,13.03877548,-19.25171507,
11980000,-19.70234087,-53.39758871,12.56195382,-21.49875693,
13960000,-21.39139894,-53.35496424,12.30700708,-23.28446172,
15940000,-23.15507161,-53.32687739,12.35295901,-24.65241327,
17920000,-24.42916045,-53.32047027,12.40129496,-25.89031347,
19900000,-25.03932107,-53.41000369,12.39208004,-27.02706062,
21880000,-25.49910518,-53.25931698,12.36782766,-28.09468488,
23860000,-26.1497102,-53.3976749,12.35381201,-29.02542302,
25840000,-24.84521006,-53.40985198,11.55230578,-29.89117302,
27820000,-25.21362293,-53.36198882,11.57935948,-30.48524519,
29800000,-25.45113878,-53.37355439,11.6383379,-31.00807434,
31780000,-25.72288374,-53.49085149,11.53902175,-31.4479452,
33760000,-25.92208877,-53.51873582,11.53122027,-31.81790189,
35740000,-26.0855406,-53.56603517,11.47343159,-32.1275654,
37720000,-26.2126776,-53.51613482,11.46380685,-32.16560585,
39700000,-26.29501201,-53.60808784,11.5064107,-31.92520617,
41680000,-26.39450161,-53.40884833,11.53443336,-31.62180491,
43660000,-26.5097666,-53.39148216,11.52519497,-31.52413805,
45640000,-26.61324692,-53.43675462,11.49741525,-31.29913736,
47620000,-26.65163858,-53.42100453,11.44943307,-31.36836927,
49600000,-26.80014196,-53.48361259,11.47098617,-31.16259721,
51580000,-26.36129591,-53.32332664,11.47222467,-31.11491144,
53560000,-26.14363756,-53.25897823,11.52318726,-30.99506641,
55540000,-25.95599643,-53.26821361,11.51917641,-30.90462811,
57520000,-25.7557864,-53.22964849,11.49284866,-30.84934706,
59500000,-25.62129491,-53.13838202,11.36265272,-30.88490037,
61480000,-25.55280365,-54.10448098,11.13818995,-31.06881432,
63460000,-25.37322985,-53.39844519,11.39864252,-30.94561419,
65440000,-25.26219171,-53.29611426,11.509138,-30.8678184,
67420000,-25.1814631,-53.17248461,11.55760385,-30.83746514,
69400000,-25.11865086,-53.11080969,11.54062291,-30.93018532,
71380000,-25.07701915,-53.25668164,11.47746173,-30.94862017,
73360000,-25.04070956,-53.30484296,11.46264573,-31.02047036,
75340000,-24.96064663,-53.15443953,11.50657911,-30.88266006,
77320000,-24.90652438,-53.29212965,11.57808801,-30.76450152,
79300000,-24.87026116,-53.29027831,11.59482053,-30.65879212,
81280000,-24.84989445,-53.2123245,11.56868853,-30.55687177,
83260000,-24.843348,-53.26996271,11.51617207,-30.54189653,
85240000,-24.84818043,-53.29746809,11.47432486,-30.48068616,
87220000,-24.79760836,-53.21435314,11.54826805,-30.01751952,
89200000,-24.76283907,-53.3469843,11.59180085,-29.80986941,
91180000,-24.74707908,-53.23131126,11.60427204,-29.4829907,
93160000,-24.74488141,-53.19067423,11.62616827,-29.26523631,
95140000,-24.76805744,-53.14409331,11.6099203,-29.03450211,
97120000,-24.79372715,-53.34293159,11.59927911,-28.85419626,
99100000,-25.06327746,-53.33805067,11.64994618,-28.40536734,
101080000,-24.74708744,-53.24692877,11.73162931,-28.03743954,
103060000,-24.73647469,-53.30404954,11.7242159,-27.77121463,
105040000,-24.73570372,-53.2561666,11.74806569,-27.41167657,
107020000,-24.75582625,-53.3785311,11.72172038,-27.1917559,
109000000,-24.77244195,-53.3751902,11.71389886,-26.94204809,
110980000,-24.74038202,-53.47460459,11.81189978,-26.57913798,
112960000,-24.71490107,-53.20512372,11.89406031,-26.25489791,
114940000,-24.72185701,-53.2817544,11.93135977,-25.99975776,
116920000,-24.73534222,-53.31379323,11.98319745,-25.8004487,
118900000,-24.76956476,-53.28247197,11.95842569,-25.62982884,
120880000,-24.82025527,-53.13623678,11.98287861,-25.48466982,
122860000,-24.83455779,-53.36821191,12.0828672,-25.15955334,
124840000,-24.86642854,-53.20501288,12.20420584,-24.8654535,
126820000,-24.9164153,-53.20977668,12.37118501,-24.63812242,
128800000,-25.01260685,-53.23255986,12.48514648,-24.42832,
130780000,-25.14885979,-53.32416937,12.60812302,-24.31249967,
132760000,-25.30129879,-53.34391577,12.73048512,-24.16388333,
134740000,-25.42404027,-53.1953894,12.96634738,-23.93939546,
136720000,-25.54748957,-53.38068706,13.15592938,-23.73852037,
138700000,-25.71205429,-53.66896722,13.39340966,-23.59483187,
140680000,-25.89022818,-52.98943564,13.54507214,-23.51594537,
142660000,-26.09653606,-53.27317638,13.66577555,-23.51373169,
144640000,-26.33341228,-53.08768249,13.72463564,-23.5415175,
146620000,-26.4813846,-53.18474147,13.78375594,-23.48966298,
148600000,-26.60162139,-52.98281796,13.85038788,-23.44884242,
150580000,-26.67696178,-53.02909689,13.79048318,-23.40093622,
152560000,-26.73228292,-53.08656848,13.69496847,-23.3655396,
154540000,-26.77319225,-53.20349143,13.52126664,-23.3285177,
156520000,-26.80040234,-53.07855898,13.3549805,-23.27672947,
158500000,-26.74655133,-53.19958738,13.26475119,-23.12228461,
160480000,-26.68063355,-52.91753373,13.17185067,-22.98496193,
162460000,-26.58278397,-52.99264107,13.09109821,-22.90752803,
164440000,-26.48117977,-52.98160432,12.95718728,-22.80971522,
166420000,-26.34424833,-52.97432937,12.83010037,-22.74379608,
168400000,-26.2124609,-52.98332279,12.7249881,-22.71630038,
170380000,-26.01166004,-53.11956331,12.64709932,-22.6186842,
172360000,-25.7952429,-53.09247458,12.65464029,-22.49296204,
174340000,-25.59406679,-53.27178095,12.60358702,-22.39126722,
176320000,-25.40654589,-53.1397346,12.53731161,-22.33567224,
178300000,-25.26202642,-53.0144349,12.47606862,-22.25853195,
180280000,-25.14477933,-53.25964042,12.39052832,-22.21305703,
182260000,-24.99594429,-53.15175801,12.36045052,-22.11683244,
184240000,-24.84174876,-53.21937224,12.36454723,-21.99562474,
186220000,-24.72014672,-53.24286339,12.37321281,-21.85516171,
188200000,-24.6187545,-53.31201417,12.34827328,-21.77344463,
190180000,-24.5117552,-53.26079365,12.32635855,-21.71984842,
192160000,-24.41157676,-53.22721322,12.22014741,-21.6660911,
194140000,-24.28051011,-53.33238292,12.24774072,-21.56695859,
196120000,-24.13445098,-53.18443168,12.24525679,-21.46507427,
198100000,-24.01747702,-53.22981535,12.28274291,-21.40491073,
200080000,-23.92628739,-53.10492965,12.25747087,-21.34431969,
202060000,-23.84813779,-53.12204799,12.19480908,-21.33068277,
204040000,-23.77545473,-53.22770862,12.16606019,-21.31845942,
206020000,-23.69029161,-53.14538553,12.1230562,-21.27221256,
208000000,-23.60546709,-53.12221338,12.18492774,-21.23591497,
209980000,-23.53910355,-53.15467666,12.17180933,-21.16324013,
211960000,-23.49687175,-53.14597565,12.17275038,-21.10226931,
213940000,-23.47474717,-53.24749167,12.15935741,-21.10081391,
215920000,-23.4688798,-53.34749822,12.06900466,-21.09628671,
217900000,-23.43509009,-53.15794035,12.06285712,-21.08072345,
219880000,-23.38595904,-53.0984741,12.13015378,-21.019258,
221860000,-23.3433206,-53.13814955,12.12343133,-20.98681361,
223840000,-23.32433078,-53.12360933,12.15249953,-20.96896466,
225820000,-23.32303221,-53.11936924,12.09668888,-21.01435381,
227800000,-23.32192776,-53.08841657,12.03428308,-21.02673033,
229780000,-23.29428086,-53.15954846,12.03546897,-21.04642458,
231760000,-23.23456748,-53.0605718,12.07910416,-21.04385064,
233740000,-23.175065,-53.0656465,12.09782659,-21.05748255,
235720000,-23.13916044,-53.13579481,12.07452869,-21.10233806,
237700000,-23.1076259,-53.16926683,12.04525772,-21.19974258,
239680000,-23.11046882,-53.13333262,12.02000684,-21.32142445,
241660000,-23.09947314,-53.21292255,11.98378161,-21.42180116,
243640000,-23.06865041,-53.03616734,12.0490846,-21.50982165,
245620000,-23.03986876,-52.96644693,12.03916362,-21.62426998,
247600000,-23.11080909,-53.17980059,12.06622866,-21.8365979,
249580000,-23.04011962,-53.08420615,12.01693229,-21.93373915,
251560000,-23.06496801,-53.06704205,11.97306316,-22.093017,
253540000,-23.08730368,-53.06178952,11.94111532,-22.22826536,
255520000,-23.06560368,-53.17006151,12.02871918,-22.31944226,
257500000,-23.04266379,-53.04949664,12.03140849,-22.38019724,
259480000,-23.02859012,-53.05252841,12.06131508,-22.45262123,
261460000,-23.02895236,-53.02787655,12.03654667,-22.51354207,
263440000,-23.0326929,-53.01366402,11.9674805,-22.57372795,
265420000,-23.02198048,-53.01059495,11.96982167,-22.6173901,
267400000,-22.97000963,-52.9603033,12.01934529,-22.62691983,
269380000,-22.93120897,-52.93193473,12.05334789,-22.62768021,
271360000,-22.91285819,-52.86657563,12.02744973,-22.69422753,
273340000,-22.91220174,-53.10715696,12.02814139,-22.74844761,
275320000,-22.91918828,-53.03532066,11.95104851,-22.81705224,
277300000,-22.91556932,-53.17872295,11.93559895,-22.87985765,
279280000,-22.84493523,-53.06379519,11.98869397,-22.88540245,
281260000,-22.77053681,-53.00508901,12.02804161,-22.91703344,
283240000,-22.70495327,-52.85335261,12.02180352,-23.00980232,
285220000,-22.6427001,-52.90738463,12.04563454,-23.065756,
287200000,-22.58870541,-52.83981852,11.99611247,-23.14115462,
289180000,-22.54500187,-52.77875887,11.94617557,-23.21444448,
291160000,-22.44560789,-52.93160882,12.01956402,-23.27627561,
293140000,-22.36774375,-52.62959747,12.02334144,-23.28301119,
295120000,-22.32246302,-52.74102756,12.0412112,-23.32259371,
297100000,-22.3060233,-52.86916392,12.04642688,-23.37798841,
299080000,-22.31210624,-52.82527557,12.0250289,-23.44463171,
301060000,-22.34379499,-52.86362336,11.93990033,-23.50192745,
303040000,-22.31537444,-52.85584348,12.01685309,-23.51429805,
305020000,-22.3045165,-52.78286937,12.05803529,-23.54076532,
307000000,-22.32133132,-52.79988584,12.08158525,-23.55195147,
308980000,-22.35222887,-52.83380977,12.04561231,-23.5616573,
310960000,-22.40824751,-52.82917635,12.05370591,-23.54867758,
312940000,-22.48188112,-52.81918246,11.97026065,-23.56579181,
314920000,-22.48811384,-52.72659075,12.03188934,-23.50961003,
316900000,-22.52366838,-52.73288673,12.07438418,-23.4758985,
318880000,-22.58620107,-52.84766534,12.09466863,-23.4176717,
320860000,-22.67101814,-52.72698264,12.07645477,-23.41392184,
322840000,-22.77316103,-52.79575479,12.07503891,-23.36718412,
324820000,-22.90308573,-52.71885874,12.01225566,-23.34188745,
326800000,-22.97041038,-52.5701955,12.07925182,-23.30818809,
328780000,-23.0474508,-52.64308692,12.0816709,-23.23937024,
330760000,-23.13456003,-52.78723155,12.13638911,-23.19395989,
332740000,-23.2349455,-52.73365219,12.11971697,-23.17470718,
334720000,-23.35174356,-52.69668748,12.05634037,-23.15010571,
336700000,-23.48757478,-52.72579599,12.02628856,-23.1857437,
338680000,-23.58754364,-52.78050435,12.08730285,-23.11710236,
340660000,-23.69263583,-52.63009181,12.10106222,-23.08873885,
342640000,-23.81459247,-52.63927561,12.14699745,-23.07481789,
