Frequency,S11_Magnitude,S21_Magnitude,S22_Magnitude,
10000000,-5.083768395,37.9944054,-4.568853148,
11980000,-15.68269207,37.18194443,-19.69926877,
13960000,-15.17394086,37.15699618,-22.08801629,
15940000,-15.07190054,37.19468376,-24.36266145,
17920000,-14.70266645,37.18736927,-21.91277154,
19900000,-18.12038053,37.09582672,-17.02049943,
21880000,-15.16640549,37.18217542,-22.93830696,
23860000,-15.35220398,37.16628235,-19.93662549,
25840000,-15.89145993,37.16765653,-20.547795,
27820000,-15.36894888,37.17639766,-22.49355588,
29800000,-15.26277247,37.27634078,-21.45153187,
31780000,-16.08544893,37.14994729,-20.94387618,
33760000,-16.95232142,37.15396015,-19.60653363,
35740000,-16.53615877,37.12556385,-20.91240121,
37720000,-15.43712494,37.13510575,-21.75849238,
39700000,-16.67634499,37.1150869,-19.75258856,
41680000,-16.28108467,37.11951004,-19.47239403,
43660000,-17.02309575,37.09640496,-18.93069891,
45640000,-16.18355703,37.07916284,-19.66177124,
47620000,-16.60216145,37.12006676,-19.46044463,
49600000,-14.89852531,37.17746158,-22.29494346,
51580000,-16.51510692,37.11043288,-19.65764987,
53560000,-15.14263369,37.10375301,-22.53719718,
55540000,-18.31582353,37.081101,-17.49647302,
57520000,-16.33507073,37.06160081,-19.2160355,
59500000,-15.9532984,37.10745572,-20.64929291,
61480000,-17.01686058,37.1397817,-19.72999036,
63460000,-16.08692442,37.09134726,-20.57342735,
65440000,-15.91233531,37.10066227,-20.40664391,
67420000,-16.2950571,37.11424185,-19.87716877,
69400000,-15.70704157,37.11590697,-21.13502529,
71380000,-16.0706599,37.11187457,-19.68032382,
73360000,-16.20952601,37.12428425,-19.69975025,
75340000,-16.28842197,37.12311759,-19.86436618,
77320000,-16.0208032,37.12665521,-19.69319462,
79300000,-15.85415074,37.11284689,-19.00615118,
81280000,-16.02728128,37.13874013,-19.48627256,
83260000,-15.89808574,37.151809,-19.39153596,
85240000,-16.73552915,37.15637008,-18.37404863,
87220000,-15.97961285,37.14933143,-19.1933234,
89200000,-16.79442745,37.1385353,-18.5302043,
91180000,-16.45228901,37.16628014,-18.71327896,
93160000,-16.01094012,37.15841955,-19.65964625,
95140000,-15.98851762,37.15420955,-19.83624042,
97120000,-15.96124012,37.14790069,-19.13339802,
99100000,-15.9468062,37.15757958,-19.98363089,
101080000,-16.67989538,37.16518565,-17.97714281,
103060000,-16.57863456,37.16815184,-17.96022017,
105040000,-15.82832182,37.15971267,-20.80625522,
107020000,-16.20495735,37.14956655,-18.56243384,
109000000,-16.26367941,37.19072507,-17.72794094,
110980000,-15.9337118,37.15484124,-18.28823107,
112960000,-15.70728031,37.16462462,-19.4815448,
114940000,-15.77922004,37.19693044,-19.97235163,
116920000,-16.3657994,37.20717702,-17.94772856,
118900000,-15.55619701,37.19713802,-19.12706149,
120880000,-15.69114362,37.21062664,-18.87950148,
122860000,-15.8566039,37.18881488,-20.11367645,
124840000,-16.14807941,37.22665694,-18.03108439,
126820000,-16.75333122,37.23263548,-16.92581242,
128800000,-15.7203653,37.21603303,-19.38253489,
130780000,-15.88181021,37.24365468,-17.92898952,
132760000,-16.09127606,37.25451931,-17.9757637,
134740000,-16.28260905,37.23864919,-17.89607274,
136720000,-16.25027051,37.2629539,-17.75761909,
138700000,-15.93943794,37.25616576,-18.14153967,
140680000,-16.00212927,37.27433831,-17.7287219,
142660000,-15.9592946,37.26950682,-18.32517832,
144640000,-16.59247786,37.29738838,-16.44769156,
146620000,-15.99706567,37.29538227,-17.81664276,
148600000,-15.89461052,37.25024718,-18.18276963,
150580000,-16.16889153,37.29023,-17.98332685,
152560000,-16.08557863,37.28214611,-17.497025,
154540000,-15.68305888,37.29574051,-18.85910656,
156520000,-16.20588021,37.30307782,-18.01135166,
158500000,-15.95136392,37.27279871,-18.60349922,
160480000,-16.02320522,37.29331851,-17.80702831,
162460000,-16.48935962,37.29476374,-17.4288161,
164440000,-15.81935696,37.31182549,-18.45409513,
166420000,-16.16874891,37.317134,-17.97639738,
168400000,-15.50690434,37.3004864,-18.55280929,
170380000,-16.03197692,37.30264669,-18.28696183,
172360000,-15.9507773,37.28020618,-18.46477304,
174340000,-16.62188821,37.28718018,-16.80423559,
176320000,-16.76184529,37.29723607,-17.01389821,
178300000,-16.23170219,37.2956766,-17.65000897,
180280000,-15.97791785,37.30198381,-18.01752279,
182260000,-16.27446777,37.33410065,-17.35341648,
184240000,-16.11219925,37.32632307,-17.68339428,
186220000,-16.23906391,37.30792501,-17.45768345,
188200000,-15.43527452,37.33736548,-19.52863452,
190180000,-16.05120666,37.34376709,-17.79808369,
192160000,-15.90173309,37.33402698,-17.78880052,
194140000,-16.10965228,37.31723376,-17.27085388,
196120000,-15.76909993,37.34179107,-17.4710668,
198100000,-15.86518797,37.34620541,-18.32853771,
200080000,-16.03833032,37.3325146,-17.70015827,
202060000,-15.87665422,37.35009718,-17.64231075,
204040000,-15.79833415,37.33637993,-17.97774076,
206020000,-15.97812201,37.35274386,-17.4599083,
208000000,-16.69338993,37.36107402,-17.00894191,
209980000,-15.07101982,37.36994785,-18.71702818,
211960000,-15.89568519,37.37233735,-16.94363852,
213940000,-17.34409129,37.34374881,-15.72302534,
215920000,-15.52212626,37.37708797,-17.48606701,
217900000,-15.19403408,37.36985601,-18.65835825,
219880000,-16.56172669,37.35884978,-16.97803627,
221860000,-15.95128742,37.38468315,-17.37632108,
223840000,-15.03471113,37.39878612,-18.74220593,
225820000,-15.69861847,37.39141048,-18.22119152,
227800000,-15.87958976,37.38660837,-16.61292992,
229780000,-16.13421497,37.40280151,-17.5315586,
231760000,-15.08860793,37.41883899,-18.94568768,
233740000,-15.52082467,37.42241762,-18.39425622,
235720000,-15.11075799,37.44415443,-18.03104945,
237700000,-15.0400353,37.43066752,-18.82353262,
239680000,-16.47513164,37.44998439,-17.42705233,
241660000,-15.68082603,37.456714,-18.19880814,
243640000,-15.82049726,37.43783817,-16.73108029,
245620000,-14.92552033,37.45900112,-18.03920438,
247600000,-15.87592793,37.46140454,-17.39501769,
249580000,-15.8952681,37.47969366,-18.23465104,
251560000,-15.441777,37.46193759,-18.08214494,
253540000,-15.20866184,37.47039006,-17.77078384,
255520000,-14.69056791,37.48440584,-17.90115435,
257500000,-15.6809703,37.4945279,-17.86280887,
259480000,-15.59387092,37.45316415,-16.90031267,
261460000,-15.08320836,37.47959566,-18.23681716,
263440000,-15.34568863,37.47782335,-17.11924693,
265420000,-15.40283776,37.52501018,-18.32122034,
267400000,-16.82052537,37.47998753,-15.55248585,
269380000,-15.76068175,37.49657873,-16.89824919,
271360000,-16.06752308,37.5128082,-17.16820697,
273340000,-15.72336168,37.49839235,-16.80053398,
275320000,-14.65198206,37.51062834,-17.40293754,
277300000,-15.74190994,37.53088519,-17.73565448,
279280000,-16.25945071,37.56761291,-17.60871373,
281260000,-16.80744205,37.49790534,-15.62925355,
283240000,-15.35714058,37.51310381,-16.96844689,
285220000,-16.04709622,37.53299596,-16.59064566,
287200000,-16.20750282,37.54476434,-16.94846148,
289180000,-14.48989146,37.52364428,-17.62636027,
291160000,-15.86932704,37.55383009,-18.11285474,
293140000,-14.96985825,37.54179872,-17.5302443,
295120000,-16.76526937,37.52043917,-15.59242962,
297100000,-15.60861012,37.53551968,-15.58234038,
299080000,-14.57718066,37.54601036,-17.8133837,
301060000,-16.70810238,37.5680554,-16.74456814,
303040000,-16.36473217,37.54539366,-15.45396435,
305020000,-15.90034591,37.54690988,-16.30096848,
307000000,-16.42035791,37.58474766,-16.58177822,
308980000,-15.8045918,37.61608283,-18.00001603,
310960000,-14.81098734,37.62063588,-18.71434775,
312940000,-15.37104251,37.6062231,-16.58854492,
314920000,-15.1067751,37.59514396,-16.05038684,
316900000,-15.02448165,37.61811806,-16.33568126,
318880000,-16.15800488,37.64958379,-17.80372237,
320860000,-15.67117605,37.61353389,-15.49688053,
322840000,-15.40847376,37.62274722,-16.07512108,
324820000,-16.18425371,37.67444291,-16.89731245,
326800000,-16.28821244,37.67565086,-17.6324865,
328780000,-15.91034827,37.64789486,-15.08277679,
330760000,-15.26840214,37.68813356,-17.34492791,
332740000,-14.4493548,37.64910656,-16.99343611,
334720000,-15.69004084,37.68695909,-16.8442817,
336700000,-14.63613923,37.64144367,-16.23964682,
338680000,-15.37607413,37.70117919,-16.24351102,
340660000,-17.68352435,37.7301835,-16.18466488,
342640000,-15.51413618,37.72735214,-16.8356499,
344620000,-16.38839995,37.72574911,-16.14458759,
346600000,-15.27325542,37.75224725,-16.74998441,
348580000,-16.58607725,37.73725749,-17.16245944,
350560000,-15.68092305,37.74438893,-16.14195417,
352540000,-15.31945286,37.72931973,-17.83247073,
354520000,-15.31575034,37.73518145,-17.62453771,
356500000,-15.53180456,37.81520373,-15.57915673,
358480000,-15.60683428,37.7599238,-16.34305851,
360460000,-16.23523673,37.78318653,-14.92368973,
362440000,-15.91778599,37.78220318,-15.24118624,
364420000,-15.78944499,37.77146326,-15.38732323,
366400000,-16.53380878,37.80231767,-16.66556386,
368380000,-16.38442929,37.82716679,-15.76344284,
370360000,-16.46806086,37.81420213,-16.60694369,
372340000,-16.42624652,37.81644569,-16.52434813,
374320000,-16.71920821,37.82475284,-15.9551938,
376300000,-16.02785975,37.81683033,-15.71317668,
378280000,-15.68587356,37.8217607,-15.26131977,
380260000,-16.18808587,37.79953081,-14.98236101,
382240000,-16.29653463,37.82338688,-15.29262925,
384220000,-16.19033159,37.77882282,-15.54870717,
386200000,-16.00532962,37.79479942,-16.51049824,
388180000,-17.02814265,37.84218982,-15.40455374,
390160000,-16.63271015,37.7916956,-16.1097505,
392140000,-16.68666359,37.79122614,-16.03056215,
394120000,-15.64676459,37.82956471,-17.12660608,
396100000,-16.27390964,37.81420492,-15.81898339,
398080000,-15.98361499,37.82592768,-15.84690321,
400060000,-16.79577205,37.81324192,-15.3549133,
402040000,-15.82652372,37.81362539,-15.85898343,
404020000,-16.65709835,37.79376186,-15.81818538,
406000000,-16.50169529,37.83468407,-15.23950595,
407980000,-15.53419068,37.81490505,-15.98469592,
409960000,-16.04367419,37.79904847,-15.99257414,
411940000,-16.69623086,37.79603355,-14.99959572,
