Frequency,S11_Magnitude,S21_Magnitude,S22_Magnitude,
0,-1.394962577,2.042297694,0.4296550189,
12000000,-0.01006848361,-55.69005115,-0.04914893312,
24000000,-0.005324515005,-47.19779152,-0.03416649715,
36000000,0.002054240955,-47.7990467,-0.02911697817,
48000000,-0.1741176631,-33.91433057,-0.2534616967,
60000000,-0.09740656036,-34.24959657,-0.07462728723,
72000000,0.02452348326,-68.43959025,-0.01855901891,
84000000,0.001745660455,-63.92054588,-0.0313266164,
96000000,0.007603235737,-58.1456701,-0.04595238147,
108000000,0.0006616446387,-58.62452001,-0.04046395439,
120000000,0.007352100035,-72.39174329,-0.06294095227,
132000000,0.03533349997,-55.38263399,-0.04681879875,
144000000,0.02748015902,-55.12041554,-0.07778419247,
156000000,0.04569812574,-49.9820192,-0.09501611431,
168000000,-0.008616017118,-50.17525199,-0.1246367989,
180000000,0.01286253224,-44.99821943,-0.1227625315,
192000000,-0.001231224775,-59.64007803,-0.1464578475,
204000000,0.02843504566,-53.16360366,-0.1655328168,
216000000,0.01114070198,-28.64429859,-0.409555639,
228000000,0.04109367631,-58.8686946,-0.1839456253,
240000000,0.02088825788,-45.94580523,-0.1976024669,
252000000,0.02956421703,-45.26207773,-0.2189459264,
264000000,0.02629799108,-41.50798233,-0.265101388,
276000000,0.01320411521,-42.27633557,-0.2877261353,
288000000,0.01937269121,-38.27771053,-0.3140877722,
300000000,0.03780783899,-45.45174858,-0.3347275761,
312000000,0.02875499499,-41.61339073,-0.3955505402,
324000000,-0.1046207749,-43.16648763,-0.5300400087,
336000000,0.05105716427,-43.36830909,-0.486707758,
348000000,0.02524603518,-46.2166248,-0.5070476663,
360000000,0.01208057117,-36.79450002,-0.6003907103,
372000000,0.006456341209,-25.62615684,-0.7166067567,
384000000,-0.01325389273,-38.67316439,-0.804828493,
396000000,-0.0237826244,-36.69735254,-0.9067141496,
408000000,-0.03558638444,-34.95558321,-1.008867617,
420000000,-0.005009162518,-32.79484975,-1.097646885,
432000000,-0.01220320491,-32.47535397,-1.161378696,
444000000,-0.006625022803,-29.74433044,-1.2278746,
456000000,-0.02768177437,-28.44844005,-1.300045106,
468000000,0.00295183943,-27.10355796,-1.355398822,
480000000,0.003098761621,-26.01257344,-1.458890405,
492000000,0.01671163316,-22.9655245,-1.522769832,
504000000,0.2793516349,-22.48983753,-1.504178481,
516000000,0.05421622361,-21.60558272,-1.694133855,
528000000,0.04925816136,-19.26644797,-1.793169951,
540000000,0.008866131998,-18.16097263,-1.929306454,
552000000,0.05810250046,-17.12344938,-1.965620832,
564000000,0.1964338015,-15.2810056,-1.919039206,
576000000,0.05323804836,-13.80472639,-2.25511434,
588000000,0.07423784196,-12.3609088,-2.326520398,
600000000,0.08260821064,-10.84010262,-2.419380624,
612000000,0.06993411357,-9.340822265,-2.600648106,
624000000,0.0754271072,-7.760667462,-2.737454815,
636000000,0.04047179967,-6.37474381,-2.907573061,
648000000,0.2437838777,-4.886569802,-2.822332414,
660000000,0.009075738278,-3.672591312,-3.215628967,
672000000,0.004649606382,-2.413332194,-3.393577795,
684000000,0.006188837334,-1.114190407,-3.624375875,
696000000,0.007149796614,0.1583231631,-3.871128504,
708000000,-0.01177451993,1.452035161,-3.994914332,
720000000,0.0258873796,2.594827239,-4.295702297,
732000000,-0.01063814147,3.768110671,-4.522263158,
744000000,-0.02679447379,4.9871729,-4.637954529,
756000000,-0.02018893407,6.12028028,-4.760817393,
768000000,-0.01221607374,7.291155825,-5.051116654,
780000000,0.006420364094,8.519119035,-5.279616311,
792000000,0.01398405941,9.93208018,-5.372137977,
804000000,0.004552201364,11.33130358,-5.566391768,
816000000,0.05724554145,12.76500201,-5.816568946,
828000000,0.0341618546,14.19855962,-6.042873472,
840000000,0.06417494993,15.68626442,-6.268459483,
852000000,0.0612018011,17.13718497,-6.462835297,
864000000,-0.133963709,18.55497074,-6.427107835,
876000000,-0.01505357666,19.68769245,-6.865203802,
888000000,0.03316117268,20.63845904,-6.858232425,
900000000,-0.002270348983,21.21946019,-7.379439996,
912000000,-0.06397203749,21.31078987,-7.692789336,
924000000,-0.08168505803,21.08193271,-7.92274117,
936000000,-0.09204887055,20.62188897,-8.281226695,
948000000,-0.06597787375,20.03044201,-8.578983046,
960000000,-0.01764680958,19.37941417,-8.706170026,
972000000,-0.07898819209,18.65560928,-9.131337232,
984000000,-0.09837888604,18.00341687,-9.362728394,
996000000,-0.04651123849,17.56275688,-9.720884632,
1008000000,-0.07533895969,17.10394542,-9.975459106,
1020000000,-0.03370374535,16.54001852,-10.0323658,
1032000000,-0.02663101017,15.99701765,-9.93147476,
1044000000,-0.01047237902,15.52515356,-9.656414473,
1056000000,0.01656021501,15.1894644,-9.391893911,
1068000000,-0.009805883186,14.87912149,-9.179565393,
1080000000,-0.005325580837,14.65137413,-9.186093396,
1092000000,-0.0481184172,14.49527978,-9.262958009,
1104000000,-0.07594990571,14.50734227,-9.403753319,
1116000000,-0.1212875816,14.48541456,-9.632305145,
1128000000,-0.1521137105,14.38008943,-9.966612035,
1140000000,-0.2088930182,14.21625705,-10.37992084,
1152000000,-0.2420601564,14.06855107,-10.74440737,
1164000000,-0.3004605077,13.86190377,-11.18047261,
1176000000,-0.3211610932,13.61060114,-11.47328167,
1188000000,-0.325102619,13.30564164,-11.30135192,
1200000000,-0.3172848053,13.06016693,-10.99026787,
1212000000,-0.3129575639,12.98324416,-10.38476991,
1224000000,-0.2916232621,12.76437435,-9.842800078,
1236000000,-0.2414471924,12.53712544,-9.365810816,
1248000000,-0.2310055317,12.40903851,-8.994244199,
1260000000,-0.2389641615,12.3450193,-8.776221809,
1272000000,-0.2526516797,12.35282367,-8.724544848,
1284000000,-0.2741269565,12.39675233,-8.921676914,
1296000000,-0.2720072148,12.48669018,-9.135476903,
1308000000,-0.3322114634,12.65283433,-9.569749384,
1320000000,-0.389455625,12.79191884,-10.05123879,
1332000000,-0.4664532361,12.91316604,-10.89209231,
1344000000,-0.5284566342,13.10598177,-12.13353041,
1356000000,-0.5929127427,13.26349884,-13.62376274,
1368000000,-0.6414831931,13.38581048,-15.55647355,
1380000000,-0.6808064197,13.5224478,-17.01151573,
1392000000,-0.7197180837,13.58266659,-16.79822899,
1404000000,-0.7372589764,13.57547186,-15.30035348,
1416000000,-0.7198737056,13.5778534,-13.54263977,
1428000000,-0.6795919043,13.7506972,-12.11787343,
1440000000,-0.6157895815,14.02478521,-10.91081839,
1452000000,-0.5035260599,14.29083737,-10.0597885,
1464000000,-0.3646565675,14.62858821,-9.418012136,
1476000000,-0.1967062355,15.01621839,-9.049743217,
1488000000,-0.06852359655,15.38870817,-8.879129087,
1500000000,0.01300830925,15.71437883,-8.865114112,
1512000000,0.1223801679,15.98972553,-9.060405275,
1524000000,0.1157306369,16.26241252,-9.429899395,
1536000000,0.1005752721,16.58013475,-9.922853539,
1548000000,0.01645942819,16.7895009,-10.70659169,
1560000000,-0.09691907387,16.95768988,-11.67505161,
1572000000,-0.2423602338,17.13862068,-13.33885753,
1584000000,-0.350759941,17.20707378,-15.37710448,
1596000000,-0.5093017473,17.1439786,-17.94086848,
1608000000,-0.6328126215,17.00186834,-20.82724012,
1620000000,-0.7735482889,16.88969359,-21.74825415,
1632000000,-0.878987122,16.91848564,-19.41174428,
1644000000,-0.916026848,17.01871723,-16.71852513,
1656000000,-0.953843795,17.11738239,-14.74007457,
1668000000,-0.9399461637,17.3880917,-13.06324785,
1680000000,-0.8861923391,17.6568034,-11.91725283,
