Frequency,S11_Magnitude,S21_Magnitude,S22_Magnitude,
2000000000,0.1442174563,23.99664234,-15.90096344,
2004000000,0.1645986553,24.14268985,-15.46065481,
2008000000,0.2999166261,24.27063889,-15.71705678,
2012000000,0.3314867445,24.40650599,-15.78983684,
2016000000,0.3989313294,24.55527169,-15.43127247,
2020000000,0.4401335124,24.69264702,-15.29083326,
2024000000,0.5166632731,24.83574683,-15.18795785,
2028000000,0.5729750508,25.00629485,-15.03467671,
2032000000,0.7119134391,25.17530519,-15.17942181,
2036000000,0.7122089962,25.37282951,-14.55656741,
2040000000,0.779944453,25.56236666,-14.44355846,
2044000000,0.8542026394,25.79417481,-14.29611881,
2048000000,0.9326447729,26.00773752,-14.22249334,
2052000000,1.002320907,26.23205038,-13.72569449,
2056000000,0.9934842444,26.42569855,-13.47932417,
2060000000,1.186850113,26.67851463,-14.32796891,
2064000000,1.102730213,26.86736251,-13.04666466,
2068000000,1.165783595,27.09081354,-12.91407385,
2072000000,1.189296409,27.28706043,-12.65947437,
2076000000,1.234407947,27.48988695,-12.45590517,
2080000000,1.175722367,27.6675445,-12.62747708,
2084000000,1.209032146,27.81249608,-11.99361072,
2088000000,1.224805177,27.95090625,-11.86218664,
2092000000,1.236494375,28.0652864,-11.73646845,
2096000000,1.094184651,28.15355181,-11.52755676,
2100000000,1.073546811,28.21788635,-11.41395151,
2104000000,1.051047392,28.25959243,-11.24493608,
2108000000,0.9364712543,28.26259079,-11.16897842,
2112000000,0.9309738747,28.26812954,-11.25436975,
2116000000,0.8053204767,28.23944498,-11.21649457,
2120000000,0.7014663511,28.19583409,-11.13251382,
2124000000,0.6098165855,28.13760428,-11.22555694,
2128000000,0.5477883425,28.09533359,-11.32476212,
2132000000,0.4047430052,28.05088746,-11.51831912,
2136000000,0.3588155042,28.01040722,-11.46179225,
2140000000,0.2084389061,27.96431076,-11.64171886,
2144000000,0.1756982421,27.91201082,-11.73145725,
2148000000,0.1156202435,27.85080235,-11.89936576,
2152000000,0.01362327915,27.77874507,-12.16987238,
2156000000,-0.1139824361,27.68617636,-12.27805732,
2160000000,-0.1076173693,27.57651256,-12.64516698,
2164000000,-0.2114051776,27.50095615,-13.36312827,
2168000000,-0.2727079082,27.3839797,-13.35192869,
2172000000,-0.3690590627,27.32565132,-13.91826126,
2176000000,-0.3728734035,27.28563779,-14.74073989,
2180000000,-0.4331801944,27.22974245,-14.78469582,
2184000000,-0.5104072302,27.13570385,-14.72896786,
2188000000,-0.4978014101,27.12856534,-15.8878716,
2192000000,-0.5549169498,27.11454915,-15.98990479,
2196000000,-0.5487965723,26.98722325,-17.6496217,
2200000000,-0.4866459301,26.87735254,-18.40989472,
2204000000,-0.529643116,26.75367122,-19.32416544,
2208000000,-0.5336120991,26.6451987,-20.72718998,
2212000000,-0.5142613977,26.51538592,-22.26641246,
2216000000,-0.527515446,26.39037742,-23.40538406,
2220000000,-0.5427944223,26.25164693,-25.74380053,
2224000000,-0.5514367505,26.16452509,-27.86332349,
2228000000,-0.526231943,26.05123038,-33.49947096,
2232000000,-0.4693611323,25.97702796,-34.35440797,
2236000000,-0.4905485204,25.91828999,-30.79892669,
2240000000,-0.4582847233,25.88644508,-27.22463258,
2244000000,-0.5006797724,25.85342105,-25.00172452,
2248000000,-0.4349651523,25.78862954,-23.00835237,
2252000000,-0.4407393328,25.72806431,-21.1666645,
2256000000,-0.4193577951,25.66977174,-19.68374304,
2260000000,-0.3718708342,25.63219049,-18.37822248,
2264000000,-0.3647332505,25.6187928,-17.11885361,
2268000000,-0.4241755381,25.60784196,-17.73546401,
2272000000,-0.3810260167,25.62752051,-15.19597297,
2276000000,-0.3302621033,25.65695339,-14.50015204,
2280000000,-0.2848255342,25.70279087,-13.87225315,
2284000000,-0.2682465318,25.74772322,-12.95132335,
2288000000,-0.2518434144,25.82472819,-12.56033081,
2292000000,-0.2353886721,25.86115969,-12.02073285,
2296000000,-0.2135331071,25.91327748,-11.84857297,
2300000000,-0.2394976236,25.94967634,-11.60791487,
2304000000,-0.1614571007,26.0186222,-11.22448732,
2308000000,-0.149768152,26.06175168,-10.99757543,
2312000000,-0.1309079224,26.13053155,-10.79650134,
2316000000,-0.05738566449,26.19100906,-10.33418453,
2320000000,-0.04926949572,26.26903752,-10.13039788,
2324000000,-0.05674104181,26.37198778,-10.00258655,
2328000000,-0.02907810132,26.54425703,-9.899692034,
2332000000,0.02674924114,26.72514698,-9.64930509,
2336000000,0.03032776872,26.90767753,-9.460324443,
2340000000,0.05828743937,27.0855042,-9.321341216,
2344000000,0.05519887752,27.25319759,-9.107013171,
2348000000,0.1060149263,27.41906834,-9.0700822,
2352000000,0.07516527578,27.57688758,-9.005548126,
2356000000,0.09735168474,27.72768344,-8.897473407,
2360000000,0.1587803579,27.89965342,-9.095161896,
2364000000,0.1507840558,28.08159436,-8.954385389,
2368000000,0.2059304829,28.30224464,-9.03086704,
2372000000,0.144716985,28.53137194,-9.209006221,
2376000000,0.1998533831,28.78417826,-9.057772223,
2380000000,0.1634042617,29.03660973,-9.16843918,
2384000000,0.1351753323,29.31506171,-9.385705561,
2388000000,0.2237188796,29.568405,-9.390262665,
2392000000,0.2163088235,29.80201627,-8.763462773,
2396000000,0.111400575,30.03591853,-9.451951461,
2400000000,-0.006857509306,30.17394212,-9.660981596,
2404000000,-0.07244141585,30.2762314,-9.54126484,
2408000000,0.003376968146,30.38849753,-10.26180492,
2412000000,-0.214021291,30.45627565,-10.36285488,
2416000000,-0.3139850076,30.51864885,-10.35019655,
2420000000,-0.2821005663,30.55002243,-10.69565609,
2424000000,-0.4228968184,30.5478378,-11.29387675,
2428000000,-0.588613299,30.53213684,-11.27532452,
2432000000,-0.6479765017,30.49133423,-11.82707841,
2436000000,-0.8330257112,30.4339961,-12.14029928,
2440000000,-0.9195806448,30.36214349,-12.84361225,
