Frequency,S11_Magnitude,S12_Magnitude,S21_Magnitude,S22_Magnitude,
9999999,-17.65723077,-44.97147187,13.08082804,-17.91763476,
13979999,-20.69391794,-47.05531268,12.3290579,-21.41811349,
17959999,-22.43962418,-46.94960744,12.44955892,-23.38030945,
21939999,-23.10551353,-46.98109334,12.41584047,-24.80389734,
25919999,-24.0199242,-47.03030923,11.594383,-25.87027354,
29899999,-23.81283435,-47.02682293,11.59132147,-26.56008063,
33879999,-23.78917783,-47.1228974,11.57121994,-27.16046483,
37859999,-23.8480488,-47.20398381,11.49459415,-27.6629709,
41839999,-23.88619483,-47.10367687,11.52846261,-27.99848701,
45819999,-23.99719736,-47.09899861,11.51947678,-28.40810743,
49799999,-24.02736343,-47.16229018,11.42659786,-28.86782118,
53779999,-23.9926999,-47.07942114,11.50221293,-29.25169642,
57759999,-24.08227295,-47.07404498,11.45993978,-29.69682141,
61739999,-24.21622473,-47.33375548,11.13724158,-30.23623302,
65719999,-24.21303212,-47.05707279,11.52096082,-30.74751309,
69699999,-24.34237418,-47.13682659,11.51239742,-31.34287521,
73679999,-24.51116402,-47.26000401,11.48040984,-31.96685911,
77659999,-24.60319621,-47.10775615,11.5688958,-32.62945547,
81639999,-24.7698479,-47.15553708,11.57663572,-33.40967449,
85619999,-24.98533599,-47.17206005,11.50174296,-34.19789348,
89599999,-25.10067483,-47.1441193,11.58857285,-35.09164873,
93579999,-25.30439929,-47.16288842,11.59758651,-35.89740556,
97559999,-25.56463057,-47.18916342,11.58928701,-36.61622889,
101539999,-25.71786004,-47.22429341,11.74123694,-37.40439681,
105519999,-25.93602097,-47.21938838,11.77130388,-37.83818387,
109499999,-26.193127,-47.21140801,11.74421643,-37.76695049,
113479999,-26.34274474,-47.15705856,11.92033169,-37.78991013,
117459999,-26.48423641,-47.1739566,11.97230539,-37.20283083,
121439999,-26.56321064,-47.23637163,12.04793929,-36.37476257,
125419999,-26.54577034,-47.1346983,12.29437633,-35.69791328,
129399999,-26.6595245,-47.16405407,12.57435233,-34.81779067,
133379999,-27.02091564,-47.24535446,12.80538007,-34.0170486,
137359999,-27.51803285,-47.06013873,13.22609128,-33.34210298,
141339999,-28.26609253,-47.13881249,13.61581171,-32.68024636,
145319999,-29.2151849,-47.11427754,13.74018317,-32.04531617,
149299999,-30.08760365,-47.09803061,13.82405315,-31.6017729,
153279999,-30.71592725,-47.03118649,13.60316318,-31.04701839,
157259999,-30.79018343,-47.07085016,13.29918668,-30.52045499,
161239999,-30.33497303,-47.07241499,13.13047824,-30.03381541,
165219999,-29.77362279,-46.98430605,12.90997504,-29.58002077,
169199999,-29.24623993,-47.08164572,12.66095719,-29.15292804,
173179999,-28.65807678,-47.04325518,12.5932345,-28.76993045,
177159999,-28.15171661,-47.12688605,12.49513389,-28.43962646,
181139999,-27.72735162,-47.15955912,12.32455356,-28.13690703,
185119999,-27.21628945,-47.18965965,12.37492944,-27.85942424,
189099999,-26.83001751,-47.13261755,12.32030032,-27.61512689,
193079999,-26.47162614,-47.15097291,12.21575088,-27.40540413,
197059999,-26.04173962,-47.12919663,12.24604494,-27.20571481,
201039999,-25.71741523,-47.06241955,12.21637326,-27.05717623,
205019999,-25.47198835,-47.08095886,12.12074254,-26.93144595,
208999999,-25.15028641,-47.04085396,12.18367844,-26.82197308,
212979999,-24.90901915,-47.04549781,12.16553072,-26.73829325,
216959999,-24.75295938,-47.14338905,12.08543963,-26.72057797,
220939999,-24.51258105,-47.03508023,12.18227208,-26.68258235,
224919999,-24.34311768,-47.05640407,12.1467617,-26.67576082,
228899999,-24.25202383,-47.04519114,12.05314454,-26.74191005,
232879999,-24.06520485,-46.95602881,12.13459929,-26.79736753,
236859999,-23.96469284,-47.01964794,12.14784496,-26.87243455,
240839999,-23.9380229,-47.09436348,12.05829233,-26.99875204,
244819999,-23.81811596,-47.00844062,12.12500447,-27.10652159,
248799999,-23.6581652,-46.98063409,12.23886434,-27.25963081,
252779999,-23.82351811,-47.0894063,12.05364471,-27.40887895,
256759999,-23.78344381,-46.9373383,12.13951958,-27.55518874,
260739999,-23.80116143,-46.94661783,12.12464431,-27.70520455,
264719999,-23.871086,-47.04533788,12.02119852,-27.90867804,
268699999,-23.83316199,-46.96713414,12.13718913,-28.07475914,
272679999,-23.83686302,-46.96678807,12.12361603,-28.30959855,
276659999,-23.90532909,-47.0566288,12.03880332,-28.59094031,
280639999,-23.89538384,-46.91374963,12.09582692,-28.83135574,
284619999,-23.94135874,-47.0318032,12.14724866,-29.11484148,
288599999,-24.06050848,-46.96347664,12.06940638,-29.4144965,
292579999,-24.09909523,-46.86233643,12.11468222,-29.6701746,
296559999,-24.18779127,-46.91580782,12.16505346,-29.99413818,
300539999,-24.35140288,-46.99522665,12.03726058,-30.33457366,
304519999,-24.45518239,-47.00140437,12.14419517,-30.65910903,
308499999,-24.58136331,-47.01142926,12.13410449,-31.02684688,
312479999,-24.84232288,-46.98692271,12.05560019,-31.30050252,
316459999,-25.01098456,-46.90165628,12.15462787,-31.6096598,
320439999,-25.26542593,-46.86353298,12.16445921,-31.86730967,
324419999,-25.59279753,-46.98133925,12.07539772,-32.10124545,
328399999,-25.82830353,-46.85424614,12.15218928,-32.3276978,
332379999,-26.10303403,-46.88927714,12.17772298,-32.48421134,
336359999,-26.40762355,-46.95821222,12.11333127,-32.59264034,
340339999,-26.59794072,-46.90173781,12.15030712,-32.66041562,
344319999,-26.77217221,-46.89442956,12.15692834,-32.65125339,
348299999,-26.94027242,-46.89106841,12.1144407,-32.53207112,
352279999,-26.98188226,-46.86800215,12.14533604,-32.4325281,
356259999,-27.00795116,-46.85597221,12.19014624,-32.20595094,
360239999,-27.04677742,-46.88585002,12.08394558,-31.95155472,
364219999,-26.97494821,-46.8251354,12.17760746,-31.65397011,
368199999,-26.91888383,-46.86266349,12.20735229,-31.32600506,
372179999,-26.88220632,-46.89029848,12.10827914,-30.94988227,
376159999,-26.88355661,-46.81001416,12.2481538,-30.60764478,
380139999,-26.78135593,-46.83121186,12.26880806,-30.24024677,
384119999,-26.72172524,-46.82383846,12.22562562,-29.85382817,
388099999,-26.60229406,-46.85233291,12.28225202,-29.50379127,
392079999,-26.49198734,-46.80738281,12.3108397,-29.11622504,
396059999,-26.42548961,-46.93598007,12.23929514,-28.79499151,
400039999,-26.27638871,-46.86693112,12.27494821,-28.4642413,
404019999,-26.132552,-46.79932161,12.30175946,-28.13193358,
407999999,-26.02260088,-46.84873817,12.23486083,-27.8783587,
411979999,-25.82607533,-46.7901284,12.27861431,-27.57984886,
415959999,-25.60758657,-46.79935565,12.31030878,-27.32200749,
419939999,-25.45180811,-46.90834312,12.24369695,-27.11464075,
423919999,-25.21121519,-46.86425567,12.29981517,-26.89724205,
427899999,-24.97448351,-46.97413213,12.33598399,-26.68729138,
431879999,-24.77641225,-46.99254639,12.2937289,-26.54637914,
435859999,-24.5263054,-46.87217885,12.34554469,-26.37900411,
439839999,-24.27153738,-46.81170366,12.37830113,-26.23350068,
443819999,-24.09602898,-46.79180934,12.29286877,-26.13225378,
447799999,-23.87714467,-46.77424002,12.35155122,-26.00821665,
451779999,-23.68756337,-46.7111284,12.39833084,-25.89176334,
455759999,-23.59245336,-46.73064871,12.31537809,-25.83820587,
459739999,-23.47217841,-46.65137762,12.35080311,-25.71094993,
463719999,-23.40830588,-46.58387622,12.39504285,-25.62951829,
467699999,-23.45035252,-46.77800907,12.34916018,-25.61170662,
471679999,-23.47937768,-46.73238269,12.38635893,-25.52825168,
475659999,-23.56138521,-46.66802881,12.3971732,-25.45855283,
479639999,-23.7540491,-46.72815633,12.36226797,-25.46074342,
483619999,-23.95139967,-46.73706216,12.3714741,-25.4176818,
487599999,-24.20527504,-46.77093895,12.3989303,-25.37560064,
491579999,-24.55141612,-46.77262947,12.32490226,-25.45711444,
495559999,-24.88681783,-46.6457801,12.40153582,-25.50162,
499539999,-25.2597283,-46.67775173,12.39992406,-25.51323293,
503519999,-25.71514144,-46.702194,12.33726879,-25.61701375,
507499999,-26.14001099,-46.69752065,12.40776206,-25.65891906,
511479999,-26.59583269,-46.71684626,12.42942804,-25.76054563,
515459999,-27.12565221,-46.75827196,12.37676559,-25.99288543,
519439999,-27.61704868,-46.70769878,12.41187233,-26.15040303,
523419999,-28.11827984,-46.69901377,12.43057608,-26.29471067,
527399999,-28.63527785,-46.77724721,12.3812388,-26.55348545,
531379999,-29.09335436,-46.72304609,12.39165521,-26.74676659,
535359999,-29.48346579,-46.69493342,12.46189885,-26.96151744,
539339999,-29.85272918,-46.64559532,12.3766721,-27.27195588,
543319999,-30.09194906,-46.63301119,12.40999235,-27.49353065,
547299999,-30.21493712,-46.65705338,12.47409918,-27.61704527,
551279999,-30.26586282,-46.63672022,12.41555652,-27.89045833,
555259999,-30.16309835,-46.64858028,12.40685187,-28.09876946,
559239999,-29.93885738,-46.6477955,12.47755163,-28.26134126,
563219999,-29.68693877,-46.66435668,12.44164327,-28.59040428,
567199999,-29.29651218,-46.63981082,12.46934414,-28.87182138,
571179999,-28.84024227,-46.62326655,12.50290848,-29.121237,
575159999,-28.37571859,-46.74341302,12.42250979,-29.49911282,
579139999,-27.85501113,-46.67080642,12.44361317,-29.79126298,
583119999,-27.32033915,-46.63979987,12.49692149,-30.05137245,
587099999,-26.83599213,-46.70028077,12.43400503,-30.48671957,
591079999,-26.33207547,-46.68989891,12.46287296,-30.80611127,
595059999,-25.80824288,-46.55648051,12.52161232,-31.04647206,
599039999,-25.35419755,-46.63873756,12.44911309,-31.48149006,
603019999,-24.88751983,-46.53153066,12.43977185,-31.80959176,
606999999,-24.41723099,-46.5817713,12.49538809,-32.10398635,
610979999,-24.02477302,-46.59794082,12.42572556,-32.5162199,
614959999,-23.61732592,-46.5104682,12.46919717,-32.80483108,
618939999,-23.21070489,-46.53279853,12.50306246,-33.02295476,
622919999,-22.87309897,-46.5872044,12.42740015,-33.45508896,
626899999,-22.54293762,-46.56412474,12.44216914,-33.77954423,
630879999,-22.20783652,-46.60976224,12.47022234,-33.88435132,
634859999,-21.94236442,-46.62495726,12.42710538,-34.21323113,
638839999,-21.66383656,-46.74292279,12.39519035,-34.33333678,
642819999,-21.38223826,-46.59417001,12.43572728,-34.16771123,
646799999,-21.17594635,-46.70514722,12.36371682,-34.22125195,
650779999,-20.96356379,-46.69275214,12.37949221,-34.10444664,
654759999,-20.73931923,-46.60443668,12.43440049,-33.8091958,
658739999,-20.57287508,-46.66346041,12.37883658,-33.73368059,
662719999,-20.40048972,-46.6932847,12.36540351,-33.53557411,
666699999,-20.19961573,-46.65706725,12.38016046,-33.15081019,
