Frequency,S11_Magnitude,S12_Magnitude,S21_Magnitude,S22_Magnitude,
1000000,-1.395113641,-57.11426625,8.60970938,-0.05822503963,
2997002,-4.747988738,-45.92495863,28.2010911,-5.674185746,
4994005,-9.738488143,-46.12305536,30.55305368,-10.94736146,
6991008,-12.82187276,-46.03145095,30.91482991,-15.05792811,
8988011,-15.39249461,-44.98699177,31.20525494,-16.96745045,
10985014,-17.27979263,-46.20864568,31.32386921,-19.01264821,
12982017,-18.70036963,-45.05737109,31.33917856,-20.96133198,
14979020,-19.82182715,-44.95924089,31.43915472,-22.34686963,
16976023,-20.9170522,-46.51152734,31.4577328,-23.6029993,
18973026,-22.00218801,-45.31206599,31.45366156,-24.95297642,
20970029,-22.70492733,-45.68125198,31.49160746,-26.65189772,
22967032,-23.48149528,-47.06720346,31.49246926,-26.34473054,
24964035,-22.9133776,-44.21131057,31.46215253,-30.02170871,
26961038,-24.66711256,-45.5887594,31.48387606,-28.57562025,
28958041,-23.70506409,-43.97622798,31.47124776,-32.41789587,
30955044,-25.95540895,-47.55596656,31.44426447,-31.33975564,
32952047,-24.97767867,-43.78870941,31.4667816,-32.98881048,
34949050,-25.15969644,-44.51048359,31.44987453,-33.77998711,
36946053,-26.04860265,-45.80611929,31.41653362,-32.71567239,
38943056,-25.22625745,-43.68352773,31.41952306,-33.83898492,
40940059,-26.72134762,-45.66220328,31.41759038,-33.53158595,
42937062,-27.26216247,-45.55791998,31.3840994,-34.37888704,
44934065,-27.07232996,-45.17130214,31.40440893,-34.27180653,
46931068,-26.7340421,-44.76770245,31.39798004,-34.61433046,
48928071,-26.62748475,-43.80679056,31.36810284,-38.11531086,
50925074,-26.6960283,-43.19197585,31.38937104,-38.9527243,
52922077,-27.51075086,-45.88128586,31.37879301,-34.86705377,
54919080,-27.46551546,-45.87867107,31.34695753,-34.42216081,
56916083,-27.69043929,-46.04614508,31.37312178,-34.37007697,
58913086,-27.12194892,-44.47943688,31.37004005,-35.86662515,
60910089,-29.09468855,-47.15098909,31.36781116,-34.26946124,
62907092,-28.44099986,-45.96671095,31.38468544,-34.20972269,
64904095,-26.95924048,-43.81499923,31.37703439,-36.14169016,
66901098,-27.77588951,-45.61661466,31.35256584,-36.30473925,
68898101,-27.02947921,-43.83934246,31.38156366,-35.44506196,
70895104,-27.64411406,-45.75520729,31.39295514,-33.36419174,
72892107,-28.08945361,-46.76101029,31.37110947,-33.92174081,
74889110,-27.64670827,-45.34522538,31.38756276,-34.17551715,
76886113,-28.07928055,-45.48274558,31.39627005,-34.3569916,
78883116,-27.37123664,-44.18285996,31.37220475,-33.48637726,
80880119,-27.42412822,-44.23265747,31.39299568,-33.50788466,
82877122,-27.42465411,-45.51782929,31.39539739,-33.92417506,
84874125,-27.28974313,-44.33092776,31.36714487,-34.50709424,
86871128,-27.57891451,-45.27112537,31.39684267,-34.83010025,
88868131,-27.45518032,-45.46050583,31.40099547,-36.18010826,
90865134,-27.7233657,-44.63143555,31.37412224,-33.77765042,
92862137,-27.99083526,-46.04705476,31.40122048,-33.92444292,
94859140,-27.38020166,-45.21515917,31.39403249,-34.21375627,
96856143,-27.68287305,-44.91498408,31.37204853,-33.54987071,
98853146,-27.03748653,-43.29225779,31.39759035,-32.44415528,
100850149,-27.96469738,-44.37709546,31.40355232,-33.1532089,
102847152,-27.5199356,-45.58517554,31.37369358,-33.60756516,
104844155,-27.704849,-45.16536052,31.39915421,-33.84255387,
106841158,-27.8427152,-45.41401124,31.39682314,-34.94246168,
108838161,-27.7893546,-45.64210144,31.3743348,-33.42730879,
110835164,-27.64978884,-43.71534586,31.39950385,-32.24746564,
112832167,-27.74017447,-46.25937948,31.39828399,-35.53263522,
114829170,-27.63544629,-46.83755995,31.37297517,-35.95106699,
116826173,-27.36753532,-45.68338902,31.39746725,-34.01015848,
118823176,-27.71217177,-43.57619459,31.40239915,-31.43443886,
120820179,-27.61621137,-44.64208138,31.37888904,-32.53215015,
122817182,-27.79945543,-46.42868362,31.40179201,-34.09389315,
124814185,-27.43338129,-45.13055029,31.39782432,-32.81271088,
126811188,-27.97688705,-43.17927896,31.37695333,-33.29652932,
128808191,-27.53466347,-42.95051853,31.4054749,-32.45296565,
130805194,-27.54812665,-45.86612396,31.39011108,-33.88640782,
132802197,-27.18711347,-43.32743235,31.38079008,-31.90614478,
134799200,-27.46820786,-44.2202019,31.39475797,-32.74611675,
136796203,-27.28701289,-44.75709567,31.40551336,-34.357932,
138793206,-27.3356596,-47.05375189,31.36227554,-36.92343309,
140790209,-27.67712489,-43.64264087,31.3946058,-34.39394804,
142787212,-27.34792804,-43.53539018,31.39443351,-33.02062134,
144784215,-27.34463644,-43.50449399,31.37397359,-34.60620487,
146781218,-27.31588102,-43.56333408,31.38925546,-34.02413935,
148778221,-27.34931834,-43.92903514,31.39583934,-34.91643718,
150775224,-27.22269036,-44.4578042,31.36675599,-34.63735894,
152772227,-27.80033182,-42.49857683,31.39986477,-32.76008201,
154769230,-27.2340989,-44.87092829,31.39204877,-35.9436364,
156766233,-26.61347268,-45.9295889,31.37329735,-31.68636941,
158763236,-27.03254479,-44.35959633,31.4008228,-32.69519622,
160760239,-27.38113728,-42.74188753,31.40376202,-31.25229637,
162757242,-27.34270833,-43.61070084,31.37886221,-34.85717703,
164754245,-26.50201148,-46.30963237,31.40305785,-36.61643193,
166751248,-26.98319977,-44.19990633,31.40276345,-36.21204986,
168748251,-26.6802429,-45.69039358,31.38030946,-35.41429026,
170745254,-27.04912908,-44.59738908,31.40106312,-31.52820946,
172742257,-26.84547711,-45.00882313,31.39865902,-33.87299934,
174739260,-26.37824947,-45.25887915,31.38459664,-37.51669146,
176736263,-26.86863611,-45.31166139,31.40370285,-33.41638179,
178733266,-26.83470849,-44.65591838,31.4092822,-35.17000415,
180730269,-26.38019586,-44.92233425,31.38262457,-34.86764686,
182727272,-26.19519956,-45.22340474,31.40755412,-36.00994444,
184724275,-30.4456305,-35.8397802,31.29739157,-31.19759717,
186721278,-25.91874332,-46.06228684,31.38361779,-35.04869609,
188718281,-26.53494103,-44.71181669,31.4044072,-35.11967486,
190715284,-26.18022081,-44.48154172,31.4039133,-35.96922402,
192712287,-26.08469576,-43.62286904,31.37828686,-35.94909846,
194709290,-26.01634143,-43.03653328,31.40306455,-37.54079522,
196706293,-26.76570778,-41.73728888,31.40105088,-37.26957352,
198703296,-25.44247917,-45.17236907,31.37844562,-34.66156529,
200700299,-26.3588062,-41.21982463,31.35872528,-41.931816,
202697302,-25.8687867,-44.91931544,31.39844138,-34.03827125,
204694305,-26.64879444,-44.08368806,31.36780224,-33.30990798,
206691308,-26.29162097,-43.95109666,31.39369632,-34.85457247,
208688311,-26.62214591,-44.03510894,31.39281058,-33.5125221,
210685314,-25.88349716,-44.1352487,31.37538258,-34.4419735,
212682317,-25.82891346,-44.84487563,31.40025631,-33.87377414,
214679320,-25.63260074,-43.66475659,31.39451527,-34.561629,
216676323,-25.41494817,-46.11049537,31.36763611,-32.35417565,
218673326,-25.29204315,-46.05794308,31.39080871,-32.6364185,
220670329,-24.95480892,-44.41811411,31.39271702,-32.83854535,
222667332,-25.22463291,-44.95857803,31.37067347,-33.63867582,
224664335,-24.65834191,-42.9373256,31.39375978,-34.34410567,
226661338,-25.21470364,-44.99170184,31.38785528,-31.96997276,
228658341,-25.48283126,-43.54144717,31.36901015,-34.55008062,
230655344,-25.16932464,-43.73030416,31.38711168,-33.06427219,
232652347,-24.48579989,-43.28719446,31.38991019,-33.28398963,
234649350,-24.62182069,-43.32324828,31.36463982,-32.35650365,
236646353,-25.32756652,-44.88400005,31.37423093,-31.72933804,
238643356,-24.98307757,-43.2198545,31.38834758,-34.53600727,
240640359,-25.07597421,-44.1598229,31.35760686,-31.76824205,
242637362,-24.87905516,-44.52575778,31.38545643,-32.57068668,
244634365,-25.52747358,-44.16019219,31.38098545,-31.93238807,
246631368,-25.83428885,-47.16480535,31.3531569,-30.50517669,
248628371,-24.99726083,-44.94038226,31.37845135,-31.10461771,
250625374,-25.17244356,-45.19559343,31.37157562,-31.05124245,
252622377,-23.86033008,-43.90140313,31.35504821,-30.3604683,
254619380,-24.31572614,-43.37371945,31.37741119,-30.89239371,
256616383,-24.89081629,-45.1048587,31.37069161,-30.32936356,
258613386,-24.74901836,-45.75830414,31.34920708,-30.01950412,
260610389,-23.79849037,-43.60364933,31.36141313,-29.70658117,
262607392,-23.93813848,-43.66205666,31.37574906,-30.11069267,
264604395,-23.98061262,-44.05596643,31.34612838,-29.66345401,
266601398,-24.39609303,-44.87563273,31.36741475,-29.74245621,
268598401,-24.13369451,-43.76683694,31.36220938,-29.91984936,
270595404,-25.02897106,-46.41537383,31.34579724,-29.50970144,
272592407,-23.88239208,-43.86355833,31.36719242,-29.17029618,
274589410,-24.02021667,-44.21696316,31.36984113,-28.9827906,
276586413,-24.30689248,-45.44314567,31.34228319,-28.55766476,
278583416,-24.49720366,-46.30078893,31.36857198,-27.72667502,
280580419,-24.11705201,-43.71338022,31.36527478,-29.32301164,
282577422,-23.8656974,-44.47114314,31.34211036,-28.31637787,
284574425,-24.29309331,-45.26166858,31.3652242,-27.85183972,
286571428,-23.68990069,-43.51511394,31.36472627,-28.11345826,
288568431,-23.86568519,-44.60860016,31.34016876,-27.62805252,
290565434,-24.70842385,-46.71907737,31.36771767,-27.37576484,
292562437,-24.58787839,-46.43188177,31.36755481,-27.90435304,
294559440,-24.22736987,-45.0959063,31.34455974,-28.24930331,
296556443,-24.03727052,-44.94423531,31.36708177,-26.96213185,
298553446,-23.72896617,-44.25554428,31.36353579,-26.60802298,
300550449,-23.72374361,-44.3363396,31.34003177,-27.03473782,
302547452,-23.31248932,-43.35304242,31.36738253,-26.80900927,
304544455,-23.9645847,-44.80712898,31.37262699,-27.36535058,
306541458,-23.49559739,-43.4792895,31.34324909,-27.20832724,
308538461,-25.13177646,-46.71586297,31.37843684,-27.03449344,
310535464,-23.87873271,-44.81613924,31.37181927,-26.77239862,
312532467,-23.68129473,-44.35973215,31.34877167,-26.13568551,
314529470,-23.33934255,-43.49591737,31.36798983,-25.3229294,
316526473,-23.49042513,-43.82779533,31.36763647,-25.87779663,
318523476,-23.70840167,-44.58618017,31.34680368,-26.07446268,
320520479,-24.08117365,-45.93487377,31.37097554,-26.81469225,
322517482,-23.99182345,-44.89133401,31.37713328,-25.72746474,
324514485,-23.76634401,-44.20033701,31.35520755,-25.40678817,
326511488,-23.87647365,-44.77047228,31.37051584,-25.81722504,
328508491,-22.79680354,-41.77832087,31.37088407,-24.28222828,
330505494,-23.5358227,-44.26087302,31.34774946,-26.12364716,
332502497,-25.26571829,-47.94641355,31.38027594,-26.56246967,
334499500,-23.73819678,-44.73437944,31.37129333,-25.91116839,
336496503,-23.61219824,-44.18617635,31.35529093,-25.79117286,
