Frequency,S11_Magnitude,S12_Magnitude,S21_Magnitude,S22_Magnitude,
10000000,0.473380642,-57.77796031,-53.58653846,0.4196408343,
12980000,0.06084105941,-66.82805726,-65.69497164,0.0256049305,
15960000,0.06148681071,-57.87309207,-57.36279225,0.046279198,
18940000,0.03524871251,-47.41695436,-47.43982504,0.03420337363,
21920000,-0.05057483924,-37.66839408,-37.68612079,-0.05785920628,
24900000,-0.2117558105,-28.30576908,-28.3763768,-0.2401983363,
27880000,-0.3973891466,-19.12543156,-19.24339896,-0.4047755741,
30860000,-1.141363266,-10.59754701,-10.56412751,-1.149700387,
33840000,-4.290631866,-3.83630624,-3.790783944,-4.310393675,
36820000,-12.92468481,-1.205026988,-1.19327824,-12.91418259,
39800000,-26.41753287,-0.6150948659,-0.5954043022,-26.13588103,
42780000,-33.4074359,-0.4433307459,-0.4130413754,-36.89424756,
45760000,-29.40025208,-0.3854634952,-0.355499632,-30.88570767,
48740000,-25.04303906,-0.3915197101,-0.3807028102,-25.44756645,
51720000,-22.32863428,-0.3105634155,-0.2740076467,-22.39036952,
54700000,-20.8319156,-0.2576194651,-0.2122384973,-20.78856554,
57680000,-20.11534576,-0.2436635826,-0.2074670033,-20.04210699,
60660000,-19.96406263,-0.2867437415,-0.2767470152,-19.90803378,
63640000,-20.01978807,-0.227366418,-0.1961673819,-19.96293948,
66620000,-20.35921008,-0.1807208188,-0.1407894624,-20.3114308,
69600000,-20.94383833,-0.1810439067,-0.146435841,-20.91343461,
72580000,-21.7277376,-0.2177671249,-0.207568005,-21.68850935,
75560000,-22.49632862,-0.1610765471,-0.1351931314,-22.49472562,
78540000,-23.40230864,-0.1244366843,-0.08748496776,-23.44586312,
81520000,-24.46734734,-0.1246350307,-0.09362618557,-24.53566195,
84500000,-25.69248745,-0.1640786041,-0.1547964477,-25.75489998,
87480000,-26.90713715,-0.1173729093,-0.08845284712,-27.05383933,
90460000,-28.27525914,-0.08393357287,-0.04238720568,-28.51841163,
93440000,-29.86365019,-0.08974786201,-0.0527420076,-30.1913647,
96420000,-31.72497566,-0.1347028803,-0.1192585252,-32.04290324,
99400000,-33.71691297,-0.09512219312,-0.06524249595,-34.19055965,
102380000,-36.15503159,-0.06459747356,-0.02192973236,-36.74655474,
105360000,-39.26065412,-0.07280429998,-0.03574133766,-39.7960986,
108340000,-43.84464404,-0.1186787466,-0.1041421427,-42.77273138,
111320000,-52.14131907,-0.08333638667,-0.05296595457,-44.39865752,
114300000,-57.99320075,-0.05416669336,-0.01045556146,-42.7834706,
117280000,-46.57574313,-0.06069092976,-0.02361765973,-40.37952941,
120260000,-42.05455359,-0.1054755352,-0.0889356045,-38.37568939,
123240000,-39.28742317,-0.07802299794,-0.0479760674,-36.62344192,
126220000,-37.36232967,-0.04529859328,-0.002576713843,-35.14115847,
129200000,-35.89439703,-0.05137257571,-0.01481980047,-34.07115053,
132180000,-34.7527321,-0.09844063247,-0.08287926879,-33.25965094,
135160000,-33.77492695,-0.06964652374,-0.04250503722,-32.40152506,
138140000,-32.96001224,-0.03768337817,0.00223425334,-31.68112335,
141120000,-32.28218144,-0.04562173689,-0.007860472948,-31.1477116,
144100000,-31.70290818,-0.09094211288,-0.07337204737,-30.77103907,
147080000,-31.21122105,-0.0665467512,-0.0395438116,-30.3071341,
150060000,-30.74518151,-0.03567487336,0.007019515617,-29.88841946,
153040000,-30.34371675,-0.04371708154,-0.002656367971,-29.56422404,
156020000,-30.01520966,-0.08820736571,-0.06720478017,-29.35760435,
159000000,-29.71868829,-0.06791768879,-0.03706055433,-29.03042427,
161980000,-29.41719997,-0.03689709221,0.009363463273,-28.74700616,
164960000,-29.16556509,-0.04277637267,-0.0003529365416,-28.53964104,
167940000,-28.92226999,-0.08668637681,-0.06305557222,-28.40227913,
170920000,-28.6998421,-0.06970345699,-0.03756171495,-28.20887907,
173900000,-28.50352958,-0.03632516419,0.01164069813,-27.96749238,
176880000,-28.32930548,-0.04117681546,0.003748855583,-27.85169622,
179860000,-28.17006449,-0.08354168901,-0.05762063337,-27.78406856,
182840000,-28.00058338,-0.06985840317,-0.03657121733,-27.65543724,
185820000,-27.85545665,-0.03576256816,0.01113680276,-27.494403,
188800000,-27.72400128,-0.04065379369,0.007698834322,-27.40233083,
191780000,-27.6108574,-0.08110446729,-0.05468509186,-27.36023316,
194760000,-27.49085663,-0.06996698046,-0.03887491886,-27.22957159,
197740000,-27.3621248,-0.03476360275,0.01081662275,-27.09123284,
200720000,-27.26162941,-0.03880776143,0.007038403883,-27.00286601,
203700000,-27.16288241,-0.07882845132,-0.0541532852,-26.9726793,
206680000,-27.05158648,-0.07179157138,-0.04204036734,-26.87100161,
209660000,-26.95304629,-0.03717977602,0.009257550641,-26.74228117,
212640000,-26.85213104,-0.03956497774,0.003338546399,-26.65664939,
215620000,-26.78222529,-0.07755154951,-0.05262301522,-26.62243114,
218600000,-26.68049117,-0.07281732291,-0.04628792041,-26.5414349,
221580000,-26.58354431,-0.03721117893,0.003986471467,-26.41864703,
224560000,-26.50157961,-0.0390526974,0.001549284274,-26.34580425,
227540000,-26.4503006,-0.07644666044,-0.05514604887,-26.32174637,
230520000,-26.37033988,-0.07512267969,-0.05242579392,-26.23567023,
233500000,-26.2939553,-0.0357218603,0.002183901625,-26.11596264,
236480000,-26.22978334,-0.04006278511,-0.002141628101,-26.02400163,
239460000,-26.18492352,-0.07833963124,-0.05727525308,-26.00093047,
242440000,-26.11325005,-0.07857471229,-0.05738598025,-25.90495454,
245420000,-25.99779796,-0.04260827346,-0.003633709969,-25.76317458,
248400000,-25.99563098,-0.05307522832,-0.004860255159,-25.78252124,
251380000,-25.91355291,-0.0789081883,-0.05719200484,-25.64404239,
254360000,-25.85427501,-0.08254904662,-0.06425153488,-25.57484965,
