Frequency,S11_Magnitude,S12_Magnitude,S21_Magnitude,S22_Magnitude,
10,-3.701687159,-4.011803002,0.4321277745,-0.05852392056,
3000009,0.9052083965,-55.43559745,-50.60130767,0.8233215515,
6000009,0.8561130014,-51.89562423,-51.61495113,0.7525668621,
9000009,0.5245496006,-51.87077137,-60.37402048,0.440090541,
12000009,0.1207688783,-63.47971921,-71.25249626,0.04014537966,
15000009,-0.03675308416,-64.32953715,-63.24558563,-0.1437533113,
18000009,-0.5355972338,-20.37808444,-20.29140632,-0.8902372062,
21000009,-22.38671157,-0.4925828352,-0.4624537051,-23.17370597,
24000009,-22.1313239,-0.2937151956,-0.2913859223,-22.13131285,
27000009,-27.6656706,-0.1773626163,-0.1466087658,-27.94580251,
30000009,-22.39901358,-0.0736978575,-0.005840089184,-22.47577803,
33000009,-22.69054494,-0.1207226714,-0.0788649145,-23.07639015,
36000009,-25.03614618,-0.1383331358,-0.1317399995,-25.61750606,
39000009,-28.96098823,-0.094933724,-0.08116657348,-30.04751023,
42000009,-35.82818009,-0.03825442059,-0.03662102643,-38.77370363,
45000009,-43.85583814,-0.05893322039,-0.02682237692,-42.8021943,
48000009,-34.41455266,-0.09925717714,-0.09044793353,-33.26650097,
51000009,-30.250737,-0.08245015231,-0.05929302134,-29.4886198,
54000009,-27.88853528,-0.04405685562,-0.006706549243,-27.24673149,
57000009,-26.31644823,-0.04035390167,-0.009183128457,-25.82091268,
60000009,-24.8690995,-0.09839420339,-0.1549382665,-25.06957538,
63000009,-24.484514,-0.1011769236,-0.07441270616,-24.18397714,
66000009,-23.86534672,-0.04349633562,-0.01479184118,-23.55754598,
69000009,-23.47152403,-0.07371780781,-0.0374160596,-23.23305156,
72000009,-23.20540459,-0.129693719,-0.1117307362,-23.04334078,
75000009,-22.9680467,-0.1162230254,-0.08993309668,-22.82298209,
78000008,-22.75912474,-0.08701239252,-0.04765450472,-22.63725919,
81000008,-22.64531974,-0.09692354175,-0.05986036344,-22.56707825,
84000008,-22.60327181,-0.1412686095,-0.1255007406,-22.57089488,
87000008,-22.51504164,-0.1257068191,-0.09918732612,-22.516629,
90000008,-22.43257161,-0.09629618019,-0.05492956583,-22.48100422,
93000008,-21.98363502,-0.02294731468,0.1712908117,-22.27624162,
96000008,-22.46724001,-0.148031105,-0.1298392056,-22.59195851,
99000008,-22.44838344,-0.1304363213,-0.1055307588,-22.60759385,
102000008,-22.43293901,-0.09960881059,-0.05995926684,-22.63440181,
105000008,-22.45705685,-0.1053986116,-0.07027262222,-22.70455408,
108000008,-22.54466841,-0.1503770432,-0.136357438,-22.82273544,
111000008,-22.55521593,-0.1329837438,-0.1108091008,-22.87797626,
114000008,-22.55240738,-0.1009662239,-0.06523929468,-22.93060906,
117000008,-22.61601516,-0.1090218638,-0.07545081456,-23.0318496,
120000008,-22.71439414,-0.1550726552,-0.1423206977,-23.17115252,
123000008,-22.65791295,-0.1134502491,-0.1138046243,-23.11503156,
126000008,-22.78126799,-0.1094994301,-0.08032187243,-23.30532195,
129000008,-22.82582615,-0.112000272,-0.08026237429,-23.40244605,
132000008,-22.92510982,-0.1577278874,-0.1462954861,-23.54791312,
135000008,-22.95935641,-0.1368264683,-0.1205035651,-23.62539373,
138000008,-22.97403412,-0.1041562226,-0.07440617445,-23.69668016,
141000008,-23.04302153,-0.1113929225,-0.08537166966,-23.81758505,
144000008,-23.15372874,-0.1611250977,-0.1540701963,-23.94147051,
147000008,-23.17000197,-0.1400429357,-0.1247279886,-24.01764357,
150000008,-23.19500637,-0.1105425103,-0.07878484334,-24.102536,
153000007,-23.25071682,-0.1194862692,-0.09316111123,-24.20285802,
156000007,-23.35315754,-0.1679879592,-0.1595725011,-24.32609722,
159000007,-23.36713025,-0.1480654393,-0.1338305833,-24.37907466,
162000007,-23.3698347,-0.1186263322,-0.09137050557,-24.4513765,
165000007,-23.42001494,-0.1275561323,-0.1034539093,-24.53497521,
168000007,-23.51387216,-0.1750514545,-0.1708357443,-24.63917155,
171000007,-23.51859486,-0.1572794366,-0.1432771128,-24.69439719,
174000007,-23.52122942,-0.127839757,-0.09875864568,-24.75476749,
177000007,-23.56417948,-0.137221727,-0.1101216954,-24.82169233,
180000007,-23.66139449,-0.1841830231,-0.1782402585,-24.917654,
183000007,-23.66619593,-0.1666613107,-0.1519016335,-24.96823024,
186000007,-24.4813902,-0.2692043676,-0.2271740527,-27.07795941,
189000007,-23.71254582,-0.1466784289,-0.1205754527,-25.07806758,
192000007,-23.80181134,-0.1936549054,-0.1877973897,-25.15637826,
195000007,-23.80419122,-0.1767721481,-0.1594264003,-25.20589365,
198000007,-23.78822558,-0.1474041822,-0.114376134,-25.24021944,
201000007,-23.83292066,-0.157531228,-0.1242768444,-25.29854999,
204000007,-23.9439915,-0.2067529107,-0.191900553,-25.36334128,
207000007,-23.94504685,-0.1897831739,-0.1627730443,-25.39709016,
210000007,-23.93649652,-0.1617564501,-0.118918073,-25.41880972,
213000007,-23.98367247,-0.1719744774,-0.1283959976,-25.47115843,
216000007,-23.96442885,-0.2111957261,-0.189334714,-25.43510324,
219000007,-24.12372176,-0.2016536201,-0.1653959527,-25.5740266,
222000007,-24.1072721,-0.1733944263,-0.1212447415,-25.55999602,
225000007,-24.16600953,-0.1820872681,-0.1319517795,-25.5838996,
228000006,-24.28823518,-0.2294365259,-0.1945083955,-25.63259121,
231000006,-24.28917812,-0.2111611992,-0.1662127643,-25.64481647,
234000006,-24.28383991,-0.1834953464,-0.1213249888,-25.61892648,
237000006,-24.33508083,-0.1922573265,-0.1322033035,-25.61278779,
240000006,-24.46114007,-0.2372089404,-0.1948387194,-25.6462497,
243000006,-24.45267324,-0.2188224503,-0.1638803219,-25.63476989,
246000006,-24.42201479,-0.1903509734,-0.1171910265,-25.60081535,
249000006,-24.4647917,-0.1986091189,-0.126579394,-25.58874054,
252000006,-24.57872396,-0.2447441454,-0.1897528666,-25.60675385,
255000006,-24.58020308,-0.2249369159,-0.1605713601,-25.55898062,
258000006,-24.5531737,-0.1954799868,-0.1186527492,-25.5077101,
261000006,-24.5899213,-0.2015359339,-0.1274461172,-25.46500228,
264000006,-24.70069954,-0.2441100903,-0.1905742709,-25.46764413,
267000006,-24.68702448,-0.2256499528,-0.160774336,-25.41809581,
270000006,-24.66905647,-0.1952832278,-0.1162721986,-25.33584734,
273000006,-24.70901182,-0.2014933539,-0.1277504099,-25.31086796,
276000006,-24.80382883,-0.2446225439,-0.1908883085,-25.29727367,
279000006,-24.79488229,-0.2242047904,-0.1608879398,-25.22214484,
282000006,-24.78079372,-0.19252898,-0.1154925373,-25.10854407,
285000006,-24.81002344,-0.1984595516,-0.1259480551,-25.0515144,
288000006,-24.8903711,-0.2409089746,-0.1889179648,-25.0283769,
291000006,-24.90583076,-0.2215200693,-0.1614023551,-24.93919358,
294000006,-24.89627531,-0.1898134612,-0.1170837852,-24.82378048,
297000006,-24.93062328,-0.1955031848,-0.12922497,-24.75748484,
300000006,-25.01281207,-0.2403826365,-0.1957500147,-24.75756605,
303000005,-25.01729134,-0.217828585,-0.1671467258,-24.64579989,
306000005,-25.00581061,-0.1857871559,-0.1233408757,-24.49562941,
309000005,-25.00640468,-0.1919462113,-0.1382098271,-24.43135149,
312000005,-25.08140473,-0.2361810512,-0.1993629723,-24.39911058,
315000005,-25.09648797,-0.2149317223,-0.1716004023,-24.28070064,
318000005,-25.09272003,-0.184194824,-0.1302651341,-24.14860203,
321000005,-25.09746945,-0.1904182982,-0.1435343803,-24.07188082,
324000005,-25.09666253,-0.2345376997,-0.2130535058,-24.08761043,
327000005,-25.13968584,-0.2130601328,-0.1822994579,-23.96048471,
330000005,-25.1482695,-0.1835726747,-0.1399731489,-23.81376705,
333000005,-25.14644127,-0.1910929332,-0.1530530991,-23.73402546,
336000005,-25.15214165,-0.2342634861,-0.2208194007,-23.74399688,
339000005,-25.14652594,-0.2137897708,-0.1943872667,-23.62615817,
342000005,-25.1490652,-0.1845721058,-0.1532380046,-23.48105857,
345000005,-25.13440369,-0.192342816,-0.1659617346,-23.4279226,
348000005,-25.11338318,-0.2372719604,-0.2346730927,-23.44667067,
351000005,-25.10636829,-0.2165511446,-0.2061604983,-23.32867651,
354000005,-25.09495852,-0.1876553661,-0.1637992051,-23.19578805,
357000005,-25.07104744,-0.1966041693,-0.1764933497,-23.13249635,
360000005,-25.01139302,-0.2448956446,-0.2502067808,-23.15404432,
363000005,-24.99546024,-0.2249594397,-0.2236877695,-23.05763721,
366000005,-24.97483697,-0.1961142616,-0.1818660701,-22.91836223,
369000005,-24.93467731,-0.2088437199,-0.1960786728,-22.87169972,
372000005,-24.87728164,-0.2531288987,-0.2641242127,-22.96669981,
375000005,-24.83152272,-0.2343091556,-0.2396610221,-22.7906485,
378000004,-24.79764631,-0.2093930409,-0.2007169297,-22.67696722,
381000004,-24.75708994,-0.2117766303,-0.2132924341,-22.60328532,
384000004,-24.69085621,-0.2601638549,-0.2802146924,-22.63027734,
387000004,-24.63166111,-0.2424792349,-0.2512987887,-22.51907564,
390000004,-24.5803207,-0.2125262012,-0.2080603626,-22.38544559,
393000004,-24.52682471,-0.2210236489,-0.2207126648,-22.3452223,
396000004,-24.4620118,-0.2687859015,-0.2895839626,-22.38775494,
399000004,-24.39817743,-0.2488188108,-0.2616024872,-22.28637182,
402000004,-24.34375657,-0.2206853627,-0.2181436857,-22.16703853,
405000004,-24.28092322,-0.2308981199,-0.2322038586,-22.12636385,
408000004,-24.21613684,-0.2780904461,-0.2993767147,-22.18529496,
411000004,-24.14502166,-0.2605604751,-0.265376779,-22.08807653,
414000004,-24.08760184,-0.232149509,-0.222386466,-21.97320965,
417000004,-24.03053454,-0.2438750132,-0.2334744047,-21.94453094,
420000004,-23.98352785,-0.2928133932,-0.3026285342,-22.00442226,
423000004,-23.9095489,-0.2724454401,-0.2671737496,-21.9133077,
426000004,-23.84212156,-0.2454109545,-0.2226194927,-21.80376023,
429000004,-23.78526584,-0.2555260495,-0.2345097069,-21.78694678,
432000004,-23.73672383,-0.3066396659,-0.3080175606,-21.85065937,
435000004,-23.67241985,-0.2865499259,-0.271517379,-21.77161414,
438000004,-23.59147104,-0.2572798145,-0.2256789015,-21.66444833,
441000004,-23.53801599,-0.2684423169,-0.2348152113,-21.64532709,
444000004,-23.50150108,-0.3194812903,-0.3024900002,-21.70775763,
447000004,-23.41706619,-0.3000100673,-0.2703247733,-21.62773742,
450000004,-23.33810101,-0.2745012949,-0.2220643569,-21.5467335,
453000003,-23.27800583,-0.2862937163,-0.2319581335,-21.53686797,
456000003,-23.24175666,-0.3329685114,-0.300476118,-21.59870564,
459000003,-23.16660104,-0.3141051607,-0.2644625963,-21.51924885,
462000003,-23.09966339,-0.2872112982,-0.2188631382,-21.42126254,
465000003,-23.04592497,-0.2969381671,-0.2303993772,-21.40521782,
468000003,-23.01827055,-0.3447887026,-0.2979038347,-21.46721324,
471000003,-22.94791537,-0.3261618126,-0.2656569534,-21.39785828,
474000003,-22.8756454,-0.2983615551,-0.2215759036,-21.3032765,
477000003,-22.82321329,-0.3069168825,-0.23423967,-21.2903265,
480000003,-22.78375849,-0.3561225625,-0.3018874529,-21.34178072,
483000003,-22.71611985,-0.3345285226,-0.2748410176,-21.27579267,
486000003,-22.61093834,-0.3063456724,-0.2309301037,-21.18704718,
489000003,-22.55626639,-0.3169662349,-0.2453035138,-21.16858645,
492000003,-22.52780106,-0.3650898563,-0.3104591858,-21.22461618,
495000003,-22.46361086,-0.3440247293,-0.2784560408,-21.14165386,
498000003,-22.38922003,-0.3136274772,-0.2356098715,-21.04911232,
501000003,-22.33078381,-0.3243052216,-0.2491942158,-21.03095284,
504000003,-22.27297385,-0.3657842023,-0.3143707955,-21.08216062,
507000003,-22.20616071,-0.3499100052,-0.2894332293,-21.01752044,
510000003,-22.13310388,-0.3212735157,-0.2499107522,-20.92987104,
513000003,-22.07493598,-0.3269978319,-0.2647968733,-20.92108781,
516000003,-22.01639851,-0.376632902,-0.3395981373,-20.98308011,
519000003,-21.95102529,-0.3529574916,-0.3129458548,-20.91009533,
522000003,-21.87690109,-0.324052386,-0.2672566418,-20.83216226,
525000003,-21.81054816,-0.331415846,-0.2826545886,-20.82094973,
528000002,-21.74919781,-0.3787828211,-0.3576006966,-20.88275744,
531000002,-21.68467019,-0.3576872167,-0.3318335442,-20.82328706,
534000002,-21.60757701,-0.3228371472,-0.294279264,-20.74526139,
537000002,-21.5434527,-0.3334545617,-0.3133947133,-20.75369859,
540000002,-21.47797623,-0.3832844308,-0.3880565509,-20.83371659,
543000002,-21.41169406,-0.3584526104,-0.3610243986,-20.77933344,
546000002,-21.33045105,-0.3264028534,-0.3227011369,-20.72039901,
549000002,-21.26927523,-0.332957659,-0.3386910411,-20.73069148,
552000002,-21.22248595,-0.3776773906,-0.4091440009,-20.80700917,
555000002,-21.13659514,-0.3521093807,-0.3841925389,-20.75909383,
558000002,-21.05412922,-0.3199536655,-0.3425848705,-20.70388088,
561000002,-20.9865365,-0.3284539875,-0.3629416603,-20.72472242,
564000002,-20.94143496,-0.373904867,-0.430587502,-20.79368187,
567000002,-20.85809154,-0.3502204004,-0.4043423803,-20.75494078,
570000002,-20.76724583,-0.320183413,-0.3650703287,-20.70926034,
573000002,-20.71628026,-0.3256566158,-0.3804364135,-20.71627247,
576000002,-20.67265096,-0.3732423294,-0.4482903865,-20.77470099,
579000002,-20.59139752,-0.3485764628,-0.4166298821,-20.73734456,
582000002,-20.48795013,-0.3158149443,-0.3741584126,-20.69250994,
585000002,-20.42400343,-0.325818543,-0.3857564177,-20.69215398,
588000002,-20.38235366,-0.3692124853,-0.4564939117,-20.75615385,
591000002,-20.28772368,-0.345889027,-0.423825524,-20.70549643,
594000002,-20.1785181,-0.3130879307,-0.3774028575,-20.65572014,
597000002,-20.12318066,-0.3211976709,-0.3885103894,-20.64150231,
600000002,-20.102948,-0.3676893796,-0.4563993567,-20.69646005,
603000001,-20.00334036,-0.3451645473,-0.4225647634,-20.65459511,
606000001,-19.88308084,-0.3131507442,-0.3735008109,-20.59772388,
609000001,-19.82602226,-0.320999397,-0.3854489272,-20.59636506,
612000001,-19.83401697,-0.3691424972,-0.4504384527,-20.63496828,
615000001,-19.72762038,-0.3477463745,-0.4137366983,-20.61205679,
618000001,-19.61256326,-0.3180381339,-0.3673097694,-20.57389868,
621000001,-19.56645964,-0.3247839365,-0.3741946915,-20.5683077,
624000001,-19.59180037,-0.3723520519,-0.443228793,-20.62349897,
627000001,-19.4885387,-0.3475639843,-0.4070544375,-20.59760867,
630000001,-19.38246254,-0.3211633085,-0.3531559283,-20.56290099,
633000001,-19.35326338,-0.3304708844,-0.3661332259,-20.5735722,
636000001,-19.39164113,-0.379388605,-0.4316576182,-20.63259309,
639000001,-19.30568497,-0.3583340636,-0.3922566489,-20.60883856,
642000001,-19.20286387,-0.3304100222,-0.3400318833,-20.58669105,
645000001,-19.18598891,-0.345539036,-0.3473682517,-20.61209254,
648000001,-19.25535961,-0.403279777,-0.4182126424,-20.68432283,
651000001,-19.16806303,-0.379394922,-0.3784384729,-20.65082798,
654000001,-19.09065467,-0.3561027409,-0.3278413,-20.63301988,
657000001,-19.08417874,-0.3685302984,-0.3408259873,-20.65239991,
660000001,-19.15595212,-0.4218319524,-0.406137149,-20.71448398,
663000001,-19.09635486,-0.4058023293,-0.3692449607,-20.72213699,
666000001,-19.02239918,-0.3804110153,-0.3259847625,-20.71501965,
669000001,-19.01371724,-0.395990312,-0.3369812326,-20.74436291,
672000001,-19.08571792,-0.4509263251,-0.4044666652,-20.79629919,
675000001,-19.04307963,-0.4350961773,-0.3729527955,-20.80022959,
678000000,-18.98767103,-0.4121364435,-0.3301013796,-20.79940025,
681000000,-19.00471669,-0.4293481884,-0.3450767845,-20.82320446,
684000000,-19.08684747,-0.481230748,-0.4164352946,-20.87787343,
687000000,-19.02748695,-0.4649354544,-0.3780534026,-20.86909679,
690000000,-19.06402604,-0.4449407625,-0.3336163479,-20.92020059,
693000000,-19.05320523,-0.4629246814,-0.352276598,-20.92396838,
696000000,-19.11433902,-0.5215122552,-0.4361672962,-20.96153131,
699000000,-19.07714242,-0.5026534145,-0.4114580468,-20.96059683,
702000000,-19.03306671,-0.4819078213,-0.3752344118,-20.95366018,
705000000,-19.0444593,-0.4953005995,-0.3904829914,-20.98391771,
708000000,-19.11734122,-0.5513026786,-0.4740407318,-21.01748947,
711000000,-19.09572318,-0.5348716671,-0.4464266611,-21.02208047,
714000000,-19.05208825,-0.5118857872,-0.4069864419,-21.01991417,
717000000,-19.06256852,-0.5254361844,-0.427419283,-21.04140739,
720000000,-19.11747334,-0.5817484144,-0.5052205701,-21.10241929,
723000000,-19.10048641,-0.5654965277,-0.4788352722,-21.11295549,
726000000,-19.06339436,-0.5406512571,-0.4420834982,-21.11349609,
729000000,-19.08146955,-0.5554089508,-0.4672715664,-21.14478556,
732000000,-19.13159039,-0.6159483439,-0.5473303279,-21.20887691,
735000000,-19.11921318,-0.5982535403,-0.5341032385,-21.22957767,
738000000,-19.08434978,-0.570802662,-0.4996061831,-21.24427336,
741000000,-19.0852887,-0.5962804793,-0.5249369807,-21.2925576,
744000000,-19.13801105,-0.6444799304,-0.601182937,-21.37772256,
747000000,-19.11598793,-0.6305172095,-0.5830379315,-21.41779525,
750000000,-19.07797003,-0.6060990183,-0.5484027534,-21.45483975,
752999999,-19.09361931,-0.6244921983,-0.5739672463,-21.53526375,
755999999,-19.13170497,-0.6798162524,-0.6522262666,-21.66425978,
758999999,-19.11099154,-0.6637476427,-0.6295478586,-21.73370403,
761999999,-19.07172046,-0.6400025898,-0.5972854606,-21.81657681,
764999999,-19.07383167,-0.6574428501,-0.6233178807,-21.93473822,
767999999,-19.10271715,-0.715087753,-0.7025382441,-22.12501149,
770999999,-19.06110147,-0.7006820421,-0.6802343056,-22.26123579,
773999999,-19.00943056,-0.6820480074,-0.649515118,-22.4086054,
776999999,-18.99729857,-0.7021509159,-0.675236237,-22.61439901,
779999999,-19.02451355,-0.7619721389,-0.7574338726,-22.89699252,
782999999,-18.97662731,-0.7500733144,-0.7384297099,-23.13067509,
785999999,-18.9195996,-0.73184266,-0.7082362267,-23.37382845,
788999999,-18.90055683,-0.7493430425,-0.7378880199,-23.6943863,
791999999,-18.92928287,-0.8075319715,-0.8136073875,-24.10316719,
794999999,-18.88036233,-0.7958848349,-0.7952024806,-24.45690703,
797999999,-18.84362288,-0.7740612469,-0.7611269061,-24.81014179,
800999999,-18.85598195,-0.7900090295,-0.781705455,-25.26078539,
803999999,-18.92549617,-0.840353592,-0.8572561618,-25.77078816,
806999999,-18.92943027,-0.8216411739,-0.8262536942,-26.21133327,
809999999,-18.9382376,-0.797928229,-0.7889929617,-26.61216561,
812999999,-19.01399421,-0.8049051124,-0.8029820052,-27.07679845,
815999999,-19.1525239,-0.8475955423,-0.8698049004,-27.5769619,
818999999,-19.2222278,-0.8186463824,-0.8333870288,-27.91901533,
