Frequency,S11_Magnitude,S12_Magnitude,S21_Magnitude,S22_Magnitude,
10000000,-28.38067095,-18.77817525,40.46098688,-17.86172516,
12980000,-57.10827738,-42.69738796,40.49946284,-16.38301817,
15960000,-59.74146696,-49.50890352,40.50982684,-16.36451107,
18940000,-70.32826064,-47.03674639,40.50856021,-16.26434237,
21920000,-61.47911289,-45.53950734,40.50067356,-16.10602354,
24900000,-69.01739216,-58.35729497,40.48271865,-16.05911664,
27880000,-57.77540069,-45.62067024,40.44726674,-16.04690785,
30860000,-58.84669705,-69.30128289,40.46494078,-15.95786375,
33840000,-64.31596196,-65.46713039,40.44219446,-15.87617619,
36820000,-62.27560088,-49.46106726,40.41021383,-15.91680227,
39800000,-63.36921797,-48.28358848,40.38971469,-15.89329419,
42780000,-55.42971708,-43.2511959,40.36948665,-15.79920825,
45760000,-55.52239392,-43.28909104,40.35481678,-15.84973177,
48740000,-58.93328577,-48.5782096,40.33946103,-15.87193814,
51720000,-65.6042778,-52.70968986,40.31760948,-15.78174541,
54700000,-55.43667924,-46.21291673,40.2906463,-15.76866581,
57680000,-61.67282644,-46.38558498,40.26733454,-15.8871564,
60660000,-59.74409378,-52.80642176,40.2842513,-15.72887627,
63640000,-56.22366698,-45.85253613,40.27185376,-15.76817811,
66620000,-58.05945124,-44.58655327,40.26917098,-15.83897052,
69600000,-56.01946837,-46.0725457,40.26528326,-15.76810217,
72580000,-58.15703141,-48.56709339,40.26009381,-15.79736371,
75560000,-57.32339865,-47.95778305,40.25128291,-15.7166368,
78540000,-52.69064281,-42.22940031,40.24512539,-15.61981468,
81520000,-55.24844454,-47.65079764,40.2297219,-15.67053258,
84500000,-53.25395858,-40.3380498,40.2120992,-15.68708481,
87480000,-58.30980589,-49.20712088,40.20919334,-15.62341686,
90460000,-54.13757487,-45.79955017,40.19654392,-15.58872192,
93440000,-58.30579945,-48.01165583,40.18814485,-15.66520331,
96420000,-54.15067434,-49.56722592,40.18203635,-15.55553168,
99400000,-50.46346798,-42.1772664,40.17102978,-15.55265396,
102380000,-49.88310804,-40.9810212,40.16219887,-15.49934357,
105360000,-51.78277362,-44.92759367,40.14780194,-15.587165,
108340000,-51.48518369,-47.12875769,40.13763207,-15.59744979,
111320000,-54.16469041,-45.50992112,40.13299618,-15.657813,
114300000,-51.79029241,-46.62045333,40.12170044,-15.55383169,
117280000,-55.76408807,-45.29252171,40.11783591,-15.67161717,
120260000,-48.46249205,-41.68986627,40.10992831,-15.54919091,
123240000,-51.79705124,-47.50294136,40.10612454,-15.5172469,
126220000,-49.91605036,-50.57087852,40.09397451,-15.60799448,
129200000,-53.44585842,-45.07058654,40.08852941,-15.54885911,
132180000,-49.65742328,-44.00467338,40.08314424,-15.55884205,
135160000,-50.22789616,-47.59810756,40.07947407,-15.63290475,
138140000,-63.19574264,-43.74862806,40.07530169,-15.61340064,
141120000,-51.18690916,-46.35388801,40.08136588,-15.65246878,
144100000,-50.73507288,-47.52147278,40.08258291,-15.58506285,
147080000,-50.34859596,-46.95863141,40.08665327,-15.46702433,
150060000,-48.16145223,-44.15042568,40.09001075,-15.53600801,
153040000,-49.1987885,-43.64190442,40.09371844,-15.5502805,
156020000,-52.24000553,-51.81096587,40.09530081,-15.55712398,
159000000,-44.9892739,-42.28182377,40.10278105,-15.41466052,
161980000,-46.59940627,-44.66250729,40.10967961,-15.53901017,
164960000,-47.04399081,-41.73510953,40.12198235,-15.47999378,
167940000,-54.45963867,-45.60691332,40.11768465,-15.56586905,
170920000,-51.42519115,-54.90201633,40.12864016,-15.55348328,
173900000,-48.23978382,-44.1029908,40.12945312,-15.44967288,
176880000,-50.40119187,-45.06775238,40.13119298,-15.41903921,
179860000,-47.31686533,-45.37257468,40.14324353,-15.43283237,
182840000,-46.83233341,-44.57560846,40.14459428,-15.52978361,
185820000,-46.42863098,-43.56877117,40.1431801,-15.41986634,
