Frequency,S11_Magnitude,S12_Magnitude,S21_Magnitude,S22_Magnitude,
10000000,-12.91041467,-33.64021787,39.38074046,-27.45459414,
10220000,-18.92931541,-44.99131618,38.91065063,-15.21953141,
10440000,-20.04420343,-47.07004273,38.88203706,-14.36153286,
10660000,-18.91540203,-44.99793224,38.88476942,-15.00045937,
10880000,-19.15939435,-45.62079299,38.87269661,-14.79791046,
11100000,-18.89018532,-44.372996,38.86728386,-14.60820293,
11320000,-19.70222613,-46.60903441,38.84642885,-14.3355239,
11540000,-19.36215498,-45.85050333,38.8485174,-14.4019832,
11760000,-19.13974691,-45.18711011,38.84654643,-14.42942601,
11980000,-18.4665509,-44.60221805,38.85186052,-15.05767596,
12200000,-19.56939789,-46.13029795,38.83660237,-14.16149829,
12420000,-18.22350348,-44.083164,38.86114962,-15.23417933,
12640000,-19.38248166,-46.48614397,38.83069431,-14.28678825,
12860000,-18.85375236,-45.08410747,38.84192064,-14.49816902,
13080000,-19.53756374,-46.65450482,38.83750893,-14.15248191,
13300000,-18.49854513,-44.78666354,38.85048146,-14.68118257,
13520000,-19.06022576,-45.95865755,38.84537892,-14.31448494,
13740000,-19.38726086,-46.91488289,38.85204711,-14.28886046,
13960000,-18.81019552,-44.98116384,38.84674304,-14.38063274,
14180000,-18.87770881,-45.40946602,38.8482462,-14.37618532,
14400000,-19.24194174,-46.56447739,38.82972394,-14.23597037,
14620000,-18.40293895,-44.63610155,38.86416693,-14.57869291,
14840000,-19.00538582,-45.80025764,38.86412046,-14.12949108,
15060000,-19.40971578,-46.67203502,38.8482267,-13.94947041,
15280000,-19.83135412,-48.28418697,38.85864171,-13.74552297,
15500000,-19.38751522,-47.83151214,38.85600242,-14.1123903,
15720000,-18.9630603,-46.7063377,38.8472496,-14.21661863,
15940000,-18.60868543,-45.51138262,38.85693427,-14.31148684,
16160000,-18.3987792,-44.81511857,38.85797107,-14.32703735,
16380000,-18.48270448,-45.3549824,38.8590783,-14.43265964,
16600000,-18.52223297,-45.41003695,38.85541353,-14.32694256,
16820000,-18.30536519,-45.45102433,38.84981375,-14.51754824,
17040000,-18.74136451,-46.30618359,38.84863734,-14.20120203,
17260000,-18.74306286,-46.297945,38.8557004,-14.25253597,
17480000,-18.78702756,-46.0369875,38.83814308,-14.14070958,
17700000,-18.50164959,-45.3691051,38.84459436,-14.13175619,
17920000,-18.46527084,-44.66387448,38.8478467,-14.08573238,
18140000,-16.24438919,-40.74865595,38.85039659,-15.47024764,
18360000,-18.53910424,-45.82282885,38.8371593,-14.18690095,
18580000,-17.85888754,-45.06897473,38.858215,-14.66527984,
18800000,-18.20222369,-44.81865044,38.83994089,-14.36321026,
19020000,-18.97294875,-46.45391914,38.83736924,-13.88374938,
19240000,-18.31242185,-45.75578837,38.84795115,-14.35200835,
19460000,-18.32101964,-45.0510231,38.84438439,-14.24778341,
19680000,-18.37017071,-45.71423834,38.84517391,-14.19679256,
19900000,-18.65126593,-45.26610776,38.84299477,-13.95656812,
20120000,-18.39533936,-46.21088557,38.84189519,-14.23907719,
20340000,-19.29920266,-48.11250718,38.83419697,-13.74363332,
20560000,-18.53683393,-46.71841822,38.8472235,-14.17137032,
20780000,-18.65455039,-46.05179278,38.84971976,-14.06441143,
21000000,-16.20472059,-42.44553022,38.85038961,-13.68369072,
21220000,-18.17375995,-45.51314954,38.85172791,-14.26314518,
21440000,-18.1641991,-45.38540322,38.8584373,-14.38611864,
21660000,-18.74845194,-45.44281917,38.8383889,-13.86483373,
21880000,-18.23532968,-45.37126215,38.85136698,-14.26326573,
22100000,-18.74695022,-45.44041347,38.85014132,-13.85647133,
22320000,-18.35935467,-46.07961171,38.86176979,-14.16913346,
22540000,-18.53691831,-47.17971712,38.85246072,-14.12153781,
22760000,-18.69958636,-46.69784175,38.84870861,-14.0747404,
22980000,-18.92938903,-47.01088184,38.84781949,-13.90324303,
23200000,-18.41629179,-45.95217664,38.84543804,-14.12689172,
23420000,-18.44093698,-45.28742729,38.85154094,-14.06057517,
23640000,-18.06982842,-45.34326764,38.85526545,-14.29080102,
23860000,-17.82528536,-44.87282678,38.86029306,-14.45597329,
24080000,-18.19986934,-45.81470412,38.87040988,-14.32585531,
24300000,-18.68780826,-47.03495728,38.84529157,-14.05136198,
24520000,-18.64861939,-46.22494822,38.85759442,-14.04285243,
24740000,-18.65879618,-46.85432815,38.85627019,-13.99885377,
24960000,-18.10744444,-45.91629205,38.8517512,-14.27468868,
25180000,-18.65942459,-46.52653435,38.81680391,-14.05002069,
25400000,-18.72125761,-46.56491127,38.83269665,-14.10112002,
25620000,-18.63587864,-46.17818028,38.8292184,-13.99879426,
25840000,-18.0524191,-45.04725369,38.83286517,-14.3541591,
