Frequency,S11_Magnitude,S11_Phase,S12_Magnitude,S12_Phase,S21_Magnitude,S21_Phase,S22_Magnitude,S22_Phase,
1000000,-17.77640811,-179.4424824,-19.06411296,4.529818117,10.69159694,-178.8668545,-10.19731679,-178.9337542,
12998000,-18.40532573,178.4607669,-18.86519128,-1.529969142,10.63478202,179.5119153,-10.77784332,179.6357217,
24996000,-18.26950963,177.3563335,-18.88076429,-2.901881231,10.69217342,177.9901764,-10.79797213,179.6892438,
36994000,-18.313585,175.6313764,-18.91910631,-4.461607771,10.66471207,177.2678268,-10.74271177,179.602684,
48992000,-18.31381256,174.3838409,-18.92541458,-5.430161303,10.65572918,175.9073386,-10.73981351,179.1977647,
60990000,-18.35812691,173.2121837,-18.92794189,-6.410482179,10.6518391,174.3639513,-10.7450312,178.8458424,
72988000,-18.33649036,172.0047701,-18.94226371,-7.475880426,10.65448899,173.1938226,-10.75346807,178.5079117,
84986000,-18.35750318,170.6758475,-18.94856002,-8.563947775,10.65488479,171.9375706,-10.75769651,178.2482709,
96984000,-18.35738982,169.4213683,-18.94630935,-9.661067739,10.65027223,170.7327747,-10.76374597,177.9765271,
108982000,-18.36437349,168.1968026,-18.9548627,-10.66488737,10.65023481,169.5269665,-10.77759813,177.730837,
120980000,-18.37752896,166.9434647,-18.95968347,-11.70316887,10.64780603,168.2331302,-10.7939978,177.4004184,
132978000,-18.36902799,165.7850418,-18.95220505,-12.69001741,10.65202998,166.9461549,-10.80347569,177.1381648,
144976000,-18.36581358,164.5980315,-18.95334129,-13.74354977,10.65719098,165.6435496,-10.81029864,176.7900831,
156974000,-18.37564439,163.1918935,-18.96347652,-14.87397474,10.66369741,164.4596691,-10.82477981,176.4567891,
168972000,-18.38523017,161.8052987,-18.96689672,-15.99880502,10.66736403,163.2915659,-10.83301217,176.132658,
180970000,-18.41099682,160.6034376,-18.9608133,-17.14302981,10.6748184,162.0867371,-10.84049895,175.8227353,
192968000,-18.41842594,159.3277704,-18.95543685,-18.19023433,10.68115208,160.8512184,-10.84536825,175.4526819,
204966000,-18.44008462,158.1182514,-18.96152124,-19.30178438,10.68395036,159.6284437,-10.84986377,175.1210435,
216964000,-18.45310741,156.891522,-18.96774796,-20.32810722,10.68629324,158.3601267,-10.85543472,174.8475126,
228962000,-18.44668391,155.7425372,-18.95647907,-21.43612563,10.68388539,157.086339,-10.85700178,174.5142347,
240960000,-18.46098488,154.6790413,-18.96915107,-22.41516958,10.67870246,155.7988829,-10.86015786,174.1678778,
252958000,-18.47094234,153.4561512,-18.96624165,-23.57717508,10.67039532,154.5198536,-10.87182299,173.8479902,
264956000,-18.46274151,152.1803916,-18.96083531,-24.65111829,10.6630901,153.2545317,-10.87560124,173.6448195,
276954000,-18.47593582,151.1708835,-18.97152659,-25.64417445,10.64946861,152.0125231,-10.88540214,173.3448322,
288952000,-18.46615937,150.0438745,-18.97205443,-26.76046049,10.63307845,150.7671982,-10.8950414,173.0397477,
300950000,-18.46860321,148.9134251,-18.96980436,-27.87474327,10.61675936,149.5605719,-10.90369398,172.7641886,
312948000,-18.47347069,147.7507731,-18.97167653,-28.9465083,10.59673794,148.3411451,-10.91010934,172.4920191,
324946000,-18.46918066,146.5788892,-18.96510301,-30.00918532,10.58681986,147.2154237,-10.91515423,172.2030552,
336944000,-18.45098757,145.3977193,-18.9640622,-31.08537885,10.57633076,146.034674,-10.92374,171.8553863,
348942000,-18.4539868,144.306629,-18.9687534,-32.1573758,10.56992898,144.8834286,-10.93941443,171.6131891,
360940000,-18.4380317,142.9897512,-18.97164959,-33.26643768,10.56581651,143.7699957,-10.9399438,171.3574819,
372938000,-18.42634174,141.6891411,-18.96508852,-34.21746481,10.56661749,142.633041,-10.95646164,171.0452909,
384936000,-18.42247585,140.4199496,-18.96060238,-35.30751002,10.57398604,141.5185291,-10.96406487,170.6985024,
396934000,-18.40487462,139.1907561,-18.96595124,-36.36427912,10.58418338,140.3734882,-10.98148267,170.4156704,
408932000,-18.40058436,138.1103204,-18.95317606,-37.51928051,10.59989505,139.2639413,-10.99539837,170.0802048,
420930000,-18.3902329,136.8377876,-18.96593127,-38.53020922,10.61401066,138.1220936,-11.0143879,169.8129995,
432928000,-18.38481462,135.5196482,-18.96287161,-39.63097824,10.63580757,136.9318089,-11.03008893,169.5732369,
444926000,-18.38816047,134.3269384,-18.94602438,-40.67116788,10.65707994,135.7564533,-11.04444522,169.218354,
456924000,-18.37539289,133.0564099,-18.95376983,-41.65483109,10.6738261,134.5150032,-11.04732334,168.8079654,
468922000,-18.37178817,131.7350295,-18.94790311,-42.73548202,10.69316625,133.2453931,-11.06778939,168.4995971,
480920000,-18.38423981,130.4552885,-18.94735696,-43.79197432,10.71044304,131.967275,-11.07846507,168.1687444,
492918000,-18.37704003,129.1481104,-18.94468102,-45.01531686,10.72633152,130.6343703,-11.09491433,167.8930961,
504916000,-18.38922251,127.9514129,-18.94031759,-46.12267201,10.73402865,129.2864825,-11.1151495,167.6599376,
516914000,-18.37150887,126.5987633,-18.93638592,-47.06786621,10.73648307,127.9158334,-11.12445835,167.3516356,
528912000,-18.38785667,125.4124744,-18.93140069,-48.07429187,10.73436083,126.5213351,-11.14101767,167.0102011,
540910000,-18.38506814,124.1050933,-18.92446458,-49.17656091,10.73036395,125.212287,-11.15890011,166.7804992,
552908000,-18.39239191,122.8226515,-18.93491609,-50.27886702,10.72046703,123.8020824,-11.17044135,166.4764955,
564906000,-18.37836,121.495589,-18.91982951,-51.40102912,10.70466794,122.481455,-11.18323533,166.1563634,
576904000,-18.37502864,120.3741859,-18.92332414,-52.43455347,10.68423989,121.1490126,-11.18848177,165.9059837,
588902000,-18.38190024,119.1681543,-18.90213574,-53.54815388,10.65830722,119.9292644,-11.21758618,165.7423373,
600900000,-18.36128332,117.8480145,-18.90763004,-54.62743442,10.63304375,118.7355939,-11.23632744,165.4421953,
612898000,-18.35342671,116.6517355,-18.90371308,-55.66711306,10.60594054,117.564575,-11.25844563,165.2231816,
624896000,-18.35716715,115.2495099,-18.89747164,-56.84984153,10.58901733,116.453875,-11.2709698,164.9537339,
636894000,-18.36008781,113.8737471,-18.89419651,-57.93397931,10.57515663,115.3582946,-11.29255961,164.5889377,
648892000,-18.35343707,112.5077141,-18.88158984,-58.97096369,10.55630731,114.2920366,-11.31153082,164.2430286,
660890000,-18.3455683,111.2771814,-18.87799689,-60.12124745,10.55321329,113.199349,-11.33477694,163.9792549,
672888000,-18.33861723,109.8022001,-18.86505192,-61.18636224,10.55251365,112.1332178,-11.36806527,163.5378382,
684886000,-18.33115934,108.4716188,-18.87981373,-62.20637625,10.56497333,111.0535668,-11.39789512,163.1095492,
696884000,-18.33040833,107.1320074,-18.86764955,-63.24673504,10.57074618,109.9586452,-11.41278403,162.7772981,
708882000,-18.31032323,105.6836516,-18.85700589,-64.27301425,10.601085,108.8837138,-11.43527236,162.4547726,
720880000,-18.30888699,104.3175817,-18.85321355,-65.2953178,10.62512669,107.7711278,-11.46468572,162.226574,
732878000,-18.30320851,102.9469468,-18.86313015,-66.44013143,10.6551129,106.666179,-11.48592633,161.8795902,
744876000,-18.29813904,101.6461408,-18.85646096,-67.46241838,10.68067824,105.5090093,-11.50944479,161.6255253,
756874000,-18.30474132,100.2490105,-18.84517478,-68.55351943,10.71515349,104.2767129,-11.53364911,161.3226491,
768872000,-18.31697286,98.80663014,-18.82962287,-69.60158269,10.74374414,103.0084045,-11.55702361,161.029877,
780870000,-18.30503066,97.51277097,-18.82441559,-70.75609678,10.77199031,101.7145685,-11.57597853,160.7309086,
792868000,-18.31705528,96.00495576,-18.8231831,-71.84120019,10.79861006,100.3614805,-11.59978366,160.3586664,
804866000,-18.30561657,94.65483297,-18.82091347,-72.84430331,10.81878113,98.96777304,-11.62093327,160.0376124,
816864000,-18.30962479,93.21158117,-18.81275899,-73.99554154,10.82902886,97.51837831,-11.6456546,159.7762678,
828862000,-18.2961138,91.78609989,-18.81922184,-75.07757708,10.83373417,96.04228846,-11.66399204,159.4997261,
840860000,-18.28776182,90.31400643,-18.81249468,-76.11544997,10.82931094,94.57197563,-11.68678438,159.2682686,
852858000,-18.28104748,88.94121105,-18.80463446,-77.17336467,10.8297902,93.18687005,-11.70705937,158.9342623,
864856000,-18.26427602,87.66087312,-18.7987554,-78.35864595,10.81645971,91.78055397,-11.72593098,158.7364485,
876854000,-18.24738956,86.32879778,-18.78117801,-79.42503002,10.80316021,90.45199188,-11.75077728,158.5087026,
888852000,-18.23144447,85.06878999,-18.79001379,-80.62079977,10.78133892,89.1016616,-11.77265792,158.2304693,
900850000,-18.19210535,83.96413107,-18.78222247,-81.65073756,10.75601568,87.90231735,-11.78670664,157.9785968,
912848000,-18.17680019,82.61646013,-18.78172692,-82.79767949,10.72448275,86.66565661,-11.8056824,157.6674377,
924846000,-18.17753775,81.23461865,-18.77608772,-83.91747571,10.68710592,85.49988114,-11.82006022,157.4019869,
936844000,-18.18198691,79.72757614,-18.75326312,-85.01392911,10.65625102,84.40000797,-11.86149977,157.0180448,
948842000,-18.17887601,78.44792548,-18.76280917,-86.15872987,10.62440456,83.31385421,-11.90050281,156.6753144,
960840000,-18.15741244,77.12189988,-18.74190913,-87.257116,10.60701727,82.25774127,-11.94471426,156.3891415,
972838000,-18.14140472,75.69389428,-18.74708284,-88.4152038,10.58975647,81.18084974,-11.99118121,156.0221819,
984836000,-18.13564461,74.20830894,-18.73967392,-89.45785689,10.58468707,80.14142283,-12.0279935,155.8247434,
996834000,-18.1512386,72.6962169,-18.73781361,-90.55728363,10.58755106,79.17497311,-12.0791035,155.5312135,
1008832000,-18.15654813,71.19723023,-18.73177518,-91.61989972,10.6051008,78.12933346,-12.11642473,155.1624203,
1020830000,-18.14881083,69.79071352,-18.73172874,-92.73474443,10.63259734,77.15390611,-12.13497878,154.8240463,
1032828000,-18.14146773,68.44099528,-18.72749207,-93.84233847,10.66216717,76.19285128,-12.16518324,154.4387862,
1044826000,-18.13206949,66.95584098,-18.71987891,-94.79269777,10.69688914,75.16577179,-12.20057156,153.9429603,
1056824000,-18.14089549,65.41987528,-18.70392729,-96.00600261,10.73968039,74.02536866,-12.22787969,153.6587336,
1068822000,-18.17065647,63.86291306,-18.70928837,-96.96774693,10.7776204,72.88595616,-12.26304746,153.3851042,
1080820000,-18.17102636,62.53052568,-18.70416819,-98.16389299,10.80891853,71.70066257,-12.28848507,153.1031709,
1092818000,-18.17424042,61.18528702,-18.69054726,-99.28813354,10.8534085,70.39753638,-12.30222757,152.9251042,
1104816000,-18.16011238,59.71431241,-18.69141755,-100.4198838,10.88715777,69.04597165,-12.31633265,152.7741634,
1116814000,-18.16831366,58.30405437,-18.68579022,-101.5052144,10.91733602,67.61592556,-12.34426898,152.4991523,
1128812000,-18.17954093,56.9439479,-18.67299629,-102.591165,10.94203148,66.15874134,-12.3698772,152.2441423,
1140810000,-18.17837414,55.52024342,-18.65973164,-103.6524526,10.96454968,64.66790304,-12.39842742,151.9262982,
1152808000,-18.16178885,54.14255149,-18.64930836,-104.7475457,10.97324108,63.1295041,-12.42989943,151.5566534,
1164806000,-18.13280363,52.63694969,-18.65679929,-105.7897793,10.9817965,61.55418527,-12.4423176,151.352481,
1176804000,-18.11857705,51.18688206,-18.64798235,-106.9517681,10.9794664,60.07152222,-12.46455707,151.054687,
1188802000,-18.07904994,49.67590575,-18.63353927,-108.0557789,10.96555865,58.51515022,-12.48325368,150.7105699,
1200800000,-18.05703701,48.04762337,-18.63010215,-109.1304565,10.94163405,57.07457175,-12.51414466,150.4274366,
1212798000,-18.0474699,46.51690842,-18.63535529,-110.2819129,10.90672142,55.72759581,-12.53541439,150.1759119,
1224796000,-18.06229001,44.94490506,-18.61484148,-111.4144785,10.86139366,54.44781742,-12.56723445,149.9763813,
1236794000,-18.08029962,43.40637985,-18.59953196,-112.5204094,10.80687558,53.15929233,-12.59528212,149.7203512,
1248792000,-18.11100916,41.86186384,-18.60107194,-113.6515743,10.75427036,51.98576763,-12.63584562,149.3915864,
1260790000,-18.1148943,40.31413346,-18.60128163,-114.6429209,10.69944749,50.84858014,-12.70101701,149.0691301,
1272788000,-18.13364736,38.68542209,-18.59245952,-115.7833946,10.65979087,49.75827706,-12.75691232,148.864346,
1284786000,-18.14229463,37.08893107,-18.5797996,-116.8662236,10.62533786,48.73611749,-12.80595689,148.2915386,
1296784000,-18.13669924,35.63119942,-18.58888981,-117.9799249,10.61093685,47.77101012,-12.85836984,147.9062116,
1308782000,-18.13269502,34.31842271,-18.57713843,-119.0979945,10.60168765,46.86568448,-12.92763619,147.4187889,
1320780000,-18.11610169,32.74245881,-18.56967138,-120.1794304,10.60032941,45.93018349,-12.97067877,146.9833584,
1332778000,-18.10414236,31.30273485,-18.57120075,-121.3243105,10.62160566,45.06424817,-13.00360451,146.5508065,
1344776000,-18.11833941,29.8720322,-18.54178352,-122.3854988,10.65603607,44.15209069,-13.04958764,146.2289331,
1356774000,-18.1272135,28.58688599,-18.53262676,-123.5942043,10.70158458,43.22426752,-13.08422461,145.8774357,
