Frequency,S11_Magnitude,S11_Phase,S11_VSWR,S12_Magnitude,S12_Phase,S12_VSWR,S21_Magnitude,S21_Phase,S21_VSWR,S22_Magnitude,S22_Phase,S22_VSWR,
100000,-13.59080361,-140.6613784,1.528927579,-19.95300389,34.42001805,1.223562608,10.71431009,-155.7862256,nan,-7.324863219,-144.0719386,2.510531055,
12123847,-18.48388189,179.6677155,1.270330459,-18.89211691,-0.3780926478,1.256328225,10.63502175,179.5249193,nan,-10.80376569,179.1740331,1.810086525,
24147695,-18.26378179,-179.9518391,1.2782333,-18.87042011,-1.426090227,1.257051714,10.65080385,178.9554491,nan,-10.8288077,179.4635659,1.80681354,
36171543,-18.35560586,179.9635839,1.27490524,-18.93092786,-2.087077954,1.255039707,10.62693086,178.1380228,nan,-10.80156989,179.5572304,1.81037433,
48195390,-18.34961846,-179.826337,1.275120881,-18.93450433,-2.643451517,1.254921332,10.62081923,177.499062,nan,-10.7971131,179.1929191,1.81095889,
60219238,-18.36482682,-179.7625725,1.27457351,-18.93846405,-3.165908495,1.254790343,10.61650555,176.8605478,nan,-10.8132511,178.9283944,1.808844775,
72243086,-18.32295917,-179.8849513,1.276083341,-18.95237304,-3.563863592,1.254330823,10.60974804,176.2466435,nan,-10.82269245,178.6590622,1.807611228,
84266933,-18.30409399,-179.8074751,1.276766697,-18.96042325,-4.066849703,1.254065285,10.60827907,175.675215,nan,-10.83233981,178.3636159,1.806353265,
96290781,-18.28927824,179.9468144,1.2773047,-18.94052586,-4.380694257,1.254722168,10.60267074,175.0970356,nan,-10.8292716,178.1561121,1.806753068,
108314629,-18.29005174,179.9477542,1.277276583,-18.96689299,-4.979651546,1.253852103,10.60587843,174.5644133,nan,-10.85432318,177.9043616,1.803496162,
120338476,-18.25828289,179.8944225,1.278434031,-18.96714455,-5.528658579,1.253843818,10.6037191,173.9991717,nan,-10.87505747,177.6692383,1.800813324,
132362324,-18.22709565,179.5144186,1.279575564,-18.95787554,-5.768676112,1.254149289,10.60676611,173.4283066,nan,-10.86249198,177.366212,1.802437812,
144386172,-18.19216076,179.5066369,1.280860516,-18.94592744,-6.257394625,1.254543656,10.61214046,172.8078479,nan,-10.87556054,176.8925916,1.800748374,
156410020,-18.21541706,179.2720382,1.280004383,-18.94862852,-6.645183813,1.254454443,10.61718986,172.2066187,nan,-10.89161627,176.5825772,1.798679026,
168433867,-18.21011775,179.0644846,1.280199208,-18.95633122,-7.110032039,1.254200223,10.6259142,171.5617083,nan,-10.89808841,176.2642812,1.797846807,
180457715,-18.2616743,179.1708732,1.278310212,-18.94535196,-7.696975409,1.254562668,10.63369746,170.9245008,nan,-10.909078,175.8945819,1.796436261,
