Frequency,S11_Magnitude,S11_Phase,S12_Magnitude,S12_Phase,S21_Magnitude,S21_Phase,S22_Magnitude,S22_Phase,
1000000,-17.24382276,-179.5072664,-19.03151214,4.7279318,10.65511677,-178.8263722,-10.06675175,-178.863404,
12998000,-17.72297324,178.4878466,-18.81866855,-1.441521693,10.58995038,179.5389445,-10.59365116,179.688582,
24996000,-17.62876576,177.119543,-18.83673436,-2.847791661,10.64188562,177.9762409,-10.59234599,179.7276114,
36994000,-17.65733839,175.3745129,-18.86767944,-4.384864688,10.62068377,177.2848837,-10.54625205,179.5327035,
48992000,-17.66197514,174.065683,-18.87568538,-5.36814738,10.61225404,175.9204099,-10.54280367,179.1264576,
60990000,-17.71316025,172.8136248,-18.88162867,-6.341508971,10.60979143,174.3710687,-10.54502329,178.7672334,
72988000,-17.70594845,171.5745702,-18.8921239,-7.388386868,10.61171262,173.2014432,-10.54850747,178.4313275,
84986000,-17.73592628,170.2135085,-18.89602693,-8.497148177,10.61316923,171.9479072,-10.55227308,178.1822177,
96984000,-17.74330279,168.9658106,-18.8978579,-9.606317126,10.60904244,170.7405027,-10.55670524,177.9136748,
108982000,-17.75660099,167.7211585,-18.9073996,-10.62360007,10.60973833,169.5274153,-10.56912713,177.668261,
120980000,-17.77498756,166.477971,-18.91169554,-11.67655847,10.60748512,168.2325709,-10.58624224,177.3631424,
132978000,-17.77389728,165.313521,-18.90204427,-12.64663702,10.61113413,166.9360011,-10.59525426,177.1075246,
144976000,-17.76925289,164.2043052,-18.90749437,-13.74870889,10.61669356,165.6212709,-10.60380382,176.7700118,
156974000,-17.78137209,162.8150966,-18.90838986,-14.83975566,10.62292241,164.4377534,-10.61879905,176.4549741,
168972000,-17.78477875,161.4566916,-18.91763584,-15.97662942,10.62558554,163.267828,-10.63130149,176.1281671,
180970000,-17.80111061,160.2188737,-18.91576623,-17.15501305,10.63279482,162.0570983,-10.64112032,175.8417503,
192968000,-17.80070274,158.9711773,-18.9076413,-18.17810077,10.63793106,160.8265163,-10.64795237,175.4755829,
204966000,-17.81520706,157.7656159,-18.91920237,-19.32060998,10.63964189,159.6006761,-10.65594679,175.1389507,
216964000,-17.81979834,156.5433835,-18.9202417,-20.3694372,10.64157158,158.3207109,-10.66540305,174.8480602,
228962000,-17.80078276,155.3717501,-18.91428938,-21.45748161,10.63789869,157.050711,-10.66963855,174.5249435,
240960000,-17.80450294,154.2577123,-18.92707077,-22.43362757,10.63189713,155.7781622,-10.67753404,174.1675429,
252958000,-17.8072076,153.0140147,-18.92384433,-23.58918636,10.62247669,154.4962667,-10.69045355,173.8358736,
264956000,-17.78917447,151.7172555,-18.91526261,-24.66467512,10.61348446,153.2359368,-10.69657497,173.6105736,
276954000,-17.79381646,150.6328797,-18.93394938,-25.66966185,10.59953348,152.0230073,-10.70581978,173.3250282,
288952000,-17.77873683,149.3805634,-18.93049959,-26.78709425,10.58161682,150.7780354,-10.71726741,172.9994268,
300950000,-17.77523491,148.2140568,-18.93225703,-27.8862531,10.56517733,149.5782516,-10.72356896,172.7085505,
312948000,-17.77754158,146.959277,-18.93393998,-28.9533992,10.54471562,148.3595695,-10.73026803,172.4157403,
324946000,-17.77118791,145.7210744,-18.92780048,-30.0250061,10.53421719,147.243817,-10.73088359,172.1279632,
336944000,-17.75333801,144.4828984,-18.92661125,-31.06497417,10.52326323,146.0847168,-10.73499824,171.8004802,
348942000,-17.76246817,143.3199632,-18.92859911,-32.1570963,10.51728074,144.9452352,-10.74809044,171.5577918,
360940000,-17.74657542,141.9999544,-18.93720865,-33.23465528,10.51296053,143.8420768,-10.7442523,171.3166791,
372938000,-17.74570074,140.6872396,-18.92881819,-34.24964448,10.51435989,142.7066903,-10.75755227,171.0228519,
384936000,-17.73930665,139.4283541,-18.92259821,-35.28075848,10.52173597,141.6001219,-10.7616238,170.7036554,
396934000,-17.73018698,138.1636134,-18.92902962,-36.33723302,10.53311913,140.4653429,-10.77580272,170.4359354,
408932000,-17.73022906,137.0663088,-18.9146894,-37.47883652,10.55062001,139.3666394,-10.78691862,170.1332104,
420930000,-17.72319284,135.8031751,-18.92795319,-38.52499055,10.56541469,138.2252766,-10.80486353,169.9069416,
432928000,-17.72029139,134.5599034,-18.92099274,-39.5944822,10.58667614,137.0364624,-10.82133103,169.6728672,
444926000,-17.72383273,133.3919534,-18.90550661,-40.65989692,10.60755248,135.8654302,-10.83733518,169.3140784,
456924000,-17.71829123,132.1565254,-18.91541466,-41.66007903,10.6256098,134.6111334,-10.84363148,168.9455158,
468922000,-17.70934977,130.9211507,-18.91001581,-42.75598984,10.64627445,133.343146,-10.86738077,168.6445229,
480920000,-17.70843701,129.6936818,-18.90821357,-43.7952575,10.66328871,132.0610382,-10.88353445,168.3144323,
492918000,-17.69978353,128.4478851,-18.90694843,-45.02457549,10.68029112,130.7338244,-10.90224728,168.0517623,
504916000,-17.70822779,127.3237931,-18.90508305,-46.11393507,10.68574448,129.3890425,-10.9267505,167.8074344,
516914000,-17.67906887,126.0063681,-18.90346352,-47.09860063,10.6882959,128.0235706,-10.94219784,167.4868184,
528912000,-17.68117836,124.8415991,-18.89644794,-48.13793449,10.6846659,126.6246669,-10.96350414,167.1318688,
540910000,-17.66385782,123.5726356,-18.88906392,-49.21451882,10.67973951,125.3202165,-10.98331711,166.8650316,
552908000,-17.65950693,122.3184029,-18.89688234,-50.30815956,10.66837749,123.9084467,-10.99756361,166.5522652,
564906000,-17.64667152,120.9953668,-18.88877868,-51.42434133,10.65123802,122.6120022,-11.01122933,166.2267885,
576904000,-17.62627631,119.8502263,-18.89247686,-52.44217608,10.62993255,121.3070175,-11.01542536,165.9594497,
588902000,-17.62533112,118.6192126,-18.87229066,-53.5561231,10.60332706,120.1010772,-11.03921764,165.7889601,
