Frequency,S11_Magnitude,S11_Phase,S11_VSWR,S12_Magnitude,S12_Phase,S12_VSWR,S21_Magnitude,S21_Phase,S21_VSWR,S22_Magnitude,S22_Phase,S22_VSWR,
100000,-13.74178263,-141.0456868,1.517454995,-21.33275776,36.01458081,1.187645928,9.253081706,-153.1620801,nan,-8.140154596,-143.2698107,2.288040059,
12123847,-17.73618113,179.6325897,1.298256124,-18.86148851,-0.3396810428,1.257350203,10.58588334,179.5022736,nan,-10.6329152,179.1320857,1.832879959,
24147695,-17.57658938,-179.9559413,1.304629249,-18.87130213,-1.47343468,1.257022259,10.59428277,178.8947961,nan,-10.65007886,179.4619525,1.830552992,
36171543,-17.63821582,-179.8448283,1.302150182,-18.91129432,-2.022503758,1.255690634,10.57409794,178.1030864,nan,-10.63618898,179.3736451,1.832435466,
48195390,-17.64311502,-179.716964,1.301954082,-18.91701029,-2.671530142,1.255500937,10.56701604,177.4617515,nan,-10.63537359,178.9893449,1.832546145,
60219238,-17.64977452,-179.7071653,1.301687753,-18.91242103,-3.167571265,1.255653229,10.56154017,176.8170655,nan,-10.64923836,178.6685547,1.830666747,
72243086,-17.59994276,-179.6215146,1.303687106,-18.93676149,-3.5669787,1.254846655,10.55373249,176.1793229,nan,-10.66365379,178.3694574,1.82871852,
84266933,-17.58639588,-179.5783449,1.304233224,-18.93692818,-4.147923929,1.254841141,10.5525041,175.6042743,nan,-10.66965426,177.9874412,1.827909306,
96290781,-17.5786891,-179.6480604,1.304544405,-18.93566139,-4.517353819,1.254883048,10.54649184,175.0127073,nan,-10.67773839,177.7781823,1.826820707,
108314629,-17.55790544,-179.7018979,1.305385397,-18.96021852,-4.967710437,1.254072034,10.5484805,174.4871527,nan,-10.69559562,177.4792312,1.824422622,
120338476,-17.52929278,-179.8409435,1.306547488,-18.9497843,-5.576930922,1.254416279,10.54623592,173.9243146,nan,-10.72121926,177.1764588,1.820997243,
132362324,-17.51389091,179.9201042,1.307175102,-18.93640833,-5.862942837,1.254858338,10.54931271,173.3273957,nan,-10.71097401,176.7855481,1.822364623,
144386172,-17.46857088,179.9159386,1.30903032,-18.93863816,-6.370972664,1.254784585,10.55637392,172.7228189,nan,-10.71480376,176.3766969,1.821853142,
156410020,-17.49905338,179.7585867,1.307781096,-18.94448998,-6.683921201,1.254591148,10.56006047,172.1079721,nan,-10.7396858,176.0587653,1.818540014,
168433867,-17.48995521,179.7064806,1.308153354,-18.93201653,-7.318322493,1.255003667,10.56834231,171.4595791,nan,-10.74750912,175.6278605,1.817501875,
180457715,-17.5399414,179.7463011,1.306114414,-18.94159608,-7.863820708,1.254686788,10.57669652,170.8149534,nan,-10.75642171,175.193608,1.816321262,
192481563,-17.54579707,179.5283745,1.305876563,-18.94001674,-8.254718215,1.254739,10.58221527,170.1721306,nan,-10.74746559,174.9321932,1.817507648,
204505410,-17.57339318,179.395906,1.304758451,-18.94775724,-8.550230155,1.254483216,10.58792946,169.4792851,nan,-10.74732267,174.5226749,1.817526598,
216529258,-17.57835712,179.4636161,1.304557818,-18.94170795,-9.149322828,1.25468309,10.59093273,168.8763804,nan,-10.74396819,174.2339844,1.817971539,
228553106,-17.57976922,179.4230376,1.304500771,-18.92982758,-9.615398602,1.255076136,10.59334922,168.1469236,nan,-10.74930161,173.8726474,1.817264255,
240576953,-17.59587683,179.5066426,1.303850901,-18.9503146,-10.03917492,1.254398771,10.59581982,167.4228389,nan,-10.74776074,173.5452929,1.817468515,
252600801,-17.5890296,179.5850413,1.304126964,-18.94770365,-10.63037276,1.254484986,10.58539468,166.7355117,nan,-10.74224889,173.2859153,1.818199711,
264624649,-17.58564053,179.6356424,1.304263708,-18.9391998,-11.01247693,1.254766013,10.58257194,166.0766373,nan,-10.75469598,172.9584639,1.81654969,
276648496,-17.5835546,179.6921782,1.304347906,-18.92680887,-11.54404657,1.255176114,10.5690361,165.386864,nan,-10.75106531,172.6672898,1.817030539,
288672344,-17.59258962,179.9165171,1.303983397,-18.94275312,-12.01363938,1.254648544,10.5535466,164.7121557,nan,-10.75453812,172.4694861,1.81657059,
300696192,-17.56739393,-179.9353131,1.305001128,-18.92176399,-12.46303061,1.255343294,10.53490093,164.1020126,nan,-10.75566659,172.1302909,1.816421205,
312720040,-17.5667318,-179.7371402,1.305027926,-18.9338173,-12.88736366,1.254944067,10.52184359,163.5053202,nan,-10.75517029,171.9193367,1.8164869,
324743887,-17.56471318,-179.6047061,1.305109639,-18.93633322,-13.45167882,1.254860822,10.51061675,162.9322399,nan,-10.76548613,171.7022088,1.815122791,
336767735,-17.52902943,-179.5347601,1.306558207,-18.92698417,-14.06562811,1.255170307,10.49884875,162.3269295,nan,-10.78870595,171.3096396,1.812063068,
348791583,-17.53604577,-179.5707951,1.306272767,-18.92611271,-14.45415557,1.255199176,10.49232463,161.786929,nan,-10.79476499,171.0495686,1.811267091,
360815430,-17.51551069,-179.4747157,1.307109029,-18.92726018,-14.96673511,1.255161164,10.48918137,161.2987955,nan,-10.80100875,170.7523664,1.8104479,
372839278,-17.50222187,-179.5176766,1.307651575,-18.91345416,-15.52766712,1.255618937,10.49229465,160.7914149,nan,-10.82589455,170.4435493,1.807193412,
384863126,-17.480683,-179.7239708,1.308533259,-18.92131545,-15.93189165,1.255358164,10.49765674,160.2223693,nan,-10.82697789,170.1167239,1.807052118,
396886973,-17.45828283,-179.8795323,1.309453238,-18.9233106,-16.53864185,1.255292029,10.50708354,159.6718141,nan,-10.86044991,169.8038115,1.802702215,
408910821,-17.41502627,-179.9496321,1.311238613,-18.93880256,-16.78425262,1.254779149,10.52368863,159.1312865,nan,-10.87084137,169.457095,1.801357917,
420934669,-17.38467268,179.88134,1.312498407,-18.9333706,-17.27069608,1.254958849,10.53455505,158.5903967,nan,-10.88776083,169.1042117,1.799175308,
432958517,-17.40043453,179.84053,1.311843507,-18.91980935,-17.74143386,1.255408101,10.55292332,158.0388424,nan,-10.89821308,168.7556157,1.797830786,
444982364,-17.39440111,179.7031071,1.31209401,-18.91503881,-18.18500852,1.255566347,10.57251364,157.4591319,nan,-10.91129927,168.2884531,1.796151545,
457006212,-17.3747802,179.5315377,1.312910234,-18.91923649,-18.62082056,1.255427098,10.59453909,156.8331144,nan,-10.8979212,167.7799756,1.797868293,
469030060,-17.37832782,179.45627,1.312762475,-18.91471263,-19.05222603,1.255577171,10.60552597,156.1456808,nan,-10.89672761,167.3260695,1.798021692,
481053907,-17.40358086,179.3691374,1.311712965,-18.92311382,-19.4834681,1.255298551,10.63105438,155.4619161,nan,-10.88578753,166.9639757,1.799429469,
493077755,-17.36720562,179.0706883,1.313225983,-18.89200739,-20.15748556,1.256331872,10.64423674,154.7572688,nan,-10.89525079,166.6967622,1.798211544,
505101603,-17.3859082,179.0944895,1.312447015,-18.8741958,-20.53513294,1.256925649,10.65581952,153.9777991,nan,-10.88432304,166.4494235,1.799618163,
517125450,-17.38268183,178.9041008,1.312581238,-18.89555095,-20.99957542,1.256213924,10.66347583,153.1627547,nan,-10.88863472,166.0666112,1.799062784,
529149298,-17.35678344,178.7169565,1.313661026,-18.89391841,-21.54098568,1.256268255,10.66239085,152.3418126,nan,-10.8965085,165.8392272,1.798049856,
541173146,-17.36118796,178.682832,1.313477089,-18.88887005,-22.04350943,1.256436349,10.65616548,151.5317182,nan,-10.89937309,165.5109375,1.797681748,
553196993,-17.36783592,178.6003782,1.313199695,-18.88951119,-22.42240243,1.256414994,10.64869297,150.7641731,nan,-10.90349581,165.2235441,1.797152351,
565220841,-17.3478413,178.5858414,1.314034836,-18.88131401,-22.83225054,1.256688169,10.62896627,149.9579285,nan,-10.90057793,164.8435376,1.797526989,
577244689,-17.34424526,178.4554526,1.314185305,-18.87366405,-23.50310426,1.256943399,10.61375395,149.1872482,nan,-10.90525693,164.5982436,1.796926343,
589268537,-17.33212097,178.4971911,1.314693224,-18.84939869,-23.96714545,1.257754852,10.58567268,148.5385688,nan,-10.92628654,164.3709874,1.794233927,
601292384,-17.34161594,178.3509613,1.314295375,-18.84510404,-24.5411824,1.257898766,10.56190737,147.9167327,nan,-10.94193059,164.1374039,1.792238596,
613316232,-17.33842112,178.3224286,1.314429178,-18.84725428,-25.12146589,1.2578267,10.53625079,147.4344118,nan,-10.96235683,163.9489974,1.789642993,
625340080,-17.30425511,178.3591205,1.315864139,-18.86912135,-25.51549948,1.257095094,10.51933634,146.9154799,nan,-10.97477383,163.6384807,1.788070472,
637363927,-17.30650368,178.0148268,1.315769472,-18.84522249,-26.12524737,1.257894796,10.50530222,146.3996385,nan,-10.9828656,163.3473029,1.787047871,
649387775,-17.2829348,177.9110614,1.316763356,-18.8217809,-26.59975611,1.25868189,10.49182921,145.9740176,nan,-10.99975869,162.8749138,1.784918476,
661411623,-17.25684614,177.8142601,1.317867646,-18.83523562,-27.09623512,1.258229796,10.48543566,145.4696691,nan,-11.02207301,162.6479252,1.782117034,
673435470,-17.23085801,177.5206988,1.318972036,-18.82496751,-27.61531985,1.258574736,10.4840076,144.9754696,nan,-11.06300162,162.2829309,1.777011875,
685459318,-17.2240558,177.3335356,1.319261823,-18.82270601,-28.08074765,1.258650777,10.49118123,144.4331679,nan,-11.08588194,161.7977563,1.774176518,
697483166,-17.19918237,177.2192305,1.32032403,-18.84703195,-28.4791576,1.257834151,10.50317416,143.9750522,nan,-11.10226452,161.4474252,1.772154496,
709507014,-17.16671651,176.9328313,1.321716523,-18.80998031,-28.99303694,1.259079129,10.53010116,143.4973074,nan,-11.11811064,161.0557747,1.770205106,
721530861,-17.16489816,176.580354,1.321794718,-18.8028562,-29.35705742,1.259319274,10.55780812,143.0691408,nan,-11.14881116,160.8520918,1.766446188,
733554709,-17.13427294,176.3777055,1.32311495,-18.81847061,-29.6731063,1.258793254,10.58400207,142.5722741,nan,-11.15950953,160.4539806,1.765141807,
745578557,-17.12286459,176.1678907,1.323608333,-18.78857381,-30.17014906,1.259801465,10.60972095,142.0307731,nan,-11.18245007,160.1727779,1.762354355,
757602404,-17.1376954,175.8109791,1.322967104,-18.7864108,-30.6639967,1.259874578,10.64339678,141.322935,nan,-11.19987241,159.7825627,1.76024606,
769626252,-17.11780445,175.6829524,1.323827446,-18.75969813,-31.18575798,1.260779399,10.67981427,140.6890404,nan,-11.21063843,159.3702864,1.75894697,
781650100,-17.10314917,175.4864786,1.324463,-18.77900528,-31.66785779,1.260125069,10.71625415,139.9061496,nan,-11.20829854,158.9416355,1.759229073,
793673947,-17.07599311,175.4321248,1.325644435,-18.7412502,-32.06663423,1.261406326,10.73978558,139.1566871,nan,-11.20111479,158.4330356,1.760096002,
805697795,-17.0963837,175.0538212,1.324756877,-18.76782903,-32.6139264,1.260503615,10.75924478,138.2789654,nan,-11.18493224,157.9620661,1.76205353,
817721643,-17.08469116,174.8764325,1.32526549,-18.74371144,-33.09859672,1.261322587,10.77133081,137.3322624,nan,-11.18397856,157.6980175,1.762169093,
829745490,-17.03115294,174.6519052,1.327605977,-18.75095579,-33.66789081,1.261076286,10.77346626,136.4243083,nan,-11.18973968,157.4497497,1.761471326,
841769338,-17.01542344,174.1857665,1.328297257,-18.73098297,-34.02098067,1.261755971,10.76210322,135.5824276,nan,-11.18239702,157.2565037,1.762360786,
853793186,-17.00740077,173.8828201,1.328650478,-18.73583214,-34.49124988,1.26159077,10.75501031,134.7514385,nan,-11.19370392,157.0281594,1.760991664,
865817034,-16.99183941,173.7695265,1.329336849,-18.72287477,-35.0334978,1.26203246,10.74181411,133.9844351,nan,-11.20016984,156.9738068,1.760210132,
877840881,-16.96970094,173.6293149,1.330316141,-18.73077324,-35.63356988,1.261763118,10.72106578,133.2690223,nan,-11.20833602,156.724949,1.759224554,
889864729,-16.93176791,173.584439,1.332001842,-18.74237987,-36.25653029,1.261367887,10.69599632,132.5232165,nan,-11.2279761,156.4138022,1.756860849,
901888577,-16.88653703,173.7798221,1.334024712,-18.75176544,-36.61855432,1.261048775,10.66457557,131.8689024,nan,-11.23371598,156.2350967,1.756171821,
913912424,-16.87642416,173.5447497,1.334478917,-18.71783306,-37.2884513,1.262204546,10.64030336,131.2206313,nan,-11.26966016,156.0376631,1.751875119,
925936272,-16.86607062,173.281194,1.334944663,-18.72849578,-37.73850645,1.261840749,10.61040479,130.6449705,nan,-11.28232268,155.8718104,1.750368873,
937960120,-16.85837082,173.2461289,1.335291513,-18.71943958,-38.2468553,1.262149698,10.57971169,130.1470607,nan,-11.34297385,155.5253792,1.743207226,
949983967,-16.83390771,173.0987411,1.336396222,-18.70274069,-38.61174231,1.262720442,10.54636752,129.6545393,nan,-11.38740464,155.2187595,1.738015935,
962007815,-16.82285389,172.980572,1.336896758,-18.70109282,-39.22264752,1.262776839,10.51499173,129.2000613,nan,-11.43261621,154.8501169,1.732780582,
974031663,-16.81085895,172.8708204,1.337440873,-18.71528722,-39.86266892,1.26229149,10.49768817,128.8023543,nan,-11.47452437,154.4889802,1.727969747,
986055511,-16.78786599,172.6613962,1.338486696,-18.6785973,-40.19681417,1.263548082,10.49231884,128.4186065,nan,-11.5016457,154.2464673,1.724877678,
998079358,-16.79007703,172.3086306,1.338385967,-18.67423559,-40.72548981,1.263697912,10.49650332,128.0449464,nan,-11.55181042,153.8322332,1.719202143,
1010103206,-16.7344896,171.9792088,1.340928832,-18.68445151,-41.23690668,1.263347131,10.51608955,127.6603201,nan,-11.58080302,153.3455435,1.715947596,
1022127054,-16.71761317,171.6415273,1.341705176,-18.67076306,-41.71339548,1.263817266,10.5428751,127.2530535,nan,-11.5985962,153.017479,1.713959446,
1034150901,-16.69622394,171.5155974,1.342692029,-18.68053062,-42.27835661,1.2634817,10.57808884,126.9826173,nan,-11.60561989,152.8788593,1.713176563,
1046174749,-16.72296154,171.2063876,1.341458923,-18.64224639,-42.68591507,1.264799694,10.61908984,126.5832728,nan,-11.6317308,152.501926,1.710275643,
1058198597,-16.69876183,170.855563,1.342574765,-18.65633225,-43.24230858,1.264313912,10.65906258,126.0628071,nan,-11.65118241,152.1728355,1.708124247,
1070222444,-16.72881759,170.5921145,1.341189528,-18.64497276,-43.65670147,1.264705591,10.70608058,125.5251348,nan,-11.66999003,151.8900533,1.706051887,
1082246292,-16.7080981,170.5087488,1.342143778,-18.64312701,-44.22904443,1.264769294,10.74426245,124.8123235,nan,-11.68366501,151.5505501,1.704549879,
1094270140,-16.69107227,170.5135,1.342930204,-18.65470088,-44.73282713,1.264370122,10.78409031,124.1767934,nan,-11.67669571,151.2773643,1.705314856,
1106293987,-16.70455887,170.3132102,1.342307085,-18.61572293,-45.16226915,1.265717122,10.82663775,123.4154374,nan,-11.67292876,151.0865682,1.705728769,
1118317835,-16.65325829,170.2309519,1.344684262,-18.60452934,-45.71626479,1.266105366,10.85606784,122.5670189,nan,-11.66412151,150.7191393,1.706697701,
1130341683,-16.62880652,169.8418392,1.345823971,-18.63187938,-46.08968127,1.265157859,10.87476117,121.6574525,nan,-11.66583443,150.3859522,1.706509122,
1142365531,-16.61330109,169.5254778,1.346548928,-18.62696979,-46.7090686,1.265327668,10.88617203,120.6749277,nan,-11.67027362,150.0635852,1.706020697,
1154389378,-16.57885773,169.3085424,1.348165577,-18.62693482,-47.10265251,1.265328878,10.88968521,119.6600727,nan,-11.67341391,149.7183979,1.705675443,
1166413226,-16.53490728,169.0972891,1.350241047,-18.59757189,-47.5827758,1.266347001,10.89597349,118.6542128,nan,-11.67066277,149.6929595,1.705977901,
1178437074,-16.50514924,169.0182882,1.351654381,-18.60508402,-48.05006848,1.266086112,10.88945843,117.7296363,nan,-11.68465874,149.4311749,1.704440889,
1190460921,-16.47750047,168.7041985,1.352973415,-18.60713776,-48.6978418,1.266014838,10.86805923,116.7367669,nan,-11.69391405,149.1186798,1.703426803,
1202484769,-16.47128426,168.4051136,1.353270753,-18.59021303,-49.14125662,1.266602844,10.84569584,115.9095292,nan,-11.71941948,148.9062441,1.70064173,
