Frequency,S11_Magnitude,S11_Phase,S12_Magnitude,S12_Phase,S21_Magnitude,S21_Phase,S22_Magnitude,S22_Phase,
1000000,-17.23860877,179.8224917,-19.15234698,4.604072256,10.8474054,-179.1455705,-10.00733578,-179.4622975,
12998000,-17.74234116,178.4254256,-18.93742162,-1.42330796,10.76965751,179.5216965,-10.55683761,179.6031869,
24996000,-17.59793877,177.2372858,-18.94701772,-2.807553034,10.83419898,178.0039372,-10.58173409,179.5523665,
36994000,-17.65613936,175.3204438,-18.98661124,-4.34720861,10.80418532,177.2754519,-10.5182979,179.4692685,
48992000,-17.66444759,173.9992476,-18.99319971,-5.328700122,10.79479794,175.9014911,-10.51624204,179.0346554,
60990000,-17.71861341,172.7348919,-18.99775665,-6.28424598,10.79214642,174.3545255,-10.51884048,178.6661803,
72988000,-17.71031195,171.4396407,-19.00496872,-7.328071569,10.79379108,173.1786398,-10.52544871,178.3268393,
84986000,-17.74089628,170.0770448,-19.00989037,-8.42032732,10.7940553,171.9145591,-10.5293561,178.0642906,
96984000,-17.75610652,168.7787692,-19.00584733,-9.505101675,10.78936397,170.7046424,-10.53481123,177.7946649,
108982000,-17.7732245,167.5481745,-19.01688616,-10.56391452,10.78829494,169.4949624,-10.5486161,177.5444821,
120980000,-17.79595699,166.2491897,-19.01848168,-11.56927703,10.78532047,168.1883397,-10.56619514,177.2232607,
132978000,-17.79908278,165.0902747,-19.00723776,-12.54199758,10.7887216,166.8866334,-10.57526438,176.9600383,
144976000,-17.80162507,164.0122353,-19.01395877,-13.67355844,10.79332169,165.5639481,-10.58584967,176.6119444,
156974000,-17.81438729,162.6033119,-19.01386228,-14.74415402,10.79908238,164.3912346,-10.59982398,176.3083669,
168972000,-17.82993951,161.2671491,-19.02001758,-15.89219688,10.80067464,163.2249834,-10.61237565,175.9942593,
180970000,-17.85297408,160.0246867,-19.01624044,-17.06466161,10.80698537,162.0191392,-10.62180498,175.6990701,
192968000,-17.85687669,158.7861389,-19.0083632,-18.0918606,10.81166361,160.7942559,-10.62916773,175.3326638,
204966000,-17.87352879,157.6039367,-19.01763846,-19.22529307,10.81294319,159.5668211,-10.63663702,175.0077835,
216964000,-17.88797758,156.3877913,-19.01895023,-20.27023702,10.81426358,158.2969544,-10.64542868,174.7138767,
228962000,-17.87264897,155.2433853,-19.01174541,-21.37957445,10.81018465,157.0324762,-10.65045681,174.3885173,
240960000,-17.88549255,154.1646837,-19.02559961,-22.36692372,10.8032753,155.75934,-10.65804968,174.0346301,
252958000,-17.8886915,152.9497927,-19.02065016,-23.52714912,10.79395552,154.4774934,-10.67102336,173.6837847,
264956000,-17.87461171,151.64275,-19.01372843,-24.6145076,10.78459348,153.2126853,-10.67630804,173.471821,
276954000,-17.88478036,150.6347726,-19.02781877,-25.58616565,10.77011626,152.0042864,-10.68493756,173.1714771,
288952000,-17.87374552,149.4233549,-19.02802587,-26.73723709,10.75168431,150.7686659,-10.69562409,172.8594119,
300950000,-17.87452183,148.2832383,-19.02614584,-27.79673395,10.73450345,149.5632164,-10.70204738,172.5664336,
312948000,-17.87596497,147.0713173,-19.02930986,-28.90138379,10.71435763,148.3509051,-10.70667048,172.2788699,
324946000,-17.87117388,145.8372814,-19.02141212,-29.96450332,10.70366311,147.2380938,-10.70781874,171.9881455,
336944000,-17.85535851,144.6451884,-19.02481013,-31.03390613,10.69193051,146.0769529,-10.7128662,171.6566395,
348942000,-17.86163856,143.5373951,-19.02151536,-32.09889966,10.68589774,144.9446367,-10.72495488,171.4123164,
360940000,-17.84978409,142.2179988,-19.02767824,-33.19047745,10.68164514,143.8383506,-10.72011481,171.1668582,
372938000,-17.84914511,140.9172967,-19.02274737,-34.185451,10.68201856,142.7179396,-10.73124095,170.8581764,
384936000,-17.84272349,139.6622999,-19.0139714,-35.2353854,10.68990868,141.6043675,-10.73562564,170.5352475,
396934000,-17.83263527,138.430117,-19.0229482,-36.31381004,10.7008,140.4655188,-10.74903459,170.2698288,
408932000,-17.8324635,137.3709011,-19.00975739,-37.45797393,10.71786088,139.3715982,-10.76090945,169.9737688,
420930000,-17.82781643,136.1011856,-19.02240164,-38.48550468,10.73238241,138.2317644,-10.77735197,169.7196919,
432928000,-17.82428355,134.8805273,-19.0144408,-39.57826223,10.75464058,137.0474449,-10.79295234,169.5112426,
444926000,-17.82871752,133.7355519,-18.99855805,-40.61691166,10.77591213,135.8820255,-10.80436686,169.1628726,
456924000,-17.82091397,132.5144262,-19.00671975,-41.61414175,10.79345475,134.6330239,-10.80878035,168.7708026,
468922000,-17.81398274,131.2653161,-19.00568825,-42.71137216,10.81373592,133.3729993,-10.83092649,168.4784606,
480920000,-17.81816117,130.0577241,-19.0033792,-43.73779839,10.83087373,132.0933216,-10.84601735,168.154476,
492918000,-17.80805817,128.8283936,-19.00037917,-44.98651241,10.84756047,130.7661065,-10.8638834,167.8828929,
504916000,-17.81553727,127.6929074,-18.99859418,-46.0853306,10.85402991,129.4262558,-10.88537908,167.6371363,
516914000,-17.79109638,126.3827602,-18.9973227,-47.05238934,10.85584245,128.0511498,-10.90084131,167.3247951,
528912000,-17.79319906,125.2328062,-18.99080151,-48.09740172,10.85304857,126.6600182,-10.91957386,166.9612419,
540910000,-17.78289015,123.9953302,-18.98581208,-49.16979446,10.84808233,125.3522257,-10.93660379,166.7161527,
552908000,-17.77625279,122.7240679,-18.99203364,-50.27752634,10.83629791,123.9490507,-10.94892978,166.3821374,
564906000,-17.76032849,121.4313131,-18.98054925,-51.41558693,10.81984324,122.6454787,-10.96176137,166.0853368,
576904000,-17.74349171,120.304016,-18.98598139,-52.40668583,10.79727218,121.3344808,-10.96550186,165.8146731,
588902000,-17.74492267,119.0873307,-18.96702111,-53.50017697,10.77081267,120.1303714,-10.98951291,165.6223461,
600900000,-17.71060845,117.7647732,-18.97038931,-54.57267777,10.7445965,118.9392608,-11.00532475,165.3179299,
612898000,-17.7034547,116.5148651,-18.96541521,-55.62958717,10.7145724,117.7730201,-11.02071508,165.0803342,
624896000,-17.70406835,115.1370406,-18.96476105,-56.79996345,10.69708155,116.6741488,-11.02875104,164.7936411,
636894000,-17.70631633,113.7353723,-18.96316558,-57.89662876,10.68336233,115.5842111,-11.04044511,164.4552761,
648892000,-17.69765586,112.3216658,-18.94669338,-58.90435363,10.6628934,114.5422244,-11.05462654,164.1289651,
