Frequency,S11_Magnitude,S11_Phase,S11_VSWR,S12_Magnitude,S12_Phase,S12_VSWR,S21_Magnitude,S21_Phase,S21_VSWR,S22_Magnitude,S22_Phase,S22_VSWR,
100000,-13.40842278,-145.950945,1.543199387,-21.57617316,31.87650839,1.181988433,9.906103899,-155.4654837,nan,-7.74331968,-151.3737427,2.390102614,
12123847,-17.74733664,179.5908011,1.297816308,-18.96546608,-0.3952280033,1.253899103,10.77669285,179.5087889,nan,-10.58187618,179.1005528,1.839849631,
24147695,-17.53574226,-179.7674188,1.306285108,-18.96024397,-1.247784528,1.254071195,10.79599723,178.9614723,nan,-10.60113992,179.3390067,1.837210215,
36171543,-17.6292686,179.9276343,1.302508684,-19.00149777,-1.995086884,1.252715224,10.77195206,178.1233978,nan,-10.57984957,179.4119593,1.840127933,
48195390,-17.64667778,-179.7966765,1.301811566,-19.00334072,-2.523797744,1.252654836,10.76584889,177.4783081,nan,-10.57649077,179.0668696,1.84058944,
60219238,-17.64921616,-179.8579037,1.301710073,-19.00123581,-3.032018071,1.252723809,10.76060646,176.844555,nan,-10.59404838,178.7927831,1.83818061,
72243086,-17.63113765,-179.7398709,1.302433755,-19.02633485,-3.521442564,1.251902737,10.75301176,176.2472475,nan,-10.60454757,178.4939169,1.836744436,
84266933,-17.60300032,-179.7372437,1.303564,-19.03304401,-3.937142665,1.251683761,10.7521562,175.6666501,nan,-10.61525816,178.1053223,1.835282628,
96290781,-17.6060713,-179.893704,1.30344041,-19.02959189,-4.263629478,1.251796406,10.74427612,175.0940658,nan,-10.62660384,177.9526281,1.833737744,
108314629,-17.60396936,-179.9099247,1.303524995,-19.02760074,-4.676296985,1.251861404,10.74816847,174.5690136,nan,-10.64314247,177.6797289,1.83149238,
120338476,-17.57781431,-179.8648541,1.30457975,-19.0257016,-5.261971204,1.251923416,10.74471225,174.0142734,nan,-10.6614847,177.3988695,1.829011291,
132362324,-17.57141515,179.8669136,1.30483844,-19.01001421,-5.694942649,1.252436301,10.74784476,173.4211036,nan,-10.65649381,177.0437437,1.829685443,
144386172,-17.52187656,179.8792109,1.306849511,-19.0292591,-6.055601109,1.251807268,10.75396554,172.847649,nan,-10.66627168,176.6599378,1.828365349,
156410020,-17.5549047,179.8676362,1.305507036,-19.02866414,-6.578597197,1.251826689,10.75645987,172.2366054,nan,-10.69133599,176.3279761,1.824993839,
168433867,-17.57520253,179.7504233,1.304685303,-19.01261929,-6.994999949,1.25235105,10.7642458,171.6035582,nan,-10.69486686,175.9802858,1.824520313,
180457715,-17.62269802,179.8286709,1.302772264,-19.01717602,-7.474561793,1.252202008,10.76972768,170.9581912,nan,-10.71034348,175.584711,1.822448872,
192481563,-17.61277289,179.6995773,1.303170906,-19.0193619,-7.953929489,1.252130547,10.77562552,170.3369436,nan,-10.70927577,175.2895084,1.822591562,
204505410,-17.6576025,179.5288074,1.301375034,-19.02316518,-8.359366544,1.252006263,10.78075149,169.6618169,nan,-10.70612506,174.9399612,1.823012812,
216529258,-17.66031537,179.7648076,1.301266744,-19.00422061,-8.87808605,1.252626011,10.78170515,169.0584415,nan,-10.71128763,174.7404912,1.822322722,
228553106,-17.66476159,179.6818565,1.301089357,-18.99556855,-9.266435608,1.252909615,10.78512425,168.3529849,nan,-10.71078324,174.4284909,1.822390112,
240576953,-17.66909334,179.782029,1.300916651,-19.00639867,-9.638049466,1.252554672,10.78492506,167.642678,nan,-10.71432133,174.0515369,1.821917551,
252600801,-17.68094508,179.8514846,1.300444697,-19.01944765,-10.23160117,1.252127744,10.77610713,166.9716581,nan,-10.71204967,173.8257262,1.822220922,
264624649,-17.68215766,179.9802447,1.300396458,-19.00732514,-10.66239877,1.252524334,10.77390664,166.3326899,nan,-10.72574559,173.5217003,1.820394073,
276648496,-17.68377633,-179.9354161,1.300332076,-19.00890102,-11.22989197,1.25247274,10.75900537,165.6593,nan,-10.73367144,173.2866486,1.819339265,
288672344,-17.69800298,-179.7453506,1.299766895,-19.00056125,-11.69820327,1.252745917,10.74326139,165.0278152,nan,-10.72936743,173.0826951,1.819911844,
300696192,-17.68146128,-179.3493281,1.30042416,-19.00270114,-11.954706,1.252675791,10.72428159,164.4240154,nan,-10.73613615,172.8215227,1.819011607,
312720040,-17.69265166,-179.3599963,1.299979345,-18.98910359,-12.48329962,1.253121761,10.71208017,163.839326,nan,-10.74800189,172.6131494,1.817436544,
324743887,-17.67336362,-179.1812091,1.300746506,-19.00758158,-13.01983008,1.252515937,10.7010433,163.3023706,nan,-10.75094545,172.4202396,1.817046419,
336767735,-17.6483052,-179.0238733,1.301746492,-19.00530987,-13.51201736,1.252590331,10.68885589,162.7176275,nan,-10.77214503,172.1282364,1.814243816,
348791583,-17.663499,-178.9284928,1.301139717,-18.99589011,-13.95405107,1.252899069,10.68250527,162.1873455,nan,-10.78698316,171.8501446,1.812289574,
360815430,-17.66932866,-178.8992088,1.300907272,-18.99533574,-14.59159006,1.252917252,10.67873251,161.7216536,nan,-10.79784703,171.5639269,1.81086259,
372839278,-17.63599309,-178.9004419,1.302239199,-18.99464109,-14.95559312,1.252940038,10.68249307,161.2394717,nan,-10.81156728,171.3577653,1.809065028,
384863126,-17.63741556,-179.0242556,1.302182228,-18.98927881,-15.41534018,1.253116008,10.68869671,160.6709418,nan,-10.82165068,171.0763388,1.80774722,
396886973,-17.61409953,-178.9269588,1.303117587,-18.97197493,-16.01245148,1.253684788,10.69702864,160.1408763,nan,-10.85758845,170.7117908,1.803072899,
408910821,-17.59972451,-178.8948276,1.303695896,-18.99080411,-16.33716949,1.253065939,10.71523737,159.6268284,nan,-10.87180558,170.417477,1.801233328,
420934669,-17.56919325,-179.0678143,1.304928321,-18.98995124,-16.71076857,1.253093934,10.72664124,159.0864678,nan,-10.88525307,170.1576535,1.799498326,
432958517,-17.57408413,-179.1122047,1.304730515,-18.997236,-17.19906995,1.252854931,10.74543903,158.5630947,nan,-10.9020954,169.8199398,1.797332126,
444982364,-17.58184832,-179.1442674,1.3044168,-18.97449904,-17.64994724,1.253601732,10.7637816,158.0080151,nan,-10.91395762,169.3734338,1.795810975,
457006212,-17.56307295,-179.2473953,1.305176053,-18.98418788,-18.07720406,1.2532832,10.78715802,157.397472,nan,-10.90771683,168.9074975,1.796610798,
469030060,-17.56364779,-179.2256131,1.305152775,-18.9829104,-18.57402959,1.253325173,10.80023765,156.7234401,nan,-10.90513183,168.4309131,1.796942395,
481053907,-17.59565242,-179.2879541,1.303859943,-18.99724451,-18.96231517,1.252854652,10.82463053,156.0480051,nan,-10.90334037,168.121912,1.797172302,
493077755,-17.55183353,-179.5041745,1.305631587,-18.95762527,-19.55437195,1.254157542,10.83670006,155.3759518,nan,-10.91480386,167.8577623,1.795702601,
505101603,-17.58525543,-179.5155653,1.30427925,-18.94795436,-19.79051363,1.254476706,10.85039242,154.6002206,nan,-10.90379442,167.568009,1.797114024,
517125450,-17.59143202,-179.5890149,1.304030072,-18.95994554,-20.29835801,1.254081034,10.85793629,153.8226345,nan,-10.91642854,167.3270415,1.795494587,
529149298,-17.56770195,-179.7161558,1.304988663,-18.96211775,-20.92005915,1.254009431,10.85569786,153.03015,nan,-10.92334114,167.0943268,1.794610321,
541173146,-17.55448431,-179.6616981,1.305524082,-18.9596957,-21.39882429,1.254089271,10.85051616,152.225314,nan,-10.93718441,166.8065386,1.79284327,
553196993,-17.57638936,-179.7052813,1.304637333,-18.92933131,-21.70132417,1.25509257,10.84303749,151.464137,nan,-10.94199705,166.4937382,1.792230132,
565220841,-17.56012867,-179.7682143,1.305295311,-18.95115055,-22.25357382,1.254371175,10.82513687,150.6907231,nan,-10.94305948,166.1818985,1.792094861,
577244689,-17.54528024,-179.8430283,1.305897548,-18.92103354,-22.9228239,1.255367511,10.81167161,149.9326997,nan,-10.95927197,165.966384,1.790034293,
589268537,-17.57507417,-179.7473463,1.304690491,-18.92584541,-23.32075537,1.255208032,10.78397024,149.3131598,nan,-10.97262556,165.7809335,1.788342248,
601292384,-17.5692776,-179.8360609,1.304924908,-18.90200644,-23.88582684,1.255999208,10.75851334,148.6972107,nan,-10.99684946,165.519451,1.785284661,
613316232,-17.56127307,-179.8070443,1.305248951,-18.89948588,-24.40442543,1.25608302,10.73271863,148.2359964,nan,-11.02962219,165.370834,1.781172177,
625340080,-17.5499566,-179.9223013,1.305707734,-18.91638791,-24.85810634,1.255521584,10.7155976,147.7251078,nan,-11.02920378,165.0706263,1.781224506,
637363927,-17.547982,179.9703367,1.305787867,-18.90503362,-25.39259826,1.255898589,10.70261341,147.2325671,nan,-11.05707163,164.7622305,1.777748893,
