Frequency,S11_Magnitude,S11_Phase,S12_Magnitude,S12_Phase,S21_Magnitude,S21_Phase,S22_Magnitude,S22_Phase,
1000000,-18.37536363,179.9529824,-19.15119442,4.517223687,10.90486424,-179.0573736,-10.29886964,-178.8833748,
12998000,-18.93303955,178.5474393,-18.96099505,-1.418441203,10.83424576,179.5789094,-10.82704283,179.6916144,
24996000,-18.8293583,177.7032084,-18.9782754,-2.720856456,10.88707635,178.1145444,-10.82524648,179.5863697,
36994000,-18.8276288,175.4733307,-19.00512179,-4.359408756,10.87304864,177.338777,-10.79735057,179.730822,
48992000,-18.85018578,174.325066,-19.01407235,-5.343131431,10.86100195,175.9953903,-10.78243958,179.299202,
60990000,-18.91083633,173.2033041,-19.01997429,-6.284851208,10.85890904,174.4549819,-10.78220425,178.9481945,
72988000,-18.8983889,171.9962647,-19.03096083,-7.331080839,10.86214176,173.3060466,-10.78630451,178.6444499,
84986000,-18.93094062,170.7194559,-19.03340091,-8.429082363,10.86396196,172.0481338,-10.78951442,178.3957757,
96984000,-18.94323563,169.5326861,-19.02760791,-9.531804826,10.86066351,170.8410219,-10.79271316,178.1514049,
108982000,-18.9593115,168.3988633,-19.04124213,-10.54450279,10.86137685,169.6315017,-10.80383832,177.935898,
120980000,-18.97772212,167.1989797,-19.04765389,-11.58864921,10.85958868,168.3290104,-10.82189489,177.6488943,
132978000,-18.97569613,166.1064833,-19.03425956,-12.56763645,10.8643487,167.0257661,-10.82930959,177.4029389,
144976000,-18.97183052,165.117306,-19.04006536,-13.63707892,10.86949575,165.7009656,-10.8388019,177.079296,
156974000,-18.98225891,163.7824565,-19.04701236,-14.74327728,10.87595549,164.52019,-10.85176985,176.7810406,
168972000,-18.99175212,162.4697415,-19.04837646,-15.88583537,10.87990808,163.3613458,-10.8650767,176.4707609,
180970000,-19.01054152,161.3202799,-19.04486785,-17.05693307,10.8869404,162.1596238,-10.87538369,176.2121115,
192968000,-19.01136983,160.1585671,-19.03622423,-18.0893753,10.8922813,160.923849,-10.88300278,175.8596407,
204966000,-19.02364819,159.0041877,-19.0455591,-19.23416932,10.89439753,159.6970796,-10.8903927,175.5370498,
216964000,-19.03325308,157.8523166,-19.04827012,-20.27455186,10.89642441,158.4250708,-10.90095145,175.2665186,
228962000,-19.01506953,156.7934572,-19.04198091,-21.37994093,10.89256323,157.161517,-10.90704879,174.9476715,
240960000,-19.02123059,155.775559,-19.05220032,-22.34096401,10.88689125,155.8909409,-10.91330499,174.6250656,
252958000,-19.02335566,154.584818,-19.05136317,-23.51245556,10.87778318,154.6023931,-10.9269355,174.2978457,
264956000,-19.00444625,153.3309339,-19.04356995,-24.57784082,10.86942447,153.3458649,-10.93190952,174.1015686,
276954000,-19.01245161,152.365306,-19.05761085,-25.57707694,10.85566487,152.1324084,-10.94275828,173.8264709,
288952000,-18.99235585,151.2258304,-19.05748954,-26.70519523,10.83873119,150.8937941,-10.95327554,173.5193134,
300950000,-18.99538292,150.1064754,-19.05698346,-27.80438623,10.82208387,149.686257,-10.96137479,173.2459793,
312948000,-18.99325003,148.9499476,-19.05833854,-28.89982531,10.80278411,148.4688272,-10.96622527,172.9750195,
324946000,-18.98688363,147.7309901,-19.05193191,-29.9254929,10.79292807,147.3484123,-10.96840852,172.6903808,
336944000,-18.97230637,146.5517194,-19.05068639,-31.0076498,10.78169192,146.1782503,-10.97574333,172.3807994,
348942000,-18.97750612,145.4916224,-19.053792,-32.06957257,10.77573009,145.0386603,-10.98705638,172.1617811,
360940000,-18.96748057,144.2115001,-19.05664477,-33.17996139,10.77191161,143.9301206,-10.98353342,171.9458539,
372938000,-18.96882471,142.9554669,-19.05319846,-34.17358712,10.77256942,142.7948634,-10.99820635,171.6574144,
384936000,-18.97014613,141.713542,-19.04461653,-35.22362747,10.78047139,141.6806051,-11.00372142,171.3459517,
396934000,-18.95967349,140.5331135,-19.05100106,-36.28136377,10.79098805,140.5395062,-11.01724516,171.1082599,
408932000,-18.96134007,139.5354139,-19.03783544,-37.43747946,10.80707612,139.4369786,-11.03044932,170.8143398,
420930000,-18.95675566,138.3234497,-19.04857849,-38.46842985,10.82187288,138.2890049,-11.04971983,170.6148469,
432928000,-18.95773518,137.1465422,-19.04422218,-39.56422419,10.84312186,137.1111935,-11.06892797,170.404792,
444926000,-18.9670055,136.0428073,-19.03004729,-40.61064354,10.86426671,135.9317244,-11.08290073,170.0817922,
456924000,-18.95751704,134.8778525,-19.03995764,-41.61120083,10.88060025,134.6850944,-11.08961835,169.7182993,
468922000,-18.95451016,133.6877698,-19.03582438,-42.71583248,10.90011563,133.4148148,-11.11419995,169.4393413,
480920000,-18.95642213,132.5381747,-19.03210655,-43.76178217,10.91689812,132.1399224,-11.13153907,169.1392596,
