Frequency,S11_Magnitude,S11_Phase,S11_VSWR,S12_Magnitude,S12_Phase,S12_VSWR,S21_Magnitude,S21_Phase,S21_VSWR,S22_Magnitude,S22_Phase,S22_VSWR,
100000,-13.90498338,-144.6332706,1.505389309,-20.80052156,34.3651613,1.200693589,10.81096952,-154.075249,nan,-7.683128241,-145.2401436,2.406567546,
12123847,-18.87422864,179.5351862,1.256924553,-19.00521697,-0.3738444884,1.252593374,10.85139376,179.4983942,nan,-10.83261287,179.1692962,1.806317696,
24147695,-18.69021632,-179.6360628,1.263149417,-18.99223167,-1.189127747,1.253019089,10.85850933,178.9731072,nan,-10.83993377,179.4256235,1.805364829,
36171543,-18.73240148,179.9148417,1.261707633,-19.01684544,-2.041909641,1.252212818,10.85090618,178.0942411,nan,-10.84859868,179.6159485,1.8042389,
48195390,-18.77076228,-179.8093422,1.260404205,-19.03145368,-2.479821708,1.251735648,10.83880235,177.4639949,nan,-10.82774694,179.3239103,1.806951836,
60219238,-18.77448519,-179.6490041,1.260278093,-19.03160534,-3.105440158,1.251730699,10.83277514,176.8506665,nan,-10.84236114,179.0211053,1.805049209,
72243086,-18.75443493,-179.6849258,1.26095809,-19.045601,-3.516528867,1.25127449,10.82763183,176.2392719,nan,-10.85564486,178.7403921,1.803324804,
84266933,-18.72480162,-179.4898198,1.261966725,-19.05784089,-4.027664757,1.250876266,10.82655764,175.6577147,nan,-10.85851237,178.4405651,1.802953186,
96290781,-18.7132534,-179.6306227,1.262360971,-19.04133228,-4.30507948,1.251413538,10.82231576,175.0866926,nan,-10.86521443,178.2581344,1.80208549,
108314629,-18.72320486,-179.61413,1.262021198,-19.06497806,-4.871319852,1.250644383,10.82737068,174.5562729,nan,-10.88871634,178.0331852,1.799052275,
120338476,-18.69644755,-179.5940293,1.262935892,-19.05071715,-5.311936355,1.251107951,10.82431035,173.9904248,nan,-10.90261884,177.8138226,1.797264924,
132362324,-18.66021075,-179.7063076,1.264180328,-19.05349979,-5.851496034,1.251017423,10.82799293,173.3941376,nan,-10.89427579,177.4378523,1.798336916,
144386172,-18.62648685,-179.806652,1.265344378,-19.03858384,-6.190879882,1.25150311,10.8348606,172.7949694,nan,-10.90085562,177.0674684,1.797491324,
156410020,-18.64080986,-179.9282393,1.264849291,-19.06249937,-6.689184531,1.250724887,10.83988569,172.1994191,nan,-10.93057398,176.8077555,1.793686441,
168433867,-18.62715198,-179.867758,1.265321364,-19.04447308,-7.179887636,1.251311222,10.8459709,171.5439171,nan,-10.9284174,176.4428202,1.793961765,
180457715,-18.69633021,-179.8831403,1.262939911,-19.04639948,-7.57732047,1.25124849,10.85474473,170.8887112,nan,-10.93955126,176.121192,1.792541654,
192481563,-18.68401322,179.9073617,1.26336217,-19.05208875,-8.116715374,1.251063324,10.8592216,170.2710768,nan,-10.93992209,175.8322853,1.792494411,
204505410,-18.72303248,179.7516554,1.262027079,-19.05820596,-8.492164838,1.2508644,10.86572517,169.5849598,nan,-10.935405,175.5070993,1.793070124,
216529258,-18.71587186,179.9052934,1.262271521,-19.06851366,-9.002322825,1.250529601,10.86645148,168.9700123,nan,-10.95368053,175.3339446,1.790744173,
228553106,-18.70564457,179.8838994,1.262621092,-19.05575804,-9.480146331,1.250943982,10.86932444,168.2571261,nan,-10.94939913,174.9814411,1.791288286,
240576953,-18.72951011,179.9302282,1.261806171,-19.03028379,-9.862613097,1.251773825,10.87187182,167.5518615,nan,-10.94769411,174.6397666,1.791505106,
252600801,-18.72105355,-179.9171118,1.262094609,-19.04604545,-10.36365649,1.251260018,10.86299924,166.8624184,nan,-10.94923966,174.4837096,1.791308562,
264624649,-18.71889475,-179.8840349,1.262168298,-19.05667697,-10.79205706,1.250914104,10.8598968,166.2184466,nan,-10.95622026,174.2705647,1.790421632,
276648496,-18.70287018,-179.7716147,1.262716011,-19.03696669,-11.31645688,1.251555829,10.84721741,165.5451556,nan,-10.97045397,174.0068105,1.788617094,
288672344,-18.7087576,-179.4474136,1.262514633,-19.02320058,-11.71829957,1.252005107,10.83182084,164.9127175,nan,-10.96441238,173.8684642,1.789382395,
300696192,-18.70627396,-179.2726718,1.262599564,-19.03856726,-12.32406917,1.25150365,10.81341403,164.2925153,nan,-10.97091605,173.5735011,1.788558601,
312720040,-18.69336376,-179.1956399,1.263041539,-19.03377654,-12.70782426,1.251659865,10.80115165,163.6959164,nan,-10.97945285,173.4263739,1.787478951,
324743887,-18.7075245,-179.0731176,1.262556797,-19.04120389,-13.21620803,1.251417721,10.79077502,163.1427207,nan,-10.98744546,173.2649013,1.786469842,
336767735,-18.67269002,-178.8246335,1.263751027,-19.03725878,-13.64517453,1.251546306,10.77856632,162.546721,nan,-11.00311861,172.9198548,1.784495835,
348791583,-18.68135747,-178.8813954,1.263453315,-19.0339645,-14.17501734,1.251653734,10.77279371,162.0041873,nan,-11.02085502,172.7600184,1.782269616,
360815430,-18.67806696,-178.8793714,1.263566294,-19.0395624,-14.74323568,1.251471214,10.76874883,161.5195501,nan,-11.02304738,172.5425057,1.781994999,
372839278,-18.6618002,-178.9323656,1.264125606,-19.02106801,-15.26741421,1.252074786,10.77224754,161.018699,nan,-11.04649285,172.287121,1.779065918,
384863126,-18.64397454,-178.9889496,1.264740041,-19.028624,-15.60517698,1.251827999,10.77777326,160.4563535,nan,-11.05961071,171.9846731,1.77743321,
396886973,-18.62372596,-178.9770795,1.265439929,-19.02086467,-16.15010247,1.252081431,10.78660738,159.9114706,nan,-11.08759233,171.7433629,1.773965096,
408910821,-18.60525962,-179.0337128,1.266080017,-19.0317439,-16.45299475,1.251726178,10.8020394,159.3785449,nan,-11.10567015,171.4181853,1.771735003,
420934669,-18.56247479,-178.9547956,1.267569682,-19.02038821,-16.98450292,1.252097003,10.81363895,158.8623146,nan,-11.12355116,171.2202182,1.769537264,
432958517,-18.56613393,-179.1355987,1.267441916,-19.02001777,-17.43545681,1.25210911,10.83112755,158.3092464,nan,-11.14290737,170.8571938,1.767167216,
444982364,-18.57428523,-179.2139861,1.267157541,-19.00845997,-18.03405455,1.252487178,10.84993171,157.7476876,nan,-11.15961149,170.4930814,1.765129388,
457006212,-18.54874937,-179.2821944,1.268049541,-19.0260521,-18.33954223,1.25191197,10.87213747,157.1228745,nan,-11.14874447,169.9631295,1.766454329,
469030060,-18.56929964,-179.3709924,1.267331433,-19.01823011,-18.73559541,1.252167545,10.88463612,156.4394434,nan,-11.14980683,169.5375836,1.766324674,
481053907,-18.58387856,-179.3980924,1.266823292,-19.02288883,-19.11232556,1.252015292,10.90891001,155.7628398,nan,-11.14898755,169.2611829,1.766424659,
493077755,-18.53593145,-179.6243736,1.268498542,-18.99300837,-19.78608076,1.252993603,10.9219318,155.0759962,nan,-11.1601598,169.1416265,1.765062615,
505101603,-18.55106291,-179.6031298,1.267968589,-18.98212156,-20.23577373,1.253351095,10.93347451,154.311834,nan,-11.16149522,168.8075694,1.764900016,
517125450,-18.54349776,-179.6573907,1.268233399,-18.99379559,-20.69216203,1.252967775,10.94101056,153.5168714,nan,-11.171947,168.56819,1.763628947,
529149298,-18.5349733,-179.7616663,1.268532139,-18.99411371,-21.21652001,1.252957338,10.93935123,152.716441,nan,-11.17684952,168.3608765,1.763033667,
541173146,-18.53821182,-179.8110461,1.268418601,-18.9867778,-21.62151496,1.253198129,10.9343136,151.9144639,nan,-11.19459175,168.0439952,1.760884291,
553196993,-18.53700128,-179.8860534,1.268461035,-18.99089245,-22.03601082,1.25306304,10.92705822,151.1567179,nan,-11.20041204,167.8523417,1.760180877,
565220841,-18.5162619,-179.9763426,1.269189187,-18.9870846,-22.57256604,1.253188053,10.90940914,150.3697632,nan,-11.20266887,167.5788546,1.759908351,
577244689,-18.5066878,-179.9851839,1.269526075,-18.96568055,-23.1933129,1.253892038,10.89658297,149.6227804,nan,-11.20634539,167.4595829,1.759464653,
589268537,-18.50881375,-179.9390552,1.269451227,-18.94740733,-23.63090005,1.254494773,10.86933287,148.9968878,nan,-11.2370486,167.2009336,1.755772132,
601292384,-18.52221029,179.9966344,1.268980115,-18.94133764,-24.10884782,1.254695331,10.8450432,148.3725861,nan,-11.25896832,167.0208442,1.753149946,
613316232,-18.5180407,-179.8719252,1.269126647,-18.93904287,-24.59429938,1.254771202,10.8201972,147.8733392,nan,-11.29018678,166.8192863,1.749435347,
625340080,-18.49284436,-179.9728499,1.270014025,-18.96094759,-25.18030054,1.254048,10.80380334,147.3484595,nan,-11.28970891,166.6055609,1.749492032,
637363927,-18.49604731,179.7662954,1.26990104,-18.94836594,-25.74605361,1.254463114,10.7916942,146.8359282,nan,-11.31913926,166.3090089,1.746011185,
649387775,-18.47803817,179.8265566,1.270537004,-18.93091319,-26.08178631,1.255040192,10.77619916,146.3944119,nan,-11.32674634,165.9603555,1.745114811,
661411623,-18.4551476,179.8889599,1.271347768,-18.93578375,-26.59319969,1.254879,10.77073739,145.9003064,nan,-11.35988571,165.7563609,1.741225794,
673435470,-18.45299663,179.5141621,1.271424094,-18.93079391,-27.16940541,1.255044142,10.76771751,145.4012621,nan,-11.40136217,165.4461914,1.736394648,
685459318,-18.44811044,179.4782272,1.271597565,-18.92714307,-27.64350414,1.255165044,10.77323604,144.8813366,nan,-11.43099944,165.0210746,1.732966986,
697483166,-18.42932449,179.3423393,1.272265668,-18.93761798,-28.01798567,1.254818325,10.78424286,144.4076447,nan,-11.4600371,164.7043154,1.729628269,
709507014,-18.41709673,179.0021491,1.272701525,-18.92314985,-28.59359265,1.255297357,10.80737447,143.9256285,nan,-11.47677483,164.4572966,1.72771254,
721530861,-18.40888762,178.8129184,1.272994576,-18.91493844,-28.8070846,1.255569678,10.83630797,143.5030403,nan,-11.51774237,164.205371,1.723050379,
733554709,-18.40015292,178.7596128,1.273306777,-18.91342346,-29.24808802,1.255619956,10.86083058,143.0250451,nan,-11.53115366,163.8809579,1.721532373,
745578557,-18.38579918,178.7561458,1.273820686,-18.89135087,-29.8720862,1.256353731,10.88312722,142.4824854,nan,-11.56767964,163.6354585,1.717418441,
757602404,-18.40389097,178.2888849,1.27317312,-18.87750716,-30.2861426,1.256815144,10.9165139,141.8097194,nan,-11.58567583,163.2546232,1.71540243,
769626252,-18.38352033,178.2990817,1.273902375,-18.87298987,-30.8249075,1.256965906,10.95298944,141.1887539,nan,-11.59945648,162.9154255,1.713863498,
781650100,-18.37692067,178.1996314,1.274139107,-18.87050422,-31.09433751,1.257048905,10.98671216,140.4526862,nan,-11.61487667,162.5324789,1.712146427,
793673947,-18.34773523,178.0931726,1.275188746,-18.86621165,-31.65198203,1.25719231,11.01293401,139.7109564,nan,-11.61873612,162.0103897,1.711717485,
805697795,-18.37562164,177.8509372,1.27418573,-18.86417453,-32.17176138,1.257260397,11.03180691,138.8756928,nan,-11.61157025,161.651099,1.712514164,
817721643,-18.3491537,177.694495,1.275137628,-18.85994063,-32.57316536,1.257401971,11.04448962,137.9563371,nan,-11.61191032,161.2991882,1.712476331,
829745490,-18.29773514,177.6214065,1.276997462,-18.84644148,-33.18141011,1.257853939,11.04654682,137.0558002,nan,-11.61663747,161.225254,1.71195069,
841769338,-18.29370039,177.264699,1.277143996,-18.84448473,-33.5887326,1.257919527,11.03475196,136.2275719,nan,-11.6231487,160.9664005,1.711227467,
853793186,-18.27358685,176.9938036,1.27787578,-18.84061284,-33.94569547,1.258049362,11.03176629,135.4169104,nan,-11.64237854,160.7756805,1.709096957,
865817034,-18.25804506,176.8772952,1.278442716,-18.83844015,-34.53245632,1.25812225,11.01990048,134.6514834,nan,-11.65501603,160.7516765,1.707701209,
877840881,-18.24952026,176.775617,1.278754236,-18.83741953,-35.09316833,1.258156498,11.00349116,133.9441465,nan,-11.67164714,160.5243149,1.705869662,
889864729,-18.22312215,176.8181105,1.279721382,-18.83407003,-35.6815666,1.258268926,10.97961032,133.193559,nan,-11.68949134,160.3122891,1.703911161,
901888577,-18.17490566,176.9470988,1.281497627,-18.85500042,-36.14589807,1.257567273,10.95182032,132.5583697,nan,-11.70088821,160.127111,1.702663875,
913912424,-18.15920614,176.8955932,1.282078713,-18.81143745,-36.60482074,1.259030041,10.9298563,131.8899136,nan,-11.73609749,159.9399955,1.698828076,
925936272,-18.16312662,176.8841318,1.281933478,-18.83083318,-37.18123944,1.258377626,10.90083647,131.3346819,nan,-11.7599905,159.801879,1.696240112,
937960120,-18.18340641,176.7591162,1.281183551,-18.82881162,-37.75736108,1.25844554,10.87147694,130.8119898,nan,-11.82655679,159.5019695,1.689093308,
949983967,-18.145495,176.7469985,1.282587305,-18.79377661,-38.0571436,1.259625696,10.8392006,130.3330109,nan,-11.88641429,159.2540682,1.682745319,
962007815,-18.13984574,176.6837451,1.282797155,-18.80446586,-38.73409367,1.259264993,10.8078601,129.8270015,nan,-11.91909867,158.9549451,1.67931005,
974031663,-18.1274824,176.6142995,1.28325702,-18.80583875,-39.10523603,1.259218705,10.79235049,129.4287969,nan,-11.97539618,158.6197358,1.673443574,
986055511,-18.1122533,176.4290111,1.283824635,-18.78944769,-39.55836765,1.259771933,10.78201922,129.0505376,nan,-12.01090898,158.4058456,1.669775576,
998079358,-18.14194172,176.199884,1.282719276,-18.7854039,-40.10040956,1.25990862,10.78127604,128.6689363,nan,-12.07199051,158.1113558,1.663524921,
1010103206,-18.11981063,175.8973251,1.283542801,-18.76362325,-40.55895656,1.260646226,10.80100694,128.2712557,nan,-12.10990716,157.6411422,1.659681438,
1022127054,-18.10415679,175.6955542,1.284126927,-18.78034571,-41.03939326,1.260079709,10.82553701,127.8600037,nan,-12.14773502,157.2622928,1.655874604,
1034150901,-18.07807998,175.6321855,1.285102996,-18.77330111,-41.68659806,1.260318196,10.85791536,127.5369481,nan,-12.1624105,157.0865494,1.654405106,
1046174749,-18.10905104,175.5592299,1.283944152,-18.75210052,-42.15415528,1.26103739,10.89604662,127.1193178,nan,-12.19110507,156.7378162,1.651543671,
1058198597,-18.10340885,175.356653,1.28415487,-18.76166285,-42.70874476,1.26071273,10.93292881,126.6137784,nan,-12.22641413,156.4820662,1.648043993,
1070222444,-18.13767274,175.0399956,1.28287792,-18.74951188,-43.13283949,1.261125357,10.977996,126.1014645,nan,-12.25917707,156.2251641,1.64481758,
1082246292,-18.12624808,175.071603,1.283302978,-18.75765545,-43.46623006,1.260848734,11.01325419,125.4354653,nan,-12.28883461,155.8974086,1.641914192,
1094270140,-18.11989636,175.292791,1.283539605,-18.74096515,-44.17830789,1.261416026,11.05022431,124.8182354,nan,-12.29009514,155.7074024,1.64179115,
1106293987,-18.10975525,175.1480117,1.283917864,-18.73984347,-44.61859832,1.2614542,11.09204902,124.085002,nan,-12.29256528,155.3888421,1.641550121,
1118317835,-18.08219922,175.1229039,1.28494856,-18.70732598,-45.07918871,1.262563585,11.11987676,123.286534,nan,-12.30725283,155.1388175,1.640119278,
1130341683,-18.06197866,174.6408338,1.28570756,-18.74136846,-45.52369869,1.261402301,11.13660941,122.3785945,nan,-12.30450583,154.8050583,1.640386586,
1142365531,-18.0552607,174.4213695,1.285960228,-18.72916165,-46.04992471,1.261818049,11.15116401,121.4837107,nan,-12.33082132,154.4389438,1.63783154,
1154389378,-18.01366457,174.4020262,1.287530307,-18.72659505,-46.56572424,1.261905558,11.15513149,120.4876684,nan,-12.33775958,154.1408531,1.637159995,
1166413226,-17.97321598,174.260382,1.289066383,-18.69816516,-46.98659148,1.262877069,11.16513409,119.5269799,nan,-12.34945828,154.0043845,1.636029679,
1178437074,-17.93962724,174.1378041,1.290348975,-18.72190687,-47.4939764,1.262065487,11.16192876,118.6124782,nan,-12.36183292,153.7868403,1.634836763,
1190460921,-17.93324355,173.9687945,1.290593462,-18.70329708,-48.03532145,1.262701403,11.14743716,117.6529216,nan,-12.39803196,153.452875,1.631363073,
1202484769,-17.92714687,173.8608806,1.290827173,-18.68588245,-48.35856352,1.263298039,11.12992575,116.8411018,nan,-12.42774831,153.3043131,1.62852907,
1214508617,-17.9222111,173.7410534,1.291016538,-18.69213925,-48.89783905,1.263083503,11.09633593,116.0689232,nan,-12.42918276,153.1233288,1.628392668,
1226532464,-17.94148189,173.7021148,1.290277988,-18.69929782,-49.35593092,1.262838286,11.04755013,115.3959733,nan,-12.44525234,152.9978757,1.626867113,
1238556312,-17.95453422,173.5464837,1.28977896,-18.66908148,-49.86302938,1.263875085,11.00078329,114.7121046,nan,-12.47507812,152.9183461,1.624047761,
1250580160,-17.98969739,173.3101063,1.288439372,-18.67585119,-50.37550182,1.263642403,10.95309012,114.1708824,nan,-12.50653942,152.8036504,1.621090798,
1262604008,-18.00822929,172.8813483,1.287736182,-18.67600563,-50.81272552,1.263637097,10.89755748,113.6670699,nan,-12.57568912,152.5825096,1.614652258,
1274627855,-18.03454284,172.5581819,1.286741031,-18.65815821,-51.27652894,1.264251013,10.84849527,113.158833,nan,-12.66145645,152.2600501,1.606780546,
1286651703,-18.05331037,172.4364598,1.286033629,-18.66989107,-51.8570482,1.263847246,10.81034202,112.7508565,nan,-12.73753605,151.9451692,1.599901759,
1298675551,-18.04984599,172.3606815,1.286164063,-18.62344611,-52.58834325,1.265449617,10.79352928,112.4366463,nan,-12.82388268,151.5502602,1.59221055,
1310699398,-18.02670996,172.1616632,1.287036857,-18.6281293,-52.86044099,1.265287553,10.78273353,112.0909654,nan,-12.91742981,151.0335066,1.584014197,
1322723246,-17.99549785,172.0118367,1.288219067,-18.60841898,-53.44320145,1.265970384,10.78109556,111.7715846,nan,-12.9691679,150.6092111,1.579540783,
1334747094,-17.97256768,172.1068725,1.289091078,-18.64281446,-54.16125165,1.264780083,10.79971664,111.5044594,nan,-12.99322601,150.0525539,1.577474955,
1346770941,-17.99746017,172.2380094,1.28814458,-18.62848947,-54.40176901,1.265275094,10.83554128,111.2544448,nan,-13.03073049,149.6943982,1.574272454,
