Frequency,S11_Magnitude,S11_Phase,S12_Magnitude,S12_Phase,S21_Magnitude,S21_Phase,S22_Magnitude,S22_Phase,
1000000,-18.60201626,179.744735,-19.20245176,4.464740362,10.97211429,-179.0028582,-10.34382221,-178.918432,
12998000,-19.13482048,178.6389027,-19.004973,-1.423213567,10.90632975,179.5982059,-10.8658038,179.6709909,
24996000,-19.01031826,177.8654469,-19.02274676,-2.68976852,10.96210393,178.1620964,-10.87285264,179.492213,
36994000,-19.01808721,175.5215506,-19.04753465,-4.345100396,10.94472652,177.3595844,-10.83956965,179.7073892,
48992000,-19.04213508,174.3564074,-19.05748898,-5.338204341,10.93309717,176.0285665,-10.82820288,179.2777248,
60990000,-19.10303145,173.2617781,-19.0598394,-6.257870255,10.93103612,174.5019709,-10.83099339,178.927923,
72988000,-19.08912774,172.1043159,-19.07316129,-7.319397834,10.93427902,173.3527192,-10.83610853,178.6279395,
84986000,-19.12138276,170.821486,-19.07794668,-8.41460022,10.93636876,172.0992408,-10.83747729,178.3902527,
96984000,-19.13018995,169.6451191,-19.07689655,-9.507978427,10.93283722,170.9029593,-10.84094397,178.1493537,
108982000,-19.15027293,168.4982498,-19.08188724,-10.4876624,10.93340332,169.6912886,-10.85249539,177.9432078,
120980000,-19.16859453,167.3509206,-19.08909957,-11.5606274,10.93192186,168.4034581,-10.86998893,177.633408,
132978000,-19.16337864,166.2779211,-19.07654106,-12.48701273,10.93659337,167.1015089,-10.87657963,177.4216567,
144976000,-19.16129158,165.2764176,-19.08112004,-13.59541728,10.94187565,165.7741272,-10.88704372,177.0956598,
156974000,-19.16900889,163.9651333,-19.09023721,-14.68698993,10.94839893,164.6036683,-10.89958642,176.793335,
168972000,-19.17497915,162.714469,-19.09289543,-15.83765903,10.9522684,163.4630218,-10.91117381,176.4836073,
180970000,-19.19228352,161.5666118,-19.08893057,-16.98698765,10.95974383,162.2601353,-10.92183908,176.2000608,
192968000,-19.18960055,160.4016672,-19.08079141,-18.03411763,10.96584542,161.0334345,-10.92968896,175.8581662,
204966000,-19.20433049,159.2834949,-19.0895416,-19.14354029,10.9677821,159.8140572,-10.93663833,175.5425459,
216964000,-19.21065964,158.156164,-19.09340777,-20.18866194,10.9698506,158.5455634,-10.94782779,175.2658698,
228962000,-19.18416821,157.1218632,-19.08278172,-21.30272168,10.96646665,157.2838715,-10.95216862,174.9501761,
240960000,-19.19135808,156.1007553,-19.09862973,-22.27132833,10.96077601,156.0207298,-10.95906594,174.6244574,
252958000,-19.19018502,154.8948589,-19.09897442,-23.41289286,10.95216455,154.7377864,-10.97128814,174.3038219,
264956000,-19.17136567,153.7023353,-19.08800406,-24.50845525,10.94382207,153.4877508,-10.9763171,174.1023959,
276954000,-19.17457307,152.7450613,-19.10079585,-25.50656172,10.93059805,152.2780006,-10.98765671,173.8223896,
288952000,-19.14972379,151.5999972,-19.09934775,-26.61583898,10.91420257,151.0380709,-10.99827986,173.5218991,
