Frequency,S11_Magnitude,S11_Phase,S11_VSWR,S12_Magnitude,S12_Phase,S12_VSWR,S21_Magnitude,S21_Phase,S21_VSWR,S22_Magnitude,S22_Phase,S22_VSWR,
100000,-14.56360756,-146.8646924,1.459995958,-21.56724571,32.56813952,1.182192627,10.00449393,-153.9824424,nan,-8.426383619,-144.7729115,2.220800253,
12123847,-19.12933255,179.7375159,1.248564255,-19.04551813,-0.3718300857,1.251277189,10.91816207,179.4864127,nan,-10.89297556,179.1037188,1.798504149,
24147695,-18.93530591,-179.3614446,1.254894809,-19.0255525,-1.239330066,1.251928285,10.92579121,178.992219,nan,-10.89600756,179.3044436,1.79811425,
36171543,-18.95882827,179.9438189,1.254117871,-19.05779147,-2.050646507,1.250877873,10.91474944,178.1004219,nan,-10.90299897,179.6208985,1.797216126,
48195390,-18.98694268,-179.5907772,1.253192714,-19.06568231,-2.486758992,1.250621515,10.90533962,177.4921473,nan,-10.89034006,179.2563318,1.798843259,
60219238,-19.00782135,-179.5790833,1.252508087,-19.08331362,-3.004334813,1.25004976,10.89940106,176.8744931,nan,-10.90901771,179.0303199,1.796443991,
72243086,-18.97840842,-179.358824,1.253473153,-19.09655018,-3.480036006,1.249621472,10.89356503,176.2855966,nan,-10.91705175,178.7301972,1.795414813,
84266933,-18.9517212,-179.2709275,1.254352338,-19.09595011,-3.998650648,1.24964087,10.8932746,175.7054675,nan,-10.92267385,178.4741093,1.794695626,
96290781,-18.9439237,-179.334195,1.254609859,-19.08358973,-4.267402974,1.250040818,10.88825739,175.1261352,nan,-10.92339227,178.2856624,1.794603785,
108314629,-18.94011628,-179.3293642,1.254735709,-19.11134642,-4.845120366,1.249143683,10.89220349,174.604917,nan,-10.94591205,178.0337358,1.791731805,
120338476,-18.88041053,-179.3427857,1.256718297,-19.10987327,-5.263826829,1.249191207,10.89178693,174.0616406,nan,-10.96492673,177.7892166,1.789317205,
132362324,-18.86914778,-179.4971775,1.257094211,-19.10191246,-5.819525509,1.249448199,10.89476225,173.4598758,nan,-10.95967175,177.4223397,1.789983568,
144386172,-18.83232116,-179.4564898,1.25832765,-19.08189305,-6.11354358,1.250095773,10.90076444,172.8688923,nan,-10.96081683,177.0611402,1.789838303,
156410020,-18.84927111,-179.5659399,1.257759126,-19.09364572,-6.568767351,1.24971538,10.90662909,172.2604531,nan,-10.98665301,176.7525685,1.786569819,
168433867,-18.84498821,-179.5316236,1.257902649,-19.08520075,-7.074224978,1.249988649,10.91425312,171.6340228,nan,-10.98820579,176.4635198,1.786373934,
180457715,-18.89012697,-179.5487319,1.256394486,-19.07993971,-7.530897728,1.250159058,10.92296003,170.9861076,nan,-10.99703255,176.0920888,1.785261609,
192481563,-18.85422915,-179.5572919,1.257593091,-19.09200835,-8.102174259,1.249768337,10.92682549,170.3650939,nan,-11.00029669,175.769599,1.784850782,
204505410,-18.89282175,-179.6924043,1.25630476,-19.10042281,-8.383663781,1.249496321,10.93364915,169.681499,nan,-10.99781255,175.4837172,1.785163412,
216529258,-18.89215153,-179.4888231,1.256327073,-19.0862095,-8.922546477,1.24995599,10.93403863,169.0743421,nan,-10.99582323,175.2801097,1.785413885,
228553106,-18.89573781,-179.5760686,1.256207706,-19.08805006,-9.301154267,1.249896412,10.93770984,168.3712008,nan,-10.99946467,174.9246166,1.784955475,
240576953,-18.88537224,-179.498728,1.256552886,-19.09146703,-9.793900297,1.249785848,10.93989852,167.6664925,nan,-11.00245533,174.6166422,1.784579245,
252600801,-18.8718198,-179.4205876,1.257004972,-19.10433946,-10.28951809,1.249369819,10.9314876,167.0003139,nan,-11.00082216,174.4396222,1.784784672,
