Frequency,S11_Magnitude,S11_Phase,S12_Magnitude,S12_Phase,S21_Magnitude,S21_Phase,S22_Magnitude,S22_Phase,
1000000,-19.75462384,-179.0974614,-18.82080058,4.586837115,10.29195175,-178.8446832,-10.81650337,-178.3478896,
12998000,-20.42073362,178.843133,-18.60876259,-1.405236236,10.20519862,179.4903879,-11.41494128,179.66865,
24996000,-20.27648696,178.2422799,-18.62201862,-2.696206744,10.25500446,178.0595732,-11.42473227,179.5219231,
36994000,-20.28621539,175.9857699,-18.64862056,-4.378703165,10.24136896,177.2108048,-11.38304038,179.7448397,
48992000,-20.30152059,174.9945667,-18.65651129,-5.346257484,10.23252792,175.8740419,-11.36848954,179.2823891,
60990000,-20.35719793,173.9458074,-18.6573896,-6.311786065,10.23118818,174.3461691,-11.36640135,178.9218245,
72988000,-20.33815477,172.8969759,-18.66774921,-7.379040479,10.23485031,173.1720966,-11.3713872,178.5871313,
84986000,-20.36710603,171.7231251,-18.6752033,-8.483950159,10.23711638,171.9163636,-11.37475457,178.3415279,
96984000,-20.36910928,170.6230507,-18.67306787,-9.581360292,10.23423727,170.7186215,-11.37939195,178.110806,
108982000,-20.38328537,169.5817498,-18.67940466,-10.61102886,10.23504085,169.5227124,-11.39288964,177.8954755,
120980000,-20.40036257,168.4824278,-18.6867518,-11.68531916,10.23339597,168.2327539,-11.41333382,177.5968684,
132978000,-20.38585929,167.4511448,-18.67343459,-12.64340611,10.23705379,166.947283,-11.4237263,177.3712989,
144976000,-20.37669456,166.5357655,-18.67909205,-13.76182421,10.24265384,165.6463795,-11.43591556,177.0466258,
156974000,-20.38267701,165.2890757,-18.684229,-14.83867588,10.24833925,164.4497239,-11.45153666,176.7464572,
168972000,-20.38478089,164.0699517,-18.69157058,-16.00123136,10.25114415,163.2789779,-11.46908661,176.4471406,
180970000,-20.40283533,162.989549,-18.68640194,-17.14708122,10.25760599,162.0593681,-11.48376593,176.191834,
192968000,-20.40194618,161.8520369,-18.6802293,-18.24821186,10.26243117,160.827788,-11.4939566,175.8397437,
204966000,-20.42030643,160.8137141,-18.68582639,-19.36890501,10.26445583,159.5964654,-11.50241705,175.5273389,
216964000,-20.42297281,159.7615585,-18.68855234,-20.43720071,10.26623297,158.3260717,-11.51569449,175.2716682,
228962000,-20.3979905,158.7533037,-18.68497003,-21.54315462,10.26225873,157.0621767,-11.52330673,174.9566608,
240960000,-20.40296679,157.8278966,-18.69463514,-22.52452751,10.25663282,155.7964091,-11.53336343,174.6299772,
252958000,-20.4061734,156.7256086,-18.69392908,-23.6975876,10.24816049,154.5154,-11.54953184,174.3177483,
264956000,-20.38529259,155.5940706,-18.68194857,-24.75005872,10.24013848,153.2766339,-11.55537534,174.1339656,
276954000,-20.39231315,154.7220134,-18.70125287,-25.77665192,10.22750166,152.0618748,-11.57019577,173.8653954,
288952000,-20.37041188,153.6632937,-18.69903522,-26.91190147,10.21159034,150.8294338,-11.58318123,173.5829738,
300950000,-20.36796759,152.6883315,-18.70014529,-27.98992802,10.19658841,149.6309768,-11.59246021,173.3019094,
312948000,-20.37099557,151.5846116,-18.6995034,-29.08178871,10.17800268,148.4132416,-11.60054188,173.0257034,
324946000,-20.36213852,150.4954602,-18.69363397,-30.17235914,10.16861414,147.2903144,-11.60392285,172.768778,
336944000,-20.33193873,149.4258709,-18.69096468,-31.21027616,10.15861569,146.1256825,-11.61265455,172.4587491,
348942000,-20.34503268,148.4760806,-18.69118485,-32.28900366,10.15367003,144.9831875,-11.62843959,172.241019,
360940000,-20.32611373,147.2510475,-18.70013512,-33.40824574,10.14994812,143.8719299,-11.62736997,172.0236816,
372938000,-20.32365853,146.0838658,-18.69584112,-34.3805206,10.15071567,142.729195,-11.64398043,171.7494797,
384936000,-20.31571337,144.900445,-18.68937851,-35.47199047,10.15821889,141.617499,-11.65189051,171.4514309,
396934000,-20.30212088,143.8557502,-18.69379377,-36.54660957,10.16803149,140.4722685,-11.67091644,171.224268,
408932000,-20.29546703,142.9766206,-18.68115876,-37.7116509,10.18459125,139.3564149,-11.68409331,170.9235269,
420930000,-20.2866634,141.8249813,-18.69312699,-38.73398823,10.19818837,138.2256002,-11.70674105,170.7399953,
432928000,-20.27915393,140.7505252,-18.68673817,-39.85739534,10.21856823,137.0472903,-11.72721215,170.5533872,
444926000,-20.28412686,139.7548969,-18.67112417,-40.9211668,10.23870539,135.8756263,-11.74762604,170.2249904,
456924000,-20.26938858,138.7229998,-18.67830985,-41.88418754,10.25421303,134.630422,-11.7574862,169.8567572,
468922000,-20.25717875,137.6323301,-18.67522302,-43.02641148,10.27220959,133.3655865,-11.78451831,169.5905799,
480920000,-20.25988472,136.5533689,-18.67648539,-44.07861426,10.28808819,132.0983927,-11.8055327,169.2779709,
492918000,-20.2486602,135.4088941,-18.67580257,-45.29678752,10.303354,130.7755371,-11.83159051,169.0516331,
504916000,-20.25356553,134.5203739,-18.67104865,-46.42100491,10.30865613,129.4493955,-11.86241012,168.8406919,
516914000,-20.21689373,133.2750486,-18.667901,-47.41914087,10.31157044,128.0954866,-11.88130861,168.5449202,
528912000,-20.21939195,132.306137,-18.66335442,-48.4452148,10.30870061,126.7156898,-11.90832473,168.222018,
540910000,-20.20037264,131.1517323,-18.65731785,-49.52202984,10.30476803,125.4198745,-11.93198597,167.9762581,
552908000,-20.20092508,129.9896493,-18.66530816,-50.63717664,10.2958132,124.0256803,-11.95242076,167.6794624,
564906000,-20.18247122,128.8381256,-18.65745634,-51.76197702,10.28176831,122.7224773,-11.97045539,167.3885239,
576904000,-20.15624399,127.9054647,-18.65716295,-52.76476571,10.26341383,121.4441495,-11.97980188,167.169479,
588902000,-20.1541052,126.7588499,-18.6428121,-53.91134644,10.24038575,120.2446827,-12.0116376,167.0286762,
600900000,-20.12164442,125.547648,-18.64639867,-54.97032395,10.21554446,119.0665273,-12.03384919,166.7571235,
612898000,-20.10508658,124.4655077,-18.63997362,-56.02887481,10.19061192,117.8845817,-12.05683402,166.5412684,
624896000,-20.10853458,123.1553689,-18.63755727,-57.18379532,10.17604975,116.7704161,-12.07084627,166.3036505,
636894000,-20.12335401,121.8503744,-18.63853287,-58.30157157,10.1631893,115.6631343,-12.09204518,165.9789694,
648892000,-20.11370685,120.5482014,-18.61960429,-59.30376214,10.14541946,114.5913706,-12.11350026,165.6648096,
660890000,-20.10659046,119.4233664,-18.61820498,-60.42887629,10.14255334,113.4992616,-12.1381263,165.4447897,
672888000,-20.11181875,118.051255,-18.60362861,-61.52886853,10.14182178,112.408576,-12.17183875,165.0669283,
684886000,-20.11063906,116.8757811,-18.61589351,-62.56834822,10.1541473,111.3383699,-12.20320882,164.7212669,
