Frequency,S11_Magnitude,S11_Phase,S11_VSWR,S12_Magnitude,S12_Phase,S12_VSWR,S21_Magnitude,S21_Phase,S21_VSWR,S22_Magnitude,S22_Phase,S22_VSWR,
100000,-14.35220402,-133.8576793,1.474015057,-19.33623416,32.83433427,1.242005331,10.51499575,-154.1864938,nan,-7.151428805,-138.3332386,2.564831414,
12123847,-20.43471515,179.65765,1.210233756,-18.65810841,-0.4148626237,1.264252728,10.19984412,179.5076289,nan,-11.45251216,179.11281,1.730491624,
24147695,-20.21865174,-179.1372457,1.216101103,-18.64515771,-1.300474782,1.264699209,10.20625673,179.0111201,nan,-11.45980893,179.3824287,1.729654429,
36171543,-20.26857018,-179.6040093,1.214729756,-18.69312017,-2.166720882,1.263049887,10.19501535,178.1172734,nan,-11.46853522,179.7716232,1.728654813,
48195390,-20.27439852,-179.1325761,1.214570265,-18.69131823,-2.65407658,1.263111644,10.18811174,177.4884584,nan,-11.44997248,179.4149858,1.7307833,
60219238,-20.28552675,-179.0337476,1.214266105,-18.69035368,-3.170838325,1.263144708,10.18369826,176.8508074,nan,-11.4577558,179.0938164,1.729889872,
72243086,-20.23722614,-178.9062571,1.215589712,-18.7032058,-3.675826768,1.262704526,10.17823607,176.2239906,nan,-11.47097905,178.8628743,1.728375178,
84266933,-20.19050362,-178.7200784,1.216878616,-18.7221227,-4.141505361,1.262058122,10.17662725,175.6229364,nan,-11.47954213,178.6042819,1.727396421,
96290781,-20.16110584,-178.8957174,1.217693928,-18.70949305,-4.544656966,1.262489489,10.17282309,175.0438983,nan,-11.48469488,178.4168069,1.726808266,
108314629,-20.14096601,-178.8313548,1.218254424,-18.73638181,-5.103788709,1.261572051,10.17568354,174.5276377,nan,-11.50772279,178.1725,1.724187119,
120338476,-20.09779252,-179.1665448,1.219461302,-18.71840987,-5.648763182,1.262184852,10.17495953,173.9758355,nan,-11.52999452,177.9720186,1.721663416,
132362324,-20.04423826,-179.3664043,1.220968567,-18.71841454,-5.961434938,1.262184693,10.1763201,173.3673764,nan,-11.51696088,177.6213348,1.723138959,
144386172,-20.01003443,-179.2558651,1.221937175,-18.71056129,-6.507131698,1.262452973,10.18174188,172.7714939,nan,-11.52459778,177.3008369,1.72227392,
156410020,-20.03327604,-179.5488019,1.221278496,-18.71226867,-6.819284994,1.26239462,10.18534361,172.1567922,nan,-11.55324673,176.9404357,1.719040471,
168433867,-20.03184944,-179.5974308,1.221318864,-18.69708968,-7.32807205,1.262913899,10.19362112,171.5119674,nan,-11.55065592,176.6516024,1.719332128,
180457715,-20.0784482,-179.4897527,1.220004433,-18.70881021,-7.8271128,1.262512834,10.2027463,170.8504617,nan,-11.57058557,176.3273526,1.717092421,
192481563,-20.08401893,-179.7740775,1.219847872,-18.71088443,-8.445615442,1.262441928,10.20731528,170.2314907,nan,-11.56996358,176.0526119,1.717162188,
204505410,-20.11951174,-179.8060209,1.218853246,-18.71672992,-8.754472851,1.262242216,10.21321909,169.5445626,nan,-11.5625879,175.7092626,1.717990144,
216529258,-20.12211276,-179.8573925,1.218780551,-18.72931966,-9.308240961,1.261812663,10.21502793,168.923995,nan,-11.57708066,175.5679597,1.716364404,
228553106,-20.1236492,-179.712724,1.218737623,-18.70669321,-9.714376399,1.262585225,10.2187105,168.2159676,nan,-11.56608371,175.1961976,1.717597571,
240576953,-20.12307613,-179.7062896,1.218753633,-18.71244937,-10.29396455,1.262388445,10.22138661,167.5142886,nan,-11.57240152,174.9573312,1.716888782,
252600801,-20.13336635,-179.3815617,1.218466336,-18.7101273,-10.68365676,1.262467807,10.21263495,166.8312773,nan,-11.56399009,174.7327801,1.717832648,
264624649,-20.12453602,-179.3198163,1.218712849,-18.72050848,-11.18534643,1.262113212,10.21096416,166.1715123,nan,-11.57940888,174.5557205,1.716103668,
276648496,-20.09956677,-178.9664682,1.21941156,-18.69083435,-11.74791037,1.26312823,10.19752548,165.4906779,nan,-11.57924573,174.333303,1.716121934,
288672344,-20.10277709,-178.5970943,1.219321589,-18.7003064,-12.1612516,1.262803758,10.18394572,164.8464014,nan,-11.58310544,174.1943243,1.715689937,
300696192,-20.07463473,-178.2208874,1.220111678,-18.69169318,-12.65778408,1.263098792,10.16722126,164.2333789,nan,-11.59078419,173.9046061,1.714831473,
312720040,-20.07426126,-178.0240491,1.220122184,-18.7010297,-13.13434311,1.262778999,10.15586468,163.6163397,nan,-11.59734409,173.7393967,1.714099124,
324743887,-20.04375666,-177.8127624,1.220982173,-18.69056986,-13.54625274,1.263137297,10.14761647,163.0521697,nan,-11.60658521,173.6334743,1.71306905,
336767735,-20.006816,-177.5014426,1.222028557,-18.70164499,-14.23696835,1.26275794,10.1353951,162.4331665,nan,-11.62670453,173.3788513,1.710832902,
348791583,-20.01428979,-177.3909685,1.221816415,-18.699691,-14.69572485,1.262824826,10.12926155,161.8725024,nan,-11.6554086,173.1723241,1.707657906,
360815430,-19.9860119,-177.3930007,1.222620253,-18.69660796,-15.23969668,1.262930398,10.12635124,161.3721906,nan,-11.65825818,172.9249035,1.707343688,
372839278,-19.95008113,-177.3436721,1.223646262,-18.68759422,-15.82531436,1.263239326,10.12951871,160.8694474,nan,-11.68147371,172.6687562,1.704790293,
384863126,-19.91369349,-177.5374572,1.224690624,-18.68790669,-16.18468331,1.26322861,10.13672146,160.2986229,nan,-11.69414013,172.3602801,1.703402055,
396886973,-19.8616229,-177.5056144,1.226194454,-18.68423654,-16.70580839,1.263354507,10.14210473,159.7333935,nan,-11.72603729,172.1331936,1.699921367,
408910821,-19.83582677,-177.5576158,1.226943565,-18.69964106,-17.12465046,1.262826535,10.15926722,159.1915161,nan,-11.74211919,171.822924,1.698174698,
420934669,-19.77692184,-177.4930276,1.228664416,-18.69801375,-17.59038013,1.262882253,10.16802609,158.6464967,nan,-11.76701713,171.5714659,1.695481321,
432958517,-19.76481906,-177.5002652,1.229019766,-18.6868003,-18.04534569,1.263266555,10.18571096,158.0894174,nan,-11.78820918,171.2051036,1.693199125,
444982364,-19.75165757,-177.6395733,1.229406892,-18.68305923,-18.55887911,1.263394907,10.20588057,157.5398981,nan,-11.80572194,170.7745404,1.691320258,
457006212,-19.7421828,-177.8384511,1.229686025,-18.68581227,-18.89197069,1.263300446,10.22194866,156.9136316,nan,-11.79388243,170.3511133,1.692589765,
469030060,-19.72906713,-177.7152086,1.23007304,-18.68164097,-19.37907136,1.263443584,10.23435911,156.23979,nan,-11.79354549,169.9228204,1.692625936,
