Frequency,S11_Magnitude,S12_Magnitude,S21_Magnitude,S22_Magnitude,
1000000000,-4.004922526,-47.72615436,28.92304451,-17.71429822,
1004995004,-4.023971691,-50.29330199,28.99352596,-17.5842026,
1009990009,-4.108288456,-51.40544036,29.05527588,-17.81006332,
1014985014,-4.025802254,-49.37170845,29.10289659,-17.83129971,
1019980019,-4.114106826,-49.6814338,29.15331144,-18.00193004,
1024975024,-4.024683292,-45.78837602,29.2351939,-18.34364007,
1029970029,-4.138462744,-52.30101132,29.30480898,-18.20882686,
1034965034,-4.072009744,-47.92122011,29.37887328,-18.49111914,
1039960039,-4.098662156,-48.57384604,29.44775157,-18.37771691,
1044955044,-4.072913038,-47.18830121,29.50127743,-18.62076406,
1049950049,-4.106415028,-50.26139376,29.59514115,-18.77791252,
1054945054,-4.181313426,-50.00844975,29.64922716,-18.27861105,
1059940059,-4.124708332,-49.81514703,29.72032147,-18.24243002,
1064935064,-4.182968042,-45.7878104,29.77503976,-18.39548006,
1069930069,-4.139136439,-46.32245667,29.82695895,-18.30186181,
1074925074,-4.118423772,-50.35974739,29.85344666,-18.01361129,
1079920079,-4.118018824,-48.59999076,29.88141674,-17.98027757,
1084915084,-4.117977166,-46.27961751,29.92690674,-17.85654036,
1089910089,-4.076817291,-49.41591302,29.96160846,-17.63133018,
1094905094,-4.088104121,-46.58748246,30.00377098,-17.44657603,
1099900099,-4.069987555,-47.9734009,30.03576624,-17.35957417,
1104895104,-4.076823958,-45.04402706,30.05243218,-17.02317621,
1109890109,-4.013718339,-46.76227082,30.07410335,-17.23470607,
1114885114,-4.003305626,-47.15911901,30.13281487,-17.14127131,
1119880119,-4.071187728,-44.10970184,30.18635109,-16.61896863,
1124875124,-4.003801445,-47.59750969,30.25466957,-16.83876358,
1129870129,-4.033166764,-45.05501942,30.31407968,-16.51890631,
1134865134,-4.01524739,-46.46442777,30.36256122,-16.51376983,
1139860139,-4.020674132,-46.75094283,30.40942001,-16.66398739,
1144855144,-4.036131985,-48.79775333,30.46662483,-16.81448907,
1149850149,-4.033660574,-45.5335542,30.54169088,-16.47544089,
1154845154,-4.055288817,-46.93726494,30.6087796,-16.43796467,
1159840159,-4.069695546,-46.77279298,30.67162719,-16.34713266,
1164835164,-4.084717246,-44.50643517,30.72220615,-16.12049399,
1169830169,-4.104836556,-43.69884999,30.76707088,-15.97808244,
1174825174,-4.114319708,-44.39393526,30.83130871,-15.78430146,
1179820179,-4.071624273,-47.12197404,30.90170648,-15.87616672,
1184815184,-4.094494185,-46.6802383,30.956139,-15.59790573,
1189810189,-4.174830017,-44.99999204,30.99593658,-15.26515941,
1194805194,-4.097759147,-47.65359921,31.02303879,-15.28787699,
1199800199,-4.060046894,-45.44167507,31.04740979,-15.26921253,
1204795204,-4.002441902,-45.31027501,31.09624911,-15.23406942,
1209790209,-3.91644065,-44.81161632,31.1469714,-15.19541906,
1214785214,-4.091411743,-45.17085024,31.18734041,-14.79044411,
1219780219,-3.907728628,-44.73268183,31.23784839,-14.99878082,
1224775224,-3.956653343,-47.49886538,31.275733,-14.81902002,
1229770229,-3.838920904,-45.48958928,31.34083692,-14.83045225,
1234765234,-3.974692611,-49.18520977,31.41281241,-14.4909344,
1239760239,-3.899996899,-48.08653323,31.4890464,-14.45921746,
1244755244,-3.951720068,-48.12574223,31.56119727,-14.15675687,
1249750249,-3.87374282,-45.36656407,31.62236602,-14.29330074,
1254745254,-3.949395503,-45.97597894,31.6586032,-14.34932634,
1259740259,-3.98692595,-45.30691704,31.69055823,-14.17641354,
