Frequency,S11_Magnitude,S12_Magnitude,S21_Magnitude,S22_Magnitude,
1000000000,-3.90804339,-45.46699997,28.84787838,-17.95303675,
1004995004,-3.955514187,-46.92418924,28.91439285,-17.99629393,
1009990009,-3.991501973,-46.47107489,28.98011291,-18.20222781,
1014985014,-4.06153965,-48.56538959,29.03107334,-18.22460202,
1019980019,-4.032382524,-47.64481507,29.09084733,-18.56914219,
1024975024,-4.045273629,-48.20744533,29.16397592,-18.72839845,
1029970029,-4.111248667,-50.24818169,29.2434277,-18.71909024,
1034965034,-4.119360646,-47.24546389,29.30448323,-18.98031927,
1039960039,-4.081914655,-47.93281485,29.36256284,-19.00191276,
1044955044,-4.115217689,-50.62090187,29.43141031,-18.90553878,
1049950049,-4.338129149,-47.37697188,29.32788351,-18.95971275,
1054945054,-4.178426815,-51.45103708,29.57569007,-18.61691362,
1059940059,-4.14418474,-47.38170479,29.64622377,-18.99504505,
1064935064,-4.129127415,-47.73450132,29.69921828,-18.76716048,
1069930069,-4.115332622,-47.66923617,29.74623588,-18.68139887,
1074925074,-4.14193819,-48.86361226,29.79081757,-18.37914948,
1079920079,-4.156497438,-46.50981216,29.81906915,-18.29033187,
1084915084,-4.091311409,-47.81243138,29.86208099,-18.28651105,
1089910089,-4.079215984,-50.33405237,29.9029232,-18.14497958,
1094905094,-4.063875061,-46.95363874,29.94133818,-17.91527304,
1099900099,-4.044093707,-47.35421353,29.96532231,-17.87066916,
1104895104,-3.977478584,-47.37432726,29.99194811,-17.8724877,
1109890109,-3.993058994,-46.37213685,30.01693213,-17.75828761,
1114885114,-4.027791573,-45.39256201,30.06934523,-17.42806993,
1119880119,-3.96023023,-49.06726934,30.12743594,-17.63219468,
1124875124,-4.0056878,-46.51575088,30.18672268,-17.37390108,
1129870129,-4.010929462,-46.15097765,30.25260055,-17.04628348,
1134865134,-4.040193176,-45.31625308,30.30369997,-16.92953102,
1139860139,-4.009478703,-48.5092045,30.34995915,-17.24912308,
1144855144,-4.045914429,-46.47416797,30.41818319,-17.06470645,
1149850149,-4.011012429,-49.01989487,30.47213202,-17.13201174,
1154845154,-4.077714965,-45.12858422,30.54955568,-16.69206554,
1159840159,-4.056970257,-44.66537846,30.61673448,-16.68816865,
1164835164,-4.024710047,-47.10893526,30.6684819,-16.8282792,
1169830169,-4.132359271,-46.77306528,30.71384207,-16.49608006,
1174825174,-4.0835619,-47.66171701,30.77576509,-16.3896422,
1179820179,-4.137797285,-47.04808912,30.83983069,-16.15235758,
1184815184,-4.062535588,-46.12480709,30.89677545,-16.12894398,
1189810189,-4.086080965,-47.21090289,30.93933082,-15.93045945,
1194805194,-4.073009325,-45.72747364,30.97187279,-15.77929757,
1199800199,-4.084127541,-46.28931804,30.99389125,-15.72556668,
1204795204,-4.040303778,-45.29531857,31.03397626,-15.5165313,
1209790209,-3.967049642,-45.8490163,31.08741947,-15.55746496,
1214785214,-3.932129993,-47.39806941,31.13147607,-15.57048522,
1219780219,-3.99304504,-45.12411798,31.17566087,-15.05325898,
1224775224,-3.836761111,-46.10453918,31.22534206,-15.3423792,
1229770229,-3.94810583,-44.59209614,31.28890255,-14.94978675,
1234765234,-3.877242079,-45.02986252,31.3652708,-14.96196991,
1239760239,-3.756158533,-45.08408552,31.44051767,-15.0760303,
1244755244,-3.90643269,-45.95123231,31.50535478,-14.70587796,
1249750249,-3.794653062,-44.69506002,31.5565623,-14.81061294,
1254745254,-3.8838819,-44.65379436,31.61733125,-14.65597388,
1259740259,-4.008565403,-46.80199227,31.62924771,-14.48299501,
1264735264,-3.936457769,-43.59819464,31.68288586,-14.64164699,
1269730269,-3.91739811,-44.18404885,31.72423796,-14.71354377,
1274725274,-4.093663337,-47.08652887,31.75742959,-14.35408451,
1279720279,-4.086616243,-45.9069354,31.78556174,-14.17543724,
1284715284,-4.095915986,-45.4576634,31.79630067,-14.19638533,
1289710289,-4.093079423,-44.37776877,31.79826419,-14.16026885,
1294705294,-4.110029052,-44.59725437,31.82461118,-14.07095332,
1299700299,-4.210586117,-45.33983438,31.85410529,-13.81694587,
1304695304,-4.224398945,-44.67776812,31.85737371,-13.65850379,
1309690309,-4.110354209,-42.82579176,31.85928113,-13.84196773,
1314685314,-4.257613716,-45.43966415,31.86519927,-13.46729058,
1319680319,-4.230148036,-44.27981039,31.85366503,-13.32955973,
1324675324,-4.255867694,-45.33058649,31.85983586,-13.14871274,
1329670329,-4.089604212,-42.29755155,31.8558601,-13.14460616,
1334665334,-4.157788678,-44.8753184,31.85805133,-13.08602368,
1339660339,-4.192969614,-44.77148062,31.86599279,-12.65048224,
1344655344,-4.210470833,-44.13211179,31.86036925,-12.54725311,
1349650349,-4.226342686,-44.41526148,31.84650057,-12.39700526,
1354645354,-4.14136468,-43.7255073,31.83644497,-12.53196778,
1359640359,-3.951658972,-41.6521709,31.82563602,-12.8142317,
1364635364,-4.07577184,-45.38399773,31.83064343,-12.57334901,
1369630369,-4.021444487,-42.60929604,31.83091884,-12.45111113,
1374625374,-4.155410424,-42.87932295,31.81817615,-12.19118115,
1379620379,-4.173302502,-43.96155363,31.77692852,-12.25327584,
1384615384,-4.122844922,-46.42509528,31.74790004,-12.5357268,
1389610389,-4.226868988,-43.66955328,31.75358132,-12.08643012,
1394605394,-4.349247126,-41.98916916,31.7447009,-11.68909997,
1399600399,-3.768309286,-41.26789159,31.90440808,-12.23150905,
1404595404,-4.382347955,-42.38570404,31.67670239,-11.65921362,
1409590409,-4.346525397,-42.16289262,31.63546296,-11.73393309,
1414585414,-4.41038918,-41.96038892,31.62665969,-11.53518315,
1419580419,-4.439620118,-43.1753287,31.60384059,-11.55588269,
1424575424,-4.556935283,-42.00435429,31.59825691,-11.31301104,
1429570429,-4.534625788,-43.16187114,31.58272602,-11.323718,
1434565434,-4.569025599,-43.49118297,31.57950706,-11.28299792,
1439560439,-4.628939645,-42.07514968,31.55570243,-11.09163221,
1444555444,-4.579643458,-42.416464,31.57147493,-11.07356955,
1449550449,-4.693112743,-40.46487599,31.57780393,-10.77535306,
1454545454,-4.787082655,-39.80935287,31.59856193,-10.78303775,
1459540459,-4.686913416,-41.6133417,31.62502704,-10.86566133,
1464535464,-4.7046849,-40.90936735,31.65013897,-10.88186416,
1469530469,-4.688745942,-41.60697658,31.66381995,-10.79107787,
1474525474,-4.663355957,-41.49939894,31.71902391,-10.79291963,
1479520479,-4.744282951,-40.16884747,31.77717068,-10.70914251,
1484515484,-4.636644711,-42.28276713,31.83319374,-10.78697836,
1489510489,-4.576406511,-41.80240853,31.89597735,-10.82607501,
1494505494,-4.59371527,-42.2168308,31.92963108,-10.84697799,
1499500499,-4.575054745,-43.32773358,31.97291885,-10.81581459,
1504495504,-4.498017049,-42.59728095,32.02724259,-10.91358619,
1509490509,-4.672651663,-41.14323693,32.08996776,-10.6712139,
1514485514,-4.560387397,-42.47044338,32.14173635,-10.78817691,
1519480519,-4.586285703,-42.7948032,32.19805372,-10.80505745,
1524475524,-4.640262106,-44.21991904,32.23502639,-10.79232748,
1529470529,-4.632963503,-41.76042461,32.27194786,-10.81598775,
1534465534,-4.730346089,-41.79987314,32.33119426,-10.71418226,
1539460539,-4.710158522,-42.15353937,32.37411145,-10.82675348,
1544455544,-4.82735189,-41.85340807,32.41932757,-10.74843032,
1549450549,-4.933235596,-43.10464306,32.45263501,-10.62280198,
1554445554,-4.798893544,-41.84678713,32.47711219,-10.82394609,
1559440559,-5.047172258,-41.98139207,32.49750966,-10.65204645,
1564435564,-4.911919965,-42.38705484,32.51090173,-10.75448765,
1569430569,-4.839597389,-41.0097608,32.53835549,-10.91201342,
1574425574,-5.009422981,-42.60618532,32.55159668,-10.63317775,
1579420579,-4.944276957,-41.26904439,32.55401673,-10.89696103,
1584415584,-4.883602853,-40.97380202,32.53383928,-11.01268435,
1589410589,-4.997060244,-42.46638856,32.52455902,-10.65358922,
1594405594,-4.77543971,-40.48871388,32.50789096,-10.96823274,
1599400599,-4.969979997,-42.1527468,32.49895359,-10.65865005,
1604395604,-4.821989372,-41.11263513,32.48718377,-10.76355079,
1609390609,-4.616813414,-39.70421883,32.44371571,-10.78870605,
1614385614,-4.841054341,-41.47363434,32.41565622,-10.47834697,
1619380619,-4.671441587,-40.40473903,32.34483555,-10.71819135,
1624375624,-4.657544727,-40.45560254,32.29214726,-10.77813073,
1629370629,-4.601779835,-39.84303831,32.26027832,-10.63123578,
