Frequency,S11_Magnitude,S12_Magnitude,S21_Magnitude,S22_Magnitude,
0,0.3371168053,0.1463328723,3.321724687,2.856499369,
1000000,-46.98078658,-0.06371963523,0.02838767433,-40.66847349,
2000000,-27.26125642,0.2116807692,0.3821983436,-25.07435791,
3000000,-24.32380699,0.3781755807,0.5234535279,-23.2228024,
4000000,-23.80957774,0.4212077863,0.626849401,-22.69600654,
5000000,-23.9477406,0.4420059933,0.657874094,-22.87829768,
6000000,-24.64685293,0.4173433188,0.6455377743,-23.53437189,
7000000,-25.58769154,0.37573192,0.5908430154,-24.46679532,
8000000,-26.71416791,0.3275437,0.5200260941,-25.64210142,
9000000,-28.13837724,0.2703884512,0.4297342962,-27.07341508,
10000000,-30.19302675,0.1883535945,0.3372305541,-28.55691884,
11000000,-31.97798597,0.1301811038,0.2141730148,-31.03980336,
12000000,-34.87440747,0.0462378681,0.08922535709,-33.95738426,
13000000,-38.79712235,-0.04163265211,-0.04093663741,-37.88287759,
14000000,-37.80308171,-0.02194720787,-0.006022405908,-37.0515144,
15000000,-37.06300753,-0.004914802427,0.01872244215,-36.35123825,
16000000,-36.58581244,-0.0006775622136,0.03328670917,-35.87371269,
17000000,-36.1057353,0.01120514853,0.05034524042,-35.39317821,
18000000,-35.76568578,0.0138474799,0.05760637438,-35.05094869,
19000000,-35.35954165,0.01683990604,0.06000800784,-34.73982407,
20000000,-35.19928351,0.007608170992,0.05091793736,-34.53401442,
21000000,-35.11188999,0.0006979711253,0.04184089896,-34.29960913,
22000000,-34.74422976,-0.008446964955,0.02616660755,-34.07560724,
23000000,-34.6587204,-0.02679561092,0.00113130373,-33.92171944,
24000000,-34.54653535,-0.04911946492,-0.0318863577,-33.80026538,
25000000,-34.16725021,-0.04984718339,-0.04599368278,-33.33115354,
26000000,-33.88388341,-0.03693166341,-0.02088122275,-33.09364778,
27000000,-33.56980459,-0.02404266765,0.002036231192,-32.78527307,
28000000,-33.23836043,-0.01942171103,0.01545137668,-32.58422724,
29000000,-32.94773126,-0.01018402012,0.02069064991,-32.2825579,
30000000,-32.39882803,-0.02178139265,0.07140290549,-31.90283463,
31000000,-32.85513826,-0.571576102,-0.7715933093,-27.84697902,
32000000,-31.99473536,-0.01009695432,0.03264218133,-31.48799879,
33000000,-31.89470826,-0.03533645701,0.007868455988,-31.3136769,
34000000,-31.72229884,-0.047181374,-0.01185363385,-31.10120262,
35000000,-31.50293965,-0.0633169038,-0.03667130333,-30.88111059,
36000000,-31.3292236,-0.08133265261,-0.06490361019,-30.68254563,
37000000,-31.13204932,-0.09926870073,-0.09573333002,-30.46150349,
38000000,-30.78140076,-0.07695259632,-0.06406348861,-30.15470371,
39000000,-30.46618814,-0.05714401586,-0.03760380926,-29.91408722,
40000000,-30.30062032,-0.04459200546,-0.01716650267,-29.65898464,
41000000,-29.95090651,-0.03374263132,-0.004410906808,-29.3397691,
42000000,-29.47342562,-0.02207387319,-0.002014859758,-29.04423829,
43000000,-29.60903126,-0.02626047826,0.00606074657,-29.07357086,
44000000,-29.38272424,-0.03816984201,-0.003843578686,-28.86429221,
45000000,-29.17005917,-0.04847995332,-0.01658227052,-28.67873208,
46000000,-28.97664102,-0.07678604252,-0.0418060352,-28.37125195,
47000000,-28.79785751,-0.07733267384,-0.06529634067,-28.29902507,
48000000,-28.71905128,-0.09843162907,-0.08427009703,-28.1975048,
49000000,-28.56591598,-0.1241944036,-0.1228612096,-27.98700249,
50000000,-28.31530564,-0.1014611428,-0.09280683827,-27.75065019,
51000000,-28.08234047,-0.08494788086,-0.06577349379,-27.55322622,
52000000,-27.91144188,-0.07414542393,-0.04274454521,-27.37610628,
53000000,-27.64925661,-0.06016987566,-0.03047170472,-27.16123584,
54000000,-27.4759447,-0.05722292321,-0.02280261969,-26.97810127,
55000000,-27.24962161,-0.04959472871,-0.01526349342,-26.81348743,
56000000,-27.09824724,-0.05866342664,-0.02362038501,-26.63803311,
57000000,-26.91860562,-0.05422694905,-0.02596566404,-26.46260018,
58000000,-26.78142565,-0.04099170063,-0.05718408164,-26.32639084,
59000000,-26.64785506,-0.07962595849,-0.06093379544,-26.20259511,
60000000,-26.7465462,-0.03308786621,-0.273044709,-26.70251361,
61000000,-26.74712843,-0.1230151763,-0.1500315439,-25.88037524,
62000000,-33.32265176,0.0494861456,2.240975237,-20.12261226,
63000000,-26.25040744,-0.1078234137,-0.09242675786,-25.81637376,
64000000,-26.104486,-0.1656991635,-0.005859060635,-25.67066546,
65000000,-25.74003863,-0.07138596228,-0.03820677049,-25.38396382,
66000000,-25.60621134,-0.05761762666,-0.03847950052,-25.24046414,
67000000,-25.45083774,-0.07121159904,-0.03309810227,-25.12973095,
68000000,-25.33797527,-0.07795354082,-0.03954627135,-25.02003746,
69000000,-25.21588263,-0.08972709209,-0.05526178206,-24.89305835,
70000000,-25.09668439,-0.1040859757,-0.07465339385,-24.78767235,
71000000,-25.00457306,-0.1230315473,-0.1000697117,-24.67574197,
72000000,-24.88002502,-0.1459877793,-0.1313479801,-24.58561983,
73000000,-24.82059568,-0.1702653606,-0.1657270991,-24.475613,
74000000,-24.65125246,-0.1498654158,-0.1367365498,-24.34256641,
75000000,-24.4843358,-0.1346375317,-0.1114626944,-24.21709378,
76000000,-24.34882788,-0.1205381271,-0.09345535642,-24.09249232,
77000000,-24.21310035,-0.1080959352,-0.07653330665,-23.92180928,
78000000,-24.07351817,-0.1087948542,-0.07277076891,-23.84859189,
79000000,-23.94873847,-0.1077150438,-0.07095969439,-23.74136331,
80000000,-23.83363212,-0.1131794126,-0.0776002224,-23.63866674,
81000000,-23.73998562,-0.1201045917,-0.08813224843,-23.53391353,
82000000,-23.65329165,-0.1310369346,-0.1084186056,-23.41919102,
83000000,-23.55052584,-0.1488097983,-0.1273355855,-23.34394145,
84000000,-23.4696278,-0.1730758747,-0.1584502735,-23.2625919,
85000000,-23.39158465,-0.1961986438,-0.1917376754,-23.17505712,
86000000,-23.25470894,-0.1745177974,-0.1601110906,-23.05718632,
87000000,-23.12540844,-0.1578045119,-0.1349413569,-22.9459622,
88000000,-23.014579,-0.1447166864,-0.1149667363,-22.8389612,
89000000,-22.88522879,-0.1362435894,-0.1010005079,-22.73981847,
90000000,-22.78608724,-0.132975782,-0.09418690916,-22.64226463,
91000000,-22.66636085,-0.1334836056,-0.0913489268,-22.54454152,
92000000,-22.54202964,-0.1293508484,-0.09472438458,-22.49748327,
93000000,-23.79734506,-0.008038709425,0.02593912704,-20.56500615,
94000000,-22.39866817,-0.1615355893,-0.1253993901,-22.30860281,
95000000,-22.35672134,-0.1765719166,-0.1502639548,-22.24407025,
96000000,-22.29159075,-0.1972672107,-0.178857739,-22.16986085,
97000000,-22.23167062,-0.222850936,-0.213578829,-22.10190167,
98000000,-22.12537969,-0.2009665166,-0.1819433988,-21.99425701,
99000000,-22.01494983,-0.1854993561,-0.1584804519,-21.90173916,
100000000,-21.92245442,-0.1727653677,-0.1403267264,-21.80564899,
101000000,-21.81935541,-0.1641886217,-0.1264652049,-21.72200937,
