Frequency,S11_Magnitude,S11_Phase,S11_VSWR
10000000,-0.258880875,40.13582485,67.10833803
10108888,-0.254676248,39.32569716,68.21611345
10217777,-0.251538891,38.3795716,69.06682803
10326666,-0.246254656,37.4465342,70.54868781
10435555,-0.242063059,36.52945317,71.77015621
10544444,-0.239110985,35.60050098,72.65611959
10653333,-0.236210531,34.68931839,73.54815987
10762222,-0.232892842,33.78507036,74.59576622
10871111,-0.230263685,32.87252179,75.44740127
10980000,-0.226599274,31.97019588,76.66734426
11088888,-0.224411196,31.08497013,77.41478992
11197777,-0.221189995,30.1945623,78.542061
11306666,-0.219981796,29.30443324,78.97338856
11415555,-0.217237834,28.43402077,79.97080664
11524444,-0.214378887,27.56530188,81.03718297
11633333,-0.21298657,26.68959574,81.56687883
11742222,-0.210320517,25.83511423,82.60072906
11851111,-0.208073467,24.9681694,83.49267328
11960000,-0.207672832,24.11280556,83.65372908
12068888,-0.206124388,23.27188781,84.28209143
12177777,-0.204422561,22.42075654,84.98367831
12286666,-0.203104327,21.56678216,85.53520789
12395555,-0.202112917,20.72768765,85.95473947
12504444,-0.201813416,19.88703215,86.08228898
12613333,-0.200313548,19.0446208,86.72678117
12722222,-0.200244638,18.21637168,86.75662374
12831111,-0.199704192,17.38435178,86.99138655
12940000,-0.199283133,16.55439097,87.17517159
13048888,-0.198898417,15.7183664,87.3437738
13157777,-0.198888999,14.90701471,87.34790968
13266666,-0.198428738,14.08140934,87.55049781
13375555,-0.198995824,13.25999063,87.30102353
13484444,-0.200210773,12.45197039,86.77129681
13593333,-0.200247866,11.63447878,86.75522525
13702222,-0.200782228,10.82863788,86.52435529
13811111,-0.200495067,10.01923797,86.64826975
13920000,-0.20219849,9.207349948,85.91836564
14028888,-0.20340276,8.405024648,85.40972174
14137777,-0.204963117,7.616131359,84.75956837
14246666,-0.204722057,6.827622521,84.85936371
14355555,-0.206916145,6.037431956,83.95961941
14464444,-0.208736513,5.243881231,83.22748664
14573333,-0.210605063,4.466411877,82.48913917
14682222,-0.212524642,3.679594856,81.74414881
14791111,-0.214447974,2.901679327,81.01107864
14900000,-0.217441649,2.134615913,79.89585535
15008888,-0.219914589,1.36281434,78.99752064
15117777,-0.222792834,0.590912611,77.97706699
15226666,-0.225440943,-0.168144217,77.06122164
15335555,-0.229711112,-0.924238266,75.62886994
