Frequency,S11_Magnitude,S11_Phase,S11_VSWR,
10000000,-0.3094297125,40.07779647,56.14721451,
10108888,-0.2999546413,39.1499844,57.92044285,
10217777,-0.2980843471,38.21065464,58.28378567,
10326666,-0.2942732483,37.2696589,59.03846504,
10435555,-0.2909525477,36.3352807,59.71215489,
10544444,-0.2888843343,35.41419915,60.13957324,
10653333,-0.2867484058,34.49224922,60.58745799,
10762222,-0.2856472011,33.57933149,60.82098767,
10871111,-0.2834828991,32.6631449,61.28525325,
10980000,-0.2808790932,31.75659166,61.85327953,
11088888,-0.2800342729,30.86194234,62.03984889,
11197777,-0.2785742462,29.96229233,62.36494781,
11306666,-0.2786105946,29.06429197,62.35681287,
11415555,-0.2777742536,28.18718129,62.54452872,
11524444,-0.2770722277,27.30869923,62.70297264,
11633333,-0.2767181134,26.44344637,62.7831996,
11742222,-0.2770051757,25.57268417,62.71814796,
11851111,-0.2773545637,24.69935375,62.63915432,
11960000,-0.2786994664,23.83863496,62.33693192,
12068888,-0.2796300998,22.98609058,62.12950482,
12177777,-0.2806586288,22.12680323,61.90185836,
12286666,-0.2814590228,21.27242839,61.72585675,
12395555,-0.2826582127,20.42484661,61.464028,
12504444,-0.2847864505,19.57898045,61.00478252,
12613333,-0.2870697724,18.73092832,60.51964434,
12722222,-0.2900368702,17.89458584,59.90063736,
12831111,-0.2929161048,17.06103174,59.31195077,
12940000,-0.2959197652,16.22837846,58.71003417,
13048888,-0.298374168,15.39802883,58.22718377,
13157777,-0.3019080636,14.57122331,57.54575751,
13266666,-0.3063049395,13.74322832,56.71988039,
13375555,-0.3095520394,12.92019757,56.1250313,
13484444,-0.3141946735,12.11120453,55.29588795,
13593333,-0.3189199298,11.29129512,54.47678002,
13702222,-0.3230711569,10.48512145,53.77695169,
13811111,-0.3280120655,9.683307174,52.96708734,
13920000,-0.3333946,8.874830643,52.11215788,
14028888,-0.3384325091,8.080858781,51.33660776,
14137777,-0.3440399204,7.297425416,50.50010005,
14246666,-0.3500573432,6.504455855,49.63224133,
14355555,-0.3553436844,5.73263471,48.89407875,
14464444,-0.3618678877,4.949521308,48.01280373,
14573333,-0.3697078441,4.175152785,46.99495073,
14682222,-0.3757163318,3.400721957,46.24363218,
14791111,-0.3829215332,2.639887697,45.3737678,
14900000,-0.3889639306,1.895324473,44.66913473,
15008888,-0.3964830391,1.137684096,43.82229205,
15117777,-0.4042623002,0.3870399916,42.97931082,
15226666,-0.41200405,-0.359508278,42.17200365,
15335555,-0.4201679067,-1.108344188,41.35291243,
15444444,-0.4281634605,-1.849221038,40.58098926,
15553333,-0.4341988765,-2.582886917,40.01713867,
15662222,-0.4413231599,-3.316792622,39.37141285,
15771111,-0.4496563039,-4.039252842,38.64208871,
15880000,-0.4564853905,-4.777349488,38.06425763,
15988888,-0.4643668508,-5.496277801,37.41851239,
