Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Real,S11_Imaginary,S11_Quality Factor,S11_Group delay,
30000000,-0.8194527052,0.9099706078,-116.2156781,-0.4019807511,-0.8163687786,-2.030865349,3.037115424e-08,
30088888,-0.7521769649,0.9170460652,-117.5557564,-0.4242361235,-0.8130173413,-1.916426481,3.037115424e-08,
30177777,-0.7432535552,0.9179886724,-118.4284122,-0.4370180143,-0.8072908137,-1.847271251,3.037115424e-08,
30266666,-0.7331466827,0.9190574627,-119.3026889,-0.4498082069,-0.8014606645,-1.781783107,2.748178294e-08,
30355555,-0.7258305498,0.9198319118,-120.2016026,-0.462716036,-0.7949746009,-1.718061487,2.779815629e-08,
30444444,-0.715379802,0.9209393075,-121.0662519,-0.4752312842,-0.788850071,-1.659928749,2.773369706e-08,
30533333,-0.7105372534,0.9214528918,-121.9943412,-0.4882184578,-0.7814845931,-1.600686292,2.764936707e-08,
30622222,-0.7017612888,0.9223843709,-122.8437166,-0.5002546142,-0.7749440294,-1.549099213,3.970126295e-08,
30711111,-0.6945625083,0.9231491509,-123.7367746,-0.5126969988,-0.7676888317,-1.497353863,3.373497562e-08,
30800000,-1.662054585,0.8258425793,-126.5472453,-0.4917772261,-0.6634539363,-1.34909447,2.825022432e-08,
30888888,-0.6806497503,0.9246290042,-125.5401797,-0.537462547,-0.7523781004,-1.399870753,2.174249141e-08,
30977777,-0.6716077579,0.9255920422,-126.4620556,-0.5500703709,-0.7444079632,-1.353295874,1.636419781e-08,
31066666,-0.7336422494,0.9190050281,-127.2581332,-0.5563720547,-0.7314508722,-1.314679388,2.891466896e-08,
31155555,-0.6633591002,0.9264714591,-128.3065435,-0.5742906154,-0.7270073271,-1.265922353,2.94544505e-08,
31244444,-0.6562704027,0.9272278764,-129.2442886,-0.5865904396,-0.7180969231,-1.224187908,3.005859759e-08,
31333333,-0.650559866,0.9278376826,-130.1816959,-0.5986535349,-0.7088700236,-1.184107305,2.949566975e-08,
31422222,-0.644756172,0.9284578477,-131.1299386,-0.6107107101,-0.6993328274,-1.145113088,2.243365847e-08,
31511111,-0.6387733142,0.9290975916,-132.0830315,-0.6226875691,-0.6895524098,-1.107381043,2.611151036e-08,
31600000,-0.7391393843,0.9184235913,-131.8830107,-0.6131504479,-0.6837751248,-1.115183275,2.974166055e-08,
31688888,-0.6299032324,0.9300468761,-133.9830067,-0.6458663956,-0.66921132,-1.036145129,3.342993507e-08,
31777777,-0.6262959325,0.9304332102,-134.9386227,-0.6572104717,-0.6586200381,-1.002144772,3.719111767e-08,
31866666,-0.6257659166,0.9304899873,-135.9039616,-0.6682541011,-0.6474936855,-0.9689333509,3.011672339e-08,
31955555,-0.6228159186,0.9308060642,-136.8731195,-0.6793410206,-0.6363141574,-0.9366638228,3.023700118e-08,
32044444,-0.6200505,0.931102462,-137.8344401,-0.6901408069,-0.6250259685,-0.9056499228,3.021014111e-08,
32133333,-0.615806661,0.9315575005,-138.8113097,-0.7010388586,-0.6134687404,-0.8750852152,3.033147952e-08,
32222222,-0.6140618416,0.9317446504,-139.7684952,-0.7113320673,-0.6017929739,-0.8460084981,3.07669522e-08,
32311111,-0.6099917011,0.932181361,-140.7591347,-0.7219684117,-0.5896810174,-0.8167684456,3.071115136e-08,
32400000,-0.6061198212,0.932596989,-141.7832461,-0.7327190998,-0.5769400875,-0.7873959989,3.062007415e-08,
32488888,-0.6092581051,0.9322600948,-142.7177246,-0.7417629121,-0.5647093647,-0.7613070908,3.048085391e-08,
32577777,-0.6084236551,0.932349661,-143.6884182,-0.7512953715,-0.5521151647,-0.7348842887,3.042868413e-08,
32666666,-0.6053740892,0.9326770611,-144.6834365,-0.7610369722,-0.5391745795,-0.7084735686,3.088812618e-08,
32755555,-0.6068182119,0.9325220063,-145.6689856,-0.7700702713,-0.52591736,-0.6829472317,3.107401895e-08,
32844444,-0.6068585416,0.9325176765,-146.6695472,-0.7791329141,-0.512387665,-0.6576383256,3.108495764e-08,
32933333,-0.6062950584,0.9325781741,-147.6672121,-0.7879874381,-0.4987763508,-0.6329750028,3.111046888e-08,
33022222,-0.6077757001,0.9324192155,-148.6579227,-0.7963578731,-0.4849945685,-0.609015852,3.115936034e-08,
33111111,-0.6067557511,0.9325287122,-149.6524791,-0.8047506446,-0.4711541139,-0.5854659665,3.14302459e-08,
33200000,-0.6069680506,0.9325059197,-150.6624176,-0.8129102461,-0.456885349,-0.562036647,3.160931096e-08,
33288888,-0.6080635848,0.932388312,-151.6938103,-0.8208990354,-0.4421229897,-0.5385838827,3.171092331e-08,
33377777,-0.6085207693,0.9323392367,-152.6947532,-0.8284535504,-0.4276928421,-0.5162544621,3.163066973e-08,
33466666,-0.6092037801,0.9322659256,-153.7100083,-0.8358358917,-0.4129141778,-0.4940134563,3.152819623e-08,
33555555,-0.60887845,0.9323008443,-154.7152321,-0.8429828161,-0.398202004,-0.472372623,3.143875482e-08,
33644444,-0.6094018797,0.9322446636,-155.7280886,-0.8498388099,-0.3832154876,-0.4509272619,3.143480619e-08,
33733333,-0.6103265551,0.9321454247,-156.7159201,-0.8562280074,-0.3684680342,-0.4303386843,3.165316331e-08,
33822222,-0.6117113665,0.9319968225,-157.7392396,-0.8625345174,-0.3530613026,-0.4093300564,3.183276427e-08,
33911111,-0.6103270837,0.932145368,-158.774169,-0.8689092538,-0.3374784373,-0.3883931904,3.214880012e-08,
34000000,-0.6135131596,0.9318035099,-159.7922128,-0.8744473546,-0.3218689253,-0.3680826795,3.248172258e-08,
34088888,-0.6120868751,0.9319565312,-160.833248,-0.8802954298,-0.305978647,-0.3475863177,3.255935789e-08,
34177777,-0.6100399286,0.9321761852,-161.9067822,-0.8860824035,-0.2895002839,-0.3267193691,3.227974446e-08,
34266666,-0.6127825929,0.9318818868,-162.9263295,-0.8908120219,-0.2736015216,-0.3071372129,3.123121964e-08,
34355555,-0.6144331738,0.931704818,-163.9104376,-0.8952096205,-0.2582123222,-0.2884378321,3.103658477e-08,
34444444,-0.5450705774,0.9391748867,-164.8284217,-0.9064412939,-0.2457918804,-0.2711613891,3.164605678e-08,
34533333,-0.6286981481,0.9301759202,-165.9215959,-0.9022369419,-0.2262647635,-0.2507819764,3.219423105e-08,
34622222,-0.6193991143,0.9311722913,-166.9841258,-0.9072483362,-0.209719557,-0.2311600348,3.247668056e-08,
34711111,-0.6220926929,0.9308835705,-167.983669,-0.9104863288,-0.1938011012,-0.2128544879,3.200205192e-08,
34800000,-0.6242687777,0.9306503845,-168.9936605,-0.9135320622,-0.1776775435,-0.1944951369,3.200252191e-08,
34888888,-0.6259196124,0.9304735225,-170.0371632,-0.916442147,-0.1609806426,-0.1756582705,3.226231489e-08,
34977777,-0.6264952958,0.9304118546,-171.0777885,-0.9191537,-0.1443007102,-0.1569930145,3.23078218e-08,
35066666,-0.6268876069,0.9303698321,-172.1035237,-0.9215479856,-0.1278175839,-0.1386987828,3.203599547e-08,
35155555,-0.6268652847,0.9303722231,-173.1297382,-0.9236917438,-0.1112925693,-0.1204866992,3.208305253e-08,
35244444,-0.6294732509,0.9300929178,-174.136954,-0.9252275165,-0.0950098865,-0.1026881333,3.211882903e-08,
