Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Real,S11_Imaginary,S11_Quality Factor,S11_Group delay
30000000,-0.7943418402,0.912605134748796,-115.4140622,-0.391650724,-0.8242923282,-2.104661826,3.377092074E-08
30088888,-0.7932031801,0.912724778816677,-117.2419143,-0.4177983538,-0.8114869422,-1.942293297,3.377092074E-08
30177777,-0.7845923098,0.913630069125714,-118.1443931,-0.4309549331,-0.8056039653,-1.869346197,3.377092074E-08
30266666,-0.7736824724,0.914778347352428,-119.0320737,-0.4439411534,-0.7998347811,-1.801668476,2.778152635E-08
30355555,-0.7675801923,0.915421251568203,-119.9223366,-0.4566356088,-0.7933977493,-1.737485501,2.770244665E-08
30444444,-0.7578326012,0.916449144071731,-120.7979924,-0.4692336618,-0.7872095047,-1.677649259,2.784575997E-08
30533333,-0.7528915565,0.916970622535875,-121.6938307,-0.4817580604,-0.78022067,-1.619528004,2.803448858E-08
30622222,-0.742626097,0.918054989232401,-122.6016538,-0.4946435307,-0.7734033494,-1.563556989,1.241400835E-08
30711111,-0.7348905777,0.918872959023025,-123.5060296,-0.5072406045,-0.7661817565,-1.510489795,2.052463655E-08
30800000,-1.664555836,0.825604798015873,-121.8781367,-0.4360137333,-0.7010815265,-1.607934505,2.861342595E-08
30888888,-0.7223733653,0.920198098992975,-125.3395352,-0.5322615712,-0.7506411667,-1.410286234,3.729895737E-08
30977777,-0.7136478229,0.921122962438856,-126.2630549,-0.5448381359,-0.7427105207,-1.363176459,4.534167128E-08
31066666,-0.7671040724,0.915471432060792,-127.2813441,-0.5545279212,-0.7284138436,-1.313574693,2.944918526E-08
31155555,-0.7040401943,0.922142397863743,-128.1619088,-0.5697787,-0.7250509189,-1.272513204,2.959801239E-08
31244444,-0.6942504006,0.923182322797465,-129.1019838,-0.582253562,-0.7164121654,-1.230412679,2.930950202E-08
31333333,-0.6859190107,0.924068251829582,-130.0884229,-0.5950713615,-0.7069598353,-1.188025304,2.977404762E-08
31422222,-0.6814872745,0.924539852530222,-131.0076132,-0.6066454275,-0.697678482,-1.150059739,2.426303816E-08
31511111,-0.6763156723,0.92509048997005,-131.9729476,-0.6186816977,-0.6877683997,-1.111667603,2.706183349E-08
31600000,-0.899012101,0.901673684600504,-132.0418124,-0.6038262944,-0.6696336608,-1.108983936,0.0000000301978344
31688888,-0.6663705614,0.926150300405062,-133.9012221,-0.6422085453,-0.6673249308,-1.039109392,3.326670551E-08
31777777,-0.6628190541,0.926529064381529,-134.8751355,-0.6537256528,-0.6565812044,-1.004368119,3.632410393E-08
31866666,-0.6624473021,0.92656872023926,-135.8789057,-0.665155923,-0.6450559599,-0.9697815768,3.094135531E-08
31955555,-0.6583373593,0.927007252813355,-136.8648345,-0.6764768467,-0.633815054,-0.9369353246,3.107108791E-08
32044444,-0.6557107489,0.927287621915915,-137.8569956,-0.6875582078,-0.6221945392,-0.9049336219,3.096766396E-08
32133333,-0.6510351421,0.927786914404566,-138.8574708,-0.698693346,-0.6104229409,-0.8736635957,3.100920452E-08
32222222,-0.6497528827,0.927923889585977,-139.83742,-0.7091355963,-0.5984725983,-0.8439466321,3.126647741E-08
32311111,-0.6439089549,0.928548413390913,-140.8361012,-0.7199431106,-0.5864162972,-0.8145314381,0.0000000314162312
32400000,-0.6312630528,0.929901283952152,-141.8703231,-0.7314745929,-0.5741614039,-0.7849369062,3.162479882E-08
