Frequency,S11_Magnitude,S11_Phase,S11_VSWR,
30000000,-0.5723226029,-113.412222,30.36410565,
30104444,-0.6083773197,-114.6924134,28.56595755,
30208888,-0.613385169,-115.7541712,28.3329284,
30313333,-0.619471673,-116.8355873,28.05478086,
30417777,-0.6246719843,-117.9079982,27.82142724,
30522222,-0.6307093774,-118.9996191,27.55534037,
30626666,-0.6374993523,-120.0977406,27.2621089,
30731111,-0.6434385295,-121.1983026,27.01069632,
30835555,-0.6492215249,-122.3116054,26.77031717,
30940000,-0.6553356402,-123.4299762,26.5207904,
31044444,-0.661505389,-124.5500264,26.2736711,
31148888,-0.6658367459,-125.6846349,26.10292301,
31253333,-0.6716393346,-126.8134442,25.87763001,
31357777,-0.6741069111,-127.954239,25.78299914,
31462222,-0.678933548,-129.1245181,25.5998886,
31566666,-0.6833334541,-130.2711172,25.43522212,
31671111,-0.6877706294,-131.4257624,25.27129562,
31775555,-0.6932785284,-132.6068646,25.07073292,
31880000,-0.6994792567,-133.7772494,24.8487233,
31984444,-0.7026611307,-134.9639724,24.73632215,
32088888,-0.7077364688,-136.1601718,24.55912643,
32193333,-0.7135898361,-137.3589137,24.3578988,
32297777,-0.7206622795,-138.5911209,24.11912501,
32402222,-0.7254516704,-139.8263463,23.96007506,
32506666,-0.7304793104,-141.0761164,23.79535827,
32611111,-0.7389344796,-142.3635776,23.52340528,
32715555,-0.7490249318,-143.678793,23.20689543,
32820000,-0.7612012038,-145.0205999,22.83613838,
32924444,-0.7797533353,-146.4106169,22.29351725,
33028888,-0.8081556991,-147.8429069,21.51108952,
33133333,-0.8503718348,-149.319254,20.44476541,
33237777,-0.9200983102,-150.8158681,18.89800298,
33342222,-1.025712469,-152.2254205,16.95598207,
33446666,-1.166087523,-153.3121866,14.91986019,
33551111,-1.298672974,-153.855968,13.40147172,
33655555,-1.357009134,-153.9940982,12.82754778,
33760000,-1.330305792,-154.2620862,13.08400199,
33864444,-1.260617127,-154.9115155,13.80455751,
33968888,-1.194152591,-155.6850518,14.57027618,
34073333,-1.137090333,-156.698813,15.29920847,
34177777,-1.090894329,-157.8273229,15.9452733,
34282222,-1.058560329,-159.0108252,16.43106663,
34386666,-1.032282221,-160.2127585,16.84832034,
34491111,-1.0118451,-161.4284792,17.18782876,
34595555,-0.9975495264,-162.6405207,17.43358992,
34700000,-0.9885075715,-163.8674819,17.59270787,
34804444,-0.978978791,-165.0696262,17.76357722,
34908888,-0.9734856908,-166.2765281,17.86360068,
35013333,-0.968951256,-167.5035188,17.94702324,
35117777,-0.9659506041,-168.723308,18.00265901,
35222222,-0.96533807,-169.9650857,18.0140587,
35326666,-0.9610826693,-171.2526686,18.09365623,
35431111,-0.9569680452,-172.583079,18.17129437,
35535555,-0.9558203434,-173.8116336,18.19306951,
35640000,-0.9581930842,-174.9382375,18.14810954,
35744444,-0.9610729974,-176.0783588,18.09383794,
35848888,-0.9633741826,-177.2273401,18.05070587,
35953333,-0.9659219416,-178.4003306,18.00319212,
36057777,-0.9669400345,-179.5800313,17.98427556,
36162222,-0.9671258466,179.2272898,17.9808274,
36266666,-0.9694438876,178.0453449,17.93792219,
36371111,-0.9716981976,176.8505637,17.89639314,
36475555,-0.9735125748,175.6685115,17.8631084,
36580000,-0.9752986609,174.4898123,17.83046374,
36684444,-0.9774432535,173.3187099,17.79142438,
36788888,-0.980879258,172.1275032,17.72923288,
36893333,-0.9822451135,170.9299039,17.70463195,
36997777,-0.9840177149,169.7329255,17.67280691,
37102222,-0.9856725042,168.534456,17.64320047,
37206666,-0.9901288902,167.3488084,17.56396226,
37311111,-0.991542155,166.1588097,17.53898217,
37415555,-0.9919197374,164.8785802,17.5323203,
37520000,-0.9933926947,163.5784465,17.50638063,
37624444,-0.9993901131,162.5836172,17.40155284,
37728888,-1.003073913,161.4143204,17.3377865,
37833333,-1.00507178,160.1912849,17.30339926,
37937777,-1.007943343,158.9745743,17.25421303,
38042222,-1.011738238,157.7736446,17.18964007,
38146666,-1.014483333,156.5793773,17.14323171,
38251111,-1.018399858,155.3985187,17.07745284,
38355555,-1.021996591,154.2196758,17.01748953,
38460000,-1.025305534,153.0494686,16.96269614,
38564444,-1.02821,151.8972439,16.91489152,
38668888,-1.030499306,150.735815,16.87740197,
38773333,-1.034823768,149.5869481,16.80703792,
38877777,-1.038322552,148.4778415,16.75053805,
38982222,-1.042243529,147.429445,16.68767173,
39086666,-1.047514006,146.4048628,16.60391081,
39191111,-1.051763512,145.3594041,16.53698765,
39295555,-1.057361376,144.283387,16.44965197,
39400000,-1.061801569,143.1971695,16.38103354,
39504444,-1.06498875,142.0974019,16.33213226,
39608888,-1.070128368,140.9867907,16.25388887,
39713333,-1.075103029,139.8778436,16.17887009,
39817777,-1.078715198,138.7630479,16.12483209,
39922222,-1.084071284,137.6526198,16.04536885,
40026666,-1.089737389,136.5303369,15.9621575,
40131111,-1.093707569,135.3969169,15.90436655,
40235555,-1.098184024,134.260446,15.83970798,
40340000,-1.10222575,133.106795,15.78178046,
40444444,-1.106101004,131.9478542,15.72663696,
40548888,-1.110680203,130.7904175,15.66197323,
40653333,-1.115852762,129.6546584,15.58956975,
40757777,-1.121990058,128.5483308,15.50452941,
40862222,-1.13114064,127.5018056,15.37945207,
40966666,-1.141596982,126.4916623,15.23898475,
41071111,-1.151145331,125.4715217,15.11294739,
41175555,-1.16166932,124.4305404,14.97643545,
41280000,-1.171877549,123.3632964,14.84636549,
41384444,-1.180372362,122.2970155,14.73984493,
41488888,-1.191443155,121.2019524,14.60330611,
41593333,-1.201089262,120.1112593,14.48639348,
41697777,-1.212470738,119.0239313,14.350844,
41802222,-1.223580447,117.9247898,14.22096719,
41906666,-1.234712457,116.8311859,14.09317776,
42011111,-1.247716231,115.7349948,13.94679391,
42115555,-1.260187333,114.6308245,13.80924915,
42220000,-1.27310398,113.538751,13.66963622,
42324444,-1.292238351,112.5131089,13.46795617,
42428888,-1.307850222,111.4786248,13.30778363,
42533333,-1.323760439,110.4158997,13.14844442,
42637777,-1.338494269,109.3361371,13.00427132,
42742222,-1.356607112,108.2339372,12.83133371,
42846666,-1.377171492,107.2162016,12.64051465,
42951111,-1.39765836,106.1565282,12.45600985,
43055555,-1.417812828,105.1031098,12.27971269,
43160000,-1.440913644,104.0445392,12.0837222,
43264444,-1.463603449,103.0009108,11.89725509,
43368888,-1.488962179,101.9490015,11.69559518,
43473333,-1.516353364,100.9061243,11.4853683,
43577777,-1.543688817,99.86244412,11.28302548,
43682222,-1.573344052,98.83620556,11.07148307,
43786666,-1.606052716,97.77503582,10.84724374,
43891111,-1.63800423,96.74893358,10.63686622,
43995555,-1.674344937,95.70905307,10.40737689,
44100000,-1.71248033,94.69541034,10.17705937,
44204444,-1.753512208,93.68200177,9.940472133,
44308888,-1.79706024,92.66739239,9.701234059,
44413333,-1.843339209,91.65881747,9.459425541,
44517777,-1.892143136,90.66278111,9.217285104,
44622222,-1.945688226,89.66606135,8.965649902,
44726666,-2.000587207,88.68456662,8.721693967,
44831111,-2.060430981,87.70084364,8.470637598,
44935555,-2.123991758,86.73367849,8.219550577,
45040000,-2.189369082,85.76141268,7.976570843,
45144444,-2.25956587,84.76132844,7.731413026,
45248888,-2.332477099,83.75818701,7.492483642,
45353333,-2.41025707,82.76171732,7.253627636,
45457777,-2.494507391,81.8172182,7.01181141,
45562222,-2.583696836,80.92875235,6.773117194,
45666666,-2.680242362,80.16639833,6.532768673,
45771111,-2.780773929,79.47179081,6.300369469,
45875555,-2.885668794,78.74440404,6.07528764,
45980000,-2.993849549,78.02086135,5.85982225,
46084444,-3.108104263,77.33043549,5.648700139,
46188888,-3.225774846,76.68960462,5.447059363,
46293333,-3.347775446,76.11877178,5.253130852,
46397777,-3.472260219,75.5850131,5.069467354,
46502222,-3.598984153,75.1040888,4.895717546,
46606666,-3.727106916,74.63584159,4.732226612,
46711111,-3.855239767,74.3169864,4.579751259,
46815555,-3.983104993,74.22544878,4.437528266,
46920000,-4.10910318,74.36170726,4.306186563,
47024444,-4.229325648,74.4719571,4.188292735,
47128888,-4.341095183,74.6402171,4.084657417,
47233333,-4.446610305,74.88189437,3.991698621,
47337777,-4.538719151,75.21514359,3.914159049,
47442222,-4.618286477,75.60906367,3.849722402,
47546666,-4.683402692,76.08644384,3.798655433,
47651111,-4.731121121,76.60226521,3.762146295,
47755555,-4.759961272,77.11859662,3.740444375,
47860000,-4.769063015,77.46237214,3.733651244,
47964444,-4.760808868,78.10631011,3.739810643,
48068888,-4.737506947,78.74762546,3.757317686,
48173333,-4.695837947,79.27665295,3.789068052,
48277777,-4.634055009,79.69716975,3.837221213,
48382222,-4.562122615,80.08973114,3.894967327,
48486666,-4.478474647,80.53888581,3.964505558,
48591111,-4.38223222,80.92643227,4.047871976,
48695555,-4.28128745,81.20748865,4.13942589,
48800000,-4.170969049,81.31890264,4.244653961,
48904444,-4.057628443,81.42718362,4.358841073,
49008888,-3.939957178,81.41035881,4.484471684,
49113333,-3.820130102,81.30724867,4.620497545,
49217777,-3.701547463,81.12778084,4.763924674,
49322222,-3.583501778,80.87074747,4.916277227,
49426666,-3.463307235,80.56261717,5.082230208,
49531111,-3.348936013,80.18989288,5.251354702,
49635555,-3.237102183,79.76720021,5.428430846,
49740000,-3.128037409,79.29627402,5.613463555,
49844444,-3.023500821,78.78552978,5.803483183,
49948888,-2.922621377,78.23109157,5.999877779,
50053333,-2.827081843,77.6434159,6.198925195,
50157777,-2.736379858,77.03215614,6.400872712,
50262222,-2.646222502,76.41247807,6.615444157,
50366666,-2.562037694,75.78141956,6.829543989,
50471111,-2.480857744,75.1243974,7.049866471,
50575555,-2.40464939,74.4684514,7.270328308,
50680000,-2.333009651,73.81562045,7.490793731,
50784444,-2.264206407,73.13016511,7.715744843,
50888888,-2.198726266,72.43243397,7.942982286,
50993333,-2.136649463,71.7210205,8.171340566,
51097777,-2.077671502,71.00821938,8.401005877,
51202222,-2.020760252,70.28851904,8.635395109,
51306666,-1.968407844,69.56683665,8.863032613,
51411111,-1.918374552,68.84962125,9.092248234,
51515555,-1.871453121,68.12506861,9.318390461,
51620000,-1.827386203,67.38882843,9.541391956,
51724444,-1.783128801,66.65751057,9.776493037,
51828888,-1.742314696,65.94103062,10.00392706,
51933333,-1.703807439,65.20565805,10.2285304,
52037777,-1.668263869,64.47147456,10.44507981,
52142222,-1.633206887,63.7255333,10.66792654,
52246666,-1.597340215,62.96461025,10.90607384,
52351111,-1.560938422,62.14724284,11.15899673,
52455555,-1.528936395,61.32674249,11.391325,
52560000,-1.502764189,60.65832239,11.58870469,
52664444,-1.475254584,59.95934547,11.80373893,
52768888,-1.447652091,59.22949391,12.02773335,
52873333,-1.420683456,58.47727692,12.25501029,
52977777,-1.397270941,57.73847199,12.45944865,
53082222,-1.376090291,57.05070918,12.65040489,
53186666,-1.354579536,56.35675709,12.85046224,
53291111,-1.332618131,55.65330912,13.06138743,
53395555,-1.31059751,54.92683913,13.27999296,
53500000,-1.290702423,54.19150184,13.48392402,
53604444,-1.270110184,53.45531197,13.70174218,
53708888,-1.250140614,52.69543343,13.91983994,
53813333,-1.230609821,51.94142929,14.14000433,
53917777,-1.215040908,51.23716041,14.3205862,
54022222,-1.202613717,50.59691194,14.4680887,
54126666,-1.187191063,49.88884104,14.65544654,
54231111,-1.166306585,49.09686546,14.91706626,
54335555,-1.14962264,48.32977689,15.13290624,
54440000,-1.135767612,47.62682026,15.31697525,
54544444,-1.12218827,46.93810204,15.50179845,
54648888,-1.110589921,46.25691201,15.66324295,
54753333,-1.099146616,45.57331023,15.82587305,
54857777,-1.089381204,44.88001472,15.96736282,
54962222,-1.078128281,44.18188883,16.13358769,
55066666,-1.068392824,43.48691676,16.28022577,
55171111,-1.060733705,42.81065699,16.3974837,
55275555,-1.052938227,42.10146431,16.51858313,
55380000,-1.040332128,41.39382616,16.71825859,
55484444,-1.036443224,40.69777397,16.78083877,
55588888,-1.030746187,39.99002979,16.87336901,
55693333,-1.024744563,39.28102645,16.97196043,
55797777,-1.013161428,38.4640935,17.1655483,
55902222,-1.004076424,37.73140257,17.32051418,
56006666,-0.9994600186,37.02363414,17.4003384,
56111111,-0.9929540798,36.27819717,17.51409685,
56215555,-0.9896449048,35.51807474,17.57253334,
56320000,-0.9813559785,34.73294206,17.7206387,
56424444,-0.9765421489,33.94254772,17.80780684,
56528888,-0.9719147461,33.17345672,17.89241402,
56633333,-0.9704752057,32.46376731,17.91889921,
56737777,-0.9707230952,31.76653241,17.91433284,
56842222,-0.968551046,30.9804996,17.95442368,
56946666,-0.9662279902,30.17249113,17.99750142,
57051111,-0.9604713606,29.2700097,18.10514879,
57155555,-0.9642602057,28.56017709,18.03415371,
57260000,-0.9674068112,27.83024147,17.97561599,
57364444,-0.9714861687,27.04862621,17.90029093,
57468888,-0.9779585785,26.26106298,17.78206914,
57573333,-0.979425486,25.43734779,17.75549277,
57677777,-0.9839573762,24.55774379,17.67388834,
57782222,-0.986895237,23.59328008,17.62138796,
57886666,-0.9978441345,22.83632039,17.42845404,
57991111,-1.007289307,21.93617512,17.26539114,
58095555,-1.020275276,21.01490666,17.0461338,
58200000,-1.035264572,20.06172298,16.79989858,
58304444,-1.050231289,19.05328629,16.56105529,
58408888,-1.071882984,18.05860254,16.22734936,
58513333,-1.098002224,17.00533124,15.84232365,
58617777,-1.126544943,15.88743416,15.44201532,
58722222,-1.155047979,14.7326241,15.06203356,
58826666,-1.19713815,13.62324614,14.53405353,
58931111,-1.250238685,12.44304143,13.9187518,
59035555,-1.315132638,11.1763754,13.23437159,
59140000,-1.389200454,9.80143273,12.53152081,
59244444,-1.481878631,8.374778317,11.75122922,
59348888,-1.593197154,6.830458856,10.93427573,
59453333,-1.728969977,5.259068515,10.08062702,
