Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S11_VSWR,
30000000,-0.964325036,0.8949190402,-133.7161186,-133.7161186,18.03294378,
30104444,-0.9640140141,0.8949510858,-137.3438703,-137.3438703,18.03874986,
30208888,-0.9705829842,0.8942745075,-141.017034,-141.017034,17.91691354,
30313333,-0.9806252593,0.8932411809,-144.6611711,-144.6611711,17.73381531,
30417777,-0.9907512169,0.8922004525,-148.3087873,-148.3087873,17.55295357,
30522222,-1.001917633,0.8910541934,-151.9508795,-151.9508795,17.35775108,
30626666,-1.013012756,0.8899167112,-155.608199,-155.608199,17.16806185,
30731111,-1.024056613,0.8887859269,-159.27204,-159.27204,16.9833356,
30835555,-1.036497721,0.8875137986,-162.9200883,-162.9200883,16.77995857,
30940000,-1.048028721,0.8863363565,-166.5965723,-166.5965723,16.59577591,
31044444,-1.060597308,0.8850547446,-170.2905831,-170.2905831,16.39958724,
31148888,-1.072673416,0.8838250962,-173.9585759,-173.9585759,16.21542204,
31253333,-1.08468343,0.8826038723,-177.6312254,-177.6312254,16.03633705,
31357777,-1.096500097,0.8814039555,178.6808025,-181.3191975,15.86396884,
31462222,-1.106849677,0.8803543533,174.9679439,-185.0320561,15.71602817,
31566666,-1.118349475,0.8791895679,171.2957023,-188.7042977,15.55486173,
31671111,-1.1320304,0.8778058686,167.5916498,-192.4083502,15.36739815,
31775555,-1.143947766,0.8766023119,163.8718425,-196.1281575,15.20775908,
31880000,-1.155211412,0.8754662925,160.1709338,-199.8290662,15.05990892,
31984444,-1.165045204,0.8744756879,156.4583004,-203.5416996,14.93316838,
32088888,-1.177167628,0.8732560811,152.7460475,-207.2539525,14.77984977,
32193333,-1.188804428,0.8720869317,149.0293267,-210.9706733,14.63561899,
32297777,-1.200555807,0.8709078591,145.2872945,-214.7127055,14.49280991,
32402222,-1.210519655,0.869909387,141.5556408,-218.4443592,14.37389942,
32506666,-1.220927457,0.8688676489,137.8170892,-222.1829108,14.2517665,
32611111,-1.236308784,0.8673303842,134.0812189,-225.9187811,14.07504177,
32715555,-1.24714854,0.8662486544,130.3319979,-229.6680021,13.95312059,
32820000,-1.256770948,0.8652895376,126.5853181,-233.4146819,13.84665678,
32924444,-1.270629101,0.8639100872,122.8159317,-237.1840683,13.69616637,
33028888,-1.282817403,0.8626986727,119.0595031,-240.9404969,13.56650157,
33133333,-1.29737354,0.8612541409,115.2805993,-244.7194007,13.41484462,
33237777,-1.314505236,0.8595571123,111.5139445,-248.4860555,13.24066418,
33342222,-1.334335641,0.8575969305,107.7219675,-252.2780325,13.04464108,
33446666,-1.356402661,0.8554209197,103.9159043,-256.0840957,12.83325995,
33551111,-1.385775356,0.8525330657,100.1094023,-259.8905977,12.56236237,
33655555,-1.424920898,0.8486995171,96.30940813,-263.6905919,12.21872847,
33760000,-1.476505519,0.8436741139,92.56284149,-267.4371585,11.79378643,
33864444,-1.541650192,0.8373701789,88.95568446,-271.0443155,11.29786756,
33968888,-1.613749369,0.8304481683,85.55800521,-274.4419948,10.79580297,
34073333,-1.655823383,0.8264352461,82.46892037,-277.5310796,10.52307686,
34177777,-1.637877965,0.8281444616,79.43947638,-280.5605236,10.63768138,
34282222,-1.576905632,0.8339782383,76.19779532,-283.8022047,11.04661353,
34386666,-1.511466625,0.8402851118,72.65471459,-287.3452854,11.52231412,
34491111,-1.458477918,0.8454269815,68.96015085,-291.0398491,11.93886876,
34595555,-1.423414455,0.8488467247,65.1998121,-294.8001879,12.23160214,
34700000,-1.393213806,0.8518032832,61.42126947,-298.5787305,12.49557563,
34804444,-1.379635832,0.8531358821,57.61603562,-302.3839644,12.61803025,
34908888,-1.368330625,0.8542470127,53.81647675,-306.1835232,12.72184568,
35013333,-1.358271581,0.8552368809,50.03176017,-309.9682398,12.81567358,
35117777,-1.347299845,0.8563178711,46.07001665,-313.9299834,12.91961558,
35222222,-1.3409736,0.8569417854,42.36648273,-317.6335173,12.98032266,
35326666,-1.336520555,0.8573812313,38.69808672,-321.3019133,13.02339971,
35431111,-1.333294253,0.8576997576,34.98877133,-325.0112287,13.05478984,
35535555,-1.330736745,0.8579523393,31.27634449,-328.7236555,13.07978133,
35640000,-1.32873699,0.8581498887,27.54634933,-332.4536507,13.09938971,
35744444,-1.3248171,0.858537254,23.82880088,-336.1711991,13.13799786,
35848888,-1.32340965,0.8586763815,20.12659429,-339.8734057,13.15191616,
35953333,-1.321359214,0.858879109,16.40296209,-343.5970379,13.17224612,
36057777,-1.31800748,0.8592105996,12.68173982,-347.3182602,13.20561487,
36162222,-1.315403033,0.8594682708,8.970184216,-351.0298158,13.2316615,
36266666,-1.311671776,0.8598375577,5.249056049,-354.750944,13.26915775,
36371111,-1.308655491,0.8601361991,1.534118008,-358.465882,13.29962568,
36475555,-1.306156588,0.8603836931,-2.18231366,-362.1823137,13.32497424,
36580000,-1.301952577,0.8608002236,-5.890960924,-365.8909609,13.36783918,
36684444,-1.300287936,0.8609652108,-9.592647543,-369.5926475,13.38488893,
36788888,-1.298044772,0.8611875871,-13.32054879,-373.3205488,13.4079334,
36893333,-1.294042086,0.8615845364,-17.0421161,-377.0421161,13.44925262,
36997777,-1.292194626,0.861767812,-20.76400754,-380.7640075,13.46841021,
37102222,-1.288155676,0.8621686284,-24.48836377,-384.4883638,13.51048464,
37206666,-1.287594812,0.862224302,-28.21544312,-388.2154431,13.51634816,
37311111,-1.284256863,0.8625557147,-31.90687465,-391.9068747,13.55135072,
37415555,-1.28254879,0.8627253522,-35.74451095,-395.744511,13.56933259,
37520000,-1.275913786,0.8633846253,-39.42409284,-399.4240928,13.6396407,
37624444,-1.278739063,0.8631038361,-43.03933322,-403.0393332,13.60961318,
37728888,-1.276492851,0.8633270677,-46.74274649,-406.7427465,13.63347545,
37833333,-1.276212016,0.8633549815,-50.46312643,-410.4631264,13.63646477,
37937777,-1.274139813,0.8635609776,-54.19024107,-414.1902411,13.65856296,
38042222,-1.273615036,0.8636131532,-57.9356487,-417.9356487,13.66417068,
38146666,-1.271854611,0.863788205,-61.67402396,-421.674024,13.68301625,
38251111,-1.272150364,0.8637587936,-65.41547984,-425.4154798,13.67984652,
38355555,-1.273239026,0.8636505396,-69.09398184,-429.0939818,13.66819153,
38460000,-1.274330242,0.8635420452,-72.75168604,-432.751686,13.65652921,
38564444,-1.272500197,0.8637240056,-76.42403623,-436.4240362,13.67609911,
38668888,-1.2720247,0.8637712902,-80.09844677,-440.0984468,13.68119315,
38773333,-1.273601848,0.8636144645,-83.76467462,-443.7646746,13.66431167,
38877777,-1.273510429,0.8636235541,-87.45696026,-447.4569603,13.66528906,
38982222,-1.277745726,0.8632025482,-91.15716788,-451.1571679,13.62015537,
39086666,-1.278424084,0.8631351357,-94.85395988,-454.8539599,13.61295424,
39191111,-1.281480967,0.8628314202,-98.55937767,-458.5593777,13.58059858,
39295555,-1.282707259,0.8627096124,-102.2521162,-462.2521162,13.56766228,
39400000,-1.284776838,0.8625040799,-105.9184639,-465.9184639,13.54588615,
39504444,-1.286549302,0.8623280931,-109.5861726,-469.5861726,13.52729206,
39608888,-1.292803987,0.8617073566,-113.2213309,-473.2213309,13.46208526,
39713333,-1.298779888,0.861114705,-116.8573293,-476.8573293,13.40037262,
39817777,-1.301673172,0.860827914,-120.5047886,-480.5047886,13.37069788,
39922222,-1.306284533,0.8603710196,-124.1638724,-484.1638724,13.32367403,
40026666,-1.312323119,0.8597730821,-127.8230375,-487.8230375,13.26259687,
40131111,-1.318091853,0.8592022534,-131.4866744,-491.4866744,13.20477279,
40235555,-1.322794062,0.85873724,-135.1507685,-495.1507685,13.15801305,
40340000,-1.329682252,0.8580565037,-138.7971347,-498.7971347,13.09011368,
40444444,-1.336781749,0.8573554493,-142.4261985,-502.4261985,13.02086509,
40548888,-1.344703645,0.8565738617,-146.0966274,-506.0966274,12.94445966,
40653333,-1.351378609,0.8559158515,-149.8137273,-509.8137273,12.88077745,
40757777,-1.357388969,0.8553237897,-153.5068068,-513.5068068,12.82397283,
