Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S11_VSWR,
30000000,-0.9548403185,0.8958967973,-133.885196,-133.885196,18.21170482,
30104444,-0.9655122375,0.8947967296,-137.3334542,-137.3334542,18.01081585,
30208888,-0.9718891524,0.8941400383,-141.0088272,-141.0088272,17.89288421,
30313333,-0.9818252418,0.8931177854,-144.6533303,-144.6533303,17.71218712,
30417777,-0.9921929487,0.8920523724,-148.3017195,-148.3017195,17.52750306,
30522222,-1.003374777,0.8909047228,-151.9415904,-151.9415904,17.33259927,
30626666,-1.014171698,0.8897979792,-155.6050582,-155.6050582,17.14848753,
30731111,-1.025191052,0.8886698528,-159.2683285,-159.2683285,16.96458596,
30835555,-1.037424655,0.8874190906,-162.9171525,-162.9171525,16.76500128,
30940000,-1.048750473,0.8862627097,-166.586072,-166.586072,16.58438235,
31044444,-1.061592787,0.8849533154,-170.2880015,-170.2880015,16.38424716,
31148888,-1.073613979,0.8837293952,-173.9538068,-173.9538068,16.20125223,
31253333,-1.085317189,0.8825394761,-177.6323435,-177.6323435,16.02699711,
31357777,-1.096835596,0.8813699112,178.6788473,-181.3211527,15.85912926,
31462222,-1.108275228,0.8802098791,174.9597652,-185.0402348,15.69586762,
31566666,-1.118829688,0.8791409618,171.3001504,-188.6998496,15.54820384,
31671111,-1.132437629,0.8777647146,167.5970328,-192.4029672,15.36188759,
31775555,-1.145648152,0.8764307214,163.8766349,-196.1233651,15.1852527,
31880000,-1.155668181,0.8754202552,160.1683923,-199.8316077,15.05397413,
31984444,-1.16530922,0.8744491078,156.4580057,-203.5419943,14.92979521,
32088888,-1.177826532,0.8731898391,152.7445985,-207.2554015,14.77160684,
32193333,-1.189726833,0.8719943247,149.0254276,-210.9745724,14.62430724,
32297777,-1.201725567,0.8707905787,145.2826223,-214.7173777,14.47874745,
32402222,-1.211561634,0.869805037,141.5517585,-218.4482415,14.36157739,
32506666,-1.221560123,0.8688043643,137.8069203,-222.1930797,14.24440954,
32611111,-1.236523913,0.8673089027,134.0721769,-225.9278231,14.07260126,
32715555,-1.24776876,0.8661868017,130.3244291,-229.6755709,13.94620878,
32820000,-1.257462224,0.8652206754,126.5794004,-233.4205996,13.83907124,
32924444,-1.271053228,0.863867904,122.8065938,-237.1934062,13.69161247,
33028888,-1.28342282,0.8626385437,119.0500042,-240.9499958,13.56012519,
33133333,-1.298029915,0.8611890602,115.2697762,-244.7302238,13.4080863,
33237777,-1.315325935,0.8594758997,111.5028047,-248.4971953,13.23243412,
33342222,-1.335199808,0.8575116117,107.7123568,-252.2876432,13.03623147,
33446666,-1.357629677,0.8553000869,103.906567,-256.093433,12.82170837,
33551111,-1.386433596,0.8524684609,100.0989253,-259.9010747,12.55642334,
33655555,-1.425268904,0.8486655141,96.30526283,-263.6947372,12.21575838,
33760000,-1.476965501,0.8436294363,92.5531434,-267.4468566,11.79013104,
33864444,-1.54119195,0.8374143573,88.94527833,-271.0547217,11.30120918,
33968888,-1.613548336,0.8304673891,85.53390091,-274.4660991,10.79714033,
34073333,-1.65696482,0.8263266491,82.44104848,-277.5589515,10.51587155,
34177777,-1.640523287,0.8278922853,79.41259688,-280.5874031,10.62062958,
34282222,-1.57929589,0.8337487686,76.17141916,-283.8285808,11.02998609,
34386666,-1.513467695,0.8400915477,72.64012748,-287.3598725,11.50715626,
34491111,-1.461296341,0.8451526995,68.94771643,-291.0522836,11.91595006,
34595555,-1.425761273,0.848617408,65.18953036,-294.8104696,12.2115587,
34700000,-1.394559239,0.8516713502,61.40870747,-298.5912925,12.48357181,
34804444,-1.382544535,0.8528502346,57.60275315,-302.3972469,12.59159489,
34908888,-1.37081946,0.8540022738,53.80019331,-306.1998067,12.69884349,
35013333,-1.361144712,0.8549540312,50.01470605,-309.9852939,12.78873206,
35117777,-1.349679315,0.856083318,46.05314999,-313.94685,12.89692961,
35222222,-1.343887909,0.8566543106,42.35087732,-317.6491227,12.95228562,
35326666,-1.339459947,0.8570911339,38.67970144,-321.3202986,12.99493296,
35431111,-1.336410745,0.8573920707,34.97478188,-325.0252181,13.02446561,
35535555,-1.333607235,0.8576688524,31.26083428,-328.7391657,13.05173803,
35640000,-1.33089403,0.8579368036,27.53036962,-332.4696304,13.07824159,
35744444,-1.327515807,0.8582705478,23.81820647,-336.1817935,13.111393,
35848888,-1.326994129,0.8583220975,20.11558549,-339.8844145,13.11652745,
35953333,-1.324310166,0.8585873622,16.38940206,-343.6105979,13.14300752,
36057777,-1.321408679,0.8588742178,12.66945164,-347.3305484,13.17175493,
36162222,-1.319202143,0.8590924312,8.952807608,-351.0471924,13.19370171,
36266666,-1.315909891,0.8594181187,5.236685074,-354.7633149,13.22658441,
36371111,-1.31185632,0.8598192895,1.516174072,-358.4838259,13.26729821,
36475555,-1.308812552,0.8601206459,-2.195619258,-362.1956193,13.29803571,
36580000,-1.304689029,0.860529075,-5.904651073,-365.9046511,13.33990633,
36684444,-1.303949603,0.8606023345,-9.612767084,-369.6127671,13.34744257,
36788888,-1.301318862,0.8608630292,-13.33046695,-373.3304669,13.37432472,
36893333,-1.297368013,0.8612546889,-17.05404351,-377.0540435,13.41490155,
36997777,-1.295076051,0.8614819798,-20.77646367,-380.7764637,13.43855462,
37102222,-1.291618347,0.8618249893,-24.49687738,-384.4968774,13.47439729,
37206666,-1.291099569,0.8618764647,-28.22187032,-388.2218703,13.47979155,
37311111,-1.287610772,0.8622227177,-31.911296,-391.911296,13.51618124,
37415555,-1.286148313,0.862367904,-35.70850404,-395.708504,13.53149416,
37520000,-1.280515855,0.862927297,-39.42495873,-399.4249587,13.59079711,
37624444,-1.281682404,0.8628114103,-43.03757847,-403.0375785,13.5784719,
37728888,-1.280033176,0.8629752516,-46.73740054,-406.7374005,13.59590347,
37833333,-1.279165316,0.863061481,-50.44933992,-410.4493399,13.60509442,
37937777,-1.277812098,0.8631959521,-54.15916081,-414.1591608,13.61945045,
38042222,-1.27621898,0.8633542893,-57.86845171,-417.8684517,13.63639063,
38146666,-1.274406436,0.8635344701,-61.5746568,-421.5746568,13.65571564,
38251111,-1.275643537,0.8634114887,-65.32183117,-425.3218312,13.64251994,
38355555,-1.276802314,0.8632963094,-69.08336682,-429.0833668,13.63018293,
38460000,-1.278176893,0.8631596999,-72.83981438,-432.8398144,13.61557742,
38564444,-1.275060475,0.8634694492,-76.54875522,-436.5487552,13.64873604,
38668888,-1.274121023,0.8635628458,-80.20094883,-440.2009488,13.65876368,
38773333,-1.274474515,0.8635277019,-83.832711,-443.832711,13.6549888,
38877777,-1.273935065,0.8635813342,-87.49844779,-447.4984478,13.66075033,
38982222,-1.278926307,0.8630852302,-91.17275196,-451.172752,13.60762782,
39086666,-1.279487702,0.8630294482,-94.83893304,-454.838933,13.60167878,
39191111,-1.283022403,0.8626783119,-98.51387925,-458.5138792,13.56434179,
39295555,-1.285355045,0.8624466662,-102.1908157,-462.1908157,13.53981481,
39400000,-1.288112796,0.8621728847,-105.8781139,-465.8781139,13.51093274,
39504444,-1.290430133,0.8619428935,-109.5881909,-469.5881909,13.48675878,
39608888,-1.295640978,0.8614259511,-113.2741075,-473.2741075,13.43271678,
39713333,-1.300136927,0.8609801793,-116.9465712,-476.9465712,13.38643778,
