Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S11_VSWR,
30000000,-0.9445629828,0.8969574695,-133.9596921,-133.9596921,18.40946123,
30104444,-0.9667774772,0.8946663976,-137.3488497,-137.3488497,17.98729326,
30208888,-0.9730371061,0.8940218738,-141.0228848,-141.0228848,17.87181885,
30313333,-0.9828368554,0.8930137733,-144.6658708,-144.6658708,17.69399512,
30417777,-0.9926973268,0.8920005736,-148.3113057,-148.3113057,17.51861688,
30522222,-1.004226291,0.8908173879,-151.9482683,-151.9482683,17.31793507,
30626666,-1.01489725,0.8897236555,-155.6095203,-155.6095203,17.13625587,
30731111,-1.025735924,0.8886141076,-159.2739662,-159.2739662,16.95559525,
30835555,-1.038134885,0.8873465309,-162.9228078,-162.9228078,16.7535589,
30940000,-1.049582265,0.886177842,-166.6015483,-166.6015483,16.57127115,
31044444,-1.062390397,0.8848720555,-170.2991637,-170.2991637,16.37197696,
31148888,-1.074213359,0.8836684146,-173.9723347,-173.9723347,16.19223539,
31253333,-1.085849776,0.8824853637,-177.6459429,-177.6459429,16.01915662,
31357777,-1.097322623,0.8813204932,178.6660292,-181.3339708,15.85210913,
31462222,-1.108296062,0.8802077678,174.9571078,-185.0428922,15.69557335,
31566666,-1.118954137,0.8791283658,171.2827581,-188.7172419,15.54647936,
31671111,-1.132349642,0.8777736062,167.5807333,-192.4192667,15.36307787,
31775555,-1.144662643,0.8765301676,163.8530647,-196.1469353,15.19828878,
31880000,-1.155771925,0.8754097993,160.1500957,-199.8499043,15.05262684,
31984444,-1.165515218,0.8744283694,156.4423266,-203.5576734,14.92716436,
32088888,-1.178219655,0.8731503195,152.7293053,-207.2706947,14.76669324,
32193333,-1.189916336,0.8719753003,149.0123068,-210.9876932,14.62198548,
32297777,-1.201420142,0.8708211991,145.2648215,-214.7351785,14.48241652,
32402222,-1.211664635,0.8697947225,141.5390892,-218.4609108,14.36036049,
32506666,-1.221914083,0.8687689603,137.7914789,-222.2085211,14.24029684,
