Frequency,S11_Magnitude,S11_Phase,S11_VSWR,
30000000,-65.44897866,81.82798648,1.001068595,
30104444,-65.96488606,84.95407522,1.001006942,
30208888,-66.41313052,85.85032757,1.000956271,
30313333,-66.66513746,88.05781761,1.000928912,
30417777,-67.02666307,88.24238021,1.000891026,
30522222,-67.58079435,91.67055329,1.000835934,
30626666,-67.95380231,95.53515425,1.000800781,
30731111,-68.57203367,95.01340772,1.000745745,
30835555,-68.50557626,100.5021791,1.000751475,
30940000,-69.77601303,99.724966,1.000649188,
31044444,-70.07903936,103.2312638,1.000626923,
31148888,-70.81089518,112.8817651,1.000576249,
31253333,-71.4520473,107.438417,1.000535234,
31357777,-72.97402298,118.4779847,1.000449186,
31462222,-73.4637857,117.1906032,1.000424554,
31566666,-74.39856224,122.6510013,1.000381228,
31671111,-75.16883233,129.2914854,1.00034887,
31775555,-76.18415855,141.1875712,1.000310377,
31880000,-77.26793602,148.4002805,1.000273963,
31984444,-77.14624142,158.6668825,1.000277829,
32088888,-77.02207262,158.298878,1.00028183,
32193333,-78.15651424,-176.7375286,1.000247319,
32297777,-78.85227804,-160.1111675,1.000228279,
32402222,-78.21922178,-152.193023,1.00024554,
32506666,-77.37332,-143.195402,1.000270659,
32611111,-75.99721959,-134.2915256,1.00031713,
32715555,-74.92779825,-136.5011745,1.000358689,
32820000,-74.26076039,-129.1778685,1.000387325,
32924444,-73.94374261,-119.5682041,1.000401726,
33028888,-72.59553646,-110.0126238,1.000469197,
33133333,-71.60228678,-105.2195088,1.000526053,
33237777,-70.83879575,-102.316251,1.000574401,
33342222,-70.53523676,-100.3234038,1.000594836,
33446666,-69.95032296,-96.04538257,1.000636285,
33551111,-68.992718,-93.73838664,1.000710474,
33655555,-68.65123902,-89.85599462,1.000738973,
33760000,-67.74161624,-88.30929069,1.000820592,
33864444,-67.59455712,-85.96754941,1.00083461,
33968888,-67.16362122,-83.55000265,1.00087708,
34073333,-66.6500981,-83.61091447,1.000930523,
34177777,-65.7837819,-80.13390795,1.001028168,
34282222,-65.97970737,-78.00426761,1.001005224,
34386666,-65.45976465,-76.43710097,1.001067268,
34491111,-65.08808077,-76.80467019,1.001113955,
34595555,-64.40297176,-73.39591231,1.001205433,
34700000,-64.30036804,-72.82228522,1.001219766,
34804444,-63.831569,-71.62314912,1.001287452,
34908888,-63.83620215,-70.06687785,1.001286765,
35013333,-63.53453893,-69.65986248,1.00133227,
35117777,-63.32393916,-68.33733311,1.00136499,
35222222,-62.85295637,-65.26095618,1.001441103,
35326666,-62.48523165,-65.27735105,1.00150347,
35431111,-62.34090704,-64.10074507,1.00152868,
35535555,-62.03572108,-60.99655622,1.001583389,
35640000,-61.87756602,-61.03962494,1.001612507,
35744444,-61.77040178,-58.63154897,1.001632542,
35848888,-61.30995882,-59.11473769,1.001721495,
35953333,-61.04118994,-56.71219563,1.001775644,
36057777,-60.80544235,-56.26589142,1.001824542,
36162222,-60.8293733,-55.72229322,1.001819518,
36266666,-60.42324087,-53.80580708,1.001906697,
36371111,-60.43885319,-52.1963892,1.00190327,
36475555,-60.10251441,-52.09087064,1.001978489,
36580000,-60.08542872,-49.59423151,1.001982389,
36684444,-59.65967622,-49.30022828,1.002082083,
36788888,-59.68168482,-47.97078478,1.002076809,
36893333,-59.45420213,-47.49233369,1.002131977,
36997777,-59.26619286,-46.0447876,1.002178679,
37102222,-59.27010966,-45.22733135,1.002177695,
37206666,-59.0746473,-43.56002658,1.002227312,
37311111,-58.84347862,-42.02750651,1.002287455,
37415555,-58.53208355,-41.96587631,1.002371048,
37520000,-58.56377615,-40.63166266,1.002362402,
37624444,-58.46831873,-39.32805815,1.002388539,
37728888,-58.31132112,-37.71941737,1.002432158,
37833333,-58.05616871,-36.21645068,1.002504754,
37937777,-58.11943299,-35.54745045,1.002486554,
38042222,-57.78111099,-34.08143238,1.002585446,
38146666,-57.92918828,-33.60837272,1.002541687,
38251111,-57.68197325,-31.79080261,1.002615163,
38355555,-57.76588623,-30.93505465,1.002589988,
38460000,-57.53786046,-29.36097287,1.002658973,
38564444,-57.62427922,-28.01904802,1.002632615,
38668888,-57.32599991,-27.89505932,1.002724716,
38773333,-57.33547103,-26.64708306,1.002721743,
38877777,-57.18403352,-25.53183127,1.002769678,
38982222,-57.07801517,-23.80493849,1.002803739,
39086666,-57.06878076,-22.8510817,1.002806726,
39191111,-57.02921709,-22.45527331,1.002819558,
39295555,-56.92693403,-21.04180125,1.002853004,
39400000,-56.95755121,-20.35054158,1.002842951,
39504444,-56.83742429,-18.50631641,1.002882599,
39608888,-56.72974186,-17.87784872,1.002918611,
39713333,-56.59211933,-16.1143676,1.002965292,
39817777,-56.66801208,-15.54967722,1.002939458,
39922222,-56.63820649,-14.86455251,1.002949577,
40026666,-56.49498843,-13.3324311,1.002998688,
40131111,-56.46295726,-12.51636533,1.003009783,
40235555,-56.33505809,-11.37335031,1.003054498,
40340000,-56.36865969,-10.49663258,1.003042687,
40444444,-56.3109322,-8.707656438,1.003063007,
40548888,-56.28632954,-8.151974259,1.003071709,
40653333,-56.22029089,-6.645851448,1.003095188,
40757777,-56.28167735,-5.974127293,1.003073357,
40862222,-56.16953598,-5.086938199,1.003113356,
40966666,-56.13770266,-4.067128609,1.003124805,
41071111,-56.14377484,-2.965239641,1.003122618,
41175555,-56.19152933,-1.404658348,1.00310547,
41280000,-56.14921567,-0.9756908984,1.003120659,
41384444,-56.08943059,0.9575310739,1.003142247,
41488888,-56.07619255,1.59888103,1.003147047,
41593333,-56.06005203,2.393749467,1.003152909,
41697777,-56.06366884,3.681752143,1.003151595,
41802222,-56.13010066,4.82507975,1.003127545,
41906666,-56.04278565,6.189268135,1.003159193,
42011111,-56.12436953,6.777653939,1.003129613,
42115555,-56.04277855,8.053472311,1.003159196,
42220000,-55.97545818,9.179491659,1.003183816,
