Frequency,S11_Magnitude,S11_VSWR,
30000000,-0.8994518976,19.33099488,
30104444,-0.9296394335,18.70441216,
30208888,-0.9440184981,18.42005842,
30313333,-0.9559600188,18.19041667,
30417777,-0.9654743146,18.01152184,
30522222,-0.9788770464,17.76541967,
30626666,-0.9917946874,17.53452605,
30731111,-1.004906062,17.30624638,
30835555,-1.016129527,17.11552168,
30940000,-1.027347333,16.92906192,
31044444,-1.037936604,16.7567518,
31148888,-1.0502997,16.55997921,
31253333,-1.060899173,16.39493253,
31357777,-1.071976775,16.22593317,
31462222,-1.082429912,16.06963667,
31566666,-1.092021773,15.92885403,
31671111,-1.100514248,15.80625833,
31775555,-1.112830706,15.63178946,
31880000,-1.123092665,15.48934996,
31984444,-1.132501154,15.36102834,
32088888,-1.146461036,15.17451695,
32193333,-1.156164529,15.0475304,
32297777,-1.165545405,14.9267789,
32402222,-1.175540281,14.80024764,
32506666,-1.183953453,14.69539862,
32611111,-1.193657373,14.57630202,
32715555,-1.203249796,14.46046476,
32820000,-1.212490493,14.35061095,
32924444,-1.221982127,14.2395065,
33028888,-1.231469935,14.13016128,
33133333,-1.240860057,14.02359103,
33237777,-1.249231138,13.9299391,
33342222,-1.258205922,13.83091978,
33446666,-1.267664467,13.7280832,
33551111,-1.276523135,13.63315317,
33655555,-1.288088996,13.51118147,
33760000,-1.298799061,13.40017554,
33864444,-1.314259519,13.24313026,
33968888,-1.331032529,13.07688606,
34073333,-1.352548268,12.86968322,
34177777,-1.382073031,12.59587252,
34282222,-1.418275095,12.275728,
34386666,-1.452156535,11.99059697,
34491111,-1.472843515,11.82296933,
34595555,-1.468550313,11.8573681,
34700000,-1.439962859,12.09166443,
34804444,-1.406404667,12.37888133,
34908888,-1.376126449,12.65007388,
35013333,-1.354547388,12.850766,
35117777,-1.339053069,12.99886594,
35222222,-1.324959515,13.13659116,
35326666,-1.31424797,13.24324619,
35431111,-1.307789486,13.30839934,
35535555,-1.304027382,13.34664944,
35640000,-1.301413836,13.37335234,
35744444,-1.299253886,13.39550202,
35848888,-1.296301908,13.42589334,
35953333,-1.290021005,13.49102039,
36057777,-1.287219217,13.52027766,
36162222,-1.283858691,13.55553823,
36266666,-1.280088993,13.59531277,
36371111,-1.276111758,13.63753228,
36475555,-1.273417431,13.66628346,
36580000,-1.270796856,13.6943648,
36684444,-1.267119829,13.73396296,
36788888,-1.263689062,13.77111731,
36893333,-1.260575971,13.80500663,
36997777,-1.25913848,13.82071191,
37102222,-1.256575515,13.84880283,
37206666,-1.254162153,13.8753592,
37311111,-1.251266911,13.90735352,
37415555,-1.249524269,13.92668245,
37520000,-1.251580375,13.90388237,
37624444,-1.246740649,13.95766993,
37728888,-1.245381191,13.97285396,
37833333,-1.242640458,14.00356687,
37937777,-1.242390492,14.00637476,
38042222,-1.243817585,13.99035926,
38146666,-1.24146882,14.0167378,
38251111,-1.240754958,14.02477488,
38355555,-1.24225284,14.00792151,
38460000,-1.24107405,14.02118121,
38564444,-1.243109421,13.99830201,
38668888,-1.242763567,14.00218439,
38773333,-1.244960507,13.97755938,
38877777,-1.246143023,13.96434083,
38982222,-1.248505195,13.9380108,
39086666,-1.252804173,13.89034731,
39191111,-1.254666377,13.86980232,
39295555,-1.259062113,13.82154726,
39400000,-1.263330981,13.77500689,
39504444,-1.267345113,13.73153025,
39608888,-1.272059737,13.68081766,
39713333,-1.27720776,13.6258716,
39817777,-1.282939372,13.56521648,
39922222,-1.288948507,13.50220475,
40026666,-1.294263788,13.44695732,
40131111,-1.301706793,13.37035382,
