Frequency,S11_Magnitude,S11_Phase,S11_VSWR,
30000000,-0.8878912277,-133.2076599,19.58224515,
30104444,-0.9226685017,-136.8862299,18.84545904,
30208888,-0.9361737959,-140.5031399,18.57410777,
30313333,-0.9482580774,-144.1385634,18.33786622,
30417777,-0.9595333909,-147.7813704,18.12281106,
30522222,-0.9721072007,-151.4365307,17.88887912,
30626666,-0.984956143,-155.1059399,17.65600492,
30731111,-0.9963951208,-158.7680904,17.45374385,
30835555,-1.00929872,-162.451362,17.23109448,
30940000,-1.019828679,-166.1266949,17.05358141,
31044444,-1.032194096,-169.8112301,16.84975542,
31148888,-1.04466296,-173.4780242,16.64911592,
31253333,-1.054030328,-177.1830668,16.50150977,
31357777,-1.06464458,179.1518264,16.33739877,
31462222,-1.073208771,175.4705969,16.20735375,
31566666,-1.084271234,171.7641885,16.04241759,
31671111,-1.092694051,168.0538314,15.9190796,
31775555,-1.104861832,164.350515,15.74422782,
31880000,-1.115595373,160.6510807,15.59315669,
31984444,-1.124636338,156.932871,15.46814849,
32088888,-1.137706144,153.2218741,15.29095102,
32193333,-1.147999483,149.5338954,15.15424037,
32297777,-1.157619082,145.8036691,15.02867887,
32402222,-1.167089727,142.0942666,14.90708661,
32506666,-1.175174064,138.3723987,14.80484577,
32611111,-1.185225081,134.6572338,14.67968067,
32715555,-1.195852039,130.9547311,14.54963522,
32820000,-1.20544495,127.2136497,14.43421591,
32924444,-1.213390655,123.4865484,14.33999936,
33028888,-1.223426908,119.7537499,14.22274602,
33133333,-1.231134975,115.9985599,14.13399289,
33237777,-1.240748695,112.2695536,14.02484543,
33342222,-1.249829086,108.5198767,13.9232976,
33446666,-1.258699117,104.7749441,13.82551933,
33551111,-1.268096366,101.0173138,13.72342413,
33655555,-1.277067443,97.26415804,13.62736336,
33760000,-1.289642735,93.48496587,13.49496298,
33864444,-1.303115997,89.72061398,13.35594898,
33968888,-1.321605455,85.93789703,13.16980132,
34073333,-1.343475847,82.14316419,12.95624245,
34177777,-1.371300544,78.427996,12.69440688,
34282222,-1.409808132,74.77885057,12.34912741,
34386666,-1.443965647,71.23824469,12.05829863,
34491111,-1.463017249,67.82497924,11.90199958,
34595555,-1.459405459,64.4607454,11.93131644,
34700000,-1.431173203,61.0001426,12.16558823,
34804444,-1.395162028,57.42648221,12.4782013,
34908888,-1.3628475,53.71425155,12.77281863,
35013333,-1.342862842,49.98388974,12.96213335,
35117777,-1.327734254,46.21847806,13.10924421,
35222222,-1.313475895,42.4381323,13.2510011,
35326666,-1.303407169,38.66628411,13.35297653,
35431111,-1.295985912,34.86715784,13.42915481,
35535555,-1.291903782,31.17233827,13.47143118,
35640000,-1.289925606,27.46429848,13.49201449,
35744444,-1.28797177,23.7436153,13.51240671,
35848888,-1.284812191,20.00409491,13.54551478,
35953333,-1.280768308,16.27687512,13.58812791,
36057777,-1.277761242,12.537464,13.61999057,
36162222,-1.273168293,8.805802792,13.66894817,
36266666,-1.268240391,5.085883387,13.72187119,
36371111,-1.265406039,1.349354853,13.75249766,
36475555,-1.262973126,-2.394946822,13.77889622,
36580000,-1.25966451,-6.113761809,13.81496061,
36684444,-1.256456041,-9.856470101,13.85011511,
36788888,-1.252743005,-13.59561213,13.8910232,
36893333,-1.250245799,-17.31975925,13.91867287,
36997777,-1.248915046,-21.06503071,13.93345255,
37102222,-1.245558712,-24.81284132,13.97086931,
37206666,-1.244440674,-28.54074373,13.98337821,
37311111,-1.241504605,-32.29972567,14.01633516,
37415555,-1.239871174,-36.09188405,14.03473788,
37520000,-1.24219517,-39.88654727,14.00856963,
37624444,-1.234773096,-43.65510137,14.09248798,
37728888,-1.234429747,-47.31596114,14.09639455,
37833333,-1.232828292,-50.95456982,14.11464443,
37937777,-1.233561612,-54.63485179,14.10628176,
38042222,-1.231789926,-58.33950313,14.12650286,
38146666,-1.230647669,-62.03264049,14.13957091,
38251111,-1.232250098,-65.75248951,14.1212451,
38355555,-1.232166297,-69.4616282,14.12220228,
38460000,-1.233094785,-73.14466148,14.11160423,
38564444,-1.234549417,-76.86201471,14.09503271,
38668888,-1.234655854,-80.56658054,14.09382169,
38773333,-1.236405504,-84.25796324,14.07394444,
38877777,-1.237652673,-87.96567833,14.05981008,
38982222,-1.240302647,-91.6571383,14.02987206,
39086666,-1.244907659,-95.34904735,13.97815072,
39191111,-1.245615063,-99.05574584,13.97023944,
39295555,-1.251229372,-102.7578254,13.90776932,
39400000,-1.254892272,-106.4517024,13.86731426,
39504444,-1.259279573,-110.1520795,13.8191688,
39608888,-1.263903756,-113.8479158,13.7687863,
39713333,-1.270008604,-117.5443231,13.70283421,
39817777,-1.274371288,-121.2326745,13.65609092,
39922222,-1.279837776,-124.9438602,13.59797174,
40026666,-1.286692276,-128.6406228,13.52579443,
40131111,-1.294388913,-132.3519749,13.44566223,
40235555,-1.300697118,-136.0429285,13.38069392,
40340000,-1.306503284,-139.7499475,13.3214516,
40444444,-1.313325892,-143.4551808,13.25250883,
40548888,-1.321274303,-147.1771933,13.17308938,
40653333,-1.32924258,-150.8974152,13.09442662,
40757777,-1.336588921,-154.6293608,13.02273619,
40862222,-1.343831999,-158.3588198,12.95282234,
40966666,-1.351354715,-162.0672856,12.88100429,
41071111,-1.363453912,-165.7219467,12.76716102,
41175555,-1.375420494,-169.3714682,12.65653965,
41280000,-1.386866861,-172.9940603,12.55251726,
41384444,-1.398965122,-176.6378451,12.44442487,
41488888,-1.409293899,179.6939649,12.35361372,
41593333,-1.421091285,176.0243251,12.25150895,
41697777,-1.432409714,172.3326086,12.15513382,
41802222,-1.444192854,168.6401692,12.05641027,
41906666,-1.455981532,164.9550899,11.95924302,
