Frequency,S11_Magnitude,S11_Phase,S11_VSWR,
30000000,-0.9002482805,-133.4875741,19.31392472,
30104444,-0.9293891519,-137.1142671,18.7094396,
30208888,-0.9429125511,-140.738164,18.44162095,
30313333,-0.9553066175,-144.3733455,18.2028333,
30417777,-0.9672726485,-148.0148137,17.9781041,
30522222,-0.9795679102,-151.6798791,17.75291667,
30626666,-0.9924306407,-155.344469,17.52331425,
30731111,-1.004311293,-159.0224597,17.31647259,
30835555,-1.017287911,-162.686364,17.09607668,
30940000,-1.028772505,-166.3753337,16.90566449,
31044444,-1.04181607,-170.0685676,16.69450232,
31148888,-1.05132868,-173.7715143,16.54381071,
31253333,-1.063281979,-177.4365589,16.35828293,
31357777,-1.073636219,178.8576323,16.20091749,
31462222,-1.082627604,175.1917487,16.06670989,
31566666,-1.094127755,171.4769927,15.89827479,
31671111,-1.103934605,167.766186,15.75741627,
31775555,-1.11668164,164.0807956,15.57802988,
31880000,-1.12560936,160.354895,15.4548145,
31984444,-1.136895661,156.6480211,15.30182071,
32088888,-1.148143308,152.9239929,15.15234755,
32193333,-1.159073121,149.2066948,15.00988136,
32297777,-1.169018393,145.5008832,14.88256656,
32402222,-1.179059,141.7960078,14.75621334,
32506666,-1.189324804,138.0845889,14.62923529,
32611111,-1.199830757,134.352045,14.50154001,
32715555,-1.209284409,130.6194672,14.38853452,
32820000,-1.21883973,126.8847047,14.27609794,
32924444,-1.227146541,123.1513981,14.17977756,
33028888,-1.23718584,119.4034165,14.06509743,
33133333,-1.245641589,115.6615002,13.96994296,
33237777,-1.256443415,111.9078448,13.8502538,
33342222,-1.263903996,108.1478816,13.76878369,
33446666,-1.274484903,104.3607558,13.6548779,
33551111,-1.284028786,100.5866175,13.55374905,
33655555,-1.295999804,96.83465055,13.4290114,
33760000,-1.309423441,93.08142929,13.29185517,
33864444,-1.3248841,89.32217944,13.13733604,
33968888,-1.34407992,85.58082955,12.95044266,
34073333,-1.367245119,81.83505211,12.73190438,
34177777,-1.396965538,78.1065679,12.46216081,
34282222,-1.433315249,74.46300219,12.14748921,
34386666,-1.469035167,70.92774151,11.85347317,
34491111,-1.485551303,67.54313288,11.72231773,
34595555,-1.477544754,64.16882447,11.78553107,
34700000,-1.445741492,60.67948844,12.04355513,
34804444,-1.411315636,57.09879834,12.33599439,
34908888,-1.379933198,53.38934126,12.61532256,
35013333,-1.359515361,49.63551587,12.80399658,
35117777,-1.344375046,45.87183104,12.947611,
35222222,-1.332978657,42.08358115,13.05786858,
35326666,-1.324847682,38.32104396,13.13769577,
35431111,-1.317473772,34.55602122,13.21094398,
35535555,-1.313722968,30.82406059,13.24851845,
35640000,-1.309950282,27.06970042,13.28652959,
35744444,-1.306951317,23.32976109,13.31690208,
35848888,-1.303556845,19.60266466,13.35144905,
35953333,-1.301239985,15.85933056,13.37513241,
36057777,-1.297734772,12.14377443,13.41112437,
36162222,-1.294987862,8.421728417,13.4394664,
36266666,-1.293234424,4.697620445,13.45762108,
36371111,-1.290871884,0.962795758,13.4821604,
36475555,-1.290379024,-2.779050564,13.487291,
36580000,-1.285513356,-6.511766733,13.53815345,
