Frequency,S11_Magnitude,S11_Phase,S11_VSWR,
30000000,-0.9272094093,-133.0938246,18.75333922,
30104444,-0.9189053411,-136.9157951,18.92249152,
30208888,-0.9315491904,-140.5359608,18.66613968,
30313333,-0.9436216481,-144.1796248,18.42778994,
30417777,-0.9548250585,-147.8256306,18.21199529,
30522222,-0.9670477904,-151.471538,17.98227575,
30626666,-0.9796527114,-155.1401142,17.75138319,
30731111,-0.9932460941,-158.817405,17.50895891,
30835555,-1.004860963,-162.4958789,17.30702138,
30940000,-1.016354236,-166.1669474,17.11174619,
31044444,-1.028605498,-169.8673782,16.90840294,
31148888,-1.038960702,-173.5486623,16.74027402,
31253333,-1.049567549,-177.2279397,16.57150294,
31357777,-1.059410535,179.0713669,16.41791285,
31462222,-1.067896745,175.3960741,16.28776953,
31566666,-1.07954315,171.6935003,16.11249696,
31671111,-1.089308736,168.0066884,15.9684223,
31775555,-1.09610698,164.2781461,15.86964335,
31880000,-1.110567832,160.6047319,15.66355365,
31984444,-1.122080567,156.8830336,15.50328226,
32088888,-1.132497503,153.1686954,15.36107772,
32193333,-1.144735071,149.4675044,15.19732995,
32297777,-1.15299787,145.7618188,15.08873617,
32402222,-1.16330658,142.0334173,14.95542008,
32506666,-1.173593446,138.3263807,14.82472455,
32611111,-1.181997839,134.6030404,14.71963707,
32715555,-1.191781182,130.8745105,14.59917712,
32820000,-1.199508445,127.1363941,14.50542425,
32924444,-1.208782547,123.3988655,14.39448909,
33028888,-1.218412795,119.6656848,14.28108395,
33133333,-1.226779723,115.9436151,14.18400336,
33237777,-1.236326841,112.1890561,14.07483689,
33342222,-1.245244925,108.4440143,13.97437777,
33446666,-1.255489574,104.698918,13.86073974,
33551111,-1.263800666,100.9370321,13.76990548,
33655555,-1.275251321,97.15980493,13.64670078,
33760000,-1.28639304,93.39833712,13.52892927,
33864444,-1.302826553,89.62301127,13.35890512,
33968888,-1.318672634,85.84744195,13.19897929,
34073333,-1.342727196,82.09870826,12.96343762,
34177777,-1.370784932,78.36860344,12.69916202,
34282222,-1.405405522,74.70674832,12.38764353,
34386666,-1.441550276,71.17057048,12.07841007,
34491111,-1.459464048,67.75424275,11.93083971,
34595555,-1.45379815,64.39222863,11.9771202,
34700000,-1.421298198,60.90805803,12.2497333,
34804444,-1.387162646,57.30647446,12.54985201,
34908888,-1.359011917,53.60817217,12.80872049,
35013333,-1.337333293,49.85583875,13.01551615,
35117777,-1.320134863,46.07287184,13.18441567,
35222222,-1.30883431,42.3102817,13.29781549,
35326666,-1.299978824,38.53306418,13.38805977,
35431111,-1.294390809,34.78388961,13.44564261,
