Frequency,S11_Magnitude,S11_Phase,S11_VSWR,
30000000,-0.9239593351,-133.3990657,18.81918015,
30104444,-0.9193785655,-136.9079651,18.91276985,
30208888,-0.93271846,-140.5357965,18.64278436,
30313333,-0.9454480302,-144.1763858,18.3922618,
30417777,-0.9568756264,-147.8145598,18.17304588,
30522222,-0.9674740954,-151.4632804,17.97436844,
30626666,-0.9815914149,-155.1176651,17.71639741,
30731111,-0.993188931,-158.7985394,17.50996444,
30835555,-1.005950245,-162.4801092,17.28832242,
30940000,-1.016668859,-166.1533466,17.10646276,
31044444,-1.029121677,-169.8596809,16.89994195,
31148888,-1.038559174,-173.54002,16.74673074,
31253333,-1.0503858,-177.2142557,16.5586251,
31357777,-1.059894803,179.1028174,16.41043005,
31462222,-1.066944519,175.4148647,16.30226949,
31566666,-1.078996411,171.721727,16.12064036,
31671111,-1.089066934,168.0245598,15.97195844,
31775555,-1.099878917,164.3354494,15.81536425,
31880000,-1.112282594,160.6237109,15.63947149,
31984444,-1.122577817,156.9095775,15.4964341,
32088888,-1.134723188,153.191298,15.33103325,
32193333,-1.144622,149.4874817,15.19882688,
32297777,-1.154248772,145.7701942,15.07243191,
32402222,-1.163438312,142.0496603,14.95373178,
32506666,-1.172298211,138.3362457,14.84105422,
32611111,-1.18252397,134.6021923,14.71310816,
32715555,-1.192314939,130.8829159,14.59266205,
32820000,-1.201195867,127.1301357,14.48511192,
32924444,-1.208821533,123.4048623,14.39402634,
33028888,-1.218466953,119.6654595,14.28045126,
33133333,-1.226621036,115.9402955,14.18583225,
33237777,-1.236499844,112.206706,14.07287427,
33342222,-1.245815306,108.4469353,13.96800164,
33446666,-1.25464718,104.6933864,13.8700138,
33551111,-1.26421533,100.9286425,13.76540484,
33655555,-1.275287262,97.17683946,13.64631756,
33760000,-1.287657034,93.40218335,13.51569741,
33864444,-1.302695944,89.62352895,13.36023949,
33968888,-1.320319818,85.86985543,13.18257584,
34073333,-1.343172272,82.12602213,12.95915909,
34177777,-1.373153362,78.41193403,12.6773491,
34282222,-1.407442862,74.74078005,12.36978989,
34386666,-1.443529472,71.19354588,12.06192542,
34491111,-1.46295684,67.8060207,11.90248872,
34595555,-1.452992502,64.43530339,11.98373032,
34700000,-1.425233217,60.95016586,12.21606289,
