Frequency,S11_Magnitude,S11_Phase,S11_VSWR,
30000000,-0.899596241,-135.537168,19.32789869,
30104444,-0.9454574766,-139.2084435,18.3920784,
30208888,-0.9579943886,-142.8563775,18.15186598,
30313333,-0.9706212818,-146.4814177,17.91620806,
30417777,-0.9829768882,-150.1392245,17.69147984,
30522222,-0.9947363787,-153.8104887,17.48278463,
30626666,-1.005847203,-157.4999648,17.29008954,
30731111,-1.019316932,-161.1724334,17.06212351,
30835555,-1.032053927,-164.853559,16.85203849,
30940000,-1.042984643,-168.5470557,16.67584238,
31044444,-1.055080811,-172.2531689,16.48512045,
31148888,-1.063017081,-175.9661003,16.36234917,
31253333,-1.075011131,-179.6456188,16.18024962,
31357777,-1.087035722,176.6588126,16.00172533,
31462222,-1.094679549,172.9561589,15.89028212,
31566666,-1.104994565,169.2561978,15.74234169,
31671111,-1.115451852,165.5443355,15.59515749,
31775555,-1.125158739,161.7953146,15.4609868,
31880000,-1.134237199,158.0995215,15.33758352,
31984444,-1.145060522,154.3909883,15.19302303,
32088888,-1.15704679,150.6652397,15.03609031,
32193333,-1.168089594,146.945325,14.89436471,
32297777,-1.17768695,143.2173111,14.77335225,
32402222,-1.188724427,139.472213,14.6366009,
32506666,-1.19756484,135.7128118,14.52889144,
32611111,-1.210979932,131.9888447,14.36845375,
32715555,-1.219214259,128.2547171,14.27172684,
32820000,-1.229806532,124.5005818,14.14920953,
32924444,-1.239955218,120.7374452,14.03378982,
33028888,-1.251654788,116.955679,13.90305862,
33133333,-1.268350488,113.1723018,13.7206843,
33237777,-1.287717711,109.4124466,13.51506289,
33342222,-1.314025813,105.640176,13.24547666,
33446666,-1.34693549,101.9121325,12.92309646,
33551111,-1.387847255,98.30342438,12.54368756,
33655555,-1.416054439,94.82749998,12.29489358,
33760000,-1.416560361,91.41893619,12.29052188,
33864444,-1.393761001,87.92328578,12.4906908,
33968888,-1.370791959,84.28487504,12.69909719,
34073333,-1.351022573,80.57503153,12.88415828,
34177777,-1.336930095,76.83437924,13.01942597,
34282222,-1.329465925,73.07680087,13.09223537,
34386666,-1.320736314,69.33487074,13.17843467,
34491111,-1.317839881,65.58491421,13.20728788,
34595555,-1.315460695,61.83217307,13.23108371,
34700000,-1.31460409,58.1094941,13.23967232,
34804444,-1.308755418,54.34393462,13.29861405,
34908888,-1.30750792,50.61238949,13.31125444,
35013333,-1.3047736,46.8841689,13.33904492,
35117777,-1.30396026,43.14871642,13.34733389,
35222222,-1.30203818,39.41661994,13.36696358,
35326666,-1.300161668,35.69867833,13.386184,
35431111,-1.299377682,31.97091896,13.39423054,
35535555,-1.29749371,28.24409327,13.41360678,
35640000,-1.296990279,24.52896401,13.41879401,
35744444,-1.296235789,20.80914106,13.42657564,
35848888,-1.292553096,17.08921415,13.4646887,
35953333,-1.288995767,13.35884495,13.50171151,
36057777,-1.287161649,9.652410307,13.52088015,
36162222,-1.286174269,5.916769406,13.53122208,
36266666,-1.282406131,2.201093065,13.57083662,
36371111,-1.281390819,-1.520293897,13.58155054,
36475555,-1.276055102,-5.238722607,13.63813561,
36580000,-1.275193695,-8.969849984,13.64731527,
36684444,-1.271495381,-12.69457263,13.68686828,
36788888,-1.268592196,-16.40898462,13.71807933,
36893333,-1.267657596,-20.13636584,13.72815734,
36997777,-1.264311785,-23.87095695,13.76435837,
37102222,-1.26337659,-27.60283269,13.77451135,
37206666,-1.259727271,-31.33902766,13.81427474,
37311111,-1.259457724,-35.05060302,13.81722091,
37415555,-1.257061314,-38.80985099,13.8434695,
37520000,-1.260214351,-42.51363148,13.80895412,
37624444,-1.253978544,-46.34932005,13.8773838,
37728888,-1.2536879,-50.05270589,13.88058986,
37833333,-1.253118462,-53.63594006,13.8868756,
37937777,-1.251819909,-57.36753294,13.90123107,
38042222,-1.252609876,-61.09069495,13.89249445,
38146666,-1.251923185,-64.78137699,13.90008827,
38251111,-1.25333726,-68.51272004,13.88445972,
38355555,-1.255323658,-72.23643759,13.86256536,
38460000,-1.256826411,-75.95529926,13.84604786,
38564444,-1.259310498,-79.68075235,13.81883064,
38668888,-1.260569513,-83.40164558,13.8050771,
38773333,-1.26378621,-87.12262888,13.77006245,
38877777,-1.266489529,-90.84328716,13.74077384,
38982222,-1.269628026,-94.55834081,13.70692711,
39086666,-1.273045543,-98.2803741,13.67026146,
39191111,-1.276427181,-101.9675921,13.63417435,
39295555,-1.281020257,-105.6476188,13.58546507,
39400000,-1.286964645,-109.304082,13.52294232,
39504444,-1.292277901,-112.9648823,13.4675455,
39608888,-1.298353815,-116.616613,13.4047538,
39713333,-1.305548809,-120.2723478,13.33115417,
39817777,-1.311673817,-123.9434975,13.26913719,
39922222,-1.319271508,-127.5989187,13.19301067,
40026666,-1.327738599,-131.2494324,13.10920148,
40131111,-1.336116758,-134.9229941,13.02732012,
40235555,-1.345816823,-138.601297,12.93379545,
40340000,-1.353369869,-142.380937,12.86190182,
40444444,-1.366076796,-145.9916695,12.7427484,
40548888,-1.375519668,-149.6364698,12.65563092,
40653333,-1.386197654,-153.3071185,12.5585515,
40757777,-1.396457066,-157.0023287,12.46667897,
40862222,-1.407087661,-160.6668763,12.37289887,
40966666,-1.418699307,-164.3661377,12.27207365,
41071111,-1.432483476,-168.0297803,12.15451075,
41175555,-1.444992763,-171.7123521,12.04976683,
41280000,-1.458107886,-175.4037063,11.94188437,
41384444,-1.471136995,-179.0852174,11.83661852,
41488888,-1.484640915,177.2363568,11.729471,
41593333,-1.499812711,173.5502236,11.61139682,
41697777,-1.51453569,169.8604264,11.49908277,
41802222,-1.527953025,166.1821689,11.39861859,
41906666,-1.543224782,162.4976179,11.2864004,
42011111,-1.560841925,158.7990917,11.15968292,
42115555,-1.576657204,155.1359716,11.04834458,
42220000,-1.594861126,151.4445621,10.92293139,
42324444,-1.612182957,147.787664,10.8062322,
42428888,-1.632294532,144.1012305,10.67385429,
42533333,-1.650309766,140.4273016,10.55802234,
42637777,-1.670599475,136.7662325,10.43056638,
42742222,-1.693741494,133.1056513,10.28893185,
42846666,-1.715402288,129.4355348,10.159836,
42951111,-1.739141937,125.7614182,10.02205576,
43055555,-1.762784471,122.0994748,9.888539573,
43160000,-1.789411972,118.4303063,9.742405151,
43264444,-1.816820524,114.7715908,9.596473652,
43368888,-1.845315565,111.1172919,9.449370066,
43473333,-1.876850316,107.4723145,9.291800386,
43577777,-1.908817211,103.804191,9.13740551,
43682222,-1.942540921,100.1681814,8.980055372,
43786666,-1.976969523,96.41135365,8.824976691,
43891111,-2.011752688,92.72572871,8.67371401,
43995555,-2.054678962,89.19145251,8.494130285,
44100000,-2.096793163,85.57623999,8.325122154,
44204444,-2.14337017,81.93875219,8.145975672,
44308888,-2.192838299,78.31717455,7.964084122,
44413333,-2.242773022,74.6965065,7.788656859,
44517777,-2.297256679,71.08199081,7.605995972,
44622222,-2.357069365,67.48097304,7.415248069,
44726666,-2.418717751,63.87719536,7.22857772,
44831111,-2.483901708,60.29232156,7.041343449,
44935555,-2.554703962,56.71858169,6.848868375,
45040000,-2.629176128,53.18402847,6.657681378,
45144444,-2.709687936,49.65573964,6.462898816,
45248888,-2.795256371,46.12521017,6.26827921,
45353333,-2.886152273,42.62421471,6.074288411,
45457777,-2.983677724,39.17481344,5.879409817,
45562222,-3.086035804,35.78575795,5.688248041,
45666666,-3.194522491,32.43762377,5.499148769,
45771111,-3.306176867,29.11775108,5.317627528,
45875555,-3.425454521,25.86565406,5.136937927,
45980000,-3.551146712,22.6686811,4.959829859,
46084444,-3.679929408,19.55197048,4.791083665,
46188888,-3.810519174,16.55864556,4.63178447,
46293333,-3.944011617,13.65617423,4.480016108,
46397777,-4.080031809,10.86191096,4.335757949,
46502222,-4.21211658,8.195311929,4.204747862,
46606666,-4.341771943,5.623878342,4.084046488,
46711111,-4.466377271,3.180097985,3.974782779,
46815555,-4.576894703,0.7208261254,3.882956998,
46920000,-4.677534162,-1.433630913,3.803198109,
47024444,-4.760871495,-3.512132089,3.739763827,
47128888,-4.824746909,-5.499527691,3.692663271,
47233333,-4.865458545,-7.392690719,3.663304849,
47337777,-4.884272474,-9.256102937,3.649907153,
47442222,-4.876073281,-11.06195714,3.655732886,
47546666,-4.845234158,-12.91388384,3.677826023,
47651111,-4.79229395,-14.786195,3.716432619,
47755555,-4.717082905,-16.72911933,3.77280831,
47860000,-4.624335887,-18.74224295,3.844916152,
47964444,-4.515372177,-20.86284981,3.933507183,
48068888,-4.391975023,-23.09093232,4.039262836,
48173333,-4.261259533,-25.42556772,4.15811694,
48277777,-4.12583787,-27.8700299,4.289356518,
48382222,-3.985265806,-30.41187124,4.43520456,
48486666,-3.843150371,-33.03247942,4.593696124,
48591111,-3.701274553,-35.75362375,4.764265526,
48695555,-3.563081896,-38.60901169,4.943670738,
48800000,-3.42989647,-41.5148272,5.130454719,
48904444,-3.300009707,-44.52577565,5.327329516,
49008888,-3.173327841,-47.56619522,5.535065118,
49113333,-3.055215502,-50.6752516,5.744445954,
49217777,-2.940539652,-53.83268267,5.96400028,
49322222,-2.834221398,-57.04495838,6.183582452,
49426666,-2.732777549,-60.28061499,6.409172372,
49531111,-2.639536188,-63.52872918,6.63194587,
49635555,-2.549356468,-66.82542819,6.863029621,
49740000,-2.466276176,-70.12797305,7.090988247,
49844444,-2.388671624,-73.44549777,7.318345692,
49948888,-2.314571474,-76.77773523,7.549757648,
50053333,-2.246178677,-80.10190002,7.776978008,
50157777,-2.18334254,-83.46164002,7.998356956,
50262222,-2.121837046,-86.77542886,8.22781491,
50366666,-2.066558173,-90.1047268,8.445757136,
50471111,-2.016836833,-93.42577482,8.652043387,
50575555,-1.968021309,-96.76550451,8.864758572,
50680000,-1.923636983,-100.0820917,9.067576215,
50784444,-1.88184473,-103.402795,9.267331074,
50888888,-1.844715205,-106.7276413,9.452422344,
50993333,-1.80736916,-110.0432926,9.646293826,
51097777,-1.776303168,-113.3596487,9.813798163,
51202222,-1.745553436,-116.6717466,9.985489555,
51306666,-1.71825046,-119.9893537,10.14310413,
51411111,-1.692449839,-123.2907294,10.29673469,
51515555,-1.666827986,-126.6100415,10.45402263,
51620000,-1.644088007,-129.9469507,10.59773837,
51724444,-1.621716429,-133.2728201,10.74307072,
51828888,-1.600517156,-136.5925934,10.88454753,
51933333,-1.582425504,-139.8878653,11.00829157,
52037777,-1.568212187,-143.1540564,11.10751668,
52142222,-1.555493654,-146.3787347,11.19784801,
52246666,-1.543874993,-149.61788,11.28167199,
52351111,-1.531649789,-152.896889,11.37124863,
52455555,-1.519795205,-156.1990974,11.45948949,
52560000,-1.509303263,-159.4639733,11.53874664,
52664444,-1.498887455,-162.7276841,11.61852899,
52768888,-1.490727105,-166.0365584,11.68181596,
52873333,-1.482318795,-169.3070516,11.74775665,
52977777,-1.475750966,-172.5848276,11.79978767,
53082222,-1.470260664,-175.8655681,11.84363999,
53186666,-1.465042169,-179.1063816,11.88562672,
53291111,-1.464082427,177.648499,11.89338123,
53395555,-1.459926241,174.4002048,11.92708029,
53500000,-1.458650405,171.1451009,11.93746359,
53604444,-1.457997598,167.8858698,11.94278346,
53708888,-1.459035415,164.6165778,11.93432829,
53813333,-1.459651934,161.350046,11.92931118,
53917777,-1.461193928,158.0828878,11.9167813,
54022222,-1.46149995,154.7887458,11.91429779,
54126666,-1.461011793,151.4360253,11.91825991,
54231111,-1.470202444,148.2338667,11.84410676,
54335555,-1.475983341,144.995056,11.79793885,
54440000,-1.480028699,141.6948394,11.76584647,
54544444,-1.486617412,138.3830792,11.71395208,
54648888,-1.49449319,135.0795552,11.65252228,
54753333,-1.50208103,131.7638115,11.59394914,
54857777,-1.513791614,128.4665367,11.50470639,
54962222,-1.526243969,125.1581982,11.41131697,
55066666,-1.537323545,121.7994822,11.3294982,
55171111,-1.556146986,118.4583353,11.19317175,
55275555,-1.575162239,115.2027391,11.05877307,
55380000,-1.595652217,111.9491368,10.91754635,
55484444,-1.624558565,108.643358,10.72438476,
55588888,-1.652915853,105.334242,10.54147574,
55693333,-1.683005221,102.0280854,10.35415447,
55797777,-1.719702455,98.69662219,10.13459564,
55902222,-1.755455423,95.35939396,9.929542882,
56006666,-1.79593321,91.98995162,9.707278822,
