Frequency,S11_Magnitude,S11_Phase,S11_VSWR,
500000000,-31.94068047,-98.79214309,1.05189446,
501222222,-19.31377207,-132.1242895,1.242708023,
502444444,-19.23318099,-68.93793658,1.24524787,
503666666,-11.68005345,-148.1049994,1.704946168,
504888888,-13.15215972,174.7198244,1.564051499,
506111111,-7.93319771,149.4591997,2.339906137,
507333333,-9.470166706,111.9328098,2.012583189,
508555555,-6.777789571,88.02398179,2.6917976,
509777777,-7.963196136,41.17829918,2.332209322,
511000000,-6.329571479,8.558628495,2.864934343,
512222222,-5.857534092,-21.42676477,3.077268226,
513444444,-6.159323454,-75.10669208,2.9376114,
514666666,-6.197350357,-92.90345952,2.921016993,
515888888,-9.360985974,-121.7675143,2.032000724,
517111111,-6.974536182,-150.3750145,2.62315575,
518333333,-5.980773914,162.0700421,3.018467532,
519555555,-4.446946377,119.7266407,3.991409738,
520777777,-8.914661396,71.1405141,2.116801844,
522000000,-6.124490074,61.32378445,2.953000599,
523222222,-8.545146379,19.67624836,2.194321742,
524444444,-5.517645107,6.563384597,3.253573049,
525666666,-9.316756119,-32.72483894,2.040008875,
526888888,-7.536588642,-40.85988839,2.447823338,
528111111,-6.976033926,-88.25860942,2.622648826,
529333333,-4.858792373,-112.8823267,3.668077479,
530555555,-4.714936028,-166.4722822,3.774444596,
531777777,-8.080310246,173.4264065,2.302745577,
533000000,-5.264247796,128.6616106,3.400353159,
534222222,-5.087985272,109.4046878,3.511350195,
535444444,-5.326256201,74.58463118,3.363103047,
536666666,-4.47543016,38.47820787,3.967086628,
537888888,-5.613847372,1.062749739,3.201428754,
539111111,-5.398573331,-26.35904634,3.320774393,
540333333,-7.336373987,-67.60129986,2.507023208,
541555555,-5.941884316,-82.05174844,3.036749178,
542777777,-6.907054041,-124.8264208,2.646235847,
544000000,-8.51785579,-145.0146117,2.200335805,
545222222,-4.789116548,-164.5700799,3.71877758,
546444444,-4.76165864,153.5923536,3.739175517,
547666666,-4.092463973,114.8655982,4.323059592,
548888888,-5.316067264,75.89767114,3.369162315,
550111111,-5.317182426,43.17004515,3.368497971,
551333333,-5.344489717,13.58255398,3.352319199,
552555555,-4.616350419,-22.56853035,3.851263321,
553777777,-4.967787233,-61.91283799,3.591691987,
555000000,-10.52739477,-73.32587995,1.847373006,
556222222,-4.801508496,-112.0530189,3.709650164,
557444444,-5.458338678,-145.1603347,3.286665752,
558666666,-6.210556923,169.76584,2.915303363,
559888888,-6.695409664,149.6381282,2.721798855,
561111111,-5.691665741,123.5149471,3.160582467,
562333333,-6.489041611,69.3181959,2.80046479,
563555555,-6.877567199,59.73518436,2.656470556,
564777777,-5.631601294,14.54516441,3.192006977,
566000000,-6.119128821,-20.15465804,2.955385373,
567222222,-7.648196861,-78.0218816,2.416249325,
568444444,-10.59042933,-97.71326714,1.838676395,
569666666,-7.900149187,-107.0905447,2.348457856,
570888888,-7.093119745,-152.2975279,2.583717921,
572111111,-11.35574848,176.3141787,1.741709901,
573333333,-6.638081715,117.2983559,2.743137868,
574555555,-7.936239321,124.3603783,2.339122906,
575777777,-8.052932807,75.67227557,2.309551105,
577000000,-16.0995993,81.55871317,1.371585564,
578222222,-9.181933518,30.55698441,2.064940606,
579444444,-9.336013846,-1.390358725,2.03651191,
580666666,-12.48087094,-53.80264218,1.623502003,
581888888,-9.878775591,-96.42497903,1.944086496,
583111111,-13.11850629,-80.03303171,1.566861768,
584333333,-14.8855382,-111.8967622,1.439580283,
585555555,-12.19243776,-122.8241953,1.651411155,
586777777,-16.91068366,176.7549528,1.332943051,
588000000,-11.65612839,160.9614206,1.70757852,
589222222,-9.708992941,119.1076079,1.971776848,
590444444,-11.9667778,94.73256792,1.674337526,
591666666,-11.16430025,47.82198661,1.764558624,
592888888,-11.57008123,4.554663047,1.71714899,
594111111,-10.78497467,-38.99736171,1.812553746,
595333333,-13.88902174,-74.56015013,1.506554335,
596555555,-13.07797708,-119.4920627,1.570268933,
597777777,-13.70362031,-171.2179916,1.520326266,
599000000,-17.86352605,127.7772151,1.293278709,
600222222,-14.13719339,99.49877311,1.488798783,
601444444,-13.48483283,28.33664879,1.537164,
602666666,-15.25298765,-25.16379899,1.417570448,
603888888,-13.13443619,-76.4438768,1.565529398,
605111111,-13.77710692,-124.3064709,1.51481426,
606333333,-18.36224803,171.266226,1.274666239,
607555555,-11.43435577,176.015538,1.732580089,
608777777,-11.83974195,124.7370049,1.687688657,
610000000,-8.141290732,83.52683938,2.287763118,
611222222,-9.11537461,51.68120558,2.077546013,
612444444,-8.100522094,9.858192955,2.297752891,
613666666,-6.647172714,-33.04108659,2.739728202,
614888888,-6.451255605,-64.14917944,2.815439586,
616111111,-6.012814907,-107.3348541,3.003589954,
617333333,-6.16694571,-137.4322238,2.93426807,
618555555,-6.147665038,-171.9474772,2.942741806,
619777777,-5.967564836,155.5766044,3.024649237,
621000000,-5.23226234,113.3809775,3.419923483,
622222222,-5.247081628,82.18253264,3.41082573,
623444444,-6.529131335,41.24491251,2.784775199,
624666666,-5.405562113,12.45218923,3.316745629,
625888888,-5.757074292,-22.39939314,3.127134059,
627111111,-5.999202344,-53.74900007,3.009890487,
628333333,-5.621662106,-92.12477147,3.197273989,
629555555,-5.05348383,-122.2413365,3.534009441,
630777777,-5.63339905,-160.7021075,3.191056356,
632000000,-5.174469588,173.5917502,3.455916092,
633222222,-4.868443533,139.5612745,3.6611721,
634444444,-4.842412064,107.6785651,3.679862189,
635666666,-4.741882081,74.10596585,3.754017145,
636888888,-4.900740266,40.80404462,3.638266809,
638111111,-5.331932484,6.515046343,3.359737769,
639333333,-5.222011696,-25.5498924,3.426247609,
640555555,-5.422449025,-64.05104827,3.307055208,
641777777,-5.996950554,-97.514181,3.010935588,
643000000,-6.046769524,-132.831342,2.988002678,
644222222,-6.021180095,-165.2831438,2.999732843,
645444444,-6.258825942,159.266845,2.894634231,
