Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S11_VSWR,
30000000,-0.9637736738,0.8949758496,-140.9793991,-140.9793991,18.04323904,
30104444,-0.9856665215,0.892722897,-144.579681,-144.579681,17.64330733,
30208888,-0.993394665,0.8919289631,-148.2973598,-148.2973598,17.50634599,
30313333,-1.005121628,0.8907255676,-151.9913574,-151.9913574,17.30254303,
30417777,-1.016569581,0.8895523697,-155.6825147,-155.6825147,17.10812956,
30522222,-1.02893765,0.8882866138,-159.3589632,-159.3589632,16.90295746,
30626666,-1.042231235,0.8869281483,-163.0556122,-163.0556122,16.68786811,
30731111,-1.05512193,0.885612838,-166.7539642,-166.7539642,16.48447959,
30835555,-1.069564805,0.8841414668,-170.4503664,-170.4503664,16.26243156,
30940000,-1.082027768,0.8828737647,-174.1591212,-174.1591212,16.07559365,
31044444,-1.096269553,0.8814273503,-177.8853888,-177.8853888,15.86729616,
31148888,-1.107898923,0.8802480139,178.3975653,-181.6024347,15.70118438,
31253333,-1.119488536,0.8790742791,174.6803643,-185.3196357,15.53907858,
31357777,-1.131948531,0.8778141424,170.9505037,-189.0494963,15.36850646,
31462222,-1.144460047,0.8765506127,167.2244944,-192.7755056,15.20097145,
31566666,-1.1551892,0.8754685313,163.5221648,-196.4778352,15.06019764,
31671111,-1.167189522,0.8742598296,159.7842365,-200.2157635,14.90581588,
31775555,-1.179818859,0.8729895741,156.0312374,-203.9687626,14.74673879,
31880000,-1.192069712,0.87175915,152.3120798,-207.6879202,14.59565458,
31984444,-1.204593178,0.8705031382,148.5830541,-211.4169459,14.44438971,
32088888,-1.215336755,0.8694270785,144.8400551,-215.1599449,14.31711151,
32193333,-1.225881957,0.8683721812,141.1110323,-218.8889677,14.19435647,
32297777,-1.236107453,0.8673504884,137.3567278,-222.6432722,14.07732653,
32402222,-1.245713488,0.8663917848,133.6232142,-226.3767858,13.96913941,
32506666,-1.256650353,0.8653015514,129.8707266,-230.1292734,13.84798096,
32611111,-1.266666154,0.8643043371,126.1245894,-233.8754106,13.73886458,
32715555,-1.275595318,0.8634162818,122.3651831,-237.6348169,13.64303379,
32820000,-1.282194796,0.8627605134,118.6232882,-241.3767118,13.5730653,
32924444,-1.29169099,0.8618177816,114.8645289,-245.1354711,13.47364229,
33028888,-1.298385237,0.8611538314,111.1234993,-248.8765007,13.4044306,
33133333,-1.306469146,0.8603527332,107.36567,-252.63433,13.32179838,
33237777,-1.313260179,0.8596803322,103.6266386,-256.3733614,13.25316944,
33342222,-1.31953379,0.8590596298,99.8704973,-260.1295027,13.19039837,
33446666,-1.324146619,0.8586035288,96.10754651,-263.8924535,13.14462457,
33551111,-1.329573496,0.8580672474,92.34577748,-267.6542225,13.09118025,
33655555,-1.334818788,0.8575492286,88.59951783,-271.4004822,13.03993801,
33760000,-1.338526154,0.8571832821,84.84208723,-275.1579128,13.00396277,
33864444,-1.339308959,0.857106033,81.10978228,-278.8902177,12.99639216,
33968888,-1.345899108,0.8564559771,77.33610196,-282.663898,12.93300787,
34073333,-1.348797978,0.8561701871,73.59981173,-286.4001883,12.90532296,
34177777,-1.351839486,0.8558704374,69.84732128,-290.1526787,12.87640373,
34282222,-1.352594219,0.8557960725,66.10460795,-293.895392,12.86924777,
34386666,-1.356590023,0.8554024678,62.35807324,-297.6419268,12.8314947,
34491111,-1.357921277,0.8552713735,58.62258367,-301.3774163,12.81896621,
34595555,-1.358238743,0.8552401143,54.88490613,-305.1150939,12.81598217,
34700000,-1.354540775,0.8556043053,51.13138681,-308.8686132,12.85082848,
34804444,-1.359004522,0.8551647165,47.3865164,-312.6134836,12.8087899,
34908888,-1.357747124,0.855288522,43.63027818,-316.3697218,12.82060378,
35013333,-1.35839071,0.8552251512,39.89215313,-320.1078469,12.81455423,
35117777,-1.360531783,0.8550143641,36.15534787,-323.8446521,12.79446997,
35222222,-1.357561794,0.8553067714,32.37917606,-327.6208239,12.8223469,
35326666,-1.355148637,0.8555444299,28.63216183,-331.3678382,12.84508745,
35431111,-1.354774403,0.8555812921,24.87757695,-335.122423,12.84862134,
35535555,-1.353905849,0.8556668511,21.11620128,-338.8837987,12.85683064,
35640000,-1.355134304,0.8555458417,17.32869291,-342.6713071,12.84522276,
35744444,-1.352021547,0.8558524981,13.54672415,-346.4532759,12.8746768,
35848888,-1.352009935,0.8558536423,9.747865487,-350.2521345,12.87478693,
35953333,-1.351960636,0.8558584999,5.911913342,-354.0880867,12.87525451,
36057777,-1.350272828,0.8560248231,2.056365856,-357.9436341,12.89128351,
36162222,-1.350884946,0.8559644989,-1.799595341,-361.7995953,12.88546563,
36266666,-1.353353041,0.8557213112,-5.637315357,-365.6373154,12.86206111,
36371111,-1.359972762,0.8550693942,-9.428615789,-369.4286158,12.79970773,
36475555,-1.372116177,0.8538747893,-13.15361455,-373.1536146,12.68689215,
36580000,-1.386431688,0.8524686481,-16.87256298,-376.872563,12.55644054,
36684444,-1.409691451,0.850188894,-20.5727801,-380.5727801,12.35014508,
36788888,-1.438641514,0.8473599321,-24.29257982,-384.2925798,12.10271954,
36893333,-1.470929456,0.8442158996,-27.99585635,-387.9958564,11.83828064,
36997777,-1.506473127,0.8407683286,-31.62367133,-391.6236713,11.56031531,
37102222,-1.541165428,0.8374169143,-35.17465393,-395.1746539,11.30140264,
37206666,-1.566714219,0.8349573442,-38.68332011,-398.6833201,11.11807935,
37311111,-1.580155571,0.8336662528,-42.13285056,-402.1328506,11.02401818,
37415555,-1.583353683,0.8333593566,-45.58918107,-405.5891811,11.00187397,
37520000,-1.574098626,0.8342477974,-49.18531512,-409.1853151,11.06620466,
37624444,-1.566351811,0.8349921824,-52.70812593,-412.7081259,11.12063785,
37728888,-1.554718326,0.8361112822,-56.21045148,-416.2104515,11.20340257,
37833333,-1.542538377,0.8372845572,-59.80133476,-419.8013348,11.29139635,
37937777,-1.528456309,0.8386431124,-63.46237831,-423.4623783,11.39488459,
38042222,-1.516971914,0.8397526912,-67.0285602,-427.0285602,11.48070882,
38146666,-1.505295038,0.8408823719,-70.65532122,-430.6553212,11.56931758,
38251111,-1.497138712,0.841672358,-74.31438071,-434.3143807,11.63203301,
38355555,-1.49065729,0.8423006493,-77.9596238,-437.9596238,11.6823604,
38460000,-1.485895236,0.8427625688,-81.62331324,-441.6233132,11.71961762,
38564444,-1.477059965,0.8436202614,-85.29960969,-445.2996097,11.78938063,
38668888,-1.471091224,0.8442001768,-88.96210015,-448.9621002,11.83698505,
38773333,-1.467179536,0.8445804477,-92.61262221,-452.6126222,11.86839378,
38877777,-1.462682311,0.8450178528,-96.28763842,-456.2876384,11.90471216,
38982222,-1.464362749,0.844854385,-99.95587397,-459.955874,11.89111523,
39086666,-1.461727796,0.8451107191,-103.6106454,-463.6106454,11.91244939,
39191111,-1.461996974,0.8450845293,-107.270262,-467.270262,11.91026643,
39295555,-1.461400208,0.845142593,-110.9288699,-470.9288699,11.91510712,
39400000,-1.461583995,0.8451247107,-114.5878194,-474.5878194,11.91361591,
39504444,-1.462148721,0.8450697654,-118.2668475,-478.2668475,11.90903616,
39608888,-1.465413228,0.8447522138,-121.9195673,-481.9195673,11.88263137,
39713333,-1.468104038,0.8444905577,-125.5775229,-485.5775229,11.86095539,
39817777,-1.469558837,0.8443491259,-129.2516613,-489.2516613,11.84926931,
39922222,-1.470645661,0.8442434832,-132.9193331,-492.9193331,11.84055423,
40026666,-1.474454556,0.8438733507,-136.593798,-496.593798,11.81011287,
40131111,-1.479028574,0.8434290812,-140.252432,-500.252432,11.77376422,
40235555,-1.481826175,0.8431574685,-143.9132472,-503.9132472,11.7516432,
40340000,-1.486783402,0.8426763974,-147.584688,-507.584688,11.71265066,
40444444,-1.490943759,0.8422728699,-151.2603795,-511.2603795,11.68012674,
40548888,-1.496667433,0.8417180267,-154.9171049,-514.9171049,11.63567769,
40653333,-1.50224035,0.8411781487,-158.5570921,-518.5570921,11.59272565,
40757777,-1.508781112,0.8405449522,-162.1590627,-522.1590627,11.54271989,
40862222,-1.51741042,0.8397102974,-165.7091996,-525.7091996,11.47740789,
40966666,-1.522830234,0.8391864991,-169.273207,-529.273207,11.43676675,
41071111,-1.532167078,0.8382849054,-172.8647948,-532.8647948,11.36742931,
41175555,-1.538373356,0.8376861446,-176.5128157,-536.5128157,11.321807,
41280000,-1.545512289,0.8369979331,179.8383441,-540.1616559,11.26978307,
41384444,-1.55246952,0.8363277823,176.1824503,-543.8175497,11.21954482,
41488888,-1.559398762,0.8356608607,172.5311859,-547.4688141,11.16995543,
41593333,-1.567693154,0.8348632464,168.8846849,-551.1153151,11.11117426,
41697777,-1.575766532,0.8340876165,165.246617,-554.753383,11.05455529,
41802222,-1.584513024,0.8332481322,161.6312072,-558.3687928,10.99386865,
41906666,-1.592115648,0.8325191222,157.9903463,-562.0096537,10.94166179,
42011111,-1.602790506,0.8314965942,154.3764635,-565.6235365,10.86919629,
42115555,-1.611061511,0.8307051912,150.7570718,-569.2429282,10.81371132,
42220000,-1.620609304,0.8297925566,147.1348231,-572.8651769,10.75036743,
42324444,-1.631571576,0.8287459541,143.5062272,-576.4937728,10.6785562,
42428888,-1.641936171,0.8277576277,139.8921048,-580.1078952,10.61154467,
42533333,-1.653857718,0.8266222941,136.2840264,-583.7159736,10.5355085,
42637777,-1.663860395,0.8256709032,132.6520786,-587.3479214,10.47255413,
42742222,-1.677265437,0.8243976177,129.0397966,-590.9602034,10.38936713,
42846666,-1.689258618,0.8232601031,125.4286938,-594.5713062,10.31606409,
42951111,-1.703709037,0.8218916119,121.8122003,-598.1877997,10.2291174,
43055555,-1.717993486,0.8205410744,118.2065305,-601.7934695,10.14461147,
43160000,-1.732302825,0.8191904086,114.6087225,-605.3912775,10.0613601,
43264444,-1.751077072,0.8174216694,111.0430273,-608.9569727,9.954202467,
43368888,-1.768195249,0.8158122787,107.4683559,-612.5316441,9.858487123,
43473333,-1.787409972,0.8140095525,103.8861929,-616.1138071,9.753240432,
43577777,-1.807616931,0.8121180319,100.2542296,-619.7457704,9.644981101,
43682222,-1.831083079,0.8099269423,96.59535397,-623.404646,9.522269826,
43786666,-1.850858721,0.8080850347,92.87984537,-627.1201546,9.421282141,
