Frequency,S11_Magnitude,S11_Phase,S11_VSWR,
10000000,-0.3014469208,40.76930956,57.63377125,
10108888,-0.3108007596,39.89968196,55.89958268,
10217777,-0.3070556394,38.9726957,56.5812385,
10326666,-0.3011414784,38.04646087,57.69221642,
10435555,-0.2962424296,37.13389029,58.64610015,
10544444,-0.2928183736,36.22053273,59.33174301,
10653333,-0.2891291904,35.30658225,60.08865197,
10762222,-0.2859067727,34.41207916,60.76577893,
10871111,-0.2815821736,33.51506814,61.69886549,
10980000,-0.2774542758,32.62345904,62.61664674,
11088888,-0.2742022417,31.74594492,63.35915362,
11197777,-0.2704245153,30.8644189,64.24411063,
11306666,-0.2691434251,29.98478906,64.54985554,
11415555,-0.2660674172,29.12829957,65.29599831,
11524444,-0.2627761212,28.25296312,66.11370982,
11633333,-0.2603484277,27.39671279,66.73011245,
11742222,-0.2584960968,26.54315729,67.20821565,
11851111,-0.2555423518,25.68852219,67.98494324,
11960000,-0.2541863599,24.83504328,68.34756606,
12068888,-0.252265915,23.99668034,68.86780706,
12177777,-0.2503022699,23.15785734,69.40800588,
12286666,-0.2485325972,22.31653322,69.90215641,
12395555,-0.2471396071,21.47875411,70.29610284,
12504444,-0.2465011036,20.65220032,70.47816392,
12613333,-0.2448301724,19.81292574,70.95910308,
12722222,-0.2444895812,18.9940125,71.057941,
12831111,-0.2435948171,18.17536198,71.31891419,
12940000,-0.2443115936,17.35562817,71.1097018,
13048888,-0.2431637272,16.52808824,71.44533453,
13157777,-0.2421822669,15.71961193,71.73483392,
13266666,-0.2419945344,14.90496608,71.79047655,
13375555,-0.2422623148,14.08722477,71.71113449,
13484444,-0.2423960604,13.28551501,71.67157193,
13593333,-0.2435016804,12.4808024,71.34618933,
13702222,-0.2434596823,11.68178139,71.35849531,
13811111,-0.2430898679,10.87694403,71.46703929,
13920000,-0.2447127029,10.08389794,70.99316109,
14028888,-0.2458104524,9.294378129,70.6761592,
14137777,-0.246677777,8.514594949,70.42769345,
14246666,-0.2489349211,7.728889314,69.78919731,
14355555,-0.250373998,6.950589963,69.38812439,
14464444,-0.2514887399,6.160189888,69.08059921,
14573333,-0.2539458691,5.389352733,68.41228305,
14682222,-0.2553882716,4.617018144,68.02595384,
14791111,-0.2578734387,3.850975205,67.37047188,
14900000,-0.2599302671,3.098161887,66.83744789,
15008888,-0.2620714611,2.324384307,66.29144988,
15117777,-0.2661124983,1.570111713,65.2849385,
15226666,-0.2680869175,0.8107300959,64.80420039,
15335555,-0.2713933167,0.05278143986,64.01481347,
15444444,-0.274292796,-0.7005952353,63.33823987,
15553333,-0.27736788,-1.448266545,62.63614755,
15662222,-0.280043852,-2.198603643,62.03772714,
15771111,-0.2833106976,-2.944147597,61.32249696,
15880000,-0.2861879113,-3.699078114,60.70609604,
15988888,-0.2901456727,-4.436426542,59.87817924,
16097777,-0.2929776336,-5.189453054,59.29949692,
16206666,-0.2967036606,-5.926003538,58.55495144,
16315555,-0.3009268581,-6.653677214,57.73335413,
16424444,-0.305115083,-7.391512833,56.941025,
16533333,-0.3088068575,-8.123943014,56.26043799,
16642222,-0.3125193672,-8.853866062,55.59224528,
16751111,-0.3158347539,-9.596241198,55.00880784,
16860000,-0.3188575481,-10.3218761,54.48743555,
16968888,-0.3246427299,-11.05719515,53.51668136,
17077777,-0.3275860556,-11.7737783,53.03595214,
17186666,-0.3331248255,-12.51755696,52.15434951,
17295555,-0.3372450568,-13.2371258,51.5173202,
17404444,-0.3389262379,-13.95740128,51.26184238,
17513333,-0.3445282493,-14.68582634,50.42854073,
17622222,-0.3486421515,-15.41464539,49.83365176,
17731111,-0.352884377,-16.13997087,49.23473466,
17840000,-0.3562791648,-16.86349786,48.76573366,
17948888,-0.3608686721,-17.59974515,48.14570882,
18057777,-0.3654088409,-18.31531485,47.54767629,
18166666,-0.3696994135,-19.04888449,46.99602207,
18275555,-0.3731634016,-19.75972481,46.55990136,
18384444,-0.3773718826,-20.49159975,46.04082226,
18493333,-0.38270221,-21.20902326,45.39976268,
18602222,-0.3860491231,-21.93501612,45.00629023,
18711111,-0.3901221052,-22.66262545,44.53656766,
18820000,-0.3933616275,-23.37769461,44.16991139,
18928888,-0.3988907652,-24.10788391,43.55787046,
19037777,-0.4035469978,-24.83519907,43.05546581,
19146666,-0.4076334805,-25.55350868,42.62399533,
19255555,-0.4116775591,-26.27286466,42.20543665,
19364444,-0.4152952462,-27.00513557,41.83791821,
19473333,-0.4204774849,-27.72509495,41.32247806,
19582222,-0.4228996819,-28.44816941,41.08589243,
19691111,-0.4280324225,-29.19227141,40.59340771,
19800000,-0.4313320285,-29.90509415,40.28300218,
19908888,-0.4355638401,-30.64324739,39.89178584,
20017777,-0.4397491064,-31.37940529,39.51227977,
20126666,-0.4445821308,-32.10006418,39.08292871,
20235555,-0.4481248211,-32.84044303,38.77409057,
20344444,-0.4521452465,-33.56873928,38.42946925,
20453333,-0.4565901666,-34.30427686,38.05552685,
20562222,-0.4600439553,-35.03033919,37.7699563,
20671111,-0.4648053558,-35.77605582,37.38322797,
20780000,-0.4686065803,-36.5154953,37.08012943,
20888888,-0.4726443159,-37.24469108,36.76351325,
20997777,-0.4759850217,-37.9878595,36.50561589,
21106666,-0.4805736328,-38.72977652,36.15722837,
21215555,-0.4840403368,-39.46705514,35.89840231,
21324444,-0.4874895638,-40.21135113,35.64453546,
21433333,-0.491019342,-40.94856592,35.38843345,
21542222,-0.4958568883,-41.69992767,35.04337101,
21651111,-0.5000071326,-42.45557361,34.75265665,
21760000,-0.5035327239,-43.20764408,34.50946335,
21868888,-0.5057141427,-43.96115969,34.36068889,
21977777,-0.5096899489,-44.71481302,34.09281233,
22086666,-0.5140757379,-45.47331478,33.80212027,
22195555,-0.517896972,-46.23250497,33.5528619,
22304444,-0.5228300785,-46.99584276,33.23646591,
22413333,-0.524944922,-47.76549498,33.10264728,
22522222,-0.5291557774,-48.52693334,32.83938775,
22631111,-0.5327876595,-49.31473954,32.61566863,
22740000,-0.5358299811,-50.07225221,32.43060064,
22848888,-0.5396401007,-50.86539364,32.20177063,
22957777,-0.5431072872,-51.63497799,31.99632776,
23066666,-0.5470095326,-52.41788348,31.76822221,
23175555,-0.5495511116,-53.201714,31.62139697,
23284444,-0.5531008014,-53.99282438,31.41859296,
23393333,-0.5565517882,-54.78091588,31.22390905,
23502222,-0.5602256399,-55.56834429,31.01928918,
23611111,-0.5622442138,-56.35649581,30.90800079,
23720000,-0.5666805717,-57.16292314,30.66620166,
23828888,-0.5694776538,-57.96480846,30.51568669,
23937777,-0.5723580909,-58.76746845,30.36222434,
24046666,-0.5739423695,-59.57395528,30.27847485,
24155555,-0.5780135818,-60.38378281,30.06536546,
24264444,-0.5807450379,-61.1977534,29.92406162,
24373333,-0.5847870784,-62.01615537,29.71738147,
24482222,-0.5866212617,-62.82812381,29.62453467,
24591111,-0.5901161789,-63.65057425,29.44921938,
24700000,-0.5944795098,-64.48254338,29.23323628,
24808888,-0.5977606886,-65.31961551,29.07289716,
24917777,-0.5988443212,-66.14034244,29.02033013,
25026666,-0.6047785153,-67.00244019,28.73580409,
25135555,-0.6102825279,-67.84395445,28.47685202,
25244444,-0.611141386,-68.6963061,28.43686544,
25353333,-0.6146081026,-69.56929235,28.27659904,
25462222,-0.6175948425,-70.42432986,28.13996539,
25571111,-0.6206064542,-71.29607846,28.00352609,
25680000,-0.6235577314,-72.16347643,27.87109934,
25788888,-0.6271931812,-73.04236391,27.70968695,
25897777,-0.631234754,-73.88688174,27.53242621,
26006666,-0.6349009791,-74.75840446,27.37358094,
26115555,-0.6386623249,-75.64284659,27.21251053,
26224444,-0.642868889,-76.52969281,27.03460839,
26333333,-0.6460507741,-77.42539459,26.90158117,
26442222,-0.6511122493,-78.3239714,26.69265295,
26551111,-0.6536087014,-79.21573678,26.59079622,
26660000,-0.6582212203,-80.11547205,26.40463622,
26768888,-0.6610671209,-81.02450745,26.29107295,
26877777,-0.6661332137,-81.93818136,26.09131708,
26986666,-0.6704216379,-82.86135238,25.92458517,
27095555,-0.675056727,-83.78636032,25.74675845,
27204444,-0.6794768544,-84.70177872,25.57943989,
27313333,-0.684795698,-85.63739741,25.38096634,
27422222,-0.689547576,-86.58927664,25.20624022,
27531111,-0.6957816862,-87.52328127,24.98063383,
27640000,-0.6997287395,-88.4663038,24.83987325,
27748888,-0.7038409176,-89.42205469,24.69490405,
27857777,-0.7086603362,-90.36638893,24.52714457,
27966666,-0.7129646205,-91.33087489,24.37923482,
28075555,-0.7202229729,-92.31348126,24.13381983,
28184444,-0.7256549472,-93.28128672,23.95337095,
28293333,-0.7289390772,-94.25445236,23.84557821,
28402222,-0.7347105374,-95.22871011,23.65848173,
28511111,-0.740999199,-96.21828814,23.45793879,
28620000,-0.7459200584,-97.21974131,23.30337417,
28728888,-0.7508267412,-98.21550118,23.15127333,
28837777,-0.7568446565,-99.21858469,22.96742007,
28946666,-0.7627090578,-100.2240019,22.79104978,
29055555,-0.7693055057,-101.2465259,22.5958788,
29164444,-0.775212028,-102.2647765,22.42394125,
29273333,-0.7801443537,-103.2855387,22.28235845,
29382222,-0.7846624607,-104.3206836,22.15422889,
29491111,-0.7923879999,-105.3467055,21.93852693,
29600000,-0.7988489304,-106.4301895,21.76133938,
29708888,-0.8037439115,-107.4315109,21.62899516,
29817777,-0.8078649077,-108.4848582,21.51882129,
29926666,-0.81419599,-109.5370673,21.35173568,
30035555,-0.8202315869,-110.5978196,21.19485164,
30144444,-0.827041109,-111.6571516,21.02060198,
30253333,-0.8324517775,-112.7365844,20.88418174,
30362222,-0.8459012269,-113.8287091,20.55264451,
30471111,-0.8482300584,-114.900577,20.49630606,
30580000,-0.8540221281,-115.9830172,20.35751937,
30688888,-0.8593712252,-117.0801405,20.23100996,
30797777,-0.8635751063,-118.1743812,20.13268635,
30906666,-0.868223221,-119.2473421,20.02508196,
31015555,-0.871992888,-120.3676694,19.93865688,
