Frequency,S11_Magnitude,S11_Phase,S11_VSWR,S12_Magnitude,S12_Phase,S12_VSWR,S21_Magnitude,S21_Phase,S21_VSWR,S22_Magnitude,S22_Phase,S22_VSWR,
20000000,-0.106133807,-3.367266323,163.6801308,-20.41743702,-79.11148426,1.210696474,-65.43058179,62.2065399,1.001070862,-1.52975666,-19.47143767,11.38524834,
20106666,-0.1201090353,-3.888735702,144.635714,-31.14270093,-158.5065392,1.057030298,-59.51521392,-110.6612876,1.002117039,-10.84531347,165.0168155,1.804665546,
20213333,-0.1171658028,-4.374599361,148.2688828,-9.267400294,74.27011346,2.0490439,-66.88906661,28.59694974,1.00090526,-3.653814304,16.86584378,4.824327387,
20320000,-0.118233061,-5.029427873,146.93054,0.3355647601,96.37541454,nan,-71.60138955,124.9886676,1.000526108,2.157104896,177.6009148,nan,
20426666,-0.1204475689,-5.531799141,144.2292095,-14.51103317,122.3322715,1.463435814,-60.29165716,159.0437766,1.00193583,7.319301527,176.7035622,nan,
20533333,-0.1081485157,-6.15927022,160.6309951,-10.49967144,-69.44834881,1.851234915,-63.68312431,-51.22374448,1.001309659,-10.87418198,149.2370043,1.800926372,
20640000,-0.1137246665,-6.640765465,152.7551408,-17.18475682,-18.01282166,1.320941907,-64.4682888,-105.7216864,1.001196397,-7.383284113,12.38485832,2.492847342,
20746666,-0.1159663164,-7.307559331,149.8024414,-24.34333467,-37.84828414,1.129132626,-67.08538096,103.9139251,1.00088502,-4.73369177,142.8109762,3.760200907,
20853333,-0.1137299128,-7.806951766,152.7480944,-17.79825436,129.8291717,1.295818111,-65.19027082,-30.10588318,1.001100919,-7.377429869,-97.64130474,2.49460602,
20960000,-0.1108870354,-8.374252442,156.6640784,-17.81153457,-81.88782509,1.295299439,-66.12999322,-92.99733934,1.000987972,-6.7010206,-62.84430173,2.719730883,
21066666,-0.1172765258,-8.854841795,148.1289036,-16.78749136,-117.3970606,1.338503767,-61.28109541,-168.8980485,1.00172723,-6.062813669,54.43185086,2.980700579,
21173333,-0.1102816598,-9.393377215,157.5240404,-15.22169998,-3.276364799,1.419393284,-70.4858437,25.99220769,1.000598229,-5.941524918,-175.892689,3.036919287,
21280000,-0.1100573083,-10.00951635,157.8451441,-20.54280129,69.08479319,1.207364279,-67.06855158,-145.564078,1.000886737,-7.516635803,-73.12786332,2.453573016,
21386666,-0.1150589319,-10.59484779,150.9837873,-18.40520972,-129.6943304,1.273125985,-81.32397941,-25.9377927,1.000171739,2.535232104,19.26728842,nan,
21493333,-0.118525346,-11.11077671,146.5682187,-21.68147476,178.301477,1.179598526,-65.75165057,-44.08448619,1.001031981,-25.58036558,52.77439345,1.111039657,
21600000,-0.1067842506,-11.73701925,162.6831483,-20.84628953,173.0107924,1.199533643,-67.55701506,111.51967,1.000838226,-0.781831169,72.85346684,22.23434849,
21706666,-0.1215360392,-12.16982277,142.9375419,-43.00488863,9.138075966,1.014251787,-67.12103015,-179.9923674,1.000881393,-29.42036497,-58.72737448,1.069975658,
21813333,-0.1050598548,-12.80870846,165.353275,-10.60860471,124.2088621,1.836190318,-67.94412322,-20.21813351,1.000801674,1.602928644,-6.622146566,nan,
21920000,-0.1126606778,-13.274437,154.1977481,-15.51070533,64.0120552,1.402903526,-65.50109902,-18.40321414,1.001062198,-9.922202374,-11.60483515,1.937171861,
22026666,-0.117026813,-13.87089565,148.4449728,-18.40086496,91.2046352,1.273281312,-68.93703924,-0.1603551157,1.000715045,-19.91869183,-23.97766572,1.224546849,
22133333,-0.1091096517,-14.38319426,159.2160495,-16.76090219,147.1759083,1.339717861,-67.32940289,61.42886081,1.000860492,-10.02340427,-83.23454895,1.921315102,
22240000,-0.1164644857,-15.00311308,149.1616903,-38.19377731,-83.62577489,1.024929934,-72.6992115,-29.80761722,1.000463628,-0.2025149227,1.410606892,85.78412883,
22346666,-0.1288010219,-15.46818441,134.875464,-3.727882809,-172.5444771,4.731271274,-65.66687692,71.09047904,1.001042107,14.1653664,-53.89070103,nan,
22453333,-0.1182682684,-16.03912757,146.8868015,-26.24533178,122.6025803,1.102436889,-59.53166145,-15.94242247,1.002113029,-8.699124613,14.35952864,2.161152311,
22560000,-0.1141780136,-16.54001146,152.1486395,-12.7427899,-63.35387575,1.599430282,-78.26348777,14.34241066,1.000244292,0.6202524349,113.9551826,nan,
22666666,-0.1115266355,-17.04243128,155.7656417,-27.3715018,-120.8887975,1.08942344,-58.77329323,-18.71297406,1.002306034,-11.75611692,123.0726636,1.696658857,
22773333,-0.1214276533,-17.68035003,143.0651234,-28.5757705,-25.34035312,1.077398268,-64.01650863,-53.99308468,1.001260312,0.5363472394,-75.93663471,nan,
22880000,-0.1156296797,-18.21564818,150.2385536,-26.9169924,166.8205116,1.094454194,-67.03440878,-103.8459469,1.000890231,-5.477153969,-50.67385756,3.27608673,
22986666,-0.1226541415,-18.73979177,141.634581,-9.704114767,-33.05010517,1.97258825,-68.82346936,19.71892885,1.000724459,-4.896031847,-1.323943724,3.641586776,
23093333,-0.1220125698,-19.23901263,142.3793054,-18.95703102,107.4456974,1.254177141,-62.00249991,-38.5968972,1.001589461,-1.941185375,66.1362824,8.986274264,
23200000,-0.1198695858,-19.79215155,144.9246268,-16.8794579,179.9039147,1.334342587,-59.22796209,37.10165942,1.0021883,-16.78754136,67.47692175,1.338501488,
23306666,-0.1248923222,-20.33261563,139.0964494,-37.24479374,151.2155553,1.027848111,-65.54349812,-117.5707842,1.001057023,-23.97003879,147.4236807,1.135186683,
23413333,-0.134081414,-20.86248478,129.5639994,-8.139436546,-101.8186511,2.288215132,-67.59097224,13.84103276,1.000834954,-20.29348118,-2.53082472,1.214048981,
23520000,-0.1386123321,-21.45350923,125.3290215,-8.26226294,50.14288689,2.258742508,-61.42017992,-68.87575544,1.001699769,-0.8106022513,178.5439224,21.44625867,
23626666,-0.1465581131,-21.95403323,118.5344916,-12.52779052,-78.33939661,1.619103268,-70.56214207,54.97107769,1.000592996,-12.17937027,-77.18480972,1.652711983,
23733333,-0.1240072276,-22.36270317,140.0892084,-3.721589024,-61.9829131,4.739032323,-64.21763884,-47.89669674,1.001231446,-12.00922337,-88.30528397,1.669949111,
23840000,-0.1412857652,-23.07843533,122.9576262,-1.896185393,-90.42497572,9.19779056,-53.79922106,36.9713339,1.004092198,4.197033817,-138.6544702,nan,
23946666,-0.145348737,-23.57987707,119.5207128,-19.04831248,-136.300388,1.251186212,-66.22001482,99.31409326,1.000977781,-16.87931815,132.216294,1.334348866,
24053333,-0.139600427,-24.03873205,124.4419777,-18.57191297,44.0652574,1.267240268,-54.63590412,-50.65746659,1.003715702,-33.81616803,133.8851646,1.04160674,
24160000,-0.1459313146,-24.61268561,119.0435922,-16.95324114,2.14363357,1.331046393,-62.64184923,108.3986476,1.001476584,-21.88356759,-88.72178224,1.175106447,
24266666,-0.1629104386,-25.26204955,106.6370496,-20.97984345,113.4956871,1.196190431,-67.91300193,-37.24091801,1.000804553,-4.015687676,5.043632973,4.402759431,
24373333,-0.156603477,-25.88223849,110.9314441,-13.54564816,120.89882,1.532418394,-67.50811006,-11.02202725,1.000842961,2.408442108,-3.592796455,nan,
24480000,-0.1611089456,-26.28601522,107.8293776,-27.96971676,29.91791722,1.083224309,-71.26473682,-17.65482367,1.000546905,-1.204583358,75.8992265,14.44450709,
24586666,-0.1668122772,-26.86353283,104.1428934,-13.94397848,-43.10433305,1.502556605,-67.92822061,51.55409978,1.000803144,-7.097439267,166.8085903,2.582307581,
24693333,-0.1745886672,-27.43711011,99.50453502,-23.06976185,59.68920989,1.151065594,-61.94633512,-39.88790578,1.001599781,-11.82071111,-117.1941815,1.689717217,
24800000,-0.1722419203,-27.97534782,100.8601652,-24.01123039,-42.35219685,1.134504084,-66.1324783,-47.51198297,1.00098769,-10.26632027,112.7498336,1.884666545,
24906666,-0.1966377127,-28.57827004,88.3478605,-14.33678325,56.44203361,1.475057434,-63.21024461,84.25917375,1.001382987,-1.004938338,9.41961844,17.3056918,
25013333,-0.1933868676,-29.18545598,89.83286762,-21.43227429,134.1886638,1.185310225,-70.80429969,-40.28340236,1.000576687,-16.82702117,19.03334331,1.336707956,
25120000,-0.1958899861,-29.79680099,88.68506205,-21.31196111,69.39797079,1.188138062,-67.43544465,137.8494111,1.000850046,0.5828558123,-80.60437307,nan,
25226666,-0.2204606523,-30.49883513,78.80187094,-28.48764147,-153.3252084,1.078218434,-73.00800782,-107.3159619,1.000447432,-3.189492487,-25.42651207,5.507628905,
25333333,-0.2181081304,-31.14250545,79.65173988,3.983596452,81.54796768,nan,-59.15157217,-116.2243707,1.002207651,12.12952103,-179.4669581,nan,
25440000,-0.2417713549,-32.00661323,71.85673787,-10.46733747,-134.6808702,1.855768019,-67.07987726,-69.95822794,1.000885581,-3.906719271,139.7913142,4.521352713,
25546666,-0.2920787421,-32.82260455,59.48196047,-6.114099502,-123.332629,2.957626455,-62.19162651,21.41181322,1.0015552,3.528046218,-104.5749981,nan,
