Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,
500000000,-0.5894226015,0.9343914803,105.0345669,
501833944,-0.9666278399,0.8946818107,100.8695089,
503667889,-0.7030636416,0.92224608,103.1240657,
505501833,-0.6486952215,0.9280368877,100.4385262,
507335778,-0.6671082035,0.9260716512,98.07000067,
509169723,-0.7322983453,0.91914723,95.66595881,
511003667,-0.8878228594,0.9028359773,93.9396303,
512837612,-0.779413313,0.9141749872,92.3597378,
514671557,-0.7314550709,0.9192364703,88.44143212,
516505501,-1.155589776,0.8754281574,77.86897459,
518339446,-1.47706055,0.8436202046,105.8337571,
520173391,-0.6817196266,0.9245151209,93.11386962,
522007335,-0.6171726156,0.9314110141,88.82396987,
523841280,-0.5946166527,0.9338328931,85.76768869,
525675225,-0.5910988436,0.9342111746,83.10838824,
527509169,-0.5936941503,0.933932078,80.43284988,
529343114,-0.6576942548,0.9270758911,76.925898,
531177059,-0.836354494,0.9082016264,79.37846707,
533011003,-0.6526251075,0.9276170971,75.16860806,
534844948,-0.6769779722,0.9250199544,72.23217799,
536678892,-0.7916628614,0.9128866519,69.37654615,
538512837,-1.049655116,0.8861704094,67.72110081,
540346782,-0.9974645931,0.8915111318,67.07245547,
542180726,-0.8427858567,0.9075294083,64.67632928,
544014671,-0.8000948656,0.9120008786,61.14327291,
545848616,-1.124973714,0.878519315,56.46450476,
547682560,-1.38717699,0.8523955043,53.68242435,
549516505,-3.298770746,0.6840084435,55.41822111,
551350450,-1.139535019,0.8770477708,61.21804738,
553184394,-0.7929323191,0.9127532417,53.65095179,
555018339,-0.8352470486,0.9083174289,46.97558297,
556852284,-1.269224095,0.8640498423,38.17668474,
558686228,-3.604790748,0.6603291396,35.79760965,
560520173,-2.195255945,0.7766712027,23.14843276,
562354118,-7.639581557,0.4149740335,124.2472999,
564188062,-1.649389807,0.8270476075,68.48209362,
566022007,-3.564153523,0.6634257496,66.66909037,
567855951,-1.091178363,0.8819441459,57.90812014,
569689896,-0.9451258279,0.8968993486,51.61463847,
571523841,-0.8282922266,0.9090450131,47.10624809,
573357785,-0.800513486,0.9119569254,43.12850455,
575191730,-0.7860822074,0.9134733669,39.47136196,
577025675,-0.7825784559,0.913841922,35.83894062,
578859619,-0.7876231138,0.913311328,32.02597751,
580693564,-0.8349410597,0.9083494279,27.55473325,
582527509,-1.17017072,0.8739598149,21.63584751,
584361453,-1.86702099,0.8065827886,22.36322285,
586195398,-1.460398591,0.8452400567,19.16915958,
588029343,-2.269722604,0.7700410363,-4.440382835,
589863287,-3.848120538,0.642087142,59.39780417,
591697232,-1.324021068,0.8586159396,34.12570432,
593531177,-1.062018562,0.8849099368,25.83745698,
595365121,-0.9837346212,0.892921477,20.56046431,
597199066,-0.9566904933,0.8957059834,16.22489442,
599033011,-0.9566957653,0.8957054397,12.16178803,
600866955,-1.013082282,0.8899095879,7.820547317,
602700900,-1.436056862,0.8476121177,2.495220422,
604534844,-1.728454476,0.8195534374,6.901978971,
606368789,-1.131804036,0.8778287454,2.081949925,
608202734,-1.082712732,0.8828041446,-3.308009504,
610036678,-1.858729304,0.8073531328,-3.417589619,
611870623,-1.251587969,0.8658060207,-16.60042593,
613704568,-15.86258137,0.1610167036,-24.11666022,
615538512,-1.348038966,0.8562450064,1.787200818,
617372457,-1.121383656,0.8788825003,-8.013506241,
619206402,-1.096681757,0.8813855216,-13.75645935,
621040346,-1.105811696,0.8804595637,-18.59279149,
622874291,-1.136418686,0.8773624955,-23.27994987,
624708236,-1.188536536,0.8721138292,-28.22723674,
626542180,-1.290893669,0.8618968957,-33.83381036,
628376125,-1.524234996,0.8390507891,-41.07182695,
630210070,-2.45102317,0.754134556,-53.39438944,
632044014,-8.346328188,0.3825459343,-9.962717232,
633877959,-1.363358641,0.8547361414,-35.33648985,
635711903,-1.526812318,0.8388018586,-53.78341755,
637545848,-9.62104253,0.3303298906,-79.18241958,
639379793,-18.9891155,0.1123425364,5.384095894,
641213737,-2.086521932,0.7864550462,-36.44776091,
643047682,-2.194338683,0.7767532264,-51.09941986,
644881627,-2.602806092,0.7410707899,-60.75006624,
646715571,-3.244209061,0.6883186659,-69.43495143,
648549516,-4.260088167,0.612344176,-78.15481297,
650383461,-6.042032083,0.498767786,-86.9341329,
652217405,-10.18155714,0.3096864066,-90.69441409,
654051350,-11.4040999,0.269026465,-33.57164963,
655885295,-5.300537855,0.5432166929,-51.74143832,
657719239,-8.721842838,0.3663598378,-65.81133971,
659553184,-8.05570689,0.3955620833,-52.65689255,
661387129,-8.380496729,0.3810440316,-50.76286106,
663221073,-6.888478763,0.452455698,-35.16325077,
665055018,-4.826069972,0.5737153918,-55.41967773,
666888962,-2.631912432,0.7385916243,-34.25047972,
668722907,-1.297672732,0.8612244749,-55.83429495,
670556852,-1.163269517,0.8746544784,-70.23210764,
