Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,
500000000,-0.5781796536,0.9356017324,102.3151584,
501833944,-0.5912744224,0.9341922904,99.46601277,
503667889,-0.6186285982,0.9312548983,96.05757854,
505501833,-1.782867862,0.8144353336,90.05635735,
507335778,-0.6261011893,0.9304540713,91.45601096,
509169723,-0.6650701754,0.926288967,85.60794338,
511003667,-0.8323104799,0.9086245693,76.47240853,
512837612,-4.343035765,0.606524309,37.12248973,
514671557,-1.950450433,0.7988725126,70.188145,
516505501,-4.120931073,0.622233582,142.4372026,
518339446,-1.100606085,0.8809873972,99.17431049,
520173391,-3.077442809,0.7016618426,62.34151911,
522007335,-1.421328869,0.8490505674,114.8717051,
523841280,-0.7771148806,0.9144169253,99.1725777,
525675225,-0.679670385,0.9247332654,92.47670882,
527509169,-0.6435485325,0.9285869445,87.74499639,
529343114,-0.6363189481,0.9293601632,83.67199847,
531177059,-0.6377844235,0.9292033756,79.76574604,
533011003,-0.645662743,0.928360947,75.69480217,
534844948,-0.6752192866,0.9252072679,70.95133858,
536678892,-0.7508010871,0.9171913403,64.62628789,
538512837,-1.1818669,0.8727837566,53.7946099,
540346782,-2.917238796,0.7147234973,25.2580699,
542180726,-7.457294195,0.4237749587,146.9098088,
544014671,-1.635400211,0.8283807334,98.07258661,
545848616,-1.0197572,0.8892259744,84.03103813,
547682560,-0.8458884302,0.9072052994,75.68713636,
549516505,-0.8867668815,0.9029457453,65.11500318,
551350450,-1.519371687,0.8395207129,84.90774163,
553184394,-0.8662913885,0.9050767956,71.57878999,
555018339,-0.8895147174,0.9026601379,66.40132524,
556852284,-0.6715046039,0.9256030346,64.80703343,
558686228,-0.6692669382,0.9258415199,60.16935568,
560520173,-0.7004836472,0.922520058,55.19241028,
562354118,-1.043386527,0.8868101877,58.09500214,
564188062,-0.785018861,0.9135852032,51.1691798,
566022007,-1.854762849,0.8077218988,34.34329666,
567855951,-1.054943115,0.8856310701,57.49975034,
569689896,-0.8285489541,0.909018145,50.93002174,
571523841,-0.7873530398,0.9133397264,47.25994106,
573357785,-0.7687444879,0.9152985526,44.03394004,
575191730,-0.8301873339,0.9088466972,41.94390014,
577025675,-0.7976353627,0.912259158,39.02749043,
578859619,-0.7910824849,0.9129476515,36.2359647,
580693564,-0.7813211805,0.9139742095,33.22859527,
582527509,-0.8581132599,0.9059293646,30.99013289,
584361453,-0.8394827759,0.9078745903,27.60012041,
586195398,-0.8731707409,0.9043602453,23.36110552,
588029343,-1.640066156,0.8279358577,9.852439836,
589863287,-1.054450129,0.8856813374,26.34089635,
591697232,-1.157404575,0.8752452676,18.04080038,
593531177,-2.793894341,0.7249453741,31.22123634,
595365121,-0.864805523,0.9052316372,20.144152,
597199066,-0.8182524097,0.9100963645,15.55614888,
599033011,-0.8331690516,0.9085347592,11.71246755,
600866955,-0.8503226544,0.9067422812,8.220965459,
602700900,-0.8703447054,0.9046545352,4.658047507,
604534844,-0.9073119413,0.9008124978,0.3878798303,
606368789,-2.641008933,0.7378185219,-7.84707928,
608202734,-1.062855358,0.884824689,-2.37007337,
610036678,-1.04463447,0.8866827846,-7.583648908,
611870623,-1.108648661,0.880172037,-13.00914717,
613704568,-1.32230705,0.8587853901,-21.21476374,
615538512,-5.443768042,0.5343325093,-60.80088801,
617372457,-1.027774677,0.8884055565,-3.506799714,
619206402,-0.9897827799,0.8922999343,-16.83106921,
621040346,-1.152289547,0.875760842,-22.80744555,
622874291,-1.217538535,0.869206716,-30.12072769,
624708236,-1.374584264,0.853632196,-38.24994241,
626542180,-1.688280854,0.8233527821,-49.5591979,
628376125,-2.544834278,0.7460334254,-70.68850107,
630210070,-6.684964473,0.4631821095,-147.1047737,
632044014,-2.240187278,0.7726639253,37.70992662,
633877959,-0.9979505011,0.8914612601,-5.725406175,
635711903,-0.9546593114,0.8959154673,-23.33994375,
637545848,-1.42881249,0.8483193543,-34.31621918,
639379793,-1.283116493,0.862668967,-46.336153,
641213737,-1.833581226,0.8096940329,-43.32294577,
643047682,-1.911107437,0.802499237,-58.38461492,
644881627,-3.085018594,0.7010501237,-73.60680019,
646715571,-9.807399782,0.3233180948,-93.76629797,
648549516,-4.250460788,0.6130232703,-13.00012132,
650383461,-1.288437687,0.8621406362,-43.34126459,
652217405,-1.041516303,0.887001154,-60.35347419,
654051350,-1.186748833,0.8722933435,-74.06324972,
655885295,-1.597114614,0.8320401226,-88.83116571,
657719239,-2.64661848,0.7373421755,-109.3960451,
659553184,-7.010363899,0.4461509325,-155.1241904,
661387129,-8.587401309,0.3720745237,11.38811015,
663221073,-2.357755098,0.7622759978,-50.60444526,
665055018,-3.651558382,0.6567832689,-98.2634739,
666888962,-1.596928394,0.8320579612,-76.29362066,
668722907,-1.246478183,0.8663155121,-98.40146922,
670556852,-1.357900067,0.855273462,-117.6736924,
672390796,-1.512432404,0.8401916862,-138.3466241,
674224741,-1.96702835,0.7973492362,-168.7053035,
676058686,-5.259887688,0.545764918,137.4532749,
677892630,-7.087181898,0.4422225709,30.18624041,
679726575,-4.990664868,0.5629460246,171.569549,
681560520,-3.882625616,0.6395414823,85.52581854,
683394464,-2.562548346,0.7445135096,31.02463818,
685228409,-2.498993575,0.7499811039,-25.91039143,
687062354,-5.02730031,0.5605766249,11.03963104,
688896298,-2.033972481,0.7912275049,-43.90946106,
690730243,-3.166823515,0.6944785305,-40.02644745,
692564188,-5.3544866,0.5398531876,-88.92119009,
694398132,-1.970512128,0.7970294956,-69.66410238,
696232077,-1.704845352,0.8217840966,-97.49618113,
698066022,-4.582449263,0.5900346776,-146.8842693,
699899966,-10.85778418,0.2864908731,-120.5161925,
701733911,-2.01891506,0.7926003266,-65.67370967,
703567855,-1.251561869,0.8658086224,-98.70850589,
705401800,-1.948630259,0.7990399382,-92.87505038,
707235745,-1.080362715,0.8830430245,-123.6769794,
709069689,-1.263197086,0.8646496016,-143.5128669,
710903634,-2.306500015,0.7667874554,-178.6327899,
712737579,-7.244015648,0.4343093884,-42.77305227,
714571523,-2.189373615,0.7771973646,-115.72426,
716405468,-1.913695279,0.8022601789,-140.9906292,
718239413,-1.208101175,0.8701516364,-163.8502269,
720073357,-1.556112689,0.8359770704,173.6065348,
721907302,-6.477884586,0.4743574991,139.1796042,
723741247,-1.984027957,0.7957902285,141.8716404,
725575191,-4.421750451,0.6010525963,50.8913547,
727409136,-4.940133647,0.5662305766,-123.042381,
