Frequency,S11_Magnitude,S11_Phase,S11_VSWR,S12_Magnitude,S12_Phase,S12_VSWR,S21_Magnitude,S21_Phase,S21_VSWR,S22_Magnitude,S22_Phase,S22_VSWR,
20000000,-4.695049228,-1.985385031,3.789674597,-60.76320161,169.7842916,1.001833445,-64.36563803,-12.21043726,1.001210629,-0.1048179216,-4.644059295,165.7349223,
20106666,-4.687198355,-1.895451629,3.795723514,-61.20745429,-94.44556133,1.001741949,-61.62254569,-17.60798879,1.001660593,-0.1134021966,-5.302636582,153.1895021,
20213333,-4.677694884,-2.093737905,3.803073542,-56.75152378,-63.39848189,1.00291129,-57.41200746,-74.51303545,1.002697833,-0.109090808,-5.764231315,159.2435509,
20320000,-4.672439463,-2.256047078,3.807151257,-57.06025057,131.275736,1.002809488,-58.18703061,110.1312429,1.002467254,-0.1038363507,-6.404315214,167.301586,
20426666,-4.660847987,-2.499295394,3.816178449,-61.53534248,-159.8895956,1.001677363,-60.91946348,-66.56676765,1.001800726,-0.1133587343,-7.053399605,153.2482341,
20533333,-4.665488327,-2.476127806,3.812559139,-57.19193708,-138.9409724,1.002767156,-83.54474204,0.3619709567,1.000132991,-0.1133016728,-7.647767368,153.3254114,
20640000,-4.687885878,-2.744595925,3.795192964,-57.33182948,-91.54672309,1.002722886,-65.11636561,-71.5165928,1.001110332,-0.1086516825,-8.196385152,159.887131,
20746666,-4.675762568,-2.947324743,3.804571748,-61.46518151,73.84401353,1.001690978,-63.94459494,72.30573995,1.001270797,-0.1136541026,-8.822603738,152.8499784,
20853333,-4.670496806,-2.950160226,3.808660956,-61.89073176,-147.7107026,1.001610063,-60.10639697,-46.59792957,1.001977604,-0.1103490712,-9.41852945,157.4278128,
20960000,-4.6581452,-3.171518617,3.818289934,-58.52273534,-33.05584398,1.002373604,-61.28575054,21.03693104,1.001726304,-0.1133762534,-9.992620465,153.2245546,
21066666,-4.647338003,-3.408537107,3.826757921,-57.94570066,-63.28928271,1.002536854,-67.94491602,55.6804368,1.000801601,-0.1135977492,-10.56040655,152.9258019,
21173333,-4.666243162,-3.559675537,3.81197109,-58.22475205,-147.0620383,1.002456549,-58.91524348,-11.72741992,1.002268612,-0.1187773606,-11.23100816,146.2572488,
21280000,-4.645588607,-3.672482282,3.828132455,-61.66052751,126.9316803,1.001653341,-58.06427354,-132.3127834,1.002502415,-0.1205629609,-11.7551123,144.0911707,
21386666,-4.638440944,-3.851622052,3.833759537,-64.83593032,-5.293271925,1.001146786,-68.11739673,-80.05907377,1.000785834,-0.1207027138,-12.37524884,143.9243434,
21493333,-4.651618227,-3.986770878,3.823399331,-81.41046053,-46.46734689,1.000170037,-66.47972423,8.250721129,1.000948964,-0.119147492,-12.94948852,145.8029152,
21600000,-4.6529432,-4.060824723,3.822360938,-64.30314539,-123.0278199,1.001219375,-54.1652197,174.1309953,1.003923016,-0.1271671692,-13.53357411,136.6082904,
21706666,-4.642667965,-4.297989637,3.830429622,-59.93288519,7.790224646,1.002017547,-60.48251984,-130.177949,1.001893717,-0.1219627868,-14.14544808,142.4374201,
21813333,-4.630012131,-4.455087986,3.840418073,-56.32619715,-133.5264532,1.003057621,-63.1960484,35.71870344,1.00138525,-0.1334565528,-14.69546371,130.1706111,
21920000,-4.626503745,-4.493981783,3.843196923,-56.96431468,-120.2134225,1.002840735,-64.54495757,-86.58029478,1.001185877,-0.1175265994,-15.29140938,147.8137238,
22026666,-4.630756008,-4.605925836,3.839829431,-61.45707206,-47.84903013,1.001692559,-62.91962388,137.0627557,1.001430076,-0.1327002882,-15.82671686,130.9124298,
