Frequency,S11_Magnitude,S11_Phase,S11_Resistance,S11_Reactance,S11_Inductance,S12_Magnitude,S12_Phase,S12_Resistance,S12_Reactance,S12_Inductance,S21_Magnitude,S21_Phase,S21_Resistance,S21_Reactance,S21_Inductance,S22_Magnitude,S22_Phase,S22_Resistance,S22_Reactance,S22_Inductance,
1000000,-1.17083828,-2.735280516,660.2967169,-233.0538974,-3.709167978e-05,-42.07427066,-129.4239677,49.49869686,-0.6023066493,-9.586008049e-08,9.065292968,-62.31405138,-54.97087003,-39.13750021,-6.228926618e-06,-0.3640576924,-176.6209523,1.048600018,-1.474167093,-2.346209798e-07,
1199000,-0.9276726773,-2.936693169,761.9261928,-364.7983647,-4.84232385e-05,-50.82411414,-101.3949786,49.94241651,-0.2816121175,-3.738111805e-08,9.856901923,-64.15960623,-54.46754376,-35.15182028,-4.666043333e-06,-0.1824041414,-179.3586076,0.5249984735,-0.2798323029,-3.714486593e-08,
1398000,-0.85448813,-3.470764172,737.8646478,-453.3373723,-5.161007417e-05,-47.82627159,-109.1321268,49.86559575,-0.3826912387,-4.356738363e-08,10.45657191,-66.99607911,-53.18298519,-32.28167834,-3.675099198e-06,-0.1445793554,178.470287,0.416197386,0.6674566024,7.598642173e-08,
1597000,-0.7446762935,-3.539672612,768.4616695,-552.7150053,-5.508285862e-05,-54.43464102,-116.5262099,49.91502364,-0.1695207499,-1.689421747e-08,11.03266674,-68.83717844,-52.57156784,-29.88734601,-2.978534035e-06,-0.1825996858,176.8886477,0.5259323743,1.357767129,1.353133063e-07,
1796000,-0.6849230289,-3.570847008,781.224903,-616.4048707,-5.462354239e-05,-50.79411299,-112.6449361,49.88830022,-0.2657573801,-2.355044582e-08,11.60995285,-70.85158333,-51.91303102,-27.6790811,-2.452818807e-06,-0.1611633009,175.8389559,0.4644640613,1.816239861,1.609485255e-07,
1995000,-0.6517393358,-3.364185255,827.2012285,-646.3262502,-5.156191357e-05,-47.14268351,108.2697698,49.86070568,0.4161014431,3.319528897e-08,12.07063711,-72.43076115,-51.44038492,-26.05488795,-2.07857855e-06,-0.2116545251,174.5562098,0.6105371847,2.376736411,1.896086959e-07,
2194000,-0.6046566338,-3.562914323,799.54476,-713.1819888,-5.173493111e-05,-52.82124199,4.453761466,50.22835424,0.01782731683,1.293211302e-09,12.54208301,-74.06146695,-50.98400913,-24.50310146,-1.777479361e-06,-0.1577958674,173.8988391,0.4554503006,2.664431563,1.932805167e-07,
2393000,-0.6128047973,-3.84017728,745.6118276,-707.2096035,-4.703548023e-05,-60.41481106,30.09053121,50.08253365,0.04787761714,3.184270552e-09,12.93240713,-75.47714288,-50.60498885,-23.29109856,-1.549057027e-06,-0.1688712482,173.0113534,0.4878473267,3.052869071,2.030418735e-07,
2592000,-0.6196060094,-3.963263886,723.0878888,-700.0119858,-4.298239497e-05,-61.29009817,126.8339557,49.94830388,0.06891921701,4.231803264e-09,13.35044833,-77.03391209,-50.21179323,-22.06248187,-1.354688676e-06,-0.1538950018,172.1086346,0.4450409007,3.448439246,2.117423426e-07,
2791000,-0.6347799657,-4.053861814,706.9202595,-683.2173745,-3.896002234e-05,-56.04291808,145.7334453,49.86975683,0.08856549451,5.050389193e-09,13.70216955,-78.29330993,-49.92280151,-21.08699449,-1.20247202e-06,-0.1468263573,170.9276569,0.4252499049,3.96656293,2.261906476e-07,
2990000,-0.6165014307,-4.464881945,639.4295347,-700.7385884,-3.729966895e-05,-48.89843959,77.44560201,50.07686185,0.350946257,1.868054567e-08,14.06001455,-79.73003805,-49.59359293,-20.129668,-1.071483667e-06,-0.175009571,170.4024618,0.5072505778,4.197106589,2.234081138e-07,
3189000,-0.6977156124,-4.328858504,661.2174329,-620.655656,-3.097535767e-05,-61.78446761,-162.7487455,49.92228926,-0.02411113243,-1.203325779e-09,14.35167182,-80.82560991,-49.36819973,-19.38862416,-9.676373081e-07,-0.1495003374,169.4979643,0.4339200897,4.594907146,2.293202212e-07,
