% Model:              bicon4mmRerun.mph
% Version:            COMSOL 5.4.0.388
% Date:               Aug 16 2021, 20:10
% Table:              Table 4 - Global Evaluation 3 (10*log10(1/(abs(emw.Vport_1))))
% freq (MHz)             AF
25                       10.082420730148673
30                       8.46181812750356
35                       7.095218708718968
40                       5.923504319970279
45                       4.976701129441832
50                       4.231055066055986
55                       3.6706804644021123
60                       3.2821791617003484
65                       3.0474039044777994
70                       2.944919147123417
75                       2.951145491746947
80                       3.042650802435096
85                       3.1982422578891994
90                       3.400042310283324
95                       3.633624733489244
100                      3.8875976825947536
105                      4.15305545090919
110                      4.423127103670218
115                      4.69264732093449
120                      4.957881313238337
125                      5.216243904471812
130                      5.4660171895871725
135                      5.70613130687057
140                      5.936066458555864
145                      6.155849067979977
150                      6.366033623082748
155                      6.567587017711174
160                      6.761691401752375
165                      6.949525639127802
170                      7.1320578543685365
175                      7.309874558892229
180                      7.483153681596447
185                      7.651962084119517
190                      7.816513969040918
195                      7.97687323710477
200                      8.133341910591804
205                      8.287331734617188
210                      8.447284664978282
215                      8.551841037862655
220                      8.73568150400389
225                      8.86497124096117
230                      9.013219381880278
235                      9.168009329079887
240                      9.33133585229225
245                      9.506000124152035
250                      9.694958649277769
255                      9.901133514717316
260                      10.127344419418487
265                      10.376304556524584
270                      10.650704340471325
275                      10.953406988721873
280                      11.287833804554896
285                      11.65871814230113
290                      12.073661406932315
295                      12.546713891899293
300                      13.107696914918074
