% Model:              bicon_box_orientation_steel_11.17.20.mph
% Version:            COMSOL 5.4.0.388
% Date:               Dec 1 2020, 13:47
% Table:              Table 4 - Antenna Factor (10*log10(1/(abs(emw.Vport_1))))
% freq (MHz)                                      Antenna Factor
30                                                45.70924929284157
30.299999999999997                                44.06464442440162
30.599999999999998                                43.830920556184154
30.9                                              43.71556820939474
31.2                                              43.66358471915188
31.5                                              43.65476530996879
31.799999999999997                                43.67219228026654
32.1                                              43.711401238170225
32.4                                              43.767908339527175
32.699999999999996                                43.8358724321126
33                                                43.913973232529756
33.3                                              43.9983951714494
33.6                                              44.089127962832
33.9                                              44.18494418331278
34.199999999999996                                44.283094857300085
34.5                                              44.38449863381344
34.8                                              44.48934817596167
35.1                                              44.592631206018176
35.4                                              44.46336699005491
35.699999999999996                                44.50500927108951
36                                                44.54508965732546
36.3                                              44.58712186913546
36.6                                              44.628076769457934
36.9                                              44.67076744787909
37.199999999999996                                44.71150580536939
37.5                                              44.75319598288033
37.8                                              44.795040894548976
38.1                                              44.836148627656016
38.4                                              44.8758615532451
38.699999999999996                                44.91605648643598
39                                                44.95799607955237
39.3                                              44.99477111011593
39.6                                              45.034177671313486
39.9                                              45.07193058361458
40.199999999999996                                45.10642377690005
40.5                                              45.143323206958584
40.8                                              45.179374861635715
41.1                                              45.2125824883875
41.4                                              45.24782067772083
41.699999999999996                                45.28098510181029
42                                                45.314128618755795
42.3                                              45.34688248033834
42.6                                              45.374956960647445
42.9                                              45.404627072869175
43.199999999999996                                45.43740827648057
43.5                                              45.46451268203416
43.8                                              45.491438475445506
44.1                                              45.51859125093628
44.4                                              45.54224007356919
44.699999999999996                                45.5688209197243
45                                                45.591121625069775
45.3                                              45.614426033344266
45.6                                              45.6409282947087
45.9                                              45.662063953923266
46.199999999999996                                45.6839821546577
46.5                                              45.70372116996403
46.8                                              45.723103903507614
47.1                                              45.74166894195674
47.4                                              45.76160822831871
47.699999999999996                                45.77709433526155
48                                                45.79659768230834
48.3                                              45.81048659723639
48.599999999999994                                45.82241190008371
48.9                                              45.83916476496398
49.199999999999996                                45.850482802432424
49.5                                              45.864391389588604
49.8                                              45.87411843980355
50.099999999999994                                45.887698828947606
50.4                                              45.89974707933621
50.699999999999996                                45.90895579184628
51                                                45.9196457418866
51.3                                              45.926453366621594
51.599999999999994                                45.93475402970961
51.9                                              45.9425129205968
52.199999999999996                                45.94841510877191
52.5                                              45.95777326801472
52.8                                              45.96435901315488
53.099999999999994                                45.96703346936763
53.4                                              45.97266410038021
53.699999999999996                                45.97875190611015
54                                                45.983678337207294
54.3                                              45.991933235293445
54.599999999999994                                45.98911912452976
54.9                                              45.99385470941976
55.199999999999996                                46.003277616882514
55.5                                              46.00238789521008
55.8                                              46.00305182604891
56.099999999999994                                46.007708188230836
56.4                                              46.007706684754865
56.699999999999996                                46.01262552321421
57                                                46.011620242400426
57.3                                              46.01458405852664
57.599999999999994                                46.01785647891967
57.9                                              46.02444919309569
58.199999999999996                                46.02401636688373
58.5                                              46.03033644396216
58.8                                              46.03394152465336
59.099999999999994                                46.04169396853128
59.4                                              46.041885793480105
59.699999999999996                                46.04637702496038
60                                                46.052663417675454
60.3                                              46.06403985417529
60.599999999999994                                46.06970732376959
60.9                                              46.08274857006187
61.199999999999996                                46.08886095621038
61.5                                              46.10204531340921
61.8                                              46.11829726979202
62.099999999999994                                46.12933711035819
62.4                                              46.14678032603514
62.699999999999996                                46.15845847944388
63                                                46.16696304738568
63.3                                              46.18654563985057
63.599999999999994                                46.19509284597143
63.9                                              46.232150966174515
64.2                                              46.2656609229045
64.5                                              46.30673133917833
64.8                                              46.337155758589034
65.1                                              46.37372113136088
65.39999999999999                                 46.40938142293909
65.7                                              46.44724553956909
66                                                46.484492603497515
66.3                                              46.52520333084397
66.6                                              46.56501793645313
66.89999999999999                                 46.60717278147204
67.2                                              46.64955686943774
67.5                                              46.68674536446118
67.8                                              46.72042645986043
68.1                                              46.75069592980389
68.39999999999999                                 46.77906491282097
68.7                                              46.801147578809285
69                                                46.81700773024677
69.3                                              46.82262466594783
69.6                                              46.82025731915203
69.89999999999999                                 46.80632735605563
70.2                                              46.78363673828662
70.5                                              46.75245644488393
70.8                                              46.71091553025029
71.1                                              46.66179569031593
71.39999999999999                                 46.605228208672884
71.7                                              46.542573169328875
72                                                46.47540403750729
72.3                                              46.404596218964215
72.6                                              46.33146271752128
72.89999999999999                                 46.25709624980384
73.2                                              46.18245884839949
73.5                                              46.10834002675429
73.8                                              46.035457680289404
74.1                                              45.96431814868643
74.39999999999999                                 45.895281142739364
74.7                                              45.828845364700626
75                                                45.76520351648369
75.3                                              45.70418091184873
75.6                                              45.64610882880481
75.89999999999999                                 45.5907985564916
76.2                                              45.53821216674618
76.5                                              45.487914409409896
76.8                                              45.43839629004707
77.1                                              45.38026564289946
77.39999999999999                                 44.51858526365974
77.7                                              44.8822341137446
78                                                45.17039137653057
78.3                                              45.04638209502073
78.6                                              45.11473335663727
78.89999999999999                                 45.15450683105919
79.2                                              45.15894949274827
79.5                                              45.14826209755196
79.8                                              45.13067566611204
80.1                                              45.11402473197505
80.39999999999999                                 45.096736119794194
80.7                                              45.08138770111573
81                                                45.06806117686929
81.3                                              45.056180899964254
81.6                                              45.0469726812466
81.89999999999999                                 45.037538360089044
82.2                                              45.03152474853277
82.5                                              45.02638846958203
82.8                                              45.02371534936821
83.1                                              45.02157383539432
83.39999999999999                                 45.02210460732675
83.7                                              45.023176506404496
84                                                45.02660693206881
84.3                                              45.02917090090748
84.6                                              45.03577642990859
84.89999999999999                                 45.04294003515697
85.2                                              45.05428673690743
85.5                                              45.064211314674324
85.8                                              45.07719283390194
86.1                                              45.09102788789785
86.39999999999999                                 45.10671705690369
86.7                                              45.123011392405274
87                                                45.141192976928096
87.3                                              45.16207670473907
87.6                                              45.18183031489897
87.89999999999999                                 45.19954086819602
88.2                                              45.20720688548438
88.5                                              45.4775353565282
88.8                                              44.42744196792515
89.1                                              46.25896857017749
89.39999999999999                                 45.368965846641444
89.7                                              45.457532374372825
90                                                45.48595842786903
90.3                                              45.52170873436202
90.6                                              45.55784903310708
90.89999999999999                                 45.604952239697376
91.2                                              45.647794101124106
91.5                                              45.699410590540694
91.8                                              45.75106044937723
92.1                                              45.80820183073036
92.39999999999999                                 45.86922690566417
92.7                                              45.928342947802534
93                                                45.99534904456515
93.3                                              46.06477225276837
93.6                                              46.13912592167494
93.89999999999999                                 46.21547009313447
94.2                                              46.29587118366794
94.5                                              46.3792627108547
94.8                                              46.469319825831974
95.1                                              46.56543353129613
95.39999999999999                                 46.6625159141416
95.69999999999999                                 46.812720826928384
96                                                46.87723876013014
96.3                                              47.00596368140613
96.6                                              47.128239390735814
96.89999999999999                                 47.25860300936419
97.19999999999999                                 47.39816820444076
97.5                                              47.54536207809886
97.8                                              47.70672827028001
98.1                                              47.868005180637816
98.39999999999999                                 48.04989536219239
98.69999999999999                                 48.23822989693221
99                                                48.44126768360187
99.3                                              48.66089187090341
99.6                                              48.8921783728688
99.89999999999999                                 49.147117914583774
100.19999999999999                                49.42000844058131
100.5                                             49.70914547419638
100.8                                             50.03010586949134
101.1                                             50.37141070872461
101.39999999999999                                50.72936499425023
101.69999999999999                                51.10116730596833
102                                               51.4342746131549
102.3                                             51.51662749494437
102.6                                             49.61070553450554
102.89999999999999                                51.127084647326164
103.19999999999999                                54.635054301153296
103.5                                             55.64079367648594
103.8                                             55.32193030798463
104.1                                             54.71029267302923
104.39999999999999                                53.737918020143276
104.69999999999999                                52.5746555521772
105                                               50.85359996166946
105.3                                             44.235970976396146
105.6                                             47.6137025645111
105.89999999999999                                38.8770091109993
106.19999999999999                                40.00462027049774
106.5                                             42.750839059750625
106.8                                             46.09080117472136
107.1                                             51.118305666008
107.39999999999999                                54.86055890433186
107.69999999999999                                50.408638642716895
108                                               48.81526705546686
108.3                                             47.94879580679515
108.6                                             47.37189027288085
108.89999999999999                                46.93698805219452
109.19999999999999                                46.576212068029804
109.5                                             46.26387801281445
109.8                                             45.97937528882582
110.1                                             45.718406721208204
110.39999999999999                                45.47449532721264
110.69999999999999                                45.25182017227513
111                                               45.05888864945131
111.3                                             44.96339976590672
111.6                                             44.62744770290472
111.89999999999999                                41.15583279131514
112.19999999999999                                44.34146895191196
112.5                                             43.156598677169654
112.8                                             43.2290444733474
113.1                                             43.28520591902149
113.39999999999999                                43.527508230816935
113.69999999999999                                44.23112403115432
114                                               40.794686600344846
114.3                                             42.99056936445339
114.6                                             41.62673434263227
114.89999999999999                                42.400676323534995
115.19999999999999                                42.30195304423252
115.5                                             42.1742107001025
115.8                                             42.04193921471153
116.1                                             41.915898367234036
116.39999999999999                                41.794409525142
116.69999999999999                                41.677173165593985
117                                               41.564347846033456
117.3                                             41.456900178024995
117.6                                             41.35501148024491
117.89999999999999                                41.260474112901385
118.19999999999999                                41.17379029447648
118.5                                             41.09610187086123
118.8                                             41.02911709856657
119.1                                             40.97499668170215
119.39999999999999                                40.93496792908191
119.69999999999999                                40.91282082202564
120                                               40.911816694992524
120.3                                             40.93708607102048
120.6                                             40.99484537241372
120.89999999999999                                41.09420813355947
121.19999999999999                                41.247324749165095
121.5                                             41.47044135258465
121.8                                             41.78305255382004
122.1                                             42.19551025159029
122.39999999999999                                42.604934642232976
122.69999999999999                                41.828830739764086
123                                               39.68435259854047
123.3                                             48.40046482285916
123.6                                             42.493584929383545
123.89999999999999                                40.858740456741856
124.19999999999999                                39.027359289178115
124.5                                             37.63486270629958
124.8                                             36.53338930021756
125.1                                             35.68385299075778
125.39999999999999                                35.04662224975032
125.69999999999999                                34.57906517784255
126                                               34.23861383379767
126.3                                             33.98693705857165
126.6                                             33.794252657012926
126.89999999999999                                33.63759741677838
127.19999999999999                                33.4978207787871
127.5                                             33.33945398864688
127.8                                             31.431845319881106
128.1                                             33.61267018339517
128.4                                             32.90489033188835
128.7                                             33.345415466740306
129                                               32.3158034914137
129.29999999999998                                32.70899889713262
129.6                                             32.635025686234286
129.9                                             31.764056107705954
130.2                                             32.243595660829506
130.5                                             32.34235669678601
130.79999999999998                                32.08748441174685
131.1                                             31.933727142620928
131.4                                             31.774748314374047
131.7                                             31.57481555849994
132                                               30.60086992039964
132.29999999999998                                29.397762461506453
132.6                                             30.808162382857965
132.9                                             30.91735766809933
133.2                                             30.834573200650254
133.5                                             30.662262901133374
133.79999999999998                                30.48318599542721
134.1                                             30.30156232390474
134.4                                             30.117089875102163
134.7                                             29.930509585117562
135                                               29.742592917505263
135.29999999999998                                29.554178259384514
135.6                                             29.366283800318136
135.9                                             29.180099851901552
136.2                                             28.997055865116323
136.5                                             28.818796406344298
136.79999999999998                                28.64719959828287
137.1                                             28.484259037102092
137.4                                             28.331079107326023
137.7                                             28.15855271927553
138                                               28.11194079560447
138.29999999999998                                28.30716525108986
138.6                                             27.22239369592605
138.9                                             27.64739103754914
139.2                                             27.62844992796117
139.5                                             27.130685625695623
139.79999999999998                                27.671694458989503
140.1                                             27.65111777985025
140.4                                             27.644119955301946
140.7                                             27.676262289082466
141                                               27.729378255657497
141.29999999999998                                27.79313689901751
141.6                                             27.86766889090332
141.9                                             27.974169990945228
142.2                                             28.044029596590534
142.5                                             28.111939577473738
142.79999999999998                                28.23063789715126
143.1                                             28.329612348119593
143.4                                             28.435693887483126
143.7                                             28.54280381265201
144                                               28.65089482129211
144.29999999999998                                28.7595871493065
144.6                                             28.55923065002465
144.9                                             28.40316565654949
145.2                                             29.082187800817813
145.5                                             29.187237836636427
145.79999999999998                                28.69509553757974
146.1                                             29.39671304762718
146.4                                             29.505029124950532
146.7                                             29.633084685564537
147                                               29.876737860888905
147.29999999999998                                29.469149236762775
147.6                                             29.192146070064258
147.9                                             30.22582547789319
148.2                                             30.279586452100148
148.5                                             30.073988215973877
148.79999999999998                                30.17029466721604
149.1                                             30.253825799559593
149.4                                             30.32842854573081
149.7                                             30.401397082452046
150                                               30.471942317165134
150.29999999999998                                30.53995602352833
150.6                                             30.605424343574384
150.9                                             30.667640394455788
151.2                                             30.725108391658786
151.5                                             30.771522389737886
151.79999999999998                                30.77207813227488
