% Model:              bicon_box_orientation_11.14.20.mph
% Version:            COMSOL 5.4.0.388
% Date:               Nov 15 2020, 08:54
% Table:              Table 4 - Antenna Factor (10*log10(1/(abs(emw.Vport_1))))
% freq (MHz)                                      Antenna Factor
10                                                43.529249901932666
10.299999999999999                                43.39268799286106
10.6                                              43.226536006495415
10.9                                              43.07260946122482
11.2                                              42.92887626729645
11.5                                              42.79369890747066
11.799999999999999                                42.65412545283919
12.1                                              42.53884337945621
12.399999999999999                                42.4332576005596
12.7                                              42.33466701170769
13                                                42.241093005362906
13.299999999999999                                42.151079377782246
13.6                                              42.06355837250892
13.899999999999999                                41.97774822165137
14.2                                              41.96319999780842
14.5                                              41.86574793582892
14.799999999999999                                41.76990347615532
15.1                                              41.67390480858586
15.399999999999999                                41.628134376234314
15.7                                              41.53216024564017
16                                                41.43707658928417
16.3                                              41.33552756484014
16.599999999999998                                41.24959856607725
16.9                                              41.16357600271485
17.2                                              41.07727641889361
17.5                                              40.99069958128009
17.8                                              40.903833314794895
18.099999999999998                                40.81667114745624
18.4                                              40.729211088376616
18.7                                              40.64145486492678
19                                                40.5534076900493
19.3                                              40.465077108829995
19.599999999999998                                40.376472438688154
19.9                                              40.28760482570252
20.2                                              40.19848604758472
20.5                                              40.1091290702052
20.8                                              40.01954703502805
21.099999999999998                                39.92975375807437
21.4                                              39.83976273158256
21.7                                              39.74958777609266
22                                                39.65924235687047
22.3                                              39.56873965566514
22.599999999999998                                39.47809189546875
22.9                                              39.38731274135513
23.2                                              39.29641355968142
23.5                                              39.205405630773015
23.799999999999997                                39.114299420846145
24.099999999999998                                39.023106178615656
24.4                                              38.93183441573278
24.7                                              38.84049358733704
25                                                38.74909185673995
25.299999999999997                                38.65763711719923
25.599999999999998                                38.56613616005021
25.9                                              38.47459592941936
26.2                                              38.38302188525652
26.5                                              38.291419358998425
26.799999999999997                                38.199793103806
27.099999999999998                                38.108147156580564
27.4                                              38.0164851107369
27.7                                              37.92480985226361
28                                                37.83312399343234
28.299999999999997                                37.74142940056211
28.599999999999998                                37.649727588071705
28.9                                              37.558019561319995
29.2                                              37.46630582945559
29.5                                              37.37458648442042
29.799999999999997                                37.282861194160915
30.099999999999998                                37.1911292246374
30.4                                              37.099389368716295
30.7                                              37.0076401760948
31                                                36.91587968603143
31.299999999999997                                36.82410566832858
31.599999999999998                                36.73231547190615
31.9                                              36.640506198984696
32.199999999999996                                36.5486745236679
32.5                                              36.456816934416764
32.8                                              36.36492949361789
33.1                                              36.27300801747065
33.4                                              36.181048093385776
33.699999999999996                                36.0890449043279
34                                                35.9969934592605
34.3                                              35.90488843961715
34.6                                              35.81272435736741
34.9                                              35.720495331504935
35.199999999999996                                35.62819535348996
35.5                                              35.535818097344595
35.8                                              35.44335701289812
36.1                                              35.35080530147824
36.4                                              35.25815588650721
36.699999999999996                                35.165401554227735
37                                                35.086607630008196
37.3                                              34.99628503023829
37.6                                              34.900420004908106
37.9                                              34.80794148632789
38.199999999999996                                34.714379982023885
38.5                                              34.60557683359306
38.8                                              34.511542185286984
39.1                                              34.41785332316115
39.4                                              34.3239304820674
39.699999999999996                                34.22978042832651
40                                                34.13540615611106
40.3                                              34.04080446856981
40.6                                              33.945969244760235
40.9                                              33.85089236105371
41.199999999999996                                33.76868825850941
41.5                                              33.65900996856011
41.8                                              33.56282237410444
42.1                                              33.466917255581706
42.4                                              33.370662450496035
42.699999999999996                                33.27405887338819
43                                                33.177106886129465
43.3                                              33.079801741782646
43.6                                              32.98213501533611
43.9                                              32.88409610075267
44.199999999999996                                32.79823135521936
44.5                                              32.68605826667574
44.8                                              32.586424611818074
45.1                                              32.486986253859726
45.4                                              32.38706042300616
45.699999999999996                                32.286638655121536
46                                                32.18571615046717
46.3                                              32.08428333782002
46.6                                              31.982327131381638
46.9                                              31.891935880010234
47.199999999999996                                31.776119033770946
47.5                                              31.67203097646762
47.8                                              31.56802042275904
48.099999999999994                                31.463355375982168
48.4                                              31.35801823697807
48.699999999999996                                31.251998187387695
49                                                31.145279794405933
49.3                                              31.04950225112089
49.599999999999994                                30.929104264170686
49.9                                              30.81965682576938
50.199999999999996                                30.71013433023396
50.5                                              30.59975840944975
50.8                                              30.488502529863773
51.099999999999994                                30.376349307288102
51.4                                              30.263276391884947
51.699999999999996                                30.16017984637472
52                                                30.03377963942441
52.3                                              29.917248215224866
52.599999999999994                                29.800407974082184
52.9                                              29.68245170652564
53.199999999999996                                29.56334278010739
53.5                                              29.443055850670824
53.8                                              29.331265608502974
54.099999999999994                                29.198388377780525
54.4                                              29.073855444386044
54.699999999999996                                28.94871256974969
55                                                28.822154731382096
55.3                                              28.69413893984091
55.599999999999994                                28.56463409633067
55.9                                              28.44050315684234
56.199999999999996                                28.300604522704027
56.5                                              28.16603773626938
56.8                                              28.030371503984473
57.099999999999994                                27.892940534964772
57.4                                              27.753706282089247
57.699999999999996                                27.61264076279399
58                                                27.469475978135108
58.3                                              27.324441590222854
58.599999999999994                                27.177896732098716
58.9                                              27.02931461191772
59.199999999999996                                26.878620623018705
59.5                                              26.725788860068786
59.8                                              26.570758181001306
60.099999999999994                                26.39491980516503
60.4                                              26.253770747757372
60.699999999999996                                26.092164083792593
61                                                25.92495019980628
61.3                                              25.752983448534348
61.599999999999994                                25.57403913121439
61.9                                              25.384754668864872
62.199999999999996                                25.21225483542429
62.5                                              25.028504509780497
62.8                                              24.791470942117016
63.099999999999994                                24.712685718014193
63.4                                              24.29503849628778
63.699999999999996                                23.837415911273936
64                                                24.00640596756045
64.3                                              23.483254556410174
64.6                                              23.688155782305643
64.89999999999999                                 22.875108761778566
65.2                                              23.852026632338674
65.5                                              23.44488560737843
65.8                                              21.537205095431375
66.1                                              22.924940724283452
66.39999999999999                                 23.062432897567533
66.7                                              23.44415160667983
67                                                23.629147402914874
67.3                                              22.828356530136386
67.6                                              21.860250614361355
67.89999999999999                                 21.60370521636341
68.2                                              21.90808433706041
68.5                                              22.07973572602771
68.8                                              21.955255708099806
69.1                                              21.997464653139808
69.39999999999999                                 22.060683978733092
69.7                                              22.12152751794156
70                                                22.198259644652442
70.3                                              22.328434733225183
70.6                                              22.372389772937723
70.89999999999999                                 22.485463234470284
71.2                                              22.59624857640099
71.5                                              22.712536988199503
71.8                                              22.83221670183526
72.1                                              22.959811130340903
72.39999999999999                                 23.075825841546674
72.7                                              23.202280308545266
73                                                23.327292666605327
73.3                                              23.451815307103104
73.6                                              23.575370254069274
73.89999999999999                                 23.692036480137837
74.2                                              23.816296898312096
74.5                                              23.93683224680949
74.8                                              24.054623219669672
75.1                                              24.170139378406216
75.39999999999999                                 24.28347840025797
75.7                                              24.388690572220973
76                                                24.501177574946414
76.3                                              24.60955763809952
76.6                                              24.7152094183862
76.89999999999999                                 24.81884466330336
77.2                                              24.924213676396015
77.5                                              25.015870494336824
77.8                                              25.12334581925446
78.1                                              25.211860738901773
78.39999999999999                                 25.30516888498827
78.7                                              25.397245374067726
79                                                25.490184590782352
79.3                                              25.573975583397846
79.6                                              25.66254559311271
79.89999999999999                                 25.749602527915503
80.2                                              25.835020661018003
80.5                                              25.919110049464862
80.8                                              26.01197203442945
81.1                                              26.081194734674504
81.39999999999999                                 26.162795498138486
81.7                                              26.24384616324463
82                                                26.32375523953618
82.3                                              26.402814898371467
82.6                                              26.50097500365748
82.89999999999999                                 26.556187992966404
83.2                                              26.633667514827216
83.5                                              26.71178100181003
83.8                                              26.789231995583435
84.1                                              26.866296465801767
84.39999999999999                                 26.97700620955552
84.7                                              27.017007914272632
85                                                27.0929407884364
85.3                                              27.17121368991303
85.6                                              27.249293853922644
85.89999999999999                                 27.32742496251489
86.2                                              27.461623920806986
86.5                                              27.481877836994073
86.8                                              27.558122595887703
87.1                                              27.639614151582563
87.39999999999999                                 27.721391393265158
87.7                                              27.803635572366545
88                                                27.979131154399894
88.3                                              28.068320393778365
88.6                                              28.179746758922022
88.89999999999999                                 28.233932432525087
89.2                                              28.230474674318124
89.5                                              28.304917815516063
89.8                                              28.57169196366857
90.1                                              28.488189633672757
90.39999999999999                                 28.54774744898031
90.7                                              28.63454617269174
91                                                28.722659761032943
91.3                                              28.80932169377056
91.6                                              29.29855331363259
91.89999999999999                                 29.018355539738423
92.2                                              29.01838782063946
92.5                                              29.137806231052803
92.8                                              29.292298896686006
93.1                                              29.466126788279183
93.39999999999999                                 29.666713492852054
93.7                                              30.314489084899133
94                                                29.53624114546001
94.3                                              30.54324421589062
94.6                                              30.902027014481675
94.89999999999999                                 30.05866439058972
95.19999999999999                                 32.462531613907814
95.5                                              29.733693277612016
95.8                                              30.88195482590445
96.1                                              33.589637975912886
96.39999999999999                                 28.719214708024218
96.69999999999999                                 31.344840639812052
97                                                29.26177878776428
97.3                                              30.67804093293709
97.6                                              30.284904147018402
97.89999999999999                                 31.26750480400187
98.19999999999999                                 29.748685471221734
98.5                                              34.61589639229124
98.8                                              31.069073686464122
99.1                                              29.25786485796836
99.39999999999999                                 28.616734853084456
99.69999999999999                                 31.762530810897182
100                                               29.68352066595289
100.3                                             28.663792737271528
100.6                                             28.15334711552266
100.89999999999999                                30.395519225203444
101.19999999999999                                29.04436767664576
101.5                                             26.77908588825201
101.8                                             28.713451832093362
102.1                                             26.393283208023334
102.39999999999999                                30.866961440763887
102.69999999999999                                27.93981376919461
103                                               27.037092383555056
103.3                                             28.262026594933495
103.6                                             38.736882883337245
103.89999999999999                                31.527334656562928
104.19999999999999                                33.385687945475475
104.5                                             32.137399892522005
104.8                                             32.781129788647185
105.1                                             32.09345383589559
105.39999999999999                                32.10598404029734
105.69999999999999                                31.251922251901206
106                                               31.23547103783354
106.3                                             31.390338194931637
106.6                                             31.019487658252466
106.89999999999999                                30.92744735068587
107.19999999999999                                30.712570145492947
107.5                                             30.551492929194467
107.8                                             30.37536122812027
108.1                                             30.24028965232983
108.39999999999999                                30.10119248684196
108.69999999999999                                29.9704172951825
109                                               29.84449175120192
109.3                                             29.726237490145962
109.6                                             29.613877151350625
109.89999999999999                                29.502744251069835
110.19999999999999                                29.399615278331872
110.5                                             29.312149718831563
110.8                                             29.22134069142526
111.1                                             29.13030932350579
111.39999999999999                                29.051049025540067
111.69999999999999                                28.97704026534535
112                                               28.91139521468006
112.3                                             28.858643248889297
112.6                                             28.789120301535508
112.89999999999999                                28.727244415624902
113.19999999999999                                28.67397859439809
113.5                                             28.617544715344557
113.8                                             28.54894172348815
114.1                                             28.545479655474665
114.39999999999999                                28.504829241995964
114.69999999999999                                28.453319881709135
115                                               28.43695428202885
115.3                                             28.429482142159674
115.6                                             28.417180776536803
115.89999999999999                                28.4076085724288
116.19999999999999                                28.405442977580474
116.5                                             28.409297736122664
116.8                                             28.413607123806194
117.1                                             28.40977434835179
117.39999999999999                                28.44593098160591
117.69999999999999                                28.499750631173093
118                                               28.554139127690696
118.3                                             28.623608061065564
118.6                                             28.702644247086766
118.89999999999999                                28.801829233971045
119.19999999999999                                28.922925057734716
119.5                                             29.071146064396665
119.8                                             29.252861193501367
120.1                                             29.448862148213408
120.39999999999999                                29.776903844267192
120.69999999999999                                30.068127372433263
121                                               30.504967550731877
121.3                                             31.07928753936128
121.6                                             31.977341785352486
121.89999999999999                                33.20648734422403
122.19999999999999                                35.27481570662629
122.5                                             41.50921047257916
122.8                                             38.4370605143645
123.1                                             31.520994105027395
123.39999999999999                                29.94442464823656
123.69999999999999                                27.966570435082325
124                                               26.736087857110682
124.3                                             25.423269692806173
124.6                                             24.18015317264455
124.89999999999999                                23.07178141455088
125.19999999999999                                22.1414731074792
125.5                                             21.40691114379991
125.8                                             20.461214081309805
126.1                                             20.15418897903796
126.39999999999999                                19.81365788603615
126.69999999999999                                19.694893677062968
127                                               20.204223432886295
127.3                                             20.029555848626423
127.6                                             20.477107049899477
127.89999999999999                                20.174457276113205
128.2                                             20.63653604194362
128.5                                             20.837118216776418
128.79999999999998                                20.849551055438774
129.1                                             20.908638376631117
129.4                                             20.963851559922627
129.7                                             20.997622501611303
130                                               21.02544450214357
130.29999999999998                                21.017765841645527
130.6                                             21.03636822502296
130.9                                             21.024231221366993
131.2                                             21.003577582619695
131.5                                             20.976198424468315
131.79999999999998                                20.94670050852789
132.1                                             20.90874989610761
132.4                                             20.857446519991804
132.7                                             20.803704143279834
133                                               20.745166390068515
133.29999999999998                                20.67763041664822
133.6                                             20.60545023533423
133.9                                             20.527356635294296
134.2                                             20.44341170804515
134.5                                             20.353645887935894
134.79999999999998                                20.258078965055407
135.1                                             20.156714355560368
135.4                                             20.04954971151289
135.7                                             19.936596759229456
136                                               19.817927248435137
136.29999999999998                                19.69379992342259
136.6                                             19.56503350849252
136.9                                             19.43364595407331
137.2                                             19.28145376728113
137.5                                             19.152918818382755
137.79999999999998                                18.992196362396488
138.1                                             18.837273753616973
138.4                                             18.674102028518092
138.7                                             18.53512162867636
139                                               18.298993154717607
139.29999999999998                                18.171927482583868
139.6                                             17.983876964973206
139.9                                             17.785597691788894
140.2                                             17.671074503298236
140.5                                             17.557178471325617
140.79999999999998                                17.443861843224536
141.1                                             17.268247426100906
141.4                                             17.154056774860425
141.7                                             17.08317592917045
142                                               17.074924478423114
142.29999999999998                                17.111820389672722
142.6                                             17.18649575022345
142.9                                             17.232893896178307
143.2                                             17.439467071691457
143.5                                             17.57323873075063
143.79999999999998                                17.490024532879588
144.1                                             18.027887869825804
144.4                                             18.331019648010937
144.7                                             18.01679405896087
145                                               18.763797209402966
145.29999999999998                                18.907199323908806
145.6                                             19.357709403628963
145.9                                             19.51071237282118
146.2                                             19.79034582403704
146.5                                             20.025712025183115
146.79999999999998                                20.260624290746453
147.1                                             20.45687708378714
147.4                                             20.733246454921023
147.7                                             20.929959872995344
148                                               21.108858687080957
148.29999999999998                                21.339243799029774
148.6                                             21.541446787349614
148.9                                             21.73203072872075
149.2                                             21.852759357423125
149.5                                             22.07151557749424
149.79999999999998                                22.31367301377916
150.1                                             22.48321738213473
150.4                                             22.599228571540326
150.7                                             22.806415956012458
151                                               23.01482314228284
151.29999999999998                                23.135554118915316
151.6                                             23.355610166085953
151.9                                             23.464411886715602
152.2                                             23.680955689340397
152.5                                             23.852871788729857
152.79999999999998                                23.768624605158642
153.1                                             24.07987083253845
153.4                                             24.24012363129238
153.7                                             24.40674815299435
154                                               24.58532436299954
154.29999999999998                                24.677103201684485
154.6                                             24.813966929176246
154.9                                             24.97960473718116
155.2                                             25.11444031335995
155.5                                             25.23149574719863
155.79999999999998                                25.39820943501023
156.1                                             25.539204879212896
156.4                                             25.65437870560951
156.7                                             25.817689524750456
157                                               25.943770639539384
157.29999999999998                                26.086301007712866
157.6                                             26.215286526307256
157.9                                             26.352530121531174
158.2                                             26.49976386161051
158.5                                             26.595870082149506
158.79999999999998                                26.759887747723916
159.1                                             26.884148297958127
159.4                                             27.06319578130296
159.7                                             27.147351361293307
160                                               27.296701555652056
160.29999999999998                                27.440148943584425
160.6                                             27.54029993918987
160.9                                             27.69878625301083
161.2                                             27.813841351092297
161.5                                             27.965718898391103
161.79999999999998                                28.054443688638102
162.1                                             28.175600537812183
162.4                                             28.43387326501719
162.7                                             28.73305329466937
163                                               28.979795600533038
163.29999999999998                                28.922395670377682
163.6                                             29.030804527867605
163.9                                             29.160232038429754
164.2                                             29.324328271117018
164.5                                             29.49065624348368
164.79999999999998                                29.63615256336578
165.1                                             29.83256693904441
165.4                                             29.959912839701207
165.7                                             30.11207649548784
166                                               30.300563150068335
166.29999999999998                                30.426398975000836
166.6                                             30.638131634081716
166.9                                             30.770705797664867
167.2                                             30.994289033071418
167.5                                             31.097432290684843
167.79999999999998                                31.335729686998842
168.1                                             31.447066260236486
168.4                                             31.359480416596583
168.7                                             31.322624532242436
169                                               39.805075215753334
169.29999999999998                                34.450912800262294
169.6                                             33.88948382293931
169.9                                             34.03858062673356
