% Model:              bicon_freespace_9.28.20.mph
% Version:            COMSOL 5.4.0.388
% Date:               Nov 24 2020, 14:50
% Table:              Table 4 - Antenna Factor (10*log(1/emw.Vport_1))
% freq (MHz)                                      Antenna Factor
25                                                5.2506909134481
28                                                4.821827838776712
31                                                4.440764536238781
34                                                4.097768003595126
37                                                3.7839365773526352
40                                                3.4923729390299414
43                                                3.2182246706180635
46                                                2.9578287735048665
49                                                2.7086105875343263
52                                                2.469674780521216
55                                                2.23849608384576
58                                                2.018823606405526
61                                                1.8093293507777017
64                                                1.6134581967591255
67                                                1.435549024399859
70                                                1.2805402527643148
73                                                1.154089578709179
76                                                1.0616915935877564
79                                                1.0049858290845766
82                                                0.9934969478159665
85                                                1.0158264922764813
88                                                1.083629567097216
91                                                1.178616947287824
94                                                1.296273397198664
97                                                1.4297945199019062
100                                               1.5731510881631965
103                                               1.7213684201814092
106                                               1.8709320766308277
109                                               2.0197000364487345
112                                               2.172055492481793
115                                               2.31178050262539
118                                               2.4641477570946
121                                               2.6069007208700246
124                                               2.747511545775598
127                                               2.8859169040972192
130                                               3.023237263999486
133                                               3.159324522695278
136                                               3.2940033148591077
139                                               3.426862565727543
142                                               3.5574018429398557
145                                               3.6851918490527673
148                                               3.810038808716076
151                                               3.9317734345512667
154                                               4.049980422465918
157                                               4.177466407604403
160                                               4.275426808603554
163                                               4.390186040285885
166                                               4.489062726091654
169                                               4.580417828684496
172                                               4.665234105543046
175                                               4.749140672940697
178                                               4.826557919048445
181                                               4.898133658523425
184                                               4.967008127121114
187                                               5.027726922689084
190                                               5.084888160663019
193                                               5.137847910723822
196                                               5.187392704941609
199                                               5.233698791600592
202                                               5.28313551134894
205                                               5.335886471200282
208                                               5.379800518320513
211                                               5.407096306606439
214                                               5.469999508432392
217                                               5.495021940080015
220                                               5.5412208429951075
223                                               5.590748198662744
226                                               5.63585660612682
229                                               5.685173645904163
232                                               5.736309082952022
235                                               5.791054120199997
238                                               5.848927875754938
241                                               5.910583099390827
244                                               5.975654424528053
247                                               6.05045172986377
250                                               6.122411123551112
253                                               6.197145337537423
256                                               6.274642137278445
259                                               6.353702198847992
262                                               6.434608447568124
265                                               6.527503456736714
268                                               6.617130703871437
271                                               6.711044815712778
274                                               6.819866429269849
277                                               6.929445597393279
280                                               7.057221207888316
283                                               7.200496465141741
286                                               7.365027863493663
289                                               7.562041679304233
292                                               7.81301437567101
295                                               8.15185573291539
298                                               8.664696326933075
