% Model:              bicon_freespace__remove_line_11.23.20.mph
% Version:            COMSOL 5.4.0.388
% Date:               Nov 24 2020, 19:02
% Table:              Table 4 - Antenna Factor (10*log(1/emw.Vport_1))
% freq (MHz)                                      Antenna Factor
26                                                5.506757253612122
28                                                5.154378509600397
30                                                4.823389872683231
32                                                4.5113518044877505
34                                                4.216416216077149
36                                                3.9372186152782316
38                                                3.672794835101137
40                                                3.422523264387887
42                                                3.186077223742341
44                                                2.963387100037424
46                                                2.754604409144463
48                                                2.560066595301497
50                                                2.3802582789020406
52                                                2.2157680036384377
54                                                2.067238798430685
56                                                1.935313219449877
58                                                1.820574177812448
60                                                1.72348485704513
62                                                1.6443319147969788
64                                                1.5831771253770033
66                                                1.5398223127190345
68                                                1.513791450724753
70                                                1.5043317924187614
72                                                1.5104335713401977
74                                                1.5308654943717666
76                                                1.564221589586436
78                                                1.6089741891143894
80                                                1.6635280217141244
82                                                1.7262713006392874
84                                                1.7956209970297885
86                                                1.8700608163378183
88                                                1.9481714969674213
90                                                2.0286537948972123
92                                                2.1103449019429728
94                                                2.192229139745007
96                                                2.2734436847541524
98                                                2.353279918210162
100                                               2.431180844311683
102                                               2.506734930877295
104                                               2.579666718184877
106                                               2.649824603601554
108                                               2.717166313918468
110                                               2.781742688850671
112                                               2.8436804856739393
114                                               2.903164954499242
116                                               2.9604229173172354
118                                               3.0157070133512685
120                                               3.0692816551922
122                                               3.121411084428427
124                                               3.1723497348447087
126                                               3.2223349269191393
128                                               3.2715817570859134
130                                               3.320279936576336
132                                               3.3685922944157842
134                                               3.4166546912155837
136                                               3.4645771907876983
138                                               3.512446489556393
140                                               3.5603297309739874
142                                               3.6082795859530146
144                                               3.656338550969771
146                                               3.7045329493899533
148                                               3.7528308106628447
150                                               3.8010522316645496
152                                               3.848869793431853
154                                               3.8960276102100777
156                                               3.942449214129971
158                                               3.9881222133237197
160                                               4.033027759481386
162                                               4.0771439424668845
164                                               4.123720993009521
166                                               4.163515015691116
168                                               4.208389856013171
170                                               4.246136128932814
172                                               4.287494454999169
174                                               4.325405466114003
176                                               4.361735221544915
178                                               4.397957412003029
180                                               4.432970185798085
182                                               4.46663142839818
184                                               4.497613589966979
186                                               4.526878649881859
188                                               4.558064588286053
190                                               4.585035216906154
192                                               4.614013947416557
194                                               4.640558743663384
196                                               4.668238184847212
198                                               4.693082877646094
200                                               4.718710593281801
202                                               4.745095356718566
204                                               4.770754904974435
206                                               4.797874897653066
208                                               4.822020698852168
210                                               4.84130548775054
212                                               4.878267181426273
214                                               4.912815200668199
216                                               4.9231819314435095
218                                               4.950006194806702
220                                               4.978314948176693
222                                               5.0074070982761585
224                                               5.039251694986753
226                                               5.0707560039540125
228                                               5.10591094466197
230                                               5.139348680372164
232                                               5.176450270992927
234                                               5.214895295440778
236                                               5.253719447086422
238                                               5.294777677857432
240                                               5.337389249367433
242                                               5.380853458611796
244                                               5.425832116593554
246                                               5.47171458673154
248                                               5.518645088425736
250                                               5.566571220745022
252                                               5.615499879040556
254                                               5.665261701058642
256                                               5.715731552756187
258                                               5.766963285773862
260                                               5.820569086580944
262                                               5.873343835092571
264                                               5.927398057843952
266                                               5.982854016093397
268                                               6.040080399021164
270                                               6.100099886356675
272                                               6.161578561348837
274                                               6.225968630991485
276                                               6.293472383846459
278                                               6.365418662148651
280                                               6.441506145614078
282                                               6.524636719599279
284                                               6.613596418073104
286                                               6.713478154014753
288                                               6.823133619272913
290                                               6.955628481891183
292                                               7.108607080260194
294                                               7.301745187101752
296                                               7.539928703823483
298                                               7.8164142181765275
300                                               8.042893613851426
