% Model:              bicon_freespace__remove_line_11.23.20.mph
% Version:            COMSOL 5.4.0.388
% Date:               Nov 24 2020, 22:02
% Table:              Table 4 - Antenna Factor (10*log(1/emw.Vport_1))
% freq (MHz)             Antenna Factor
26                       2.438209765697162
28                       2.2818829525772086
30                       2.145838057776776
32                       2.0265446578323894
34                       1.9211672217121036
36                       1.8274166485296894
38                       1.7434329954904335
40                       1.6676988852473635
42                       1.5989715140567862
44                       1.5362305769875648
46                       1.4786374132665503
48                       1.4255030243986868
50                       1.3762629160397453
52                       1.3304571285784648
54                       1.287714429999337
56                       1.2477396031706554
58                       1.2103032271587264
60                       1.1752332485535797
62                       1.1424079295039504
64                       1.1117496794151944
66                       1.0832194445742522
68                       1.0568112872670274
70                       1.0325468900219825
72                       1.0104697202628827
74                       0.9906386823846381
76                       0.973121136175281
78                       0.9579852758411446
80                       0.9452919725604257
82                       0.9350863324100561
84                       0.9273893648380176
86                       0.9221903018252543
88                       0.9194402110634801
90                       0.9190475885677024
92                       0.9208765595243649
94                       0.9247481494445398
96                       0.9304448126185074
98                       0.9377180581413607
100                      0.9462986508146982
102                      0.9559085535006278
104                      0.9662735771851376
106                      0.9771356503091587
108                      0.9882637139916544
110                      0.9994624704450544
112                      1.0105785154260858
114                      1.0215037237864797
116                      1.0321760845379484
118                      1.042578459017965
120                      1.052735922802468
122                      1.062712403412776
124                      1.072607199890098
126                      1.0825516643818909
128                      1.0927059213117365
130                      1.1032551694475667
132                      1.11440504561589
134                      1.1263758091234317
136                      1.1393956371691263
138                      1.1536938869480209
140                      1.1694955664489801
142                      1.1870182304423662
144                      1.206471249143767
146                      1.2280514203971753
148                      1.2519095253029533
150                      1.2780417813742475
152                      1.3061809388089758
154                      1.3359823080608502
156                      1.367305837080301
158                      1.400140909054897
160                      1.4344604428492622
162                      1.4714890192748855
164                      1.5075398711068888
166                      1.5489199804019713
168                      1.5853687267072054
170                      1.6291799324968177
172                      1.666963838915965
174                      1.710184191704263
176                      1.7500792829728127
178                      1.7910050927342445
180                      1.8317820173362853
182                      1.8722141862695376
184                      1.9116729447670788
186                      1.9494227386330407
188                      1.98798113578599
190                      2.022459877483055
192                      2.0585528803926056
194                      2.093141316293445
196                      2.1285018121117423
198                      2.162589386927235
200                      2.195868669073598
202                      2.230519346909266
204                      2.264634311961405
206                      2.3019652231430268
208                      2.3394678921315086
210                      2.346300554913126
212                      2.3981209632101335
214                      2.4623427717088564
216                      2.460217979938584
218                      2.49387563447462
220                      2.530221544825952
222                      2.570050350437525
224                      2.6096443477269315
226                      2.652990284496628
228                      2.6958296231523167
230                      2.741604359089532
232                      2.7875862643678726
234                      2.835814656136135
236                      2.884692654230585
238                      2.9353451050584134
240                      2.9867892587645724
242                      3.0395382693154143
244                      3.0928936993079192
246                      3.146993940471669
248                      3.20138103604175
250                      3.2561476044234503
252                      3.3111103859810544
254                      3.366366036941519
256                      3.4218561120065196
258                      3.4776710900455585
260                      3.533831960964357
262                      3.5916035657450243
264                      3.647875460154668
266                      3.7061673168231746
268                      3.7647677797706987
270                      3.825016328517707
272                      3.888116521013844
274                      3.9521749662197765
276                      4.018892321459354
278                      4.088714044173886
280                      4.162735111693559
282                      4.2410457171651235
284                      4.325164405527271
286                      4.41749932548275
288                      4.5195028155755415
290                      4.632523815353722
292                      4.769973862134649
294                      4.930136706076608
296                      5.131192581072087
298                      5.373338147803932
300                      5.6215273386567635
