% Model:              bicon_freespace__remove_line_11.23.20.mph
% Version:            COMSOL 5.4.0.388
% Date:               Nov 23 2020, 21:58
% Table:              Table 4 - Antenna Factor (10*log(1/emw.Vport_1))
% freq (MHz)                                      Antenna Factor
25                                                2.5272998228253627
45                                                1.5080178447965698
65                                                1.098205112687409
85                                                0.92526333822113
105                                               0.9721617318271816
125                                               1.077593193926575
145                                               1.2188184822322037
165                                               1.5281104999626238
185                                               1.9316052861129624
205                                               2.2820112967001362
225                                               2.631902277230602
245                                               3.1196040351557857
265                                               3.6778071421185587
285                                               4.369454268223417
