% Model:              bicon8mm94.mph
% Version:            COMSOL 5.4.0.388
% Date:               Aug 6 2021, 12:07
% Table:              Table 3 - AF (10*log10(1/(abs(emw.Vport_1))))
% freq (MHz)             Antenna Factor
25                       5.041010991852905
30                       4.2320908972968905
35                       3.541062570797457
40                       2.96230942898372
45                       2.489792397022085
50                       2.116770159700067
55                       1.8365091634804618
60                       1.6419854054305092
65                       1.5242676616229922
70                       1.4726124928995186
75                       1.4752697746744923
80                       1.5205828499315879
85                       1.597984205265037
90                       1.6985505854879948
95                       1.815076676490367
100                      1.9418680839404208
105                      2.0744688402832865
110                      2.2094367445419936
115                      2.3441804745048946
120                      2.476824231095499
125                      2.606068625300393
130                      2.731049207079015
135                      2.8512255314460857
140                      2.966331418691168
145                      3.076373804875314
150                      3.181625203124527
155                      3.282566642904654
160                      3.3797884609693263
165                      3.4738795384790864
170                      3.565322282777922
175                      3.6544080050247763
180                      3.7412267463343145
185                      3.825808387333992
190                      3.908247837381586
195                      3.988586088606578
200                      4.066978241271238
205                      4.144117780436904
210                      4.2239537687569335
215                      4.276446715744208
220                      4.3690138471864195
225                      4.433628165038708
230                      4.507823700070428
235                      4.585283926791969
240                      4.666990533722634
245                      4.754339561449258
250                      4.8488068747770825
255                      4.951850275917662
260                      5.064875338906224
265                      5.189233510462649
270                      5.326264856060648
275                      5.477396970461237
280                      5.644339180135843
285                      5.8294628046600385
290                      6.0365883998628656
295                      6.272808469748664
300                      6.553281650396245
