% Model:              biconAlignedArms4mm.mph
% Version:            COMSOL 5.4.0.388
% Date:               Aug 6 2021, 04:57
% Table:              Table 2 - AF (10*log10(abs(emw.Vport_1)))
% freq (MHz)             Antenna Factor
25                       3.5673793477289744
30                       2.9624179686456125
35                       2.492889391361231
40                       2.122151781327784
45                       1.8417842839507181
50                       1.6316588295592367
55                       1.4754326834527065
60                       1.3618962131601033
65                       1.282734561452468
70                       1.2317034742022108
75                       1.2040715085018747
80                       1.196118923136699
85                       1.2048305666742996
90                       1.2277350331312382
95                       1.2627922592195107
100                      1.3082738268272631
105                      1.3626456598353407
110                      1.4244909855835335
115                      1.4924930887080703
120                      1.5654576360278698
125                      1.642327837558334
130                      1.7221612224107021
135                      1.8040911581496402
140                      1.8873347327185888
145                      1.9712716249021964
150                      2.0555372308023574
155                      2.140051979503172
160                      2.2249667697132414
165                      2.310552829935534
170                      2.397064980367379
175                      2.4846022794993035
180                      2.573025146562607
185                      2.662056742840962
190                      2.7514470343923154
195                      2.840833919721843
200                      2.9299308271593807
205                      3.0189782107652006
210                      3.112953357548098
215                      3.180020874200702
220                      3.281601955591029
225                      3.3614537994830695
230                      3.4484640465727994
235                      3.5389803990989255
240                      3.6334847693023975
245                      3.73325573550897
250                      3.839579368100692
255                      3.953681487350089
260                      4.076695029875586
265                      4.209676108227926
270                      4.353667928385937
275                      4.509823841196358
280                      4.6796231827817705
285                      4.865259704819773
290                      5.070408676814529
295                      5.301965278659675
300                      5.574530243727462
