% Model:              biconMeshing.mph
% Version:            COMSOL 5.4.0.388
% Date:               Aug 6 2021, 01:59
% Table:              Table 2 - AF (10*log10(abs(emw.Vport_1)))
% freq (MHz)             Antenna Factor
25                       3.5677752679016077
30                       2.9636947201677892
35                       2.494663399681091
40                       2.1231886142984964
45                       1.8423313518516564
50                       1.632002814334428
55                       1.4757493349186808
60                       1.3622365941457626
65                       1.283089928117723
70                       1.2320492223176873
75                       1.204382545615015
80                       1.1963774293927047
85                       1.205026636355817
90                       1.2278628137957621
95                       1.262846718016348
100                      1.3082503152349287
105                      1.3625414844544756
110                      1.424307107876892
115                      1.49223445735168
120                      1.5651316696224862
125                      1.6419414688751635
130                      1.7217173897634472
135                      1.8035857284891188
140                      1.8867545391427392
145                      1.9705937082882325
150                      2.054729175065932
155                      2.139073714008332
160                      2.223775206133454
165                      2.3091130807810605
170                      2.395375767799087
175                      2.4827417615535614
180                      2.5711946610037857
185                      2.6605337821629833
190                      2.7504062080504292
195                      2.8401805320698776
200                      2.929119225832044
205                      3.0164436195411577
210                      3.1044853706373536
215                      3.2002083019041367
220                      3.3067265825028036
225                      3.377725957410292
230                      3.4621870718551366
235                      3.551588145508381
240                      3.6455265303721114
245                      3.744992099250515
250                      3.8511540971690668
255                      3.965179970870878
260                      4.088166278576998
265                      4.2211344029456015
270                      4.365079022517374
275                      4.521070582975947
280                      4.690429729020871
285                      4.875026243513084
290                      5.077847351150301
295                      5.304256193333538
300                      5.5651852444451455
