% Model:              bicon8mm94.mph
% Version:            COMSOL 5.4.0.388
% Date:               Aug 6 2021, 06:54
% Table:              Table 2 - AF (10*log10(abs(emw.Vport_1)))
% freq (MHz)             Antenna Factor
25                       5.038417255199217
30                       4.228358323190907
35                       3.5362177530523264
40                       2.9566189635785003
45                       2.48362399306796
50                       2.1106006911409754
55                       1.830921206673616
60                       1.6375377172081045
65                       1.521404075889917
70                       1.4715977922966648
75                       1.476175261746936
80                       1.5233173047217066
85                       1.6023462746633483
90                       1.7042800060888421
95                       1.8218939536231702
100                      1.9495014959889185
105                      2.0826705577241187
110                      2.2179900408812663
115                      2.3529002871786155
120                      2.4855540302846086
125                      2.614676706341385
130                      2.7394263440729283
135                      2.8592837562142814
140                      2.974002182968298
145                      3.08360443932047
150                      3.188374548015773
155                      3.2888016399000404
160                      3.385482810706803
165                      3.479014627606865
170                      3.5698899218858897
175                      3.658412405128254
180                      3.7446785884737777
185                      3.828715563891399
190                      3.910627727793069
195                      3.99047234482006
200                      4.068421106118645
205                      4.145213726484135
210                      4.225167300602544
215                      4.279042948774995
220                      4.36806591064486
225                      4.433363641320879
230                      4.50744535446561
235                      4.5848639925245624
240                      4.666572056962798
245                      4.7539906001068015
250                      4.848598752442107
255                      4.9518613767450255
260                      5.065188866502121
265                      5.1899358396511435
270                      5.327442960432877
275                      5.479135583855519
280                      5.6467206098009735
285                      5.83257779659172
290                      6.040577259899739
295                      6.277980932613932
300                      6.560445024040723
